"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","78","38","green-8","green","6961","sampling-task","9","424973","0.0-5.0-0.0-0.0","49","pml4uaew","low"
"1","2","fixed","5","78","68","green-8","green","3814","sampling-task","10","440748","0.0-5.0-0.1-0.1","49","pml4uaew","low"
"1","3","fixed","5","78","104","green-8","green","1326","sampling-task","11","448324","0.0-5.0-0.2-0.2","49","pml4uaew","low"
"1","4","fixed","5","78","10","green-8","green","958","sampling-task","12","450525","0.0-5.0-0.3-0.3","49","pml4uaew","low"
"1","5","fixed","5","78","49","green-8","green","686","sampling-task","13","455861","0.0-5.0-0.4-0.4","49","pml4uaew","low"
"2","1","free","220","32","-16","red-155","red","2747","sampling-task","16","510452","0.0-5.0-0.5-0.5","49","pml4uaew","low"
"2","2","free","220","32","52","red-155","red","463","sampling-task","17","512108","0.0-5.0-0.6-0.6","49","pml4uaew","low"
"2","3","free","220","32","18","red-155","red","335","sampling-task","18","513324","0.0-5.0-0.7-0.7","49","pml4uaew","low"
"2","4","free","220","32","49","red-155","red","263","sampling-task","19","514532","0.0-5.0-0.8-0.8","49","pml4uaew","low"
"2","5","free","220","32","20","red-155","red","286","sampling-task","20","515644","0.0-5.0-0.9-0.9","49","pml4uaew","low"
"2","6","free","220","32","20","red-155","red","263","sampling-task","21","516820","0.0-5.0-0.10-0.10","49","pml4uaew","low"
"2","7","free","220","32","86","red-155","red","286","sampling-task","22","518108","0.0-5.0-0.11-0.11","49","pml4uaew","low"
"2","8","free","220","32","33","red-155","red","327","sampling-task","23","519316","0.0-5.0-0.12-0.12","49","pml4uaew","low"
"2","9","free","220","32","24","red-155","red","295","sampling-task","24","520428","0.0-5.0-0.13-0.13","49","pml4uaew","low"
"2","10","free","220","32","32","red-155","red","239","sampling-task","25","521548","0.0-5.0-0.14-0.14","49","pml4uaew","low"
