"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","97","89","purple-26","purple","7728","sampling-task","6","1208883","0.0-5.0-0.0-0.0","5","lkeblkpe","low"
"1","2","fixed","5","97","136","purple-26","purple","1573","sampling-task","7","1222922","0.0-5.0-0.1-0.1","5","lkeblkpe","low"
"1","3","fixed","5","97","67","purple-26","purple","797","sampling-task","8","1226018","0.0-5.0-0.2-0.2","5","lkeblkpe","low"
"1","4","fixed","5","97","133","purple-26","purple","1102","sampling-task","9","1230370","0.0-5.0-0.3-0.3","5","lkeblkpe","low"
"1","5","fixed","5","97","92","purple-26","purple","791","sampling-task","10","1233306","0.0-5.0-0.4-0.4","5","lkeblkpe","low"
"2","1","free","220","114","92","blue-33","blue","3676","sampling-task","13","1274791","0.0-5.0-0.5-0.5","5","lkeblkpe","low"
"2","2","free","220","114","103","blue-33","blue","598","sampling-task","14","1276959","0.0-5.0-0.6-0.6","5","lkeblkpe","low"
"2","3","free","220","114","108","blue-33","blue","750","sampling-task","15","1280087","0.0-5.0-0.7-0.7","5","lkeblkpe","low"
"2","4","free","220","114","115","blue-33","blue","694","sampling-task","16","1282999","0.0-5.0-0.8-0.8","5","lkeblkpe","low"
"2","5","free","220","114","113","blue-33","blue","606","sampling-task","17","1286031","0.0-5.0-0.9-0.9","5","lkeblkpe","low"
"2","6","free","220","114","120","blue-33","blue","630","sampling-task","18","1289423","0.0-5.0-0.10-0.10","5","lkeblkpe","low"
"2","7","free","220","114","141","blue-33","blue","582","sampling-task","19","1292151","0.0-5.0-0.11-0.11","5","lkeblkpe","low"
"2","8","free","220","114","134","blue-33","blue","598","sampling-task","20","1294719","0.0-5.0-0.12-0.12","5","lkeblkpe","low"
"2","9","free","220","114","92","blue-33","blue","526","sampling-task","21","1298271","0.0-5.0-0.13-0.13","5","lkeblkpe","low"
"2","10","free","220","114","98","blue-33","blue","942","sampling-task","22","1301671","0.0-5.0-0.14-0.14","5","lkeblkpe","low"
"2","11","free","220","114","94","blue-33","blue","518","sampling-task","23","1304279","0.0-5.0-0.15-0.15","5","lkeblkpe","low"
"2","12","free","220","114","98","blue-33","blue","518","sampling-task","24","1308514","0.0-5.0-0.16-0.16","5","lkeblkpe","low"
"2","13","free","220","114","120","blue-33","blue","534","sampling-task","25","1310651","0.0-5.0-0.17-0.17","5","lkeblkpe","low"
"3","1","fixed","10","55","26","yellow-104","yellow","3909","sampling-task","28","1356331","0.0-5.0-0.18-0.18","5","lkeblkpe","low"
"3","2","fixed","10","55","67","yellow-104","yellow","662","sampling-task","29","1358250","0.0-5.0-0.19-0.19","5","lkeblkpe","low"
"3","3","fixed","10","55","55","yellow-104","yellow","590","sampling-task","30","1360066","0.0-5.0-0.20-0.20","5","lkeblkpe","low"
"3","4","fixed","10","55","64","yellow-104","yellow","630","sampling-task","31","1361874","0.0-5.0-0.21-0.21","5","lkeblkpe","low"
"3","5","fixed","10","55","56","yellow-104","yellow","671","sampling-task","32","1363970","0.0-5.0-0.22-0.22","5","lkeblkpe","low"
"3","6","fixed","10","55","47","yellow-104","yellow","710","sampling-task","33","1365962","0.0-5.0-0.23-0.23","5","lkeblkpe","low"
"3","7","fixed","10","55","74","yellow-104","yellow","950","sampling-task","34","1368574","0.0-5.0-0.24-0.24","5","lkeblkpe","low"
"3","8","fixed","10","55","51","yellow-104","yellow","742","sampling-task","35","1370574","0.0-5.0-0.25-0.25","5","lkeblkpe","low"
"3","9","fixed","10","55","73","yellow-104","yellow","958","sampling-task","36","1373390","0.0-5.0-0.26-0.26","5","lkeblkpe","low"
"3","10","fixed","10","55","14","yellow-104","yellow","718","sampling-task","37","1375566","0.0-5.0-0.27-0.27","5","lkeblkpe","low"
"4","1","free","220","18","23","red-220","red","4493","sampling-task","40","1406318","0.0-5.0-0.28-0.28","5","lkeblkpe","low"
"4","2","free","220","18","8","red-220","red","582","sampling-task","41","1408326","0.0-5.0-0.29-0.29","5","lkeblkpe","low"
"4","3","free","220","18","53","red-220","red","742","sampling-task","42","1410286","0.0-5.0-0.30-0.30","5","lkeblkpe","low"
"4","4","free","220","18","37","red-220","red","702","sampling-task","43","1412975","0.0-5.0-0.31-0.31","5","lkeblkpe","low"
"4","5","free","220","18","24","red-220","red","630","sampling-task","44","1415182","0.0-5.0-0.32-0.32","5","lkeblkpe","low"
"4","6","free","220","18","3","red-220","red","702","sampling-task","45","1418086","0.0-5.0-0.33-0.33","5","lkeblkpe","low"
"5","1","fixed","20","75","69","orange-91","orange","3525","sampling-task","48","1448866","0.0-5.0-0.34-0.34","5","lkeblkpe","low"
"5","2","fixed","20","75","74","orange-91","orange","509","sampling-task","49","1451106","0.0-5.0-0.35-0.35","5","lkeblkpe","low"
"5","3","fixed","20","75","91","orange-91","orange","551","sampling-task","50","1453434","0.0-5.0-0.36-0.36","5","lkeblkpe","low"
"5","4","fixed","20","75","89","orange-91","orange","767","sampling-task","51","1455498","0.0-5.0-0.37-0.37","5","lkeblkpe","low"
"5","5","fixed","20","75","36","orange-91","orange","558","sampling-task","52","1457570","0.0-5.0-0.38-0.38","5","lkeblkpe","low"
"5","6","fixed","20","75","91","orange-91","orange","630","sampling-task","53","1459762","0.0-5.0-0.39-0.39","5","lkeblkpe","low"
"5","7","fixed","20","75","81","orange-91","orange","566","sampling-task","54","1461698","0.0-5.0-0.40-0.40","5","lkeblkpe","low"
"5","8","fixed","20","75","86","orange-91","orange","566","sampling-task","55","1463954","0.0-5.0-0.41-0.41","5","lkeblkpe","low"
"5","9","fixed","20","75","101","orange-91","orange","591","sampling-task","56","1466242","0.0-5.0-0.42-0.42","5","lkeblkpe","low"
"5","10","fixed","20","75","90","orange-91","orange","599","sampling-task","57","1468290","0.0-5.0-0.43-0.43","5","lkeblkpe","low"
"5","11","fixed","20","75","69","orange-91","orange","534","sampling-task","58","1470266","0.0-5.0-0.44-0.44","5","lkeblkpe","low"
"5","12","fixed","20","75","69","orange-91","orange","534","sampling-task","59","1472482","0.0-5.0-0.45-0.45","5","lkeblkpe","low"
"5","13","fixed","20","75","82","orange-91","orange","559","sampling-task","60","1474282","0.0-5.0-0.46-0.46","5","lkeblkpe","low"
"5","14","fixed","20","75","64","orange-91","orange","559","sampling-task","61","1475994","0.0-5.0-0.47-0.47","5","lkeblkpe","low"
"5","15","fixed","20","75","79","orange-91","orange","631","sampling-task","62","1477810","0.0-5.0-0.48-0.48","5","lkeblkpe","low"
"5","16","fixed","20","75","81","orange-91","orange","638","sampling-task","63","1479803","0.0-5.0-0.49-0.49","5","lkeblkpe","low"
"5","17","fixed","20","75","83","orange-91","orange","574","sampling-task","64","1481586","0.0-5.0-0.50-0.50","5","lkeblkpe","low"
"5","18","fixed","20","75","42","orange-91","orange","671","sampling-task","65","1483394","0.0-5.0-0.51-0.51","5","lkeblkpe","low"
"5","19","fixed","20","75","129","orange-91","orange","550","sampling-task","66","1488686","0.0-5.0-0.52-0.52","5","lkeblkpe","low"
"5","20","fixed","20","75","11","orange-91","orange","582","sampling-task","67","1490430","0.0-5.0-0.53-0.53","5","lkeblkpe","low"
"6","1","free","220","38","40","green-69","green","3957","sampling-task","70","1518846","0.0-5.0-0.54-0.54","5","lkeblkpe","low"
"6","2","free","220","38","24","green-69","green","454","sampling-task","71","1520230","0.0-5.0-0.55-0.55","5","lkeblkpe","low"
"6","3","free","220","38","46","green-69","green","486","sampling-task","72","1521806","0.0-5.0-0.56-0.56","5","lkeblkpe","low"
"6","4","free","220","38","50","green-69","green","407","sampling-task","73","1523278","0.0-5.0-0.57-0.57","5","lkeblkpe","low"
"6","5","free","220","38","-4","green-69","green","495","sampling-task","74","1527470","0.0-5.0-0.58-0.58","5","lkeblkpe","low"
"6","6","free","220","38","15","green-69","green","638","sampling-task","75","1529406","0.0-5.0-0.59-0.59","5","lkeblkpe","low"
"6","7","free","220","38","39","green-69","green","470","sampling-task","76","1531398","0.0-5.0-0.60-0.60","5","lkeblkpe","low"
