"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","98","87","purple-103","purple","6186","sampling-task","6","299349","0.0-5.0-0.0-0.0","50","9e8yt7zo","low"
"1","2","fixed","20","98","132","purple-103","purple","4405","sampling-task","7","310797","0.0-5.0-0.1-0.1","50","9e8yt7zo","low"
"1","3","fixed","20","98","115","purple-103","purple","1070","sampling-task","8","315181","0.0-5.0-0.2-0.2","50","9e8yt7zo","low"
"1","4","fixed","20","98","118","purple-103","purple","1750","sampling-task","9","321821","0.0-5.0-0.3-0.3","50","9e8yt7zo","low"
"1","5","fixed","20","98","114","purple-103","purple","935","sampling-task","10","324523","0.0-5.0-0.4-0.4","50","9e8yt7zo","low"
"1","6","fixed","20","98","78","purple-103","purple","990","sampling-task","11","327131","0.0-5.0-0.5-0.5","50","9e8yt7zo","low"
"1","7","fixed","20","98","63","purple-103","purple","870","sampling-task","12","332331","0.0-5.0-0.6-0.6","50","9e8yt7zo","low"
"1","8","fixed","20","98","83","purple-103","purple","742","sampling-task","13","334635","0.0-5.0-0.7-0.7","50","9e8yt7zo","low"
"1","9","fixed","20","98","121","purple-103","purple","726","sampling-task","14","336603","0.0-5.0-0.8-0.8","50","9e8yt7zo","low"
"1","10","fixed","20","98","58","purple-103","purple","2238","sampling-task","15","341059","0.0-5.0-0.9-0.9","50","9e8yt7zo","low"
"1","11","fixed","20","98","99","purple-103","purple","734","sampling-task","16","343067","0.0-5.0-0.10-0.10","50","9e8yt7zo","low"
"1","12","fixed","20","98","99","purple-103","purple","782","sampling-task","17","345427","0.0-5.0-0.11-0.11","50","9e8yt7zo","low"
"1","13","fixed","20","98","51","purple-103","purple","782","sampling-task","18","347715","0.0-5.0-0.12-0.12","50","9e8yt7zo","low"
"1","14","fixed","20","98","69","purple-103","purple","814","sampling-task","19","349923","0.0-5.0-0.13-0.13","50","9e8yt7zo","low"
"1","15","fixed","20","98","118","purple-103","purple","670","sampling-task","20","352459","0.0-5.0-0.14-0.14","50","9e8yt7zo","low"
"1","16","fixed","20","98","95","purple-103","purple","638","sampling-task","21","354643","0.0-5.0-0.15-0.15","50","9e8yt7zo","low"
"1","17","fixed","20","98","107","purple-103","purple","638","sampling-task","22","357107","0.0-5.0-0.16-0.16","50","9e8yt7zo","low"
"1","18","fixed","20","98","118","purple-103","purple","710","sampling-task","23","359443","0.0-5.0-0.17-0.17","50","9e8yt7zo","low"
"1","19","fixed","20","98","105","purple-103","purple","709","sampling-task","24","361707","0.0-5.0-0.18-0.18","50","9e8yt7zo","low"
"1","20","fixed","20","98","101","purple-103","purple","686","sampling-task","25","367467","0.0-5.0-0.19-0.19","50","9e8yt7zo","low"
"2","1","free","220","11","-16","orange-202","orange","4900","sampling-task","28","409457","0.0-5.0-0.20-0.20","50","9e8yt7zo","low"
"2","2","free","220","11","-7","orange-202","orange","718","sampling-task","29","411393","0.0-5.0-0.21-0.21","50","9e8yt7zo","low"
"2","3","free","220","11","28","orange-202","orange","614","sampling-task","30","413369","0.0-5.0-0.22-0.22","50","9e8yt7zo","low"
"2","4","free","220","11","36","orange-202","orange","598","sampling-task","31","415369","0.0-5.0-0.23-0.23","50","9e8yt7zo","low"
"2","5","free","220","11","-9","orange-202","orange","678","sampling-task","32","417233","0.0-5.0-0.24-0.24","50","9e8yt7zo","low"
"2","6","free","220","11","41","orange-202","orange","566","sampling-task","33","418993","0.0-5.0-0.25-0.25","50","9e8yt7zo","low"
"2","7","free","220","11","-13","orange-202","orange","493","sampling-task","34","420817","0.0-5.0-0.26-0.26","50","9e8yt7zo","low"
"2","8","free","220","11","26","orange-202","orange","535","sampling-task","35","422561","0.0-5.0-0.27-0.27","50","9e8yt7zo","low"
"2","9","free","220","11","13","orange-202","orange","510","sampling-task","36","424281","0.0-5.0-0.28-0.28","50","9e8yt7zo","low"
"2","10","free","220","11","39","orange-202","orange","518","sampling-task","37","425993","0.0-5.0-0.29-0.29","50","9e8yt7zo","low"
"2","11","free","220","11","15","orange-202","orange","445","sampling-task","38","427537","0.0-5.0-0.30-0.30","50","9e8yt7zo","low"
"2","12","free","220","11","-20","orange-202","orange","470","sampling-task","39","429145","0.0-5.0-0.31-0.31","50","9e8yt7zo","low"
"2","13","free","220","11","19","orange-202","orange","494","sampling-task","40","430929","0.0-5.0-0.32-0.32","50","9e8yt7zo","low"
"2","14","free","220","11","-38","orange-202","orange","479","sampling-task","41","434337","0.0-5.0-0.33-0.33","50","9e8yt7zo","low"
"3","1","fixed","5","75","63","blue-52","blue","3717","sampling-task","44","466934","0.0-5.0-0.34-0.34","50","9e8yt7zo","low"
"3","2","fixed","5","75","112","blue-52","blue","726","sampling-task","45","468637","0.0-5.0-0.35-0.35","50","9e8yt7zo","low"
"3","3","fixed","5","75","40","blue-52","blue","630","sampling-task","46","470518","0.0-5.0-0.36-0.36","50","9e8yt7zo","low"
"3","4","fixed","5","75","89","blue-52","blue","758","sampling-task","47","472557","0.0-5.0-0.37-0.37","50","9e8yt7zo","low"
"3","5","fixed","5","75","118","blue-52","blue","678","sampling-task","48","475045","0.0-5.0-0.38-0.38","50","9e8yt7zo","low"
"4","1","free","220","110","89","green-8","green","2085","sampling-task","51","499670","0.0-5.0-0.39-0.39","50","9e8yt7zo","low"
"4","2","free","220","110","119","green-8","green","606","sampling-task","52","501574","0.0-5.0-0.40-0.40","50","9e8yt7zo","low"
"4","3","free","220","110","133","green-8","green","646","sampling-task","53","503763","0.0-5.0-0.41-0.41","50","9e8yt7zo","low"
"4","4","free","220","110","123","green-8","green","622","sampling-task","54","506203","0.0-5.0-0.42-0.42","50","9e8yt7zo","low"
"4","5","free","220","110","108","green-8","green","510","sampling-task","55","508163","0.0-5.0-0.43-0.43","50","9e8yt7zo","low"
"4","6","free","220","110","112","green-8","green","542","sampling-task","56","509964","0.0-5.0-0.44-0.44","50","9e8yt7zo","low"
"4","7","free","220","110","112","green-8","green","494","sampling-task","57","511708","0.0-5.0-0.45-0.45","50","9e8yt7zo","low"
"4","8","free","220","110","73","green-8","green","510","sampling-task","58","514252","0.0-5.0-0.46-0.46","50","9e8yt7zo","low"
"4","9","free","220","110","121","green-8","green","558","sampling-task","59","516052","0.0-5.0-0.47-0.47","50","9e8yt7zo","low"
"4","10","free","220","110","125","green-8","green","518","sampling-task","60","518100","0.0-5.0-0.48-0.48","50","9e8yt7zo","low"
"4","11","free","220","110","98","green-8","green","574","sampling-task","61","519844","0.0-5.0-0.49-0.49","50","9e8yt7zo","low"
"4","12","free","220","110","134","green-8","green","630","sampling-task","62","522051","0.0-5.0-0.50-0.50","50","9e8yt7zo","low"
"4","13","free","220","110","126","green-8","green","558","sampling-task","63","523723","0.0-5.0-0.51-0.51","50","9e8yt7zo","low"
"4","14","free","220","110","120","green-8","green","470","sampling-task","64","525412","0.0-5.0-0.52-0.52","50","9e8yt7zo","low"
"4","15","free","220","110","108","green-8","green","494","sampling-task","65","527132","0.0-5.0-0.53-0.53","50","9e8yt7zo","low"
"4","16","free","220","110","123","green-8","green","446","sampling-task","66","528772","0.0-5.0-0.54-0.54","50","9e8yt7zo","low"
"4","17","free","220","110","119","green-8","green","478","sampling-task","67","530740","0.0-5.0-0.55-0.55","50","9e8yt7zo","low"
"4","18","free","220","110","125","green-8","green","470","sampling-task","68","533075","0.0-5.0-0.56-0.56","50","9e8yt7zo","low"
"4","19","free","220","110","81","green-8","green","558","sampling-task","69","534796","0.0-5.0-0.57-0.57","50","9e8yt7zo","low"
"4","20","free","220","110","105","green-8","green","494","sampling-task","70","536443","0.0-5.0-0.58-0.58","50","9e8yt7zo","low"
"4","21","free","220","110","139","green-8","green","470","sampling-task","71","538555","0.0-5.0-0.59-0.59","50","9e8yt7zo","low"
"4","22","free","220","110","103","green-8","green","774","sampling-task","72","540483","0.0-5.0-0.60-0.60","50","9e8yt7zo","low"
"4","23","free","220","110","116","green-8","green","566","sampling-task","73","542147","0.0-5.0-0.61-0.61","50","9e8yt7zo","low"
"4","24","free","220","110","101","green-8","green","638","sampling-task","74","543891","0.0-5.0-0.62-0.62","50","9e8yt7zo","low"
"4","25","free","220","110","96","green-8","green","798","sampling-task","75","545780","0.0-5.0-0.63-0.63","50","9e8yt7zo","low"
"4","26","free","220","110","107","green-8","green","558","sampling-task","76","547715","0.0-5.0-0.64-0.64","50","9e8yt7zo","low"
"4","27","free","220","110","152","green-8","green","678","sampling-task","77","549739","0.0-5.0-0.65-0.65","50","9e8yt7zo","low"
"4","28","free","220","110","107","green-8","green","654","sampling-task","78","551628","0.0-5.0-0.66-0.66","50","9e8yt7zo","low"
"4","29","free","220","110","91","green-8","green","590","sampling-task","79","553371","0.0-5.0-0.67-0.67","50","9e8yt7zo","low"
"4","30","free","220","110","78","green-8","green","494","sampling-task","80","555235","0.0-5.0-0.68-0.68","50","9e8yt7zo","low"
"4","31","free","220","110","95","green-8","green","558","sampling-task","81","556811","0.0-5.0-0.69-0.69","50","9e8yt7zo","low"
"4","32","free","220","110","122","green-8","green","438","sampling-task","82","558251","0.0-5.0-0.70-0.70","50","9e8yt7zo","low"
"4","33","free","220","110","95","green-8","green","566","sampling-task","83","559819","0.0-5.0-0.71-0.71","50","9e8yt7zo","low"
"4","34","free","220","110","131","green-8","green","478","sampling-task","84","561332","0.0-5.0-0.72-0.72","50","9e8yt7zo","low"
"4","35","free","220","110","92","green-8","green","478","sampling-task","85","562980","0.0-5.0-0.73-0.73","50","9e8yt7zo","low"
"4","36","free","220","110","162","green-8","green","518","sampling-task","86","564969","0.0-5.0-0.74-0.74","50","9e8yt7zo","low"
"4","37","free","220","110","110","green-8","green","510","sampling-task","87","566713","0.0-5.0-0.75-0.75","50","9e8yt7zo","low"
"4","38","free","220","110","109","green-8","green","454","sampling-task","88","568297","0.0-5.0-0.76-0.76","50","9e8yt7zo","low"
"4","39","free","220","110","87","green-8","green","565","sampling-task","89","569833","0.0-5.0-0.77-0.77","50","9e8yt7zo","low"
