"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","96","34","blue-117","blue","5879","sampling-task","12","533728","0.0-5.0-0.0-0.0","51","vh7p8hcl","high"
"1","2","fixed","20","96","121","blue-192","blue","20486","sampling-task","13","557048","0.0-5.0-0.1-0.1","51","vh7p8hcl","high"
"1","3","fixed","20","96","111","blue-68","blue","3030","sampling-task","14","565368","0.0-5.0-0.2-0.2","51","vh7p8hcl","high"
"1","4","fixed","20","96","118","blue-203","blue","4366","sampling-task","15","570895","0.0-5.0-0.3-0.3","51","vh7p8hcl","high"
"1","5","fixed","20","96","140","blue-178","blue","782","sampling-task","16","573271","0.0-5.0-0.4-0.4","51","vh7p8hcl","high"
"1","6","fixed","20","96","119","blue-98","blue","1095","sampling-task","17","575807","0.0-5.0-0.5-0.5","51","vh7p8hcl","high"
"1","7","fixed","20","96","117","blue-116","blue","958","sampling-task","18","579103","0.0-5.0-0.6-0.6","51","vh7p8hcl","high"
"1","8","fixed","20","96","95","blue-76","blue","1255","sampling-task","19","582151","0.0-5.0-0.7-0.7","51","vh7p8hcl","high"
"1","9","fixed","20","96","78","blue-164","blue","743","sampling-task","20","583895","0.0-5.0-0.8-0.8","51","vh7p8hcl","high"
"1","10","fixed","20","96","53","blue-89","blue","887","sampling-task","21","586839","0.0-5.0-0.9-0.9","51","vh7p8hcl","high"
"1","11","fixed","20","96","92","blue-71","blue","1455","sampling-task","22","589391","0.0-5.0-0.10-0.10","51","vh7p8hcl","high"
"1","12","fixed","20","96","96","blue-71","blue","926","sampling-task","23","591311","0.0-5.0-0.11-0.11","51","vh7p8hcl","high"
"1","13","fixed","20","96","111","blue-19","blue","831","sampling-task","24","593664","0.0-5.0-0.12-0.12","51","vh7p8hcl","high"
"1","14","fixed","20","96","110","blue-90","blue","734","sampling-task","25","595615","0.0-5.0-0.13-0.13","51","vh7p8hcl","high"
"1","15","fixed","20","96","100","blue-21","blue","807","sampling-task","26","597559","0.0-5.0-0.14-0.14","51","vh7p8hcl","high"
"1","16","fixed","20","96","83","blue-210","blue","855","sampling-task","27","599591","0.0-5.0-0.15-0.15","51","vh7p8hcl","high"
"1","17","fixed","20","96","94","blue-50","blue","703","sampling-task","28","602352","0.0-5.0-0.16-0.16","51","vh7p8hcl","high"
"1","18","fixed","20","96","83","blue-53","blue","806","sampling-task","29","604223","0.0-5.0-0.17-0.17","51","vh7p8hcl","high"
"1","19","fixed","20","96","68","blue-167","blue","790","sampling-task","30","606087","0.0-5.0-0.18-0.18","51","vh7p8hcl","high"
"1","20","fixed","20","96","112","blue-134","blue","911","sampling-task","31","609463","0.0-5.0-0.19-0.19","51","vh7p8hcl","high"
"2","1","free","220","12","46","purple-15","purple","13765","sampling-task","34","661151","0.0-5.0-0.20-0.20","51","vh7p8hcl","high"
"2","2","free","220","12","17","purple-59","purple","1550","sampling-task","35","663967","0.0-5.0-0.21-0.21","51","vh7p8hcl","high"
"2","3","free","220","12","6","purple-54","purple","926","sampling-task","36","667199","0.0-5.0-0.22-0.22","51","vh7p8hcl","high"
"2","4","free","220","12","4","purple-198","purple","1110","sampling-task","37","669887","0.0-5.0-0.23-0.23","51","vh7p8hcl","high"
"2","5","free","220","12","49","purple-144","purple","639","sampling-task","38","671711","0.0-5.0-0.24-0.24","51","vh7p8hcl","high"
"2","6","free","220","12","-2","purple-197","purple","911","sampling-task","39","673775","0.0-5.0-0.25-0.25","51","vh7p8hcl","high"
"2","7","free","220","12","25","purple-24","purple","527","sampling-task","40","675239","0.0-5.0-0.26-0.26","51","vh7p8hcl","high"
"2","8","free","220","12","13","purple-9","purple","607","sampling-task","41","676871","0.0-5.0-0.27-0.27","51","vh7p8hcl","high"
"2","9","free","220","12","25","purple-39","purple","494","sampling-task","42","678359","0.0-5.0-0.28-0.28","51","vh7p8hcl","high"
"2","10","free","220","12","45","purple-153","purple","1030","sampling-task","43","680551","0.0-5.0-0.29-0.29","51","vh7p8hcl","high"
"3","1","fixed","5","36","24","green-105","green","2573","sampling-task","46","714975","0.0-5.0-0.30-0.30","51","vh7p8hcl","high"
