"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","79","45","yellow-123","yellow","5121","sampling-task","15","433960","0.0-5.0-0.0-0.0","52","rvf4lpsa","high"
"1","2","fixed","5","79","51","yellow-125","yellow","6574","sampling-task","16","443664","0.0-5.0-0.1-0.1","52","rvf4lpsa","high"
"1","3","fixed","5","79","102","yellow-196","yellow","2078","sampling-task","17","449296","0.0-5.0-0.2-0.2","52","rvf4lpsa","high"
"1","4","fixed","5","79","97","yellow-102","yellow","2310","sampling-task","18","453352","0.0-5.0-0.3-0.3","52","rvf4lpsa","high"
"1","5","fixed","5","79","46","yellow-67","yellow","1254","sampling-task","19","456944","0.0-5.0-0.4-0.4","52","rvf4lpsa","high"
"2","1","free","220","119","103","green-198","green","3380","sampling-task","22","502247","0.0-5.0-0.5-0.5","52","rvf4lpsa","high"
"2","2","free","220","119","87","green-122","green","934","sampling-task","23","504863","0.0-5.0-0.6-0.6","52","rvf4lpsa","high"
"2","3","free","220","119","103","green-48","green","863","sampling-task","24","507423","0.0-5.0-0.7-0.7","52","rvf4lpsa","high"
"3","1","fixed","10","17","-9","purple-162","purple","3124","sampling-task","27","535375","0.0-5.0-0.8-0.8","52","rvf4lpsa","high"
"3","2","fixed","10","17","-9","purple-108","purple","1190","sampling-task","28","538127","0.0-5.0-0.9-0.9","52","rvf4lpsa","high"
"3","3","fixed","10","17","27","purple-87","purple","758","sampling-task","29","540063","0.0-5.0-0.10-0.10","52","rvf4lpsa","high"
"3","4","fixed","10","17","-3","purple-20","purple","790","sampling-task","30","542486","0.0-5.0-0.11-0.11","52","rvf4lpsa","high"
"3","5","fixed","10","17","14","purple-114","purple","1038","sampling-task","31","544886","0.0-5.0-0.12-0.12","52","rvf4lpsa","high"
"3","6","fixed","10","17","55","purple-57","purple","862","sampling-task","32","547175","0.0-5.0-0.13-0.13","52","rvf4lpsa","high"
"3","7","fixed","10","17","18","purple-21","purple","774","sampling-task","33","549175","0.0-5.0-0.14-0.14","52","rvf4lpsa","high"
"3","8","fixed","10","17","39","purple-132","purple","750","sampling-task","34","551175","0.0-5.0-0.15-0.15","52","rvf4lpsa","high"
"3","9","fixed","10","17","3","purple-48","purple","750","sampling-task","35","553255","0.0-5.0-0.16-0.16","52","rvf4lpsa","high"
"3","10","fixed","10","17","64","purple-104","purple","1270","sampling-task","36","555535","0.0-5.0-0.17-0.17","52","rvf4lpsa","high"
"4","1","free","220","51","17","orange-206","orange","3013","sampling-task","39","596462","0.0-5.0-0.18-0.18","52","rvf4lpsa","high"
"4","2","free","220","51","40","orange-94","orange","742","sampling-task","40","598518","0.0-5.0-0.19-0.19","52","rvf4lpsa","high"
"4","3","free","220","51","50","orange-88","orange","615","sampling-task","41","600814","0.0-5.0-0.20-0.20","52","rvf4lpsa","high"
"4","4","free","220","51","69","orange-106","orange","551","sampling-task","42","603558","0.0-5.0-0.21-0.21","52","rvf4lpsa","high"
"5","1","fixed","20","93","64","blue-144","blue","2901","sampling-task","45","632798","0.0-5.0-0.22-0.22","52","rvf4lpsa","high"
"5","2","fixed","20","93","76","blue-140","blue","718","sampling-task","46","635575","0.0-5.0-0.23-0.23","52","rvf4lpsa","high"
"5","3","fixed","20","93","58","blue-137","blue","838","sampling-task","47","637654","0.0-5.0-0.24-0.24","52","rvf4lpsa","high"
"5","4","fixed","20","93","96","blue-213","blue","831","sampling-task","48","640478","0.0-5.0-0.25-0.25","52","rvf4lpsa","high"
"5","5","fixed","20","93","101","blue-196","blue","686","sampling-task","49","642511","0.0-5.0-0.26-0.26","52","rvf4lpsa","high"
"5","6","fixed","20","93","106","blue-79","blue","677","sampling-task","50","644550","0.0-5.0-0.27-0.27","52","rvf4lpsa","high"
"5","7","fixed","20","93","97","blue-139","blue","710","sampling-task","51","646607","0.0-5.0-0.28-0.28","52","rvf4lpsa","high"
"5","8","fixed","20","93","96","blue-56","blue","654","sampling-task","52","648543","0.0-5.0-0.29-0.29","52","rvf4lpsa","high"
"5","9","fixed","20","93","97","blue-49","blue","710","sampling-task","53","650326","0.0-5.0-0.30-0.30","52","rvf4lpsa","high"
"5","10","fixed","20","93","99","blue-213","blue","686","sampling-task","54","652103","0.0-5.0-0.31-0.31","52","rvf4lpsa","high"
