"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","95","116","blue-66","blue","10653","sampling-task","9","375328","0.0-5.0-0.0-0.0","53","128uc6un","low"
"1","2","fixed","10","95","103","blue-66","blue","1877","sampling-task","10","378991","0.0-5.0-0.1-0.1","53","128uc6un","low"
"1","3","fixed","10","95","93","blue-66","blue","829","sampling-task","11","383983","0.0-5.0-0.2-0.2","53","128uc6un","low"
"1","4","fixed","10","95","95","blue-66","blue","2021","sampling-task","12","387279","0.0-5.0-0.3-0.3","53","128uc6un","low"
"1","5","fixed","10","95","97","blue-66","blue","757","sampling-task","13","388927","0.0-5.0-0.4-0.4","53","128uc6un","low"
"1","6","fixed","10","95","118","blue-66","blue","1158","sampling-task","14","391183","0.0-5.0-0.5-0.5","53","128uc6un","low"
"1","7","fixed","10","95","107","blue-66","blue","1398","sampling-task","15","393831","0.0-5.0-0.6-0.6","53","128uc6un","low"
"1","8","fixed","10","95","124","blue-66","blue","741","sampling-task","16","399847","0.0-5.0-0.7-0.7","53","128uc6un","low"
"1","9","fixed","10","95","81","blue-66","blue","1149","sampling-task","17","403415","0.0-5.0-0.8-0.8","53","128uc6un","low"
"1","10","fixed","10","95","76","blue-66","blue","661","sampling-task","18","408119","0.0-5.0-0.9-0.9","53","128uc6un","low"
"2","1","free","220","117","131","red-142","red","1468","sampling-task","21","447918","0.0-5.0-0.10-0.10","53","128uc6un","low"
"2","2","free","220","117","132","red-142","red","829","sampling-task","22","449902","0.0-5.0-0.11-0.11","53","128uc6un","low"
"2","3","free","220","117","115","red-142","red","678","sampling-task","23","452110","0.0-5.0-0.12-0.12","53","128uc6un","low"
"2","4","free","220","117","113","red-142","red","517","sampling-task","24","453846","0.0-5.0-0.13-0.13","53","128uc6un","low"
"2","5","free","220","117","116","red-142","red","574","sampling-task","25","455318","0.0-5.0-0.14-0.14","53","128uc6un","low"
"2","6","free","220","117","118","red-142","red","518","sampling-task","26","456942","0.0-5.0-0.15-0.15","53","128uc6un","low"
"2","7","free","220","117","130","red-142","red","486","sampling-task","27","460846","0.0-5.0-0.16-0.16","53","128uc6un","low"
"2","8","free","220","117","134","red-142","red","437","sampling-task","28","462646","0.0-5.0-0.17-0.17","53","128uc6un","low"
"3","1","fixed","20","36","50","yellow-182","yellow","4188","sampling-task","31","493006","0.0-5.0-0.18-0.18","53","128uc6un","low"
"3","2","fixed","20","36","52","yellow-182","yellow","613","sampling-task","32","494606","0.0-5.0-0.19-0.19","53","128uc6un","low"
"3","3","fixed","20","36","54","yellow-182","yellow","526","sampling-task","33","495981","0.0-5.0-0.20-0.20","53","128uc6un","low"
