"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","76","72","blue-12","blue","2996","sampling-task","6","274389","0.0-5.0-0.0-0.0","54","xxz6os7d","high"
"1","2","fixed","20","76","72","blue-192","blue","1894","sampling-task","7","278608","0.0-5.0-0.1-0.1","54","xxz6os7d","high"
"1","3","fixed","20","76","103","blue-61","blue","694","sampling-task","8","281904","0.0-5.0-0.2-0.2","54","xxz6os7d","high"
"1","4","fixed","20","76","40","blue-171","blue","759","sampling-task","9","284376","0.0-5.0-0.3-0.3","54","xxz6os7d","high"
"1","5","fixed","20","76","90","blue-111","blue","847","sampling-task","10","287544","0.0-5.0-0.4-0.4","54","xxz6os7d","high"
"1","6","fixed","20","76","53","blue-63","blue","2031","sampling-task","11","291464","0.0-5.0-0.5-0.5","54","xxz6os7d","high"
"1","7","fixed","20","76","71","blue-59","blue","1207","sampling-task","12","294872","0.0-5.0-0.6-0.6","54","xxz6os7d","high"
"1","8","fixed","20","76","58","blue-210","blue","935","sampling-task","13","297320","0.0-5.0-0.7-0.7","54","xxz6os7d","high"
"1","9","fixed","20","76","78","blue-21","blue","871","sampling-task","14","300408","0.0-5.0-0.8-0.8","54","xxz6os7d","high"
"1","10","fixed","20","76","84","blue-61","blue","862","sampling-task","15","305200","0.0-5.0-0.9-0.9","54","xxz6os7d","high"
"1","11","fixed","20","76","58","blue-75","blue","911","sampling-task","16","307464","0.0-5.0-0.10-0.10","54","xxz6os7d","high"
"1","12","fixed","20","76","90","blue-134","blue","895","sampling-task","17","311912","0.0-5.0-0.11-0.11","54","xxz6os7d","high"
"1","13","fixed","20","76","101","blue-32","blue","790","sampling-task","18","314008","0.0-5.0-0.12-0.12","54","xxz6os7d","high"
"1","14","fixed","20","76","76","blue-169","blue","846","sampling-task","19","316104","0.0-5.0-0.13-0.13","54","xxz6os7d","high"
"1","15","fixed","20","76","87","blue-101","blue","799","sampling-task","20","318016","0.0-5.0-0.14-0.14","54","xxz6os7d","high"
"1","16","fixed","20","76","68","blue-51","blue","551","sampling-task","21","319560","0.0-5.0-0.15-0.15","54","xxz6os7d","high"
"1","17","fixed","20","76","68","blue-113","blue","535","sampling-task","22","321112","0.0-5.0-0.16-0.16","54","xxz6os7d","high"
"1","18","fixed","20","76","65","blue-108","blue","647","sampling-task","23","322913","0.0-5.0-0.17-0.17","54","xxz6os7d","high"
"1","19","fixed","20","76","107","blue-149","blue","558","sampling-task","24","327649","0.0-5.0-0.18-0.18","54","xxz6os7d","high"
"1","20","fixed","20","76","40","blue-85","blue","846","sampling-task","25","329553","0.0-5.0-0.19-0.19","54","xxz6os7d","high"
"2","1","free","220","39","70","orange-115","orange","2284","sampling-task","28","354917","0.0-5.0-0.20-0.20","54","xxz6os7d","high"
"2","2","free","220","39","26","orange-64","orange","502","sampling-task","29","356790","0.0-5.0-0.21-0.21","54","xxz6os7d","high"
"2","3","free","220","39","81","orange-52","orange","430","sampling-task","30","358301","0.0-5.0-0.22-0.22","54","xxz6os7d","high"
"2","4","free","220","39","23","orange-25","orange","407","sampling-task","31","360102","0.0-5.0-0.23-0.23","54","xxz6os7d","high"
"2","5","free","220","39","7","orange-156","orange","406","sampling-task","32","361974","0.0-5.0-0.24-0.24","54","xxz6os7d","high"
"2","6","free","220","39","59","orange-166","orange","478","sampling-task","33","363805","0.0-5.0-0.25-0.25","54","xxz6os7d","high"
"2","7","free","220","39","60","orange-218","orange","430","sampling-task","34","365286","0.0-5.0-0.26-0.26","54","xxz6os7d","high"
"2","8","free","220","39","59","orange-183","orange","470","sampling-task","35","366613","0.0-5.0-0.27-0.27","54","xxz6os7d","high"
"2","9","free","220","39","68","orange-62","orange","398","sampling-task","36","367941","0.0-5.0-0.28-0.28","54","xxz6os7d","high"
"2","10","free","220","39","38","orange-205","orange","390","sampling-task","37","369278","0.0-5.0-0.29-0.29","54","xxz6os7d","high"
"2","11","free","220","39","36","orange-4","orange","326","sampling-task","38","370926","0.0-5.0-0.30-0.30","54","xxz6os7d","high"
"2","12","free","220","39","28","orange-138","orange","382","sampling-task","39","372574","0.0-5.0-0.31-0.31","54","xxz6os7d","high"
"2","13","free","220","39","17","orange-9","orange","462","sampling-task","40","374013","0.0-5.0-0.32-0.32","54","xxz6os7d","high"
"2","14","free","220","39","55","orange-188","orange","334","sampling-task","41","376286","0.0-5.0-0.33-0.33","54","xxz6os7d","high"
"2","15","free","220","39","26","orange-82","orange","1094","sampling-task","42","378918","0.0-5.0-0.34-0.34","54","xxz6os7d","high"
"2","16","free","220","39","31","orange-66","orange","470","sampling-task","43","380422","0.0-5.0-0.35-0.35","54","xxz6os7d","high"
"2","17","free","220","39","61","orange-143","orange","334","sampling-task","44","381710","0.0-5.0-0.36-0.36","54","xxz6os7d","high"
"2","18","free","220","39","28","orange-145","orange","310","sampling-task","45","382949","0.0-5.0-0.37-0.37","54","xxz6os7d","high"
"2","19","free","220","39","73","orange-187","orange","310","sampling-task","46","384454","0.0-5.0-0.38-0.38","54","xxz6os7d","high"
"2","20","free","220","39","29","orange-14","orange","302","sampling-task","47","385845","0.0-5.0-0.39-0.39","54","xxz6os7d","high"
"2","21","free","220","39","47","orange-83","orange","278","sampling-task","48","387774","0.0-5.0-0.40-0.40","54","xxz6os7d","high"
"3","1","fixed","5","90","63","red-195","red","4309","sampling-task","51","418466","0.0-5.0-0.41-0.41","54","xxz6os7d","high"
"3","2","fixed","5","90","91","red-55","red","3534","sampling-task","52","423633","0.0-5.0-0.42-0.42","54","xxz6os7d","high"
"3","3","fixed","5","90","82","red-104","red","3014","sampling-task","53","430265","0.0-5.0-0.43-0.43","54","xxz6os7d","high"
"3","4","fixed","5","90","71","red-23","red","1182","sampling-task","54","432961","0.0-5.0-0.44-0.44","54","xxz6os7d","high"
"3","5","fixed","5","90","90","red-188","red","967","sampling-task","55","435745","0.0-5.0-0.45-0.45","54","xxz6os7d","high"
"4","1","free","220","55","67","yellow-28","yellow","4148","sampling-task","58","458913","0.0-5.0-0.46-0.46","54","xxz6os7d","high"
"4","2","free","220","55","43","yellow-139","yellow","483","sampling-task","59","460447","0.0-5.0-0.47-0.47","54","xxz6os7d","high"
"4","3","free","220","55","36","yellow-66","yellow","390","sampling-task","60","462518","0.0-5.0-0.48-0.48","54","xxz6os7d","high"
"4","4","free","220","55","32","yellow-212","yellow","302","sampling-task","61","463855","0.0-5.0-0.49-0.49","54","xxz6os7d","high"
"4","5","free","220","55","63","yellow-31","yellow","351","sampling-task","62","465063","0.0-5.0-0.50-0.50","54","xxz6os7d","high"
"4","6","free","220","55","45","yellow-177","yellow","302","sampling-task","63","466287","0.0-5.0-0.51-0.51","54","xxz6os7d","high"
"4","7","free","220","55","51","yellow-54","yellow","390","sampling-task","64","467526","0.0-5.0-0.52-0.52","54","xxz6os7d","high"
"4","8","free","220","55","31","yellow-106","yellow","302","sampling-task","65","468839","0.0-5.0-0.53-0.53","54","xxz6os7d","high"
