"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","113","96","red-48","red","11874","sampling-task","21","624228","0.0-5.0-0.0-0.0","55","e1sbfx2j","low"
"1","2","fixed","10","113","113","red-48","red","2941","sampling-task","22","637795","0.0-5.0-0.1-0.1","55","e1sbfx2j","low"
"1","3","fixed","10","113","108","red-48","red","854","sampling-task","23","639779","0.0-5.0-0.2-0.2","55","e1sbfx2j","low"
"1","4","fixed","10","113","93","red-48","red","638","sampling-task","24","641323","0.0-5.0-0.3-0.3","55","e1sbfx2j","low"
"1","5","fixed","10","113","125","red-48","red","510","sampling-task","25","642891","0.0-5.0-0.4-0.4","55","e1sbfx2j","low"
"1","6","fixed","10","113","123","red-48","red","446","sampling-task","26","644227","0.0-5.0-0.5-0.5","55","e1sbfx2j","low"
"1","7","fixed","10","113","117","red-48","red","454","sampling-task","27","645571","0.0-5.0-0.6-0.6","55","e1sbfx2j","low"
"1","8","fixed","10","113","118","red-48","red","438","sampling-task","28","646995","0.0-5.0-0.7-0.7","55","e1sbfx2j","low"
"1","9","fixed","10","113","100","red-48","red","518","sampling-task","29","648539","0.0-5.0-0.8-0.8","55","e1sbfx2j","low"
"1","10","fixed","10","113","123","red-48","red","751","sampling-task","30","650747","0.0-5.0-0.9-0.9","55","e1sbfx2j","low"
"2","1","free","220","90","98","green-134","green","3941","sampling-task","33","682195","0.0-5.0-0.10-0.10","55","e1sbfx2j","low"
"2","2","free","220","90","55","green-134","green","870","sampling-task","34","684363","0.0-5.0-0.11-0.11","55","e1sbfx2j","low"
"2","3","free","220","90","76","green-134","green","679","sampling-task","35","685963","0.0-5.0-0.12-0.12","55","e1sbfx2j","low"
"2","4","free","220","90","111","green-134","green","511","sampling-task","36","687371","0.0-5.0-0.13-0.13","55","e1sbfx2j","low"
"2","5","free","220","90","99","green-134","green","454","sampling-task","37","689235","0.0-5.0-0.14-0.14","55","e1sbfx2j","low"
"3","1","fixed","20","36","-5","orange-129","orange","1075","sampling-task","40","706299","0.0-5.0-0.15-0.15","55","e1sbfx2j","low"
"3","2","fixed","20","36","57","orange-129","orange","518","sampling-task","41","707731","0.0-5.0-0.16-0.16","55","e1sbfx2j","low"
"3","3","fixed","20","36","31","orange-129","orange","493","sampling-task","42","709115","0.0-5.0-0.17-0.17","55","e1sbfx2j","low"
"3","4","fixed","20","36","15","orange-129","orange","678","sampling-task","43","710739","0.0-5.0-0.18-0.18","55","e1sbfx2j","low"
"3","5","fixed","20","36","11","orange-129","orange","463","sampling-task","44","712179","0.0-5.0-0.19-0.19","55","e1sbfx2j","low"
"3","6","fixed","20","36","35","orange-129","orange","463","sampling-task","45","713547","0.0-5.0-0.20-0.20","55","e1sbfx2j","low"
"3","7","fixed","20","36","38","orange-129","orange","447","sampling-task","46","714915","0.0-5.0-0.21-0.21","55","e1sbfx2j","low"
"3","8","fixed","20","36","25","orange-129","orange","487","sampling-task","47","716459","0.0-5.0-0.22-0.22","55","e1sbfx2j","low"
"3","9","fixed","20","36","7","orange-129","orange","503","sampling-task","48","717843","0.0-5.0-0.23-0.23","55","e1sbfx2j","low"
"3","10","fixed","20","36","23","orange-129","orange","350","sampling-task","49","719107","0.0-5.0-0.24-0.24","55","e1sbfx2j","low"
"3","11","fixed","20","36","40","orange-129","orange","399","sampling-task","50","720379","0.0-5.0-0.25-0.25","55","e1sbfx2j","low"
"3","12","fixed","20","36","37","orange-129","orange","429","sampling-task","51","721683","0.0-5.0-0.26-0.26","55","e1sbfx2j","low"
"3","13","fixed","20","36","38","orange-129","orange","326","sampling-task","52","723459","0.0-5.0-0.27-0.27","55","e1sbfx2j","low"
"3","14","fixed","20","36","48","orange-129","orange","350","sampling-task","53","724683","0.0-5.0-0.28-0.28","55","e1sbfx2j","low"
"3","15","fixed","20","36","39","orange-129","orange","431","sampling-task","54","725987","0.0-5.0-0.29-0.29","55","e1sbfx2j","low"
"3","16","fixed","20","36","20","orange-129","orange","399","sampling-task","55","727307","0.0-5.0-0.30-0.30","55","e1sbfx2j","low"
"3","17","fixed","20","36","31","orange-129","orange","415","sampling-task","56","728771","0.0-5.0-0.31-0.31","55","e1sbfx2j","low"
"3","18","fixed","20","36","15","orange-129","orange","902","sampling-task","57","731363","0.0-5.0-0.32-0.32","55","e1sbfx2j","low"
"3","19","fixed","20","36","42","orange-129","orange","486","sampling-task","58","732731","0.0-5.0-0.33-0.33","55","e1sbfx2j","low"
"3","20","fixed","20","36","49","orange-129","orange","542","sampling-task","59","734315","0.0-5.0-0.34-0.34","55","e1sbfx2j","low"
"4","1","free","220","10","9","blue-159","blue","1756","sampling-task","62","752699","0.0-5.0-0.35-0.35","55","e1sbfx2j","low"
"4","2","free","220","10","10","blue-159","blue","374","sampling-task","63","754444","0.0-5.0-0.36-0.36","55","e1sbfx2j","low"
"4","3","free","220","10","23","blue-159","blue","366","sampling-task","64","756379","0.0-5.0-0.37-0.37","55","e1sbfx2j","low"
"4","4","free","220","10","25","blue-159","blue","318","sampling-task","65","757667","0.0-5.0-0.38-0.38","55","e1sbfx2j","low"
"4","5","free","220","10","17","blue-159","blue","429","sampling-task","66","759467","0.0-5.0-0.39-0.39","55","e1sbfx2j","low"
"5","1","fixed","5","50","42","yellow-133","yellow","1500","sampling-task","69","772587","0.0-5.0-0.40-0.40","55","e1sbfx2j","low"
"5","2","fixed","5","50","49","yellow-133","yellow","486","sampling-task","70","774163","0.0-5.0-0.41-0.41","55","e1sbfx2j","low"
"5","3","fixed","5","50","64","yellow-133","yellow","518","sampling-task","71","775635","0.0-5.0-0.42-0.42","55","e1sbfx2j","low"
"5","4","fixed","5","50","39","yellow-133","yellow","590","sampling-task","72","777122","0.0-5.0-0.43-0.43","55","e1sbfx2j","low"
"5","5","fixed","5","50","50","yellow-133","yellow","518","sampling-task","73","778547","0.0-5.0-0.44-0.44","55","e1sbfx2j","low"
"6","1","free","220","79","119","purple-40","purple","1132","sampling-task","76","796187","0.0-5.0-0.45-0.45","55","e1sbfx2j","low"
"6","2","free","220","79","115","purple-40","purple","397","sampling-task","77","797755","0.0-5.0-0.46-0.46","55","e1sbfx2j","low"
"6","3","free","220","79","45","purple-40","purple","454","sampling-task","78","799211","0.0-5.0-0.47-0.47","55","e1sbfx2j","low"
"6","4","free","220","79","71","purple-40","purple","389","sampling-task","79","800643","0.0-5.0-0.48-0.48","55","e1sbfx2j","low"
"6","5","free","220","79","132","purple-40","purple","382","sampling-task","80","802259","0.0-5.0-0.49-0.49","55","e1sbfx2j","low"
