"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","19","-9","blue-12","blue","2839","sampling-task","6","749161","0.0-5.0-0.0-0.0","56","c9ns7wpk","low"
"1","2","fixed","5","19","14","blue-12","blue","1918","sampling-task","7","771304","0.0-5.0-0.1-0.1","56","c9ns7wpk","low"
"1","3","fixed","5","19","4","blue-12","blue","1102","sampling-task","8","774064","0.0-5.0-0.2-0.2","56","c9ns7wpk","low"
"1","4","fixed","5","19","25","blue-12","blue","839","sampling-task","9","776920","0.0-5.0-0.3-0.3","56","c9ns7wpk","low"
"1","5","fixed","5","19","8","blue-12","blue","1455","sampling-task","10","780888","0.0-5.0-0.4-0.4","56","c9ns7wpk","low"
"2","1","free","220","78","72","red-140","red","2916","sampling-task","13","828216","0.0-5.0-0.5-0.5","56","c9ns7wpk","low"
"2","2","free","220","78","71","red-140","red","598","sampling-task","14","830440","0.0-5.0-0.6-0.6","56","c9ns7wpk","low"
"2","3","free","220","78","80","red-140","red","622","sampling-task","15","835360","0.0-5.0-0.7-0.7","56","c9ns7wpk","low"
"2","4","free","220","78","69","red-140","red","566","sampling-task","16","837552","0.0-5.0-0.8-0.8","56","c9ns7wpk","low"
"2","5","free","220","78","47","red-140","red","1054","sampling-task","17","842520","0.0-5.0-0.9-0.9","56","c9ns7wpk","low"
"2","6","free","220","78","76","red-140","red","550","sampling-task","18","844176","0.0-5.0-0.10-0.10","56","c9ns7wpk","low"
"2","7","free","220","78","100","red-140","red","590","sampling-task","19","846304","0.0-5.0-0.11-0.11","56","c9ns7wpk","low"
"3","1","fixed","10","93","56","orange-189","orange","772","sampling-task","22","879814","0.0-5.0-0.12-0.12","56","c9ns7wpk","low"
"3","2","fixed","10","93","72","orange-189","orange","534","sampling-task","23","881223","0.0-5.0-0.13-0.13","56","c9ns7wpk","low"
"3","3","fixed","10","93","90","orange-189","orange","630","sampling-task","24","882783","0.0-5.0-0.14-0.14","56","c9ns7wpk","low"
"3","4","fixed","10","93","100","orange-189","orange","678","sampling-task","25","884583","0.0-5.0-0.15-0.15","56","c9ns7wpk","low"
"3","5","fixed","10","93","106","orange-189","orange","542","sampling-task","26","886199","0.0-5.0-0.16-0.16","56","c9ns7wpk","low"
"3","6","fixed","10","93","92","orange-189","orange","597","sampling-task","27","889318","0.0-5.0-0.17-0.17","56","c9ns7wpk","low"
