"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","78","78","yellow-173","yellow","4424","sampling-task","6","14907564","0.0-5.0-0.0-0.0","57","xlvgvoz1","low"
"1","2","fixed","5","78","87","yellow-173","yellow","2702","sampling-task","7","14913268","0.0-5.0-0.1-0.1","57","xlvgvoz1","low"
"1","3","fixed","5","78","88","yellow-173","yellow","2358","sampling-task","8","14918196","0.0-5.0-0.2-0.2","57","xlvgvoz1","low"
"1","4","fixed","5","78","60","yellow-173","yellow","934","sampling-task","9","14920532","0.0-5.0-0.3-0.3","57","xlvgvoz1","low"
"1","5","fixed","5","78","96","yellow-173","yellow","542","sampling-task","10","14923588","0.0-5.0-0.4-0.4","57","xlvgvoz1","low"
"2","1","free","220","17","3","orange-113","orange","3996","sampling-task","13","14969787","0.0-5.0-0.5-0.5","57","xlvgvoz1","low"
"2","2","free","220","17","32","orange-113","orange","463","sampling-task","14","14972315","0.0-5.0-0.6-0.6","57","xlvgvoz1","low"
"2","3","free","220","17","-6","orange-113","orange","653","sampling-task","15","14974203","0.0-5.0-0.7-0.7","57","xlvgvoz1","low"
"2","4","free","220","17","24","orange-113","orange","439","sampling-task","16","14976043","0.0-5.0-0.8-0.8","57","xlvgvoz1","low"
"2","5","free","220","17","18","orange-113","orange","391","sampling-task","17","14977715","0.0-5.0-0.9-0.9","57","xlvgvoz1","low"
"2","6","free","220","17","-20","orange-113","orange","407","sampling-task","18","14979019","0.0-5.0-0.10-0.10","57","xlvgvoz1","low"
"2","7","free","220","17","18","orange-113","orange","375","sampling-task","19","14980291","0.0-5.0-0.11-0.11","57","xlvgvoz1","low"
"2","8","free","220","17","32","orange-113","orange","319","sampling-task","20","14981483","0.0-5.0-0.12-0.12","57","xlvgvoz1","low"
"2","9","free","220","17","48","orange-113","orange","279","sampling-task","21","14982643","0.0-5.0-0.13-0.13","57","xlvgvoz1","low"
"2","10","free","220","17","62","orange-113","orange","311","sampling-task","22","14983884","0.0-5.0-0.14-0.14","57","xlvgvoz1","low"
"2","11","free","220","17","21","orange-113","orange","366","sampling-task","23","14985283","0.0-5.0-0.15-0.15","57","xlvgvoz1","low"
"2","12","free","220","17","58","orange-113","orange","414","sampling-task","24","14986635","0.0-5.0-0.16-0.16","57","xlvgvoz1","low"
"2","13","free","220","17","-1","orange-113","orange","396","sampling-task","25","14987859","0.0-5.0-0.17-0.17","57","xlvgvoz1","low"
"2","14","free","220","17","-2","orange-113","orange","950","sampling-task","26","14989675","0.0-5.0-0.18-0.18","57","xlvgvoz1","low"
"2","15","free","220","17","24","orange-113","orange","311","sampling-task","27","14991131","0.0-5.0-0.19-0.19","57","xlvgvoz1","low"
"2","16","free","220","17","6","orange-113","orange","311","sampling-task","28","14992323","0.0-5.0-0.20-0.20","57","xlvgvoz1","low"
"2","17","free","220","17","12","orange-113","orange","367","sampling-task","29","14993627","0.0-5.0-0.21-0.21","57","xlvgvoz1","low"
"2","18","free","220","17","30","orange-113","orange","359","sampling-task","30","14994819","0.0-5.0-0.22-0.22","57","xlvgvoz1","low"
"2","19","free","220","17","19","orange-113","orange","279","sampling-task","31","14995907","0.0-5.0-0.23-0.23","57","xlvgvoz1","low"
"2","20","free","220","17","25","orange-113","orange","255","sampling-task","32","14996995","0.0-5.0-0.24-0.24","57","xlvgvoz1","low"
"2","21","free","220","17","26","orange-113","orange","295","sampling-task","33","14998131","0.0-5.0-0.25-0.25","57","xlvgvoz1","low"
"2","22","free","220","17","1","orange-113","orange","263","sampling-task","34","14999219","0.0-5.0-0.26-0.26","57","xlvgvoz1","low"
"2","23","free","220","17","5","orange-113","orange","287","sampling-task","35","15000643","0.0-5.0-0.27-0.27","57","xlvgvoz1","low"
"2","24","free","220","17","12","orange-113","orange","319","sampling-task","36","15001771","0.0-5.0-0.28-0.28","57","xlvgvoz1","low"
"2","25","free","220","17","-11","orange-113","orange","271","sampling-task","37","15002891","0.0-5.0-0.29-0.29","57","xlvgvoz1","low"
"2","26","free","220","17","23","orange-113","orange","263","sampling-task","38","15003979","0.0-5.0-0.30-0.30","57","xlvgvoz1","low"
"2","27","free","220","17","-16","orange-113","orange","254","sampling-task","39","15005043","0.0-5.0-0.31-0.31","57","xlvgvoz1","low"
"2","28","free","220","17","10","orange-113","orange","262","sampling-task","40","15006115","0.0-5.0-0.32-0.32","57","xlvgvoz1","low"
"2","29","free","220","17","35","orange-113","orange","310","sampling-task","41","15007579","0.0-5.0-0.33-0.33","57","xlvgvoz1","low"
"2","30","free","220","17","16","orange-113","orange","286","sampling-task","42","15008755","0.0-5.0-0.34-0.34","57","xlvgvoz1","low"
"2","31","free","220","17","-5","orange-113","orange","359","sampling-task","43","15010243","0.0-5.0-0.35-0.35","57","xlvgvoz1","low"
"2","32","free","220","17","21","orange-113","orange","374","sampling-task","44","15011435","0.0-5.0-0.36-0.36","57","xlvgvoz1","low"
"2","33","free","220","17","37","orange-113","orange","1070","sampling-task","45","15013867","0.0-5.0-0.37-0.37","57","xlvgvoz1","low"
"3","1","fixed","10","119","113","blue-205","blue","2699","sampling-task","48","15045307","0.0-5.0-0.38-0.38","57","xlvgvoz1","low"
"3","2","fixed","10","119","96","blue-205","blue","438","sampling-task","49","15047243","0.0-5.0-0.39-0.39","57","xlvgvoz1","low"
"3","3","fixed","10","119","110","blue-205","blue","558","sampling-task","50","15049323","0.0-5.0-0.40-0.40","57","xlvgvoz1","low"
"3","4","fixed","10","119","117","blue-205","blue","294","sampling-task","51","15050483","0.0-5.0-0.41-0.41","57","xlvgvoz1","low"
"3","5","fixed","10","119","102","blue-205","blue","438","sampling-task","52","15051803","0.0-5.0-0.42-0.42","57","xlvgvoz1","low"
"3","6","fixed","10","119","102","blue-205","blue","398","sampling-task","53","15053043","0.0-5.0-0.43-0.43","57","xlvgvoz1","low"
"3","7","fixed","10","119","108","blue-205","blue","446","sampling-task","54","15054459","0.0-5.0-0.44-0.44","57","xlvgvoz1","low"
"3","8","fixed","10","119","94","blue-205","blue","430","sampling-task","55","15055747","0.0-5.0-0.45-0.45","57","xlvgvoz1","low"
"3","9","fixed","10","119","123","blue-205","blue","414","sampling-task","56","15057163","0.0-5.0-0.46-0.46","57","xlvgvoz1","low"
"3","10","fixed","10","119","112","blue-205","blue","318","sampling-task","57","15058363","0.0-5.0-0.47-0.47","57","xlvgvoz1","low"
"4","1","free","220","53","45","green-53","green","2452","sampling-task","60","15081250","0.0-5.0-0.48-0.48","57","xlvgvoz1","low"
"4","2","free","220","53","94","green-53","green","430","sampling-task","61","15082754","0.0-5.0-0.49-0.49","57","xlvgvoz1","low"
"4","3","free","220","53","34","green-53","green","310","sampling-task","62","15083914","0.0-5.0-0.50-0.50","57","xlvgvoz1","low"
"4","4","free","220","53","78","green-53","green","430","sampling-task","63","15085306","0.0-5.0-0.51-0.51","57","xlvgvoz1","low"
"4","5","free","220","53","49","green-53","green","390","sampling-task","64","15086578","0.0-5.0-0.52-0.52","57","xlvgvoz1","low"
"4","6","free","220","53","9","green-53","green","830","sampling-task","65","15088250","0.0-5.0-0.53-0.53","57","xlvgvoz1","low"
"4","7","free","220","53","59","green-53","green","398","sampling-task","66","15089514","0.0-5.0-0.54-0.54","57","xlvgvoz1","low"
"4","8","free","220","53","8","green-53","green","614","sampling-task","67","15091450","0.0-5.0-0.55-0.55","57","xlvgvoz1","low"
"4","9","free","220","53","97","green-53","green","407","sampling-task","68","15092706","0.0-5.0-0.56-0.56","57","xlvgvoz1","low"
"4","10","free","220","53","25","green-53","green","327","sampling-task","69","15094042","0.0-5.0-0.57-0.57","57","xlvgvoz1","low"
"4","11","free","220","53","39","green-53","green","326","sampling-task","70","15095338","0.0-5.0-0.58-0.58","57","xlvgvoz1","low"
"4","12","free","220","53","40","green-53","green","294","sampling-task","71","15096474","0.0-5.0-0.59-0.59","57","xlvgvoz1","low"
"4","13","free","220","53","32","green-53","green","302","sampling-task","72","15097626","0.0-5.0-0.60-0.60","57","xlvgvoz1","low"
"4","14","free","220","53","48","green-53","green","350","sampling-task","73","15099066","0.0-5.0-0.61-0.61","57","xlvgvoz1","low"
"4","15","free","220","53","60","green-53","green","294","sampling-task","74","15100195","0.0-5.0-0.62-0.62","57","xlvgvoz1","low"
"4","16","free","220","53","67","green-53","green","270","sampling-task","75","15101506","0.0-5.0-0.63-0.63","57","xlvgvoz1","low"
"4","17","free","220","53","39","green-53","green","326","sampling-task","76","15102690","0.0-5.0-0.64-0.64","57","xlvgvoz1","low"
"4","18","free","220","53","42","green-53","green","335","sampling-task","77","15103970","0.0-5.0-0.65-0.65","57","xlvgvoz1","low"
"4","19","free","220","53","63","green-53","green","351","sampling-task","78","15105154","0.0-5.0-0.66-0.66","57","xlvgvoz1","low"
"4","20","free","220","53","74","green-53","green","278","sampling-task","79","15106298","0.0-5.0-0.67-0.67","57","xlvgvoz1","low"
"4","21","free","220","53","87","green-53","green","278","sampling-task","80","15108298","0.0-5.0-0.68-0.68","57","xlvgvoz1","low"
"4","22","free","220","53","51","green-53","green","367","sampling-task","81","15109498","0.0-5.0-0.69-0.69","57","xlvgvoz1","low"
"4","23","free","220","53","51","green-53","green","262","sampling-task","82","15110882","0.0-5.0-0.70-0.70","57","xlvgvoz1","low"
"4","24","free","220","53","40","green-53","green","286","sampling-task","83","15111994","0.0-5.0-0.71-0.71","57","xlvgvoz1","low"
"4","25","free","220","53","45","green-53","green","294","sampling-task","84","15113170","0.0-5.0-0.72-0.72","57","xlvgvoz1","low"
"4","26","free","220","53","49","green-53","green","295","sampling-task","85","15115210","0.0-5.0-0.73-0.73","57","xlvgvoz1","low"
"4","27","free","220","53","37","green-53","green","350","sampling-task","86","15116602","0.0-5.0-0.74-0.74","57","xlvgvoz1","low"
"4","28","free","220","53","94","green-53","green","334","sampling-task","87","15118274","0.0-5.0-0.75-0.75","57","xlvgvoz1","low"
"4","29","free","220","53","81","green-53","green","510","sampling-task","88","15119714","0.0-5.0-0.76-0.76","57","xlvgvoz1","low"
"5","1","fixed","20","31","37","red-41","red","2772","sampling-task","91","15134689","0.0-5.0-0.77-0.77","57","xlvgvoz1","low"
"5","2","fixed","20","31","52","red-41","red","365","sampling-task","92","15135897","0.0-5.0-0.78-0.78","57","xlvgvoz1","low"
"5","3","fixed","20","31","13","red-41","red","414","sampling-task","93","15137145","0.0-5.0-0.79-0.79","57","xlvgvoz1","low"
"5","4","fixed","20","31","22","red-41","red","350","sampling-task","94","15138409","0.0-5.0-0.80-0.80","57","xlvgvoz1","low"
"5","5","fixed","20","31","26","red-41","red","349","sampling-task","95","15140233","0.0-5.0-0.81-0.81","57","xlvgvoz1","low"
"5","6","fixed","20","31","38","red-41","red","333","sampling-task","96","15141625","0.0-5.0-0.82-0.82","57","xlvgvoz1","low"
"5","7","fixed","20","31","7","red-41","red","414","sampling-task","97","15143809","0.0-5.0-0.83-0.83","57","xlvgvoz1","low"
"5","8","fixed","20","31","22","red-41","red","413","sampling-task","98","15145049","0.0-5.0-0.84-0.84","57","xlvgvoz1","low"
"5","9","fixed","20","31","-19","red-41","red","326","sampling-task","99","15146225","0.0-5.0-0.85-0.85","57","xlvgvoz1","low"
"5","10","fixed","20","31","36","red-41","red","357","sampling-task","100","15147401","0.0-5.0-0.86-0.86","57","xlvgvoz1","low"
"5","11","fixed","20","31","20","red-41","red","317","sampling-task","101","15149049","0.0-5.0-0.87-0.87","57","xlvgvoz1","low"
"5","12","fixed","20","31","29","red-41","red","317","sampling-task","102","15150433","0.0-5.0-0.88-0.88","57","xlvgvoz1","low"
"5","13","fixed","20","31","13","red-41","red","1629","sampling-task","103","15153505","0.0-5.0-0.89-0.89","57","xlvgvoz1","low"
"5","14","fixed","20","31","71","red-41","red","325","sampling-task","104","15154745","0.0-5.0-0.90-0.90","57","xlvgvoz1","low"
"5","15","fixed","20","31","42","red-41","red","294","sampling-task","105","15155849","0.0-5.0-0.91-0.91","57","xlvgvoz1","low"
"5","16","fixed","20","31","34","red-41","red","317","sampling-task","106","15157025","0.0-5.0-0.92-0.92","57","xlvgvoz1","low"
"5","17","fixed","20","31","41","red-41","red","414","sampling-task","107","15158425","0.0-5.0-0.93-0.93","57","xlvgvoz1","low"
"5","18","fixed","20","31","12","red-41","red","341","sampling-task","108","15159729","0.0-5.0-0.94-0.94","57","xlvgvoz1","low"
"5","19","fixed","20","31","22","red-41","red","286","sampling-task","109","15160873","0.0-5.0-0.95-0.95","57","xlvgvoz1","low"
"5","20","fixed","20","31","35","red-41","red","310","sampling-task","110","15162225","0.0-5.0-0.96-0.96","57","xlvgvoz1","low"
"6","1","free","220","91","107","purple-155","purple","2196","sampling-task","113","15180929","0.0-5.0-0.97-0.97","57","xlvgvoz1","low"
"6","2","free","220","91","95","purple-155","purple","614","sampling-task","114","15182385","0.0-5.0-0.98-0.98","57","xlvgvoz1","low"
"6","3","free","220","91","72","purple-155","purple","334","sampling-task","115","15183537","0.0-5.0-0.99-0.99","57","xlvgvoz1","low"
"6","4","free","220","91","83","purple-155","purple","287","sampling-task","116","15184633","0.0-5.0-0.100-0.100","57","xlvgvoz1","low"
"6","5","free","220","91","41","purple-155","purple","278","sampling-task","117","15185880","0.0-5.0-0.101-0.101","57","xlvgvoz1","low"
"6","6","free","220","91","82","purple-155","purple","294","sampling-task","118","15187240","0.0-5.0-0.102-0.102","57","xlvgvoz1","low"
"6","7","free","220","91","72","purple-155","purple","327","sampling-task","119","15188952","0.0-5.0-0.103-0.103","57","xlvgvoz1","low"
"6","8","free","220","91","107","purple-155","purple","358","sampling-task","120","15190352","0.0-5.0-0.104-0.104","57","xlvgvoz1","low"
"6","9","free","220","91","78","purple-155","purple","311","sampling-task","121","15191496","0.0-5.0-0.105-0.105","57","xlvgvoz1","low"
"6","10","free","220","91","115","purple-155","purple","302","sampling-task","122","15192656","0.0-5.0-0.106-0.106","57","xlvgvoz1","low"
"6","11","free","220","91","114","purple-155","purple","430","sampling-task","123","15194672","0.0-5.0-0.107-0.107","57","xlvgvoz1","low"
"6","12","free","220","91","71","purple-155","purple","235","sampling-task","124","15195864","0.0-5.0-0.108-0.108","57","xlvgvoz1","low"
"6","13","free","220","91","93","purple-155","purple","335","sampling-task","125","15197056","0.0-5.0-0.109-0.109","57","xlvgvoz1","low"
