"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","96","113","blue-180","blue","3984","sampling-task","6","933206","0.0-5.0-0.0-0.0","58","eg20uc0t","low"
"1","2","fixed","5","96","124","blue-180","blue","2366","sampling-task","7","938005","0.0-5.0-0.1-0.1","58","eg20uc0t","low"
"1","3","fixed","5","96","95","blue-180","blue","1174","sampling-task","8","941510","0.0-5.0-0.2-0.2","58","eg20uc0t","low"
"1","4","fixed","5","96","90","blue-180","blue","862","sampling-task","9","943765","0.0-5.0-0.3-0.3","58","eg20uc0t","low"
"1","5","fixed","5","96","100","blue-180","blue","686","sampling-task","10","945870","0.0-5.0-0.4-0.4","58","eg20uc0t","low"
"2","1","free","220","36","43","green-86","green","4243","sampling-task","13","1023972","0.0-5.0-0.5-0.5","58","eg20uc0t","low"
"2","2","free","220","36","80","green-86","green","1414","sampling-task","14","1028676","0.0-5.0-0.6-0.6","58","eg20uc0t","low"
"2","3","free","220","36","59","green-86","green","758","sampling-task","15","1030580","0.0-5.0-0.7-0.7","58","eg20uc0t","low"
"2","4","free","220","36","11","green-86","green","623","sampling-task","16","1032308","0.0-5.0-0.8-0.8","58","eg20uc0t","low"
"2","5","free","220","36","41","green-86","green","582","sampling-task","17","1033892","0.0-5.0-0.9-0.9","58","eg20uc0t","low"
"2","6","free","220","36","34","green-86","green","526","sampling-task","18","1035964","0.0-5.0-0.10-0.10","58","eg20uc0t","low"
"2","7","free","220","36","39","green-86","green","543","sampling-task","19","1037501","0.0-5.0-0.11-0.11","58","eg20uc0t","low"
"2","8","free","220","36","20","green-86","green","500","sampling-task","20","1039068","0.0-5.0-0.12-0.12","58","eg20uc0t","low"
"2","9","free","220","36","18","green-86","green","479","sampling-task","21","1040612","0.0-5.0-0.13-0.13","58","eg20uc0t","low"
"2","10","free","220","36","0","green-86","green","463","sampling-task","22","1041980","0.0-5.0-0.14-0.14","58","eg20uc0t","low"
"2","11","free","220","36","33","green-86","green","446","sampling-task","23","1043492","0.0-5.0-0.15-0.15","58","eg20uc0t","low"
"2","12","free","220","36","32","green-86","green","470","sampling-task","24","1044956","0.0-5.0-0.16-0.16","58","eg20uc0t","low"
"2","13","free","220","36","46","green-86","green","421","sampling-task","25","1046259","0.0-5.0-0.17-0.17","58","eg20uc0t","low"
"2","14","free","220","36","15","green-86","green","413","sampling-task","26","1047723","0.0-5.0-0.18-0.18","58","eg20uc0t","low"
"2","15","free","220","36","13","green-86","green","398","sampling-task","27","1049043","0.0-5.0-0.19-0.19","58","eg20uc0t","low"
"2","16","free","220","36","19","green-86","green","404","sampling-task","28","1050579","0.0-5.0-0.20-0.20","58","eg20uc0t","low"
"2","17","free","220","36","44","green-86","green","470","sampling-task","29","1052467","0.0-5.0-0.21-0.21","58","eg20uc0t","low"
"2","18","free","220","36","51","green-86","green","534","sampling-task","30","1055067","0.0-5.0-0.22-0.22","58","eg20uc0t","low"
"2","19","free","220","36","20","green-86","green","702","sampling-task","31","1056675","0.0-5.0-0.23-0.23","58","eg20uc0t","low"
"2","20","free","220","36","8","green-86","green","558","sampling-task","32","1058139","0.0-5.0-0.24-0.24","58","eg20uc0t","low"
"2","21","free","220","36","42","green-86","green","606","sampling-task","33","1059867","0.0-5.0-0.25-0.25","58","eg20uc0t","low"
"2","22","free","220","36","4","green-86","green","478","sampling-task","34","1061330","0.0-5.0-0.26-0.26","58","eg20uc0t","low"
"2","23","free","220","36","56","green-86","green","422","sampling-task","35","1062811","0.0-5.0-0.27-0.27","58","eg20uc0t","low"
