"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","33","36","green-105","green","15349","sampling-task","12","435640","0.0-5.0-0.0-0.0","59","3w6a06sx","high"
"1","2","fixed","10","33","34","green-60","green","2013","sampling-task","13","451907","0.0-5.0-0.1-0.1","59","3w6a06sx","high"
"1","3","fixed","10","33","62","green-1","green","15622","sampling-task","14","469443","0.0-5.0-0.2-0.2","59","3w6a06sx","high"
"1","4","fixed","10","33","44","green-16","green","1886","sampling-task","15","473235","0.0-5.0-0.3-0.3","59","3w6a06sx","high"
"1","5","fixed","10","33","70","green-17","green","1047","sampling-task","16","475667","0.0-5.0-0.4-0.4","59","3w6a06sx","high"
"1","6","fixed","10","33","34","green-93","green","2102","sampling-task","17","479731","0.0-5.0-0.5-0.5","59","3w6a06sx","high"
"1","7","fixed","10","33","25","green-161","green","1263","sampling-task","18","482923","0.0-5.0-0.6-0.6","59","3w6a06sx","high"
"1","8","fixed","10","33","50","green-23","green","1015","sampling-task","19","484915","0.0-5.0-0.7-0.7","59","3w6a06sx","high"
"1","9","fixed","10","33","45","green-150","green","1127","sampling-task","20","487171","0.0-5.0-0.8-0.8","59","3w6a06sx","high"
"1","10","fixed","10","33","11","green-157","green","799","sampling-task","21","488987","0.0-5.0-0.9-0.9","59","3w6a06sx","high"
"2","1","free","220","12","28","purple-115","purple","6036","sampling-task","24","543847","0.0-5.0-0.10-0.10","59","3w6a06sx","high"
"2","2","free","220","12","6","purple-122","purple","662","sampling-task","25","550663","0.0-5.0-0.11-0.11","59","3w6a06sx","high"
"2","3","free","220","12","28","purple-33","purple","662","sampling-task","26","555159","0.0-5.0-0.12-0.12","59","3w6a06sx","high"
"2","4","free","220","12","-36","purple-44","purple","1014","sampling-task","27","562023","0.0-5.0-0.13-0.13","59","3w6a06sx","high"
"2","5","free","220","12","-1","purple-79","purple","830","sampling-task","28","564943","0.0-5.0-0.14-0.14","59","3w6a06sx","high"
"2","6","free","220","12","14","purple-168","purple","759","sampling-task","29","566983","0.0-5.0-0.15-0.15","59","3w6a06sx","high"
"2","7","free","220","12","9","purple-98","purple","758","sampling-task","30","569175","0.0-5.0-0.16-0.16","59","3w6a06sx","high"
"3","1","fixed","20","52","84","orange-109","orange","9485","sampling-task","33","604339","0.0-5.0-0.17-0.17","59","3w6a06sx","high"
"3","2","fixed","20","52","48","orange-109","orange","2270","sampling-task","34","608276","0.0-5.0-0.18-0.18","59","3w6a06sx","high"
