"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","112","110","red-37","red","9653","sampling-task","6","1137465","0.0-5.0-0.0-0.0","6","422rll1c","low"
"1","2","fixed","5","112","133","red-37","red","2605","sampling-task","7","1142240","0.0-5.0-0.1-0.1","6","422rll1c","low"
"1","3","fixed","5","112","113","red-37","red","1821","sampling-task","8","1145856","0.0-5.0-0.2-0.2","6","422rll1c","low"
"1","4","fixed","5","112","139","red-37","red","1598","sampling-task","9","1149512","0.0-5.0-0.3-0.3","6","422rll1c","low"
"1","5","fixed","5","112","119","red-37","red","1126","sampling-task","10","1151976","0.0-5.0-0.4-0.4","6","422rll1c","low"
"2","1","free","220","92","89","orange-204","orange","4204","sampling-task","13","1217717","0.0-5.0-0.5-0.5","6","422rll1c","low"
"2","2","free","220","92","65","orange-204","orange","1494","sampling-task","14","1220589","0.0-5.0-0.6-0.6","6","422rll1c","low"
"2","3","free","220","92","94","orange-204","orange","918","sampling-task","15","1223660","0.0-5.0-0.7-0.7","6","422rll1c","low"
"2","4","free","220","92","95","orange-204","orange","782","sampling-task","16","1226013","0.0-5.0-0.8-0.8","6","422rll1c","low"
"2","5","free","220","92","82","orange-204","orange","806","sampling-task","17","1228133","0.0-5.0-0.9-0.9","6","422rll1c","low"
"2","6","free","220","92","93","orange-204","orange","821","sampling-task","18","1230205","0.0-5.0-0.10-0.10","6","422rll1c","low"
"2","7","free","220","92","81","orange-204","orange","678","sampling-task","19","1232005","0.0-5.0-0.11-0.11","6","422rll1c","low"
"2","8","free","220","92","93","orange-204","orange","654","sampling-task","20","1233861","0.0-5.0-0.12-0.12","6","422rll1c","low"
"2","9","free","220","92","98","orange-204","orange","590","sampling-task","21","1235901","0.0-5.0-0.13-0.13","6","422rll1c","low"
"2","10","free","220","92","79","orange-204","orange","646","sampling-task","22","1237717","0.0-5.0-0.14-0.14","6","422rll1c","low"
"2","11","free","220","92","82","orange-204","orange","598","sampling-task","23","1239396","0.0-5.0-0.15-0.15","6","422rll1c","low"
"2","12","free","220","92","89","orange-204","orange","582","sampling-task","24","1241125","0.0-5.0-0.16-0.16","6","422rll1c","low"
"2","13","free","220","92","94","orange-204","orange","598","sampling-task","25","1242905","0.0-5.0-0.17-0.17","6","422rll1c","low"
"2","14","free","220","92","121","orange-204","orange","670","sampling-task","26","1244905","0.0-5.0-0.18-0.18","6","422rll1c","low"
"2","15","free","220","92","105","orange-204","orange","790","sampling-task","27","1246865","0.0-5.0-0.19-0.19","6","422rll1c","low"
"2","16","free","220","92","69","orange-204","orange","655","sampling-task","28","1248705","0.0-5.0-0.20-0.20","6","422rll1c","low"
"2","17","free","220","92","67","orange-204","orange","631","sampling-task","29","1250641","0.0-5.0-0.21-0.21","6","422rll1c","low"
"2","18","free","220","92","83","orange-204","orange","631","sampling-task","30","1252369","0.0-5.0-0.22-0.22","6","422rll1c","low"
"2","19","free","220","92","104","orange-204","orange","663","sampling-task","31","1254129","0.0-5.0-0.23-0.23","6","422rll1c","low"
"2","20","free","220","92","123","orange-204","orange","599","sampling-task","32","1255809","0.0-5.0-0.24-0.24","6","422rll1c","low"
"2","21","free","220","92","116","orange-204","orange","567","sampling-task","33","1257426","0.0-5.0-0.25-0.25","6","422rll1c","low"
"2","22","free","220","92","46","orange-204","orange","518","sampling-task","34","1258985","0.0-5.0-0.26-0.26","6","422rll1c","low"
"2","23","free","220","92","99","orange-204","orange","487","sampling-task","35","1260497","0.0-5.0-0.27-0.27","6","422rll1c","low"
"2","24","free","220","92","97","orange-204","orange","566","sampling-task","36","1262201","0.0-5.0-0.28-0.28","6","422rll1c","low"
"2","25","free","220","92","86","orange-204","orange","630","sampling-task","37","1264177","0.0-5.0-0.29-0.29","6","422rll1c","low"
"2","26","free","220","92","90","orange-204","orange","774","sampling-task","38","1265921","0.0-5.0-0.30-0.30","6","422rll1c","low"
"2","27","free","220","92","95","orange-204","orange","494","sampling-task","39","1267337","0.0-5.0-0.31-0.31","6","422rll1c","low"
"2","28","free","220","92","74","orange-204","orange","511","sampling-task","40","1269217","0.0-5.0-0.32-0.32","6","422rll1c","low"
"2","29","free","220","92","83","orange-204","orange","750","sampling-task","41","1271241","0.0-5.0-0.33-0.33","6","422rll1c","low"
"2","30","free","220","92","119","orange-204","orange","591","sampling-task","42","1274338","0.0-5.0-0.34-0.34","6","422rll1c","low"
"2","31","free","220","92","91","orange-204","orange","542","sampling-task","43","1275969","0.0-5.0-0.35-0.35","6","422rll1c","low"
"2","32","free","220","92","78","orange-204","orange","599","sampling-task","44","1277521","0.0-5.0-0.36-0.36","6","422rll1c","low"
"3","1","fixed","10","13","9","blue-144","blue","3220","sampling-task","47","1312310","0.0-5.0-0.37-0.37","6","422rll1c","low"
"3","2","fixed","10","13","17","blue-144","blue","525","sampling-task","48","1313830","0.0-5.0-0.38-0.38","6","422rll1c","low"
"3","3","fixed","10","13","-4","blue-144","blue","614","sampling-task","49","1315422","0.0-5.0-0.39-0.39","6","422rll1c","low"
"3","4","fixed","10","13","-1","blue-144","blue","502","sampling-task","50","1316862","0.0-5.0-0.40-0.40","6","422rll1c","low"
"3","5","fixed","10","13","-5","blue-144","blue","438","sampling-task","51","1318206","0.0-5.0-0.41-0.41","6","422rll1c","low"
"3","6","fixed","10","13","15","blue-144","blue","470","sampling-task","52","1319830","0.0-5.0-0.42-0.42","6","422rll1c","low"
"3","7","fixed","10","13","24","blue-144","blue","582","sampling-task","53","1321382","0.0-5.0-0.43-0.43","6","422rll1c","low"
"3","8","fixed","10","13","30","blue-144","blue","446","sampling-task","54","1322919","0.0-5.0-0.44-0.44","6","422rll1c","low"
"3","9","fixed","10","13","27","blue-144","blue","462","sampling-task","55","1324318","0.0-5.0-0.45-0.45","6","422rll1c","low"
"3","10","fixed","10","13","-22","blue-144","blue","494","sampling-task","56","1325950","0.0-5.0-0.46-0.46","6","422rll1c","low"
"4","1","free","220","50","-1","yellow-176","yellow","2141","sampling-task","59","1359726","0.0-5.0-0.47-0.47","6","422rll1c","low"
"4","2","free","220","50","74","yellow-176","yellow","582","sampling-task","60","1361382","0.0-5.0-0.48-0.48","6","422rll1c","low"
"4","3","free","220","50","45","yellow-176","yellow","558","sampling-task","61","1362827","0.0-5.0-0.49-0.49","6","422rll1c","low"
"4","4","free","220","50","58","yellow-176","yellow","454","sampling-task","62","1364467","0.0-5.0-0.50-0.50","6","422rll1c","low"
"4","5","free","220","50","35","yellow-176","yellow","454","sampling-task","63","1365923","0.0-5.0-0.51-0.51","6","422rll1c","low"
"4","6","free","220","50","48","yellow-176","yellow","455","sampling-task","64","1367259","0.0-5.0-0.52-0.52","6","422rll1c","low"
"4","7","free","220","50","27","yellow-176","yellow","478","sampling-task","65","1368851","0.0-5.0-0.53-0.53","6","422rll1c","low"
"4","8","free","220","50","24","yellow-176","yellow","462","sampling-task","66","1370531","0.0-5.0-0.54-0.54","6","422rll1c","low"
"4","9","free","220","50","53","yellow-176","yellow","406","sampling-task","67","1372019","0.0-5.0-0.55-0.55","6","422rll1c","low"
"4","10","free","220","50","63","yellow-176","yellow","397","sampling-task","68","1373315","0.0-5.0-0.56-0.56","6","422rll1c","low"
"4","11","free","220","50","47","yellow-176","yellow","470","sampling-task","69","1374635","0.0-5.0-0.57-0.57","6","422rll1c","low"
"4","12","free","220","50","46","yellow-176","yellow","446","sampling-task","70","1375939","0.0-5.0-0.58-0.58","6","422rll1c","low"
"4","13","free","220","50","39","yellow-176","yellow","446","sampling-task","71","1377475","0.0-5.0-0.59-0.59","6","422rll1c","low"
"4","14","free","220","50","32","yellow-176","yellow","414","sampling-task","72","1379139","0.0-5.0-0.60-0.60","6","422rll1c","low"
"4","15","free","220","50","73","yellow-176","yellow","430","sampling-task","73","1380523","0.0-5.0-0.61-0.61","6","422rll1c","low"
"4","16","free","220","50","48","yellow-176","yellow","518","sampling-task","74","1381955","0.0-5.0-0.62-0.62","6","422rll1c","low"
"4","17","free","220","50","41","yellow-176","yellow","414","sampling-task","75","1383307","0.0-5.0-0.63-0.63","6","422rll1c","low"
"4","18","free","220","50","28","yellow-176","yellow","462","sampling-task","76","1384699","0.0-5.0-0.64-0.64","6","422rll1c","low"
"4","19","free","220","50","65","yellow-176","yellow","430","sampling-task","77","1386043","0.0-5.0-0.65-0.65","6","422rll1c","low"
"4","20","free","220","50","15","yellow-176","yellow","462","sampling-task","78","1387507","0.0-5.0-0.66-0.66","6","422rll1c","low"
"4","21","free","220","50","29","yellow-176","yellow","430","sampling-task","79","1388899","0.0-5.0-0.67-0.67","6","422rll1c","low"
"4","22","free","220","50","68","yellow-176","yellow","438","sampling-task","80","1390307","0.0-5.0-0.68-0.68","6","422rll1c","low"
"4","23","free","220","50","45","yellow-176","yellow","406","sampling-task","81","1392539","0.0-5.0-0.69-0.69","6","422rll1c","low"
"4","24","free","220","50","22","yellow-176","yellow","495","sampling-task","82","1393955","0.0-5.0-0.70-0.70","6","422rll1c","low"
"4","25","free","220","50","50","yellow-176","yellow","646","sampling-task","83","1395515","0.0-5.0-0.71-0.71","6","422rll1c","low"
"4","26","free","220","50","59","yellow-176","yellow","414","sampling-task","84","1396787","0.0-5.0-0.72-0.72","6","422rll1c","low"
"4","27","free","220","50","39","yellow-176","yellow","342","sampling-task","85","1397995","0.0-5.0-0.73-0.73","6","422rll1c","low"
"4","28","free","220","50","55","yellow-176","yellow","398","sampling-task","86","1399251","0.0-5.0-0.74-0.74","6","422rll1c","low"
"4","29","free","220","50","93","yellow-176","yellow","414","sampling-task","87","1400564","0.0-5.0-0.75-0.75","6","422rll1c","low"
"4","30","free","220","50","45","yellow-176","yellow","405","sampling-task","88","1401779","0.0-5.0-0.76-0.76","6","422rll1c","low"
"4","31","free","220","50","32","yellow-176","yellow","398","sampling-task","89","1403035","0.0-5.0-0.77-0.77","6","422rll1c","low"
"4","32","free","220","50","53","yellow-176","yellow","405","sampling-task","90","1404267","0.0-5.0-0.78-0.78","6","422rll1c","low"
"4","33","free","220","50","71","yellow-176","yellow","414","sampling-task","91","1405659","0.0-5.0-0.79-0.79","6","422rll1c","low"
"4","34","free","220","50","36","yellow-176","yellow","406","sampling-task","92","1407179","0.0-5.0-0.80-0.80","6","422rll1c","low"
"4","35","free","220","50","43","yellow-176","yellow","462","sampling-task","93","1408571","0.0-5.0-0.81-0.81","6","422rll1c","low"
"4","36","free","220","50","38","yellow-176","yellow","550","sampling-task","94","1409979","0.0-5.0-0.82-0.82","6","422rll1c","low"
"4","37","free","220","50","38","yellow-176","yellow","406","sampling-task","95","1411524","0.0-5.0-0.83-0.83","6","422rll1c","low"
"4","38","free","220","50","88","yellow-176","yellow","499","sampling-task","96","1412955","0.0-5.0-0.84-0.84","6","422rll1c","low"
"4","39","free","220","50","65","yellow-176","yellow","446","sampling-task","97","1414291","0.0-5.0-0.85-0.85","6","422rll1c","low"
"4","40","free","220","50","57","yellow-176","yellow","406","sampling-task","98","1415867","0.0-5.0-0.86-0.86","6","422rll1c","low"
"4","41","free","220","50","47","yellow-176","yellow","382","sampling-task","99","1417124","0.0-5.0-0.87-0.87","6","422rll1c","low"
"4","42","free","220","50","34","yellow-176","yellow","430","sampling-task","100","1418419","0.0-5.0-0.88-0.88","6","422rll1c","low"
"4","43","free","220","50","51","yellow-176","yellow","918","sampling-task","101","1420579","0.0-5.0-0.89-0.89","6","422rll1c","low"
"5","1","fixed","20","71","103","purple-138","purple","4509","sampling-task","104","1449472","0.0-5.0-0.90-0.90","6","422rll1c","low"
"5","2","fixed","20","71","66","purple-138","purple","605","sampling-task","105","1452167","0.0-5.0-0.91-0.91","6","422rll1c","low"
"5","3","fixed","20","71","71","purple-138","purple","494","sampling-task","106","1454183","0.0-5.0-0.92-0.92","6","422rll1c","low"
"5","4","fixed","20","71","76","purple-138","purple","422","sampling-task","107","1455648","0.0-5.0-0.93-0.93","6","422rll1c","low"
"5","5","fixed","20","71","54","purple-138","purple","302","sampling-task","108","1456887","0.0-5.0-0.94-0.94","6","422rll1c","low"
"5","6","fixed","20","71","70","purple-138","purple","382","sampling-task","109","1458336","0.0-5.0-0.95-0.95","6","422rll1c","low"
"5","7","fixed","20","71","74","purple-138","purple","406","sampling-task","110","1460232","0.0-5.0-0.96-0.96","6","422rll1c","low"
"5","8","fixed","20","71","90","purple-138","purple","1094","sampling-task","111","1462368","0.0-5.0-0.97-0.97","6","422rll1c","low"
"5","9","fixed","20","71","71","purple-138","purple","405","sampling-task","112","1463672","0.0-5.0-0.98-0.98","6","422rll1c","low"
"5","10","fixed","20","71","45","purple-138","purple","494","sampling-task","113","1465103","0.0-5.0-0.99-0.99","6","422rll1c","low"
"5","11","fixed","20","71","74","purple-138","purple","406","sampling-task","114","1466472","0.0-5.0-0.100-0.100","6","422rll1c","low"
"5","12","fixed","20","71","85","purple-138","purple","437","sampling-task","115","1467839","0.0-5.0-0.101-0.101","6","422rll1c","low"
"5","13","fixed","20","71","56","purple-138","purple","470","sampling-task","116","1469367","0.0-5.0-0.102-0.102","6","422rll1c","low"
"5","14","fixed","20","71","88","purple-138","purple","460","sampling-task","117","1470831","0.0-5.0-0.103-0.103","6","422rll1c","low"
"5","15","fixed","20","71","58","purple-138","purple","494","sampling-task","118","1472240","0.0-5.0-0.104-0.104","6","422rll1c","low"
"5","16","fixed","20","71","72","purple-138","purple","462","sampling-task","119","1473719","0.0-5.0-0.105-0.105","6","422rll1c","low"
"5","17","fixed","20","71","72","purple-138","purple","430","sampling-task","120","1475639","0.0-5.0-0.106-0.106","6","422rll1c","low"
"5","18","fixed","20","71","95","purple-138","purple","542","sampling-task","121","1477223","0.0-5.0-0.107-0.107","6","422rll1c","low"
"5","19","fixed","20","71","106","purple-138","purple","510","sampling-task","122","1478727","0.0-5.0-0.108-0.108","6","422rll1c","low"
"5","20","fixed","20","71","55","purple-138","purple","470","sampling-task","123","1480151","0.0-5.0-0.109-0.109","6","422rll1c","low"
"6","1","free","220","31","40","green-162","green","3405","sampling-task","126","1502308","0.0-5.0-0.110-0.110","6","422rll1c","low"
"6","2","free","220","31","46","green-162","green","501","sampling-task","127","1503772","0.0-5.0-0.111-0.111","6","422rll1c","low"
"6","3","free","220","31","15","green-162","green","454","sampling-task","128","1505116","0.0-5.0-0.112-0.112","6","422rll1c","low"
"6","4","free","220","31","51","green-162","green","494","sampling-task","129","1506612","0.0-5.0-0.113-0.113","6","422rll1c","low"
"6","5","free","220","31","11","green-162","green","678","sampling-task","130","1508717","0.0-5.0-0.114-0.114","6","422rll1c","low"
"6","6","free","220","31","39","green-162","green","390","sampling-task","131","1510044","0.0-5.0-0.115-0.115","6","422rll1c","low"
"6","7","free","220","31","39","green-162","green","382","sampling-task","132","1511317","0.0-5.0-0.116-0.116","6","422rll1c","low"
"6","8","free","220","31","17","green-162","green","379","sampling-task","133","1512612","0.0-5.0-0.117-0.117","6","422rll1c","low"
"6","9","free","220","31","48","green-162","green","438","sampling-task","134","1513925","0.0-5.0-0.118-0.118","6","422rll1c","low"
"6","10","free","220","31","14","green-162","green","421","sampling-task","135","1515709","0.0-5.0-0.119-0.119","6","422rll1c","low"
"6","11","free","220","31","17","green-162","green","510","sampling-task","136","1517428","0.0-5.0-0.120-0.120","6","422rll1c","low"
"6","12","free","220","31","46","green-162","green","518","sampling-task","137","1519133","0.0-5.0-0.121-0.121","6","422rll1c","low"
"6","13","free","220","31","49","green-162","green","566","sampling-task","138","1520596","0.0-5.0-0.122-0.122","6","422rll1c","low"
"6","14","free","220","31","30","green-162","green","438","sampling-task","139","1521965","0.0-5.0-0.123-0.123","6","422rll1c","low"
"6","15","free","220","31","11","green-162","green","485","sampling-task","140","1523325","0.0-5.0-0.124-0.124","6","422rll1c","low"
"6","16","free","220","31","-1","green-162","green","629","sampling-task","141","1524964","0.0-5.0-0.125-0.125","6","422rll1c","low"
"6","17","free","220","31","58","green-162","green","390","sampling-task","142","1526276","0.0-5.0-0.126-0.126","6","422rll1c","low"
"6","18","free","220","31","34","green-162","green","390","sampling-task","143","1527557","0.0-5.0-0.127-0.127","6","422rll1c","low"
"6","19","free","220","31","6","green-162","green","429","sampling-task","144","1529060","0.0-5.0-0.128-0.128","6","422rll1c","low"
"6","20","free","220","31","33","green-162","green","414","sampling-task","145","1530412","0.0-5.0-0.129-0.129","6","422rll1c","low"
"6","21","free","220","31","53","green-162","green","454","sampling-task","146","1531756","0.0-5.0-0.130-0.130","6","422rll1c","low"
"6","22","free","220","31","21","green-162","green","421","sampling-task","147","1533100","0.0-5.0-0.131-0.131","6","422rll1c","low"
"6","23","free","220","31","-2","green-162","green","395","sampling-task","148","1534404","0.0-5.0-0.132-0.132","6","422rll1c","low"
"6","24","free","220","31","28","green-162","green","381","sampling-task","149","1535636","0.0-5.0-0.133-0.133","6","422rll1c","low"
"6","25","free","220","31","45","green-162","green","470","sampling-task","150","1536925","0.0-5.0-0.134-0.134","6","422rll1c","low"
"6","26","free","220","31","47","green-162","green","398","sampling-task","151","1538181","0.0-5.0-0.135-0.135","6","422rll1c","low"
"6","27","free","220","31","9","green-162","green","365","sampling-task","152","1539413","0.0-5.0-0.136-0.136","6","422rll1c","low"
"6","28","free","220","31","21","green-162","green","366","sampling-task","153","1541172","0.0-5.0-0.137-0.137","6","422rll1c","low"
"6","29","free","220","31","47","green-162","green","461","sampling-task","154","1542506","0.0-5.0-0.138-0.138","6","422rll1c","low"
"6","30","free","220","31","23","green-162","green","405","sampling-task","155","1543746","0.0-5.0-0.139-0.139","6","422rll1c","low"
"6","31","free","220","31","18","green-162","green","358","sampling-task","156","1545178","0.0-5.0-0.140-0.140","6","422rll1c","low"
"6","32","free","220","31","44","green-162","green","366","sampling-task","157","1546507","0.0-5.0-0.141-0.141","6","422rll1c","low"
"6","33","free","220","31","51","green-162","green","402","sampling-task","158","1547786","0.0-5.0-0.142-0.142","6","422rll1c","low"
"6","34","free","220","31","25","green-162","green","413","sampling-task","159","1549018","0.0-5.0-0.143-0.143","6","422rll1c","low"
"6","35","free","220","31","34","green-162","green","342","sampling-task","160","1551450","0.0-5.0-0.144-0.144","6","422rll1c","low"
"6","36","free","220","31","50","green-162","green","365","sampling-task","161","1552874","0.0-5.0-0.145-0.145","6","422rll1c","low"
"6","37","free","220","31","34","green-162","green","405","sampling-task","162","1554154","0.0-5.0-0.146-0.146","6","422rll1c","low"
"6","38","free","220","31","48","green-162","green","421","sampling-task","163","1555386","0.0-5.0-0.147-0.147","6","422rll1c","low"
"6","39","free","220","31","-4","green-162","green","365","sampling-task","164","1556674","0.0-5.0-0.148-0.148","6","422rll1c","low"
"6","40","free","220","31","53","green-162","green","373","sampling-task","165","1557914","0.0-5.0-0.149-0.149","6","422rll1c","low"
"6","41","free","220","31","64","green-162","green","365","sampling-task","166","1559146","0.0-5.0-0.150-0.150","6","422rll1c","low"
"6","42","free","220","31","37","green-162","green","421","sampling-task","167","1560458","0.0-5.0-0.151-0.151","6","422rll1c","low"
"6","43","free","220","31","38","green-162","green","389","sampling-task","168","1561858","0.0-5.0-0.152-0.152","6","422rll1c","low"
"6","44","free","220","31","54","green-162","green","445","sampling-task","169","1563138","0.0-5.0-0.153-0.153","6","422rll1c","low"
"6","45","free","220","31","43","green-162","green","437","sampling-task","170","1564746","0.0-5.0-0.154-0.154","6","422rll1c","low"
"6","46","free","220","31","47","green-162","green","421","sampling-task","171","1566050","0.0-5.0-0.155-0.155","6","422rll1c","low"
"6","47","free","220","31","10","green-162","green","357","sampling-task","172","1567394","0.0-5.0-0.156-0.156","6","422rll1c","low"
"6","48","free","220","31","36","green-162","green","605","sampling-task","173","1569346","0.0-5.0-0.157-0.157","6","422rll1c","low"
