"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","15","-8","purple-9","purple","19410","sampling-task","6","308629","0.0-5.0-0.0-0.0","60","2ja57wc3","high"
"1","2","fixed","5","15","10","purple-121","purple","6518","sampling-task","7","317845","0.0-5.0-0.1-0.1","60","2ja57wc3","high"
"1","3","fixed","5","15","8","purple-81","purple","3726","sampling-task","8","324125","0.0-5.0-0.2-0.2","60","2ja57wc3","high"
"1","4","fixed","5","15","8","purple-71","purple","3502","sampling-task","9","329229","0.0-5.0-0.3-0.3","60","2ja57wc3","high"
"1","5","fixed","5","15","16","purple-47","purple","1814","sampling-task","10","333053","0.0-5.0-0.4-0.4","60","2ja57wc3","high"
"2","1","free","220","53","25","yellow-27","yellow","3324","sampling-task","13","404841","0.0-5.0-0.5-0.5","60","2ja57wc3","high"
"2","2","free","220","53","21","yellow-167","yellow","1374","sampling-task","14","407305","0.0-5.0-0.6-0.6","60","2ja57wc3","high"
"2","3","free","220","53","51","yellow-211","yellow","1695","sampling-task","15","410297","0.0-5.0-0.7-0.7","60","2ja57wc3","high"
"2","4","free","220","53","70","yellow-63","yellow","1798","sampling-task","16","413513","0.0-5.0-0.8-0.8","60","2ja57wc3","high"
"2","5","free","220","53","52","yellow-134","yellow","1327","sampling-task","17","415977","0.0-5.0-0.9-0.9","60","2ja57wc3","high"
"2","6","free","220","53","68","yellow-105","yellow","1030","sampling-task","18","418529","0.0-5.0-0.10-0.10","60","2ja57wc3","high"
"2","7","free","220","53","83","yellow-158","yellow","846","sampling-task","19","420961","0.0-5.0-0.11-0.11","60","2ja57wc3","high"
"2","8","free","220","53","72","yellow-117","yellow","982","sampling-task","20","423369","0.0-5.0-0.12-0.12","60","2ja57wc3","high"
"2","9","free","220","53","41","yellow-30","yellow","806","sampling-task","21","426017","0.0-5.0-0.13-0.13","60","2ja57wc3","high"
"2","10","free","220","53","42","yellow-126","yellow","716","sampling-task","22","428006","0.0-5.0-0.14-0.14","60","2ja57wc3","high"
"2","11","free","220","53","33","yellow-131","yellow","1143","sampling-task","23","432214","0.0-5.0-0.15-0.15","60","2ja57wc3","high"
"2","12","free","220","53","45","yellow-31","yellow","783","sampling-task","24","435142","0.0-5.0-0.16-0.16","60","2ja57wc3","high"
"2","13","free","220","53","71","yellow-56","yellow","599","sampling-task","25","438046","0.0-5.0-0.17-0.17","60","2ja57wc3","high"
"2","14","free","220","53","64","yellow-147","yellow","798","sampling-task","26","440270","0.0-5.0-0.18-0.18","60","2ja57wc3","high"
"2","15","free","220","53","61","yellow-107","yellow","743","sampling-task","27","441887","0.0-5.0-0.19-0.19","60","2ja57wc3","high"
"2","16","free","220","53","33","yellow-28","yellow","1470","sampling-task","28","444302","0.0-5.0-0.20-0.20","60","2ja57wc3","high"
"2","17","free","220","53","31","yellow-141","yellow","662","sampling-task","29","445918","0.0-5.0-0.21-0.21","60","2ja57wc3","high"
"2","18","free","220","53","65","yellow-7","yellow","1062","sampling-task","30","448174","0.0-5.0-0.22-0.22","60","2ja57wc3","high"
"2","19","free","220","53","74","yellow-22","yellow","2126","sampling-task","31","451686","0.0-5.0-0.23-0.23","60","2ja57wc3","high"
"3","1","fixed","10","91","97","red-150","red","3388","sampling-task","34","482030","0.0-5.0-0.24-0.24","60","2ja57wc3","high"
"3","2","fixed","10","91","46","red-210","red","1574","sampling-task","35","484702","0.0-5.0-0.25-0.25","60","2ja57wc3","high"
"3","3","fixed","10","91","58","red-141","red","1962","sampling-task","36","488066","0.0-5.0-0.26-0.26","60","2ja57wc3","high"
"3","4","fixed","10","91","115","red-148","red","2119","sampling-task","37","493234","0.0-5.0-0.27-0.27","60","2ja57wc3","high"
"3","5","fixed","10","91","103","red-42","red","2782","sampling-task","38","497578","0.0-5.0-0.28-0.28","60","2ja57wc3","high"
"3","6","fixed","10","91","86","red-53","red","1406","sampling-task","39","500506","0.0-5.0-0.29-0.29","60","2ja57wc3","high"
"3","7","fixed","10","91","82","red-101","red","1294","sampling-task","40","503498","0.0-5.0-0.30-0.30","60","2ja57wc3","high"
"3","8","fixed","10","91","96","red-121","red","1151","sampling-task","41","506114","0.0-5.0-0.31-0.31","60","2ja57wc3","high"
"3","9","fixed","10","91","118","red-157","red","1279","sampling-task","42","509835","0.0-5.0-0.32-0.32","60","2ja57wc3","high"
"3","10","fixed","10","91","83","red-73","red","774","sampling-task","43","512002","0.0-5.0-0.33-0.33","60","2ja57wc3","high"
"4","1","free","220","72","70","blue-201","blue","2241","sampling-task","46","550167","0.0-5.0-0.34-0.34","60","2ja57wc3","high"
