"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","11","15","yellow-13","yellow","21728","sampling-task","6","585464","0.0-5.0-0.0-0.0","61","ygmr0vtu","low"
"1","2","fixed","5","11","49","yellow-13","yellow","6462","sampling-task","7","604727","0.0-5.0-0.1-0.1","61","ygmr0vtu","low"
"1","3","fixed","5","11","4","yellow-13","yellow","1238","sampling-task","8","607607","0.0-5.0-0.2-0.2","61","ygmr0vtu","low"
"1","4","fixed","5","11","20","yellow-13","yellow","958","sampling-task","9","610055","0.0-5.0-0.3-0.3","61","ygmr0vtu","low"
"1","5","fixed","5","11","-11","yellow-13","yellow","918","sampling-task","10","612240","0.0-5.0-0.4-0.4","61","ygmr0vtu","low"
"2","1","free","220","99","104","purple-116","purple","6468","sampling-task","13","678765","0.0-5.0-0.5-0.5","61","ygmr0vtu","low"
"2","2","free","220","99","93","purple-116","purple","630","sampling-task","14","680637","0.0-5.0-0.6-0.6","61","ygmr0vtu","low"
"2","3","free","220","99","86","purple-116","purple","542","sampling-task","15","682261","0.0-5.0-0.7-0.7","61","ygmr0vtu","low"
"2","4","free","220","99","101","purple-116","purple","502","sampling-task","16","683877","0.0-5.0-0.8-0.8","61","ygmr0vtu","low"
"2","5","free","220","99","101","purple-116","purple","446","sampling-task","17","685269","0.0-5.0-0.9-0.9","61","ygmr0vtu","low"
"2","6","free","220","99","101","purple-116","purple","510","sampling-task","18","686677","0.0-5.0-0.10-0.10","61","ygmr0vtu","low"
"2","7","free","220","99","86","purple-116","purple","479","sampling-task","19","688117","0.0-5.0-0.11-0.11","61","ygmr0vtu","low"
"2","8","free","220","99","116","purple-116","purple","414","sampling-task","20","689405","0.0-5.0-0.12-0.12","61","ygmr0vtu","low"
"2","9","free","220","99","73","purple-116","purple","374","sampling-task","21","690613","0.0-5.0-0.13-0.13","61","ygmr0vtu","low"
"2","10","free","220","99","79","purple-116","purple","414","sampling-task","22","691861","0.0-5.0-0.14-0.14","61","ygmr0vtu","low"
"2","11","free","220","99","147","purple-116","purple","390","sampling-task","23","693093","0.0-5.0-0.15-0.15","61","ygmr0vtu","low"
"2","12","free","220","99","85","purple-116","purple","350","sampling-task","24","694269","0.0-5.0-0.16-0.16","61","ygmr0vtu","low"
"2","13","free","220","99","73","purple-116","purple","334","sampling-task","25","695469","0.0-5.0-0.17-0.17","61","ygmr0vtu","low"
"2","14","free","220","99","99","purple-116","purple","371","sampling-task","26","696818","0.0-5.0-0.18-0.18","61","ygmr0vtu","low"
"2","15","free","220","99","81","purple-116","purple","494","sampling-task","27","698674","0.0-5.0-0.19-0.19","61","ygmr0vtu","low"
"3","1","fixed","20","78","87","blue-79","blue","6813","sampling-task","30","744755","0.0-5.0-0.20-0.20","61","ygmr0vtu","low"
"3","2","fixed","20","78","126","blue-79","blue","534","sampling-task","31","746187","0.0-5.0-0.21-0.21","61","ygmr0vtu","low"
"3","3","fixed","20","78","98","blue-79","blue","470","sampling-task","32","747586","0.0-5.0-0.22-0.22","61","ygmr0vtu","low"
"3","4","fixed","20","78","82","blue-79","blue","486","sampling-task","33","749026","0.0-5.0-0.23-0.23","61","ygmr0vtu","low"
"3","5","fixed","20","78","52","blue-79","blue","502","sampling-task","34","750450","0.0-5.0-0.24-0.24","61","ygmr0vtu","low"
"3","6","fixed","20","78","33","blue-79","blue","486","sampling-task","35","751899","0.0-5.0-0.25-0.25","61","ygmr0vtu","low"
"3","7","fixed","20","78","84","blue-79","blue","462","sampling-task","36","753626","0.0-5.0-0.26-0.26","61","ygmr0vtu","low"
"3","8","fixed","20","78","51","blue-79","blue","478","sampling-task","37","755042","0.0-5.0-0.27-0.27","61","ygmr0vtu","low"
"3","9","fixed","20","78","49","blue-79","blue","438","sampling-task","38","756329","0.0-5.0-0.28-0.28","61","ygmr0vtu","low"
"3","10","fixed","20","78","96","blue-79","blue","582","sampling-task","39","757752","0.0-5.0-0.29-0.29","61","ygmr0vtu","low"
"3","11","fixed","20","78","88","blue-79","blue","430","sampling-task","40","759096","0.0-5.0-0.30-0.30","61","ygmr0vtu","low"
"3","12","fixed","20","78","72","blue-79","blue","454","sampling-task","41","760665","0.0-5.0-0.31-0.31","61","ygmr0vtu","low"
"3","13","fixed","20","78","91","blue-79","blue","566","sampling-task","42","763544","0.0-5.0-0.32-0.32","61","ygmr0vtu","low"
"3","14","fixed","20","78","111","blue-79","blue","438","sampling-task","43","764889","0.0-5.0-0.33-0.33","61","ygmr0vtu","low"
"3","15","fixed","20","78","55","blue-79","blue","446","sampling-task","44","766401","0.0-5.0-0.34-0.34","61","ygmr0vtu","low"
"3","16","fixed","20","78","92","blue-79","blue","414","sampling-task","45","767849","0.0-5.0-0.35-0.35","61","ygmr0vtu","low"
"3","17","fixed","20","78","43","blue-79","blue","454","sampling-task","46","769153","0.0-5.0-0.36-0.36","61","ygmr0vtu","low"
"3","18","fixed","20","78","89","blue-79","blue","478","sampling-task","47","770472","0.0-5.0-0.37-0.37","61","ygmr0vtu","low"
"3","19","fixed","20","78","72","blue-79","blue","629","sampling-task","48","772001","0.0-5.0-0.38-0.38","61","ygmr0vtu","low"
"3","20","fixed","20","78","78","blue-79","blue","518","sampling-task","49","773360","0.0-5.0-0.39-0.39","61","ygmr0vtu","low"
"4","1","free","220","114","88","orange-12","orange","4084","sampling-task","52","806848","0.0-5.0-0.40-0.40","61","ygmr0vtu","low"
"4","2","free","220","114","96","orange-12","orange","438","sampling-task","53","808329","0.0-5.0-0.41-0.41","61","ygmr0vtu","low"
"4","3","free","220","114","105","orange-12","orange","302","sampling-task","54","809648","0.0-5.0-0.42-0.42","61","ygmr0vtu","low"
"4","4","free","220","114","117","orange-12","orange","382","sampling-task","55","810929","0.0-5.0-0.43-0.43","61","ygmr0vtu","low"
"4","5","free","220","114","125","orange-12","orange","390","sampling-task","56","812185","0.0-5.0-0.44-0.44","61","ygmr0vtu","low"
"4","6","free","220","114","105","orange-12","orange","430","sampling-task","57","813432","0.0-5.0-0.45-0.45","61","ygmr0vtu","low"
"4","7","free","220","114","115","orange-12","orange","326","sampling-task","58","814729","0.0-5.0-0.46-0.46","61","ygmr0vtu","low"
"4","8","free","220","114","112","orange-12","orange","342","sampling-task","59","815942","0.0-5.0-0.47-0.47","61","ygmr0vtu","low"
"4","9","free","220","114","92","orange-12","orange","351","sampling-task","60","817222","0.0-5.0-0.48-0.48","61","ygmr0vtu","low"
"4","10","free","220","114","120","orange-12","orange","375","sampling-task","61","818438","0.0-5.0-0.49-0.49","61","ygmr0vtu","low"
"4","11","free","220","114","142","orange-12","orange","326","sampling-task","62","819894","0.0-5.0-0.50-0.50","61","ygmr0vtu","low"
"4","12","free","220","114","130","orange-12","orange","381","sampling-task","63","821150","0.0-5.0-0.51-0.51","61","ygmr0vtu","low"
"4","13","free","220","114","125","orange-12","orange","398","sampling-task","64","822366","0.0-5.0-0.52-0.52","61","ygmr0vtu","low"
"4","14","free","220","114","88","orange-12","orange","311","sampling-task","65","823470","0.0-5.0-0.53-0.53","61","ygmr0vtu","low"
"4","15","free","220","114","109","orange-12","orange","343","sampling-task","66","824822","0.0-5.0-0.54-0.54","61","ygmr0vtu","low"
"4","16","free","220","114","114","orange-12","orange","326","sampling-task","67","826582","0.0-5.0-0.55-0.55","61","ygmr0vtu","low"
"4","17","free","220","114","142","orange-12","orange","582","sampling-task","68","828030","0.0-5.0-0.56-0.56","61","ygmr0vtu","low"
"4","18","free","220","114","85","orange-12","orange","414","sampling-task","69","829398","0.0-5.0-0.57-0.57","61","ygmr0vtu","low"
"4","19","free","220","114","76","orange-12","orange","375","sampling-task","70","830630","0.0-5.0-0.58-0.58","61","ygmr0vtu","low"
"4","20","free","220","114","90","orange-12","orange","367","sampling-task","71","831950","0.0-5.0-0.59-0.59","61","ygmr0vtu","low"
"4","21","free","220","114","144","orange-12","orange","350","sampling-task","72","833166","0.0-5.0-0.60-0.60","61","ygmr0vtu","low"
