"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","17","-5","yellow-59","yellow","6406","sampling-task","6","299870","0.0-5.0-0.0-0.0","62","mzlvsvc8","high"
"1","2","fixed","20","17","-12","yellow-199","yellow","15190","sampling-task","7","316894","0.0-5.0-0.1-0.1","62","mzlvsvc8","high"
"1","3","fixed","20","17","13","yellow-150","yellow","11462","sampling-task","8","329941","0.0-5.0-0.2-0.2","62","mzlvsvc8","high"
"1","4","fixed","20","17","14","yellow-139","yellow","998","sampling-task","9","332350","0.0-5.0-0.3-0.3","62","mzlvsvc8","high"
"1","5","fixed","20","17","-10","yellow-91","yellow","710","sampling-task","10","334541","0.0-5.0-0.4-0.4","62","mzlvsvc8","high"
"1","6","fixed","20","17","6","yellow-99","yellow","662","sampling-task","11","337069","0.0-5.0-0.5-0.5","62","mzlvsvc8","high"
"1","7","fixed","20","17","39","yellow-97","yellow","1175","sampling-task","12","339950","0.0-5.0-0.6-0.6","62","mzlvsvc8","high"
"1","8","fixed","20","17","55","yellow-173","yellow","1190","sampling-task","13","346636","0.0-5.0-0.7-0.7","62","mzlvsvc8","high"
"1","9","fixed","20","17","13","yellow-63","yellow","1062","sampling-task","14","348964","0.0-5.0-0.8-0.8","62","mzlvsvc8","high"
"1","10","fixed","20","17","14","yellow-128","yellow","1302","sampling-task","15","352044","0.0-5.0-0.9-0.9","62","mzlvsvc8","high"
"1","11","fixed","20","17","12","yellow-65","yellow","958","sampling-task","16","354564","0.0-5.0-0.10-0.10","62","mzlvsvc8","high"
"1","12","fixed","20","17","73","yellow-138","yellow","1438","sampling-task","17","357700","0.0-5.0-0.11-0.11","62","mzlvsvc8","high"
"1","13","fixed","20","17","31","yellow-216","yellow","870","sampling-task","18","359788","0.0-5.0-0.12-0.12","62","mzlvsvc8","high"
"1","14","fixed","20","17","-31","yellow-3","yellow","758","sampling-task","19","361964","0.0-5.0-0.13-0.13","62","mzlvsvc8","high"
"1","15","fixed","20","17","-34","yellow-104","yellow","1398","sampling-task","20","364908","0.0-5.0-0.14-0.14","62","mzlvsvc8","high"
"1","16","fixed","20","17","63","yellow-104","yellow","774","sampling-task","21","367108","0.0-5.0-0.15-0.15","62","mzlvsvc8","high"
"1","17","fixed","20","17","9","yellow-115","yellow","878","sampling-task","22","369364","0.0-5.0-0.16-0.16","62","mzlvsvc8","high"
"1","18","fixed","20","17","18","yellow-39","yellow","878","sampling-task","23","371596","0.0-5.0-0.17-0.17","62","mzlvsvc8","high"
"1","19","fixed","20","17","31","yellow-72","yellow","1069","sampling-task","24","374164","0.0-5.0-0.18-0.18","62","mzlvsvc8","high"
"1","20","fixed","20","17","10","yellow-96","yellow","1302","sampling-task","25","376508","0.0-5.0-0.19-0.19","62","mzlvsvc8","high"
"2","1","free","220","71","95","red-100","red","7036","sampling-task","28","426098","0.0-5.0-0.20-0.20","62","mzlvsvc8","high"
"2","2","free","220","71","105","red-38","red","766","sampling-task","29","428218","0.0-5.0-0.21-0.21","62","mzlvsvc8","high"
"2","3","free","220","71","74","red-168","red","734","sampling-task","30","430154","0.0-5.0-0.22-0.22","62","mzlvsvc8","high"
"2","4","free","220","71","66","red-28","red","743","sampling-task","31","432354","0.0-5.0-0.23-0.23","62","mzlvsvc8","high"
"2","5","free","220","71","70","red-85","red","703","sampling-task","32","434298","0.0-5.0-0.24-0.24","62","mzlvsvc8","high"
"3","1","fixed","5","53","53","green-131","green","3261","sampling-task","35","455578","0.0-5.0-0.25-0.25","62","mzlvsvc8","high"
"3","2","fixed","5","53","57","green-10","green","534","sampling-task","36","457346","0.0-5.0-0.26-0.26","62","mzlvsvc8","high"
"3","3","fixed","5","53","11","green-133","green","551","sampling-task","37","459122","0.0-5.0-0.27-0.27","62","mzlvsvc8","high"
"3","4","fixed","5","53","80","green-183","green","774","sampling-task","38","461114","0.0-5.0-0.28-0.28","62","mzlvsvc8","high"
"3","5","fixed","5","53","54","green-19","green","767","sampling-task","39","463395","0.0-5.0-0.29-0.29","62","mzlvsvc8","high"
"4","1","free","220","92","69","blue-145","blue","5020","sampling-task","42","485369","0.0-5.0-0.30-0.30","62","mzlvsvc8","high"
"4","2","free","220","92","102","blue-122","blue","534","sampling-task","43","486801","0.0-5.0-0.31-0.31","62","mzlvsvc8","high"
"4","3","free","220","92","74","blue-121","blue","430","sampling-task","44","488233","0.0-5.0-0.32-0.32","62","mzlvsvc8","high"
"4","4","free","220","92","80","blue-64","blue","470","sampling-task","45","489641","0.0-5.0-0.33-0.33","62","mzlvsvc8","high"
"4","5","free","220","92","99","blue-80","blue","510","sampling-task","46","491185","0.0-5.0-0.34-0.34","62","mzlvsvc8","high"
"4","6","free","220","92","82","blue-89","blue","502","sampling-task","47","492592","0.0-5.0-0.35-0.35","62","mzlvsvc8","high"
"4","7","free","220","92","117","blue-198","blue","486","sampling-task","48","494080","0.0-5.0-0.36-0.36","62","mzlvsvc8","high"
"4","8","free","220","92","105","blue-151","blue","469","sampling-task","49","495577","0.0-5.0-0.37-0.37","62","mzlvsvc8","high"
"4","9","free","220","92","101","blue-107","blue","470","sampling-task","50","497192","0.0-5.0-0.38-0.38","62","mzlvsvc8","high"
"5","1","fixed","10","116","136","purple-73","purple","1676","sampling-task","53","515280","0.0-5.0-0.39-0.39","62","mzlvsvc8","high"
"5","2","fixed","10","116","110","purple-116","purple","487","sampling-task","54","516712","0.0-5.0-0.40-0.40","62","mzlvsvc8","high"
"5","3","fixed","10","116","110","purple-190","purple","390","sampling-task","55","518537","0.0-5.0-0.41-0.41","62","mzlvsvc8","high"
"5","4","fixed","10","116","101","purple-101","purple","446","sampling-task","56","520089","0.0-5.0-0.42-0.42","62","mzlvsvc8","high"
"5","5","fixed","10","116","103","purple-181","purple","462","sampling-task","57","522672","0.0-5.0-0.43-0.43","62","mzlvsvc8","high"
"5","6","fixed","10","116","99","purple-128","purple","462","sampling-task","58","524640","0.0-5.0-0.44-0.44","62","mzlvsvc8","high"
"5","7","fixed","10","116","110","purple-138","purple","422","sampling-task","59","526264","0.0-5.0-0.45-0.45","62","mzlvsvc8","high"
"5","8","fixed","10","116","121","purple-209","purple","564","sampling-task","60","528103","0.0-5.0-0.46-0.46","62","mzlvsvc8","high"
"5","9","fixed","10","116","112","purple-33","purple","630","sampling-task","61","529935","0.0-5.0-0.47-0.47","62","mzlvsvc8","high"
"5","10","fixed","10","116","149","purple-46","purple","510","sampling-task","62","531591","0.0-5.0-0.48-0.48","62","mzlvsvc8","high"
"6","1","free","220","31","36","orange-32","orange","2148","sampling-task","65","552246","0.0-5.0-0.49-0.49","62","mzlvsvc8","high"
"6","2","free","220","31","18","orange-74","orange","430","sampling-task","66","553718","0.0-5.0-0.50-0.50","62","mzlvsvc8","high"
"6","3","free","220","31","7","orange-175","orange","454","sampling-task","67","555150","0.0-5.0-0.51-0.51","62","mzlvsvc8","high"
"6","4","free","220","31","22","orange-174","orange","414","sampling-task","68","556574","0.0-5.0-0.52-0.52","62","mzlvsvc8","high"
"6","5","free","220","31","36","orange-11","orange","422","sampling-task","69","558031","0.0-5.0-0.53-0.53","62","mzlvsvc8","high"
"6","6","free","220","31","63","orange-88","orange","446","sampling-task","70","559542","0.0-5.0-0.54-0.54","62","mzlvsvc8","high"
"6","7","free","220","31","35","orange-182","orange","422","sampling-task","71","560919","0.0-5.0-0.55-0.55","62","mzlvsvc8","high"
"6","8","free","220","31","26","orange-84","orange","398","sampling-task","72","562479","0.0-5.0-0.56-0.56","62","mzlvsvc8","high"
"6","9","free","220","31","47","orange-22","orange","366","sampling-task","73","563759","0.0-5.0-0.57-0.57","62","mzlvsvc8","high"
"6","10","free","220","31","41","orange-188","orange","390","sampling-task","74","565023","0.0-5.0-0.58-0.58","62","mzlvsvc8","high"
"6","11","free","220","31","18","orange-162","orange","382","sampling-task","75","566374","0.0-5.0-0.59-0.59","62","mzlvsvc8","high"
"6","12","free","220","31","20","orange-37","orange","334","sampling-task","76","567870","0.0-5.0-0.60-0.60","62","mzlvsvc8","high"
