"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","90","88","green-88","green","7017","sampling-task","6","343877","0.0-5.0-0.0-0.0","63","fd8wv17e","high"
"1","2","fixed","20","90","99","green-55","green","7261","sampling-task","7","354316","0.0-5.0-0.1-0.1","63","fd8wv17e","high"
"1","3","fixed","20","90","94","green-144","green","3854","sampling-task","8","362956","0.0-5.0-0.2-0.2","63","fd8wv17e","high"
"1","4","fixed","20","90","69","green-90","green","4326","sampling-task","9","369796","0.0-5.0-0.3-0.3","63","fd8wv17e","high"
"1","5","fixed","20","90","107","green-65","green","1254","sampling-task","10","373236","0.0-5.0-0.4-0.4","63","fd8wv17e","high"
"1","6","fixed","20","90","105","green-6","green","2615","sampling-task","11","378060","0.0-5.0-0.5-0.5","63","fd8wv17e","high"
"1","7","fixed","20","90","76","green-24","green","2182","sampling-task","12","382060","0.0-5.0-0.6-0.6","63","fd8wv17e","high"
"1","8","fixed","20","90","72","green-50","green","2502","sampling-task","13","385956","0.0-5.0-0.7-0.7","63","fd8wv17e","high"
"1","9","fixed","20","90","84","green-176","green","3662","sampling-task","14","390900","0.0-5.0-0.8-0.8","63","fd8wv17e","high"
"1","10","fixed","20","90","99","green-170","green","1086","sampling-task","15","392876","0.0-5.0-0.9-0.9","63","fd8wv17e","high"
"1","11","fixed","20","90","110","green-93","green","838","sampling-task","16","395860","0.0-5.0-0.10-0.10","63","fd8wv17e","high"
"1","12","fixed","20","90","75","green-53","green","2150","sampling-task","17","399372","0.0-5.0-0.11-0.11","63","fd8wv17e","high"
"1","13","fixed","20","90","113","green-131","green","1414","sampling-task","18","402788","0.0-5.0-0.12-0.12","63","fd8wv17e","high"
"1","14","fixed","20","90","115","green-208","green","1022","sampling-task","19","405036","0.0-5.0-0.13-0.13","63","fd8wv17e","high"
"1","15","fixed","20","90","111","green-201","green","1086","sampling-task","20","407252","0.0-5.0-0.14-0.14","63","fd8wv17e","high"
"1","16","fixed","20","90","98","green-185","green","1598","sampling-task","21","411124","0.0-5.0-0.15-0.15","63","fd8wv17e","high"
"1","17","fixed","20","90","102","green-25","green","1086","sampling-task","22","413924","0.0-5.0-0.16-0.16","63","fd8wv17e","high"
"1","18","fixed","20","90","93","green-106","green","1318","sampling-task","23","416924","0.0-5.0-0.17-0.17","63","fd8wv17e","high"
"1","19","fixed","20","90","96","green-194","green","1133","sampling-task","24","419060","0.0-5.0-0.18-0.18","63","fd8wv17e","high"
"1","20","fixed","20","90","85","green-147","green","734","sampling-task","25","420732","0.0-5.0-0.19-0.19","63","fd8wv17e","high"
"2","1","free","220","119","142","red-41","red","8013","sampling-task","28","496786","0.0-5.0-0.20-0.20","63","fd8wv17e","high"
"2","2","free","220","119","109","red-134","red","1134","sampling-task","29","500706","0.0-5.0-0.21-0.21","63","fd8wv17e","high"
"2","3","free","220","119","119","red-156","red","495","sampling-task","30","502378","0.0-5.0-0.22-0.22","63","fd8wv17e","high"
"3","1","fixed","5","78","82","orange-104","orange","4067","sampling-task","33","531129","0.0-5.0-0.23-0.23","63","fd8wv17e","high"
"3","2","fixed","5","78","111","orange-204","orange","718","sampling-task","34","532985","0.0-5.0-0.24-0.24","63","fd8wv17e","high"
"3","3","fixed","5","78","62","orange-46","orange","910","sampling-task","35","535161","0.0-5.0-0.25-0.25","63","fd8wv17e","high"
"3","4","fixed","5","78","80","orange-124","orange","1062","sampling-task","36","537369","0.0-5.0-0.26-0.26","63","fd8wv17e","high"
"3","5","fixed","5","78","87","orange-115","orange","686","sampling-task","37","539193","0.0-5.0-0.27-0.27","63","fd8wv17e","high"
