"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","116","115","orange-145","orange","11748","sampling-task","6","413399","0.0-5.0-0.0-0.0","64","q6e66w08","low"
"1","2","fixed","10","116","162","orange-145","orange","10221","sampling-task","7","426582","0.0-5.0-0.1-0.1","64","q6e66w08","low"
"1","3","fixed","10","116","113","orange-145","orange","13773","sampling-task","8","442173","0.0-5.0-0.2-0.2","64","q6e66w08","low"
"1","4","fixed","10","116","95","orange-145","orange","14389","sampling-task","9","458797","0.0-5.0-0.3-0.3","64","q6e66w08","low"
"1","5","fixed","10","116","104","orange-145","orange","5156","sampling-task","10","466061","0.0-5.0-0.4-0.4","64","q6e66w08","low"
"1","6","fixed","10","116","102","orange-145","orange","5974","sampling-task","11","473661","0.0-5.0-0.5-0.5","64","q6e66w08","low"
"1","7","fixed","10","116","120","orange-145","orange","5415","sampling-task","12","480453","0.0-5.0-0.6-0.6","64","q6e66w08","low"
"1","8","fixed","10","116","114","orange-145","orange","3614","sampling-task","13","485237","0.0-5.0-0.7-0.7","64","q6e66w08","low"
"1","9","fixed","10","116","108","orange-145","orange","2725","sampling-task","14","489549","0.0-5.0-0.8-0.8","64","q6e66w08","low"
"1","10","fixed","10","116","124","orange-145","orange","2205","sampling-task","15","493093","0.0-5.0-0.9-0.9","64","q6e66w08","low"
"2","1","free","220","51","65","yellow-155","yellow","2765","sampling-task","18","568987","0.0-5.0-0.10-0.10","64","q6e66w08","low"
"2","2","free","220","51","57","yellow-155","yellow","1270","sampling-task","19","571915","0.0-5.0-0.11-0.11","64","q6e66w08","low"
"2","3","free","220","51","51","yellow-155","yellow","510","sampling-task","20","574379","0.0-5.0-0.12-0.12","64","q6e66w08","low"
"2","4","free","220","51","78","yellow-155","yellow","870","sampling-task","21","576555","0.0-5.0-0.13-0.13","64","q6e66w08","low"
"2","5","free","220","51","66","yellow-155","yellow","11766","sampling-task","22","589883","0.0-5.0-0.14-0.14","64","q6e66w08","low"
"2","6","free","220","51","76","yellow-155","yellow","950","sampling-task","23","593244","0.0-5.0-0.15-0.15","64","q6e66w08","low"
"2","7","free","220","51","30","yellow-155","yellow","12878","sampling-task","24","607891","0.0-5.0-0.16-0.16","64","q6e66w08","low"
"2","8","free","220","51","52","yellow-155","yellow","382","sampling-task","25","609212","0.0-5.0-0.17-0.17","64","q6e66w08","low"
"2","9","free","220","51","32","yellow-155","yellow","1989","sampling-task","26","612819","0.0-5.0-0.18-0.18","64","q6e66w08","low"
"2","10","free","220","51","37","yellow-155","yellow","3398","sampling-task","27","617491","0.0-5.0-0.19-0.19","64","q6e66w08","low"
"2","11","free","220","51","54","yellow-155","yellow","2254","sampling-task","28","621722","0.0-5.0-0.20-0.20","64","q6e66w08","low"
"2","12","free","220","51","85","yellow-155","yellow","6325","sampling-task","29","630130","0.0-5.0-0.21-0.21","64","q6e66w08","low"
"2","13","free","220","51","74","yellow-155","yellow","3062","sampling-task","30","634426","0.0-5.0-0.22-0.22","64","q6e66w08","low"
"2","14","free","220","51","30","yellow-155","yellow","445","sampling-task","31","635746","0.0-5.0-0.23-0.23","64","q6e66w08","low"
"2","15","free","220","51","55","yellow-155","yellow","437","sampling-task","32","637211","0.0-5.0-0.24-0.24","64","q6e66w08","low"
"2","16","free","220","51","41","yellow-155","yellow","310","sampling-task","33","638346","0.0-5.0-0.25-0.25","64","q6e66w08","low"
"2","17","free","220","51","78","yellow-155","yellow","863","sampling-task","34","640594","0.0-5.0-0.26-0.26","64","q6e66w08","low"
"2","18","free","220","51","97","yellow-155","yellow","1037","sampling-task","35","642946","0.0-5.0-0.27-0.27","64","q6e66w08","low"
"2","19","free","220","51","62","yellow-155","yellow","3151","sampling-task","36","647594","0.0-5.0-0.28-0.28","64","q6e66w08","low"
"2","20","free","220","51","38","yellow-155","yellow","1214","sampling-task","37","650050","0.0-5.0-0.29-0.29","64","q6e66w08","low"
"2","21","free","220","51","27","yellow-155","yellow","1030","sampling-task","38","651978","0.0-5.0-0.30-0.30","64","q6e66w08","low"
"2","22","free","220","51","73","yellow-155","yellow","918","sampling-task","39","653794","0.0-5.0-0.31-0.31","64","q6e66w08","low"
"2","23","free","220","51","60","yellow-155","yellow","957","sampling-task","40","655714","0.0-5.0-0.32-0.32","64","q6e66w08","low"
"2","24","free","220","51","63","yellow-155","yellow","1046","sampling-task","41","658002","0.0-5.0-0.33-0.33","64","q6e66w08","low"
"2","25","free","220","51","62","yellow-155","yellow","989","sampling-task","42","660170","0.0-5.0-0.34-0.34","64","q6e66w08","low"
"2","26","free","220","51","44","yellow-155","yellow","518","sampling-task","43","661778","0.0-5.0-0.35-0.35","64","q6e66w08","low"
"2","27","free","220","51","73","yellow-155","yellow","717","sampling-task","44","663634","0.0-5.0-0.36-0.36","64","q6e66w08","low"
"2","28","free","220","51","74","yellow-155","yellow","782","sampling-task","45","665482","0.0-5.0-0.37-0.37","64","q6e66w08","low"
"2","29","free","220","51","33","yellow-155","yellow","693","sampling-task","46","668170","0.0-5.0-0.38-0.38","64","q6e66w08","low"
"2","30","free","220","51","71","yellow-155","yellow","718","sampling-task","47","670074","0.0-5.0-0.39-0.39","64","q6e66w08","low"
"2","31","free","220","51","55","yellow-155","yellow","822","sampling-task","48","672426","0.0-5.0-0.40-0.40","64","q6e66w08","low"
"2","32","free","220","51","14","yellow-155","yellow","486","sampling-task","49","674234","0.0-5.0-0.41-0.41","64","q6e66w08","low"
"3","1","fixed","5","12","13","purple-201","purple","861","sampling-task","52","711481","0.0-5.0-0.42-0.42","64","q6e66w08","low"
"3","2","fixed","5","12","2","purple-201","purple","678","sampling-task","53","713066","0.0-5.0-0.43-0.43","64","q6e66w08","low"
"3","3","fixed","5","12","45","purple-201","purple","486","sampling-task","54","714433","0.0-5.0-0.44-0.44","64","q6e66w08","low"
"3","4","fixed","5","12","-8","purple-201","purple","406","sampling-task","55","715817","0.0-5.0-0.45-0.45","64","q6e66w08","low"
"3","5","fixed","5","12","14","purple-201","purple","486","sampling-task","56","717897","0.0-5.0-0.46-0.46","64","q6e66w08","low"
"4","1","free","220","78","84","green-8","green","1524","sampling-task","59","750729","0.0-5.0-0.47-0.47","64","q6e66w08","low"
"4","2","free","220","78","57","green-8","green","542","sampling-task","60","752785","0.0-5.0-0.48-0.48","64","q6e66w08","low"
"4","3","free","220","78","82","green-8","green","598","sampling-task","61","754617","0.0-5.0-0.49-0.49","64","q6e66w08","low"
"4","4","free","220","78","112","green-8","green","397","sampling-task","62","756825","0.0-5.0-0.50-0.50","64","q6e66w08","low"
"4","5","free","220","78","63","green-8","green","510","sampling-task","63","758457","0.0-5.0-0.51-0.51","64","q6e66w08","low"
"4","6","free","220","78","86","green-8","green","454","sampling-task","64","759921","0.0-5.0-0.52-0.52","64","q6e66w08","low"
"4","7","free","220","78","70","green-8","green","406","sampling-task","65","761249","0.0-5.0-0.53-0.53","64","q6e66w08","low"
"4","8","free","220","78","103","green-8","green","606","sampling-task","66","762753","0.0-5.0-0.54-0.54","64","q6e66w08","low"
"4","9","free","220","78","49","green-8","green","429","sampling-task","67","764025","0.0-5.0-0.55-0.55","64","q6e66w08","low"
"4","10","free","220","78","96","green-8","green","335","sampling-task","68","765441","0.0-5.0-0.56-0.56","64","q6e66w08","low"
"4","11","free","220","78","67","green-8","green","366","sampling-task","69","766697","0.0-5.0-0.57-0.57","64","q6e66w08","low"
"4","12","free","220","78","102","green-8","green","375","sampling-task","70","768121","0.0-5.0-0.58-0.58","64","q6e66w08","low"
"4","13","free","220","78","82","green-8","green","462","sampling-task","71","769529","0.0-5.0-0.59-0.59","64","q6e66w08","low"
"4","14","free","220","78","96","green-8","green","310","sampling-task","72","770817","0.0-5.0-0.60-0.60","64","q6e66w08","low"
"4","15","free","220","78","84","green-8","green","351","sampling-task","73","772185","0.0-5.0-0.61-0.61","64","q6e66w08","low"
"4","16","free","220","78","96","green-8","green","350","sampling-task","74","773889","0.0-5.0-0.62-0.62","64","q6e66w08","low"
"4","17","free","220","78","95","green-8","green","382","sampling-task","75","775233","0.0-5.0-0.63-0.63","64","q6e66w08","low"
"4","18","free","220","78","78","green-8","green","494","sampling-task","76","776665","0.0-5.0-0.64-0.64","64","q6e66w08","low"
"4","19","free","220","78","79","green-8","green","477","sampling-task","77","778066","0.0-5.0-0.65-0.65","64","q6e66w08","low"
"4","20","free","220","78","117","green-8","green","381","sampling-task","78","780089","0.0-5.0-0.66-0.66","64","q6e66w08","low"
"5","1","fixed","20","37","42","red-197","red","1332","sampling-task","81","815952","0.0-5.0-0.67-0.67","64","q6e66w08","low"
"5","2","fixed","20","37","23","red-197","red","206","sampling-task","82","816960","0.0-5.0-0.68-0.68","64","q6e66w08","low"
"5","3","fixed","20","37","35","red-197","red","191","sampling-task","83","817960","0.0-5.0-0.69-0.69","64","q6e66w08","low"
"5","4","fixed","20","37","13","red-197","red","327","sampling-task","84","819096","0.0-5.0-0.70-0.70","64","q6e66w08","low"
"5","5","fixed","20","37","40","red-197","red","319","sampling-task","85","820560","0.0-5.0-0.71-0.71","64","q6e66w08","low"
"5","6","fixed","20","37","62","red-197","red","942","sampling-task","86","822432","0.0-5.0-0.72-0.72","64","q6e66w08","low"
"5","7","fixed","20","37","34","red-197","red","311","sampling-task","87","823512","0.0-5.0-0.73-0.73","64","q6e66w08","low"
"5","8","fixed","20","37","42","red-197","red","261","sampling-task","88","824568","0.0-5.0-0.74-0.74","64","q6e66w08","low"
"5","9","fixed","20","37","57","red-197","red","318","sampling-task","89","826112","0.0-5.0-0.75-0.75","64","q6e66w08","low"
"5","10","fixed","20","37","16","red-197","red","326","sampling-task","90","827280","0.0-5.0-0.76-0.76","64","q6e66w08","low"
"5","11","fixed","20","37","19","red-197","red","326","sampling-task","91","828400","0.0-5.0-0.77-0.77","64","q6e66w08","low"
"5","12","fixed","20","37","1","red-197","red","334","sampling-task","92","829880","0.0-5.0-0.78-0.78","64","q6e66w08","low"
"5","13","fixed","20","37","15","red-197","red","334","sampling-task","93","831464","0.0-5.0-0.79-0.79","64","q6e66w08","low"
"5","14","fixed","20","37","42","red-197","red","438","sampling-task","94","832904","0.0-5.0-0.80-0.80","64","q6e66w08","low"
"5","15","fixed","20","37","79","red-197","red","342","sampling-task","95","834136","0.0-5.0-0.81-0.81","64","q6e66w08","low"
"5","16","fixed","20","37","35","red-197","red","318","sampling-task","96","835336","0.0-5.0-0.82-0.82","64","q6e66w08","low"
"5","17","fixed","20","37","56","red-197","red","325","sampling-task","97","836488","0.0-5.0-0.83-0.83","64","q6e66w08","low"
"5","18","fixed","20","37","43","red-197","red","318","sampling-task","98","837592","0.0-5.0-0.84-0.84","64","q6e66w08","low"
"5","19","fixed","20","37","38","red-197","red","381","sampling-task","99","839976","0.0-5.0-0.85-0.85","64","q6e66w08","low"
"5","20","fixed","20","37","19","red-197","red","351","sampling-task","100","841593","0.0-5.0-0.86-0.86","64","q6e66w08","low"
"6","1","free","220","95","111","blue-11","blue","1036","sampling-task","103","873167","0.0-5.0-0.87-0.87","64","q6e66w08","low"
"6","2","free","220","95","108","blue-11","blue","477","sampling-task","104","874591","0.0-5.0-0.88-0.88","64","q6e66w08","low"
"6","3","free","220","95","84","blue-11","blue","717","sampling-task","105","876119","0.0-5.0-0.89-0.89","64","q6e66w08","low"
"6","4","free","220","95","86","blue-11","blue","302","sampling-task","106","877311","0.0-5.0-0.90-0.90","64","q6e66w08","low"
"6","5","free","220","95","76","blue-11","blue","318","sampling-task","107","878599","0.0-5.0-0.91-0.91","64","q6e66w08","low"
"6","6","free","220","95","87","blue-11","blue","334","sampling-task","108","879743","0.0-5.0-0.92-0.92","64","q6e66w08","low"
"6","7","free","220","95","88","blue-11","blue","318","sampling-task","109","880887","0.0-5.0-0.93-0.93","64","q6e66w08","low"
"6","8","free","220","95","104","blue-11","blue","326","sampling-task","110","882335","0.0-5.0-0.94-0.94","64","q6e66w08","low"
"6","9","free","220","95","49","blue-11","blue","350","sampling-task","111","883535","0.0-5.0-0.95-0.95","64","q6e66w08","low"
"6","10","free","220","95","107","blue-11","blue","326","sampling-task","112","885327","0.0-5.0-0.96-0.96","64","q6e66w08","low"
