"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","117","89","yellow-96","yellow","7195","sampling-task","24","1060780","0.0-5.0-0.0-0.0","65","stevnbn9","low"
"1","2","fixed","20","117","156","yellow-96","yellow","9294","sampling-task","25","1071962","0.0-5.0-0.1-0.1","65","stevnbn9","low"
"1","3","fixed","20","117","103","yellow-96","yellow","1118","sampling-task","26","1074978","0.0-5.0-0.2-0.2","65","stevnbn9","low"
"1","4","fixed","20","117","128","yellow-96","yellow","2790","sampling-task","27","1079578","0.0-5.0-0.3-0.3","65","stevnbn9","low"
"1","5","fixed","20","117","85","yellow-96","yellow","2526","sampling-task","28","1083514","0.0-5.0-0.4-0.4","65","stevnbn9","low"
"1","6","fixed","20","117","89","yellow-96","yellow","2710","sampling-task","29","1087842","0.0-5.0-0.5-0.5","65","stevnbn9","low"
"1","7","fixed","20","117","117","yellow-96","yellow","5510","sampling-task","30","1094722","0.0-5.0-0.6-0.6","65","stevnbn9","low"
"1","8","fixed","20","117","78","yellow-96","yellow","1438","sampling-task","31","1097226","0.0-5.0-0.7-0.7","65","stevnbn9","low"
"1","9","fixed","20","117","96","yellow-96","yellow","646","sampling-task","32","1098818","0.0-5.0-0.8-0.8","65","stevnbn9","low"
"1","10","fixed","20","117","96","yellow-96","yellow","758","sampling-task","33","1100674","0.0-5.0-0.9-0.9","65","stevnbn9","low"
"1","11","fixed","20","117","109","yellow-96","yellow","742","sampling-task","34","1102762","0.0-5.0-0.10-0.10","65","stevnbn9","low"
"1","12","fixed","20","117","128","yellow-96","yellow","1806","sampling-task","35","1105634","0.0-5.0-0.11-0.11","65","stevnbn9","low"
"1","13","fixed","20","117","129","yellow-96","yellow","990","sampling-task","36","1107802","0.0-5.0-0.12-0.12","65","stevnbn9","low"
"1","14","fixed","20","117","89","yellow-96","yellow","1094","sampling-task","37","1110034","0.0-5.0-0.13-0.13","65","stevnbn9","low"
"1","15","fixed","20","117","165","yellow-96","yellow","1150","sampling-task","38","1112618","0.0-5.0-0.14-0.14","65","stevnbn9","low"
"1","16","fixed","20","117","117","yellow-96","yellow","1662","sampling-task","39","1115434","0.0-5.0-0.15-0.15","65","stevnbn9","low"
"1","17","fixed","20","117","135","yellow-96","yellow","1062","sampling-task","40","1117538","0.0-5.0-0.16-0.16","65","stevnbn9","low"
"1","18","fixed","20","117","89","yellow-96","yellow","5150","sampling-task","41","1123682","0.0-5.0-0.17-0.17","65","stevnbn9","low"
"1","19","fixed","20","117","105","yellow-96","yellow","741","sampling-task","42","1125402","0.0-5.0-0.18-0.18","65","stevnbn9","low"
"1","20","fixed","20","117","122","yellow-96","yellow","654","sampling-task","43","1126986","0.0-5.0-0.19-0.19","65","stevnbn9","low"
"2","1","free","220","77","71","purple-173","purple","3917","sampling-task","46","1177337","0.0-5.0-0.20-0.20","65","stevnbn9","low"
"2","2","free","220","77","73","purple-173","purple","2423","sampling-task","47","1181089","0.0-5.0-0.21-0.21","65","stevnbn9","low"
"2","3","free","220","77","79","purple-173","purple","855","sampling-task","48","1182937","0.0-5.0-0.22-0.22","65","stevnbn9","low"
"2","4","free","220","77","89","purple-173","purple","2742","sampling-task","49","1186849","0.0-5.0-0.23-0.23","65","stevnbn9","low"
"2","5","free","220","77","63","purple-173","purple","1471","sampling-task","50","1189977","0.0-5.0-0.24-0.24","65","stevnbn9","low"
"2","6","free","220","77","71","purple-173","purple","1916","sampling-task","51","1192951","0.0-5.0-0.25-0.25","65","stevnbn9","low"
"2","7","free","220","77","74","purple-173","purple","1062","sampling-task","52","1195159","0.0-5.0-0.26-0.26","65","stevnbn9","low"
"2","8","free","220","77","94","purple-173","purple","1150","sampling-task","53","1197271","0.0-5.0-0.27-0.27","65","stevnbn9","low"
"2","9","free","220","77","70","purple-173","purple","583","sampling-task","54","1198895","0.0-5.0-0.28-0.28","65","stevnbn9","low"
"2","10","free","220","77","58","purple-173","purple","3822","sampling-task","55","1204072","0.0-5.0-0.29-0.29","65","stevnbn9","low"
"2","11","free","220","77","66","purple-173","purple","806","sampling-task","56","1205775","0.0-5.0-0.30-0.30","65","stevnbn9","low"
"2","12","free","220","77","82","purple-173","purple","710","sampling-task","57","1207407","0.0-5.0-0.31-0.31","65","stevnbn9","low"
"2","13","free","220","77","89","purple-173","purple","3190","sampling-task","58","1211671","0.0-5.0-0.32-0.32","65","stevnbn9","low"
"2","14","free","220","77","86","purple-173","purple","438","sampling-task","59","1212999","0.0-5.0-0.33-0.33","65","stevnbn9","low"
"2","15","free","220","77","76","purple-173","purple","615","sampling-task","60","1214439","0.0-5.0-0.34-0.34","65","stevnbn9","low"
"2","16","free","220","77","61","purple-173","purple","391","sampling-task","61","1215831","0.0-5.0-0.35-0.35","65","stevnbn9","low"
"2","17","free","220","77","81","purple-173","purple","1014","sampling-task","62","1219711","0.0-5.0-0.36-0.36","65","stevnbn9","low"
"3","1","fixed","5","95","121","green-88","green","4645","sampling-task","65","1243095","0.0-5.0-0.37-0.37","65","stevnbn9","low"
"3","2","fixed","5","95","122","green-88","green","878","sampling-task","66","1245128","0.0-5.0-0.38-0.38","65","stevnbn9","low"
