"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","33","49","blue-74","blue","5492","sampling-task","9","1757051","0.0-5.0-0.0-0.0","66","5rgmgp5k","high"
"1","2","fixed","20","33","5","blue-109","blue","1510","sampling-task","10","1760482","0.0-5.0-0.1-0.1","66","5rgmgp5k","high"
"1","3","fixed","20","33","17","blue-207","blue","1295","sampling-task","11","1763402","0.0-5.0-0.2-0.2","66","5rgmgp5k","high"
"1","4","fixed","20","33","51","blue-85","blue","902","sampling-task","12","1769146","0.0-5.0-0.3-0.3","66","5rgmgp5k","high"
"1","5","fixed","20","33","47","blue-178","blue","1231","sampling-task","13","1772666","0.0-5.0-0.4-0.4","66","5rgmgp5k","high"
"1","6","fixed","20","33","13","blue-128","blue","1030","sampling-task","14","1775178","0.0-5.0-0.5-0.5","66","5rgmgp5k","high"
"1","7","fixed","20","33","17","blue-141","blue","1158","sampling-task","15","1778114","0.0-5.0-0.6-0.6","66","5rgmgp5k","high"
"1","8","fixed","20","33","27","blue-101","blue","807","sampling-task","16","1780706","0.0-5.0-0.7-0.7","66","5rgmgp5k","high"
"1","9","fixed","20","33","42","blue-27","blue","1087","sampling-task","17","1784018","0.0-5.0-0.8-0.8","66","5rgmgp5k","high"
"1","10","fixed","20","33","52","blue-169","blue","742","sampling-task","18","1788706","0.0-5.0-0.9-0.9","66","5rgmgp5k","high"
"1","11","fixed","20","33","1","blue-46","blue","910","sampling-task","19","1791426","0.0-5.0-0.10-0.10","66","5rgmgp5k","high"
"1","12","fixed","20","33","17","blue-156","blue","750","sampling-task","20","1793922","0.0-5.0-0.11-0.11","66","5rgmgp5k","high"
"1","13","fixed","20","33","41","blue-136","blue","735","sampling-task","21","1796641","0.0-5.0-0.12-0.12","66","5rgmgp5k","high"
"1","14","fixed","20","33","48","blue-123","blue","863","sampling-task","22","1801609","0.0-5.0-0.13-0.13","66","5rgmgp5k","high"
"1","15","fixed","20","33","5","blue-26","blue","797","sampling-task","23","1803873","0.0-5.0-0.14-0.14","66","5rgmgp5k","high"
"1","16","fixed","20","33","20","blue-53","blue","695","sampling-task","24","1806305","0.0-5.0-0.15-0.15","66","5rgmgp5k","high"
"1","17","fixed","20","33","11","blue-184","blue","647","sampling-task","25","1808729","0.0-5.0-0.16-0.16","66","5rgmgp5k","high"
"1","18","fixed","20","33","34","blue-140","blue","583","sampling-task","26","1812297","0.0-5.0-0.17-0.17","66","5rgmgp5k","high"
"1","19","fixed","20","33","53","blue-54","blue","566","sampling-task","27","1816217","0.0-5.0-0.18-0.18","66","5rgmgp5k","high"
"1","20","fixed","20","33","51","blue-45","blue","855","sampling-task","28","1819097","0.0-5.0-0.19-0.19","66","5rgmgp5k","high"
"2","1","free","220","50","60","red-51","red","8372","sampling-task","31","1889680","0.0-5.0-0.20-0.20","66","5rgmgp5k","high"
"3","1","fixed","10","98","97","green-11","green","1708","sampling-task","34","1924248","0.0-5.0-0.21-0.21","66","5rgmgp5k","high"
"3","2","fixed","10","98","75","green-172","green","1118","sampling-task","35","1927360","0.0-5.0-0.22-0.22","66","5rgmgp5k","high"
"3","3","fixed","10","98","110","green-204","green","606","sampling-task","36","1932968","0.0-5.0-0.23-0.23","66","5rgmgp5k","high"
"3","4","fixed","10","98","62","green-194","green","773","sampling-task","37","1935255","0.0-5.0-0.24-0.24","66","5rgmgp5k","high"
"3","5","fixed","10","98","88","green-61","green","742","sampling-task","38","1942127","0.0-5.0-0.25-0.25","66","5rgmgp5k","high"
"3","6","fixed","10","98","96","green-40","green","646","sampling-task","39","1946088","0.0-5.0-0.26-0.26","66","5rgmgp5k","high"
"3","7","fixed","10","98","96","green-78","green","598","sampling-task","40","1948040","0.0-5.0-0.27-0.27","66","5rgmgp5k","high"
"3","8","fixed","10","98","74","green-207","green","630","sampling-task","41","1951648","0.0-5.0-0.28-0.28","66","5rgmgp5k","high"
"3","9","fixed","10","98","106","green-143","green","597","sampling-task","42","1953944","0.0-5.0-0.29-0.29","66","5rgmgp5k","high"
"3","10","fixed","10","98","94","green-67","green","638","sampling-task","43","1955824","0.0-5.0-0.30-0.30","66","5rgmgp5k","high"
"4","1","free","220","15","22","purple-109","purple","1972","sampling-task","46","1992119","0.0-5.0-0.31-0.31","66","5rgmgp5k","high"
"4","2","free","220","15","26","purple-188","purple","934","sampling-task","47","1995239","0.0-5.0-0.32-0.32","66","5rgmgp5k","high"
"4","3","free","220","15","24","purple-108","purple","462","sampling-task","48","1996999","0.0-5.0-0.33-0.33","66","5rgmgp5k","high"
"4","4","free","220","15","39","purple-99","purple","461","sampling-task","49","1998887","0.0-5.0-0.34-0.34","66","5rgmgp5k","high"
"4","5","free","220","15","13","purple-187","purple","1069","sampling-task","50","2001359","0.0-5.0-0.35-0.35","66","5rgmgp5k","high"
"4","6","free","220","15","44","purple-87","purple","662","sampling-task","51","2004991","0.0-5.0-0.36-0.36","66","5rgmgp5k","high"
"4","7","free","220","15","32","purple-152","purple","614","sampling-task","52","2007223","0.0-5.0-0.37-0.37","66","5rgmgp5k","high"
"4","8","free","220","15","-3","purple-83","purple","510","sampling-task","53","2009335","0.0-5.0-0.38-0.38","66","5rgmgp5k","high"
"4","9","free","220","15","22","purple-120","purple","557","sampling-task","54","2011911","0.0-5.0-0.39-0.39","66","5rgmgp5k","high"
"4","10","free","220","15","29","purple-69","purple","542","sampling-task","55","2014007","0.0-5.0-0.40-0.40","66","5rgmgp5k","high"
"4","11","free","220","15","30","purple-177","purple","622","sampling-task","56","2017167","0.0-5.0-0.41-0.41","66","5rgmgp5k","high"
"4","12","free","220","15","63","purple-88","purple","470","sampling-task","57","2020407","0.0-5.0-0.42-0.42","66","5rgmgp5k","high"
"4","13","free","220","15","-20","purple-170","purple","453","sampling-task","58","2022327","0.0-5.0-0.43-0.43","66","5rgmgp5k","high"
"4","14","free","220","15","41","purple-112","purple","494","sampling-task","59","2026703","0.0-5.0-0.44-0.44","66","5rgmgp5k","high"
"4","15","free","220","15","-7","purple-35","purple","550","sampling-task","60","2028487","0.0-5.0-0.45-0.45","66","5rgmgp5k","high"
"4","16","free","220","15","33","purple-214","purple","566","sampling-task","61","2030295","0.0-5.0-0.46-0.46","66","5rgmgp5k","high"
"4","17","free","220","15","44","purple-123","purple","502","sampling-task","62","2031823","0.0-5.0-0.47-0.47","66","5rgmgp5k","high"
"4","18","free","220","15","47","purple-184","purple","558","sampling-task","63","2033983","0.0-5.0-0.48-0.48","66","5rgmgp5k","high"
"4","19","free","220","15","28","purple-118","purple","542","sampling-task","64","2035591","0.0-5.0-0.49-0.49","66","5rgmgp5k","high"
"4","20","free","220","15","1","purple-28","purple","510","sampling-task","65","2037231","0.0-5.0-0.50-0.50","66","5rgmgp5k","high"
"4","21","free","220","15","24","purple-141","purple","558","sampling-task","66","2039087","0.0-5.0-0.51-0.51","66","5rgmgp5k","high"
"4","22","free","220","15","6","purple-190","purple","590","sampling-task","67","2041071","0.0-5.0-0.52-0.52","66","5rgmgp5k","high"
"4","23","free","220","15","20","purple-193","purple","574","sampling-task","68","2043222","0.0-5.0-0.53-0.53","66","5rgmgp5k","high"
"5","1","fixed","5","73","86","yellow-77","yellow","3845","sampling-task","71","2071486","0.0-5.0-0.54-0.54","66","5rgmgp5k","high"
"5","2","fixed","5","73","63","yellow-16","yellow","1037","sampling-task","72","2075398","0.0-5.0-0.55-0.55","66","5rgmgp5k","high"
"5","3","fixed","5","73","66","yellow-21","yellow","582","sampling-task","73","2077318","0.0-5.0-0.56-0.56","66","5rgmgp5k","high"
"5","4","fixed","5","73","77","yellow-12","yellow","567","sampling-task","74","2079230","0.0-5.0-0.57-0.57","66","5rgmgp5k","high"
"5","5","fixed","5","73","71","yellow-49","yellow","605","sampling-task","75","2081406","0.0-5.0-0.58-0.58","66","5rgmgp5k","high"
"6","1","free","220","116","89","orange-13","orange","1284","sampling-task","78","2109165","0.0-5.0-0.59-0.59","66","5rgmgp5k","high"
"6","2","free","220","116","149","orange-177","orange","1214","sampling-task","79","2115469","0.0-5.0-0.60-0.60","66","5rgmgp5k","high"
"6","3","free","220","116","121","orange-2","orange","718","sampling-task","80","2119429","0.0-5.0-0.61-0.61","66","5rgmgp5k","high"
"6","4","free","220","116","131","orange-84","orange","775","sampling-task","81","2121869","0.0-5.0-0.62-0.62","66","5rgmgp5k","high"
"6","5","free","220","116","94","orange-33","orange","638","sampling-task","82","2124293","0.0-5.0-0.63-0.63","66","5rgmgp5k","high"
"6","6","free","220","116","145","orange-214","orange","558","sampling-task","83","2128221","0.0-5.0-0.64-0.64","66","5rgmgp5k","high"
