"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","117","122","red-63","red","4393","sampling-task","6","1050599","0.0-5.0-0.0-0.0","67","7cbx93al","low"
"1","2","fixed","5","117","113","red-63","red","1134","sampling-task","7","1052790","0.0-5.0-0.1-0.1","67","7cbx93al","low"
"1","3","fixed","5","117","113","red-63","red","511","sampling-task","8","1054358","0.0-5.0-0.2-0.2","67","7cbx93al","low"
"1","4","fixed","5","117","144","red-63","red","471","sampling-task","9","1056390","0.0-5.0-0.3-0.3","67","7cbx93al","low"
"1","5","fixed","5","117","133","red-63","red","670","sampling-task","10","1058078","0.0-5.0-0.4-0.4","67","7cbx93al","low"
"2","1","free","220","11","-4","orange-40","orange","4508","sampling-task","13","1098014","0.0-5.0-0.5-0.5","67","7cbx93al","low"
"2","2","free","220","11","13","orange-40","orange","550","sampling-task","14","1099829","0.0-5.0-0.6-0.6","67","7cbx93al","low"
"2","3","free","220","11","5","orange-40","orange","390","sampling-task","15","1101118","0.0-5.0-0.7-0.7","67","7cbx93al","low"
"2","4","free","220","11","-7","orange-40","orange","478","sampling-task","16","1102574","0.0-5.0-0.8-0.8","67","7cbx93al","low"
"2","5","free","220","11","5","orange-40","orange","702","sampling-task","17","1105645","0.0-5.0-0.9-0.9","67","7cbx93al","low"
"2","6","free","220","11","-16","orange-40","orange","782","sampling-task","18","1109342","0.0-5.0-0.10-0.10","67","7cbx93al","low"
"2","7","free","220","11","8","orange-40","orange","390","sampling-task","19","1111134","0.0-5.0-0.11-0.11","67","7cbx93al","low"
"2","8","free","220","11","41","orange-40","orange","406","sampling-task","20","1112382","0.0-5.0-0.12-0.12","67","7cbx93al","low"
"2","9","free","220","11","1","orange-40","orange","278","sampling-task","21","1113478","0.0-5.0-0.13-0.13","67","7cbx93al","low"
"2","10","free","220","11","58","orange-40","orange","358","sampling-task","22","1114670","0.0-5.0-0.14-0.14","67","7cbx93al","low"
"2","11","free","220","11","5","orange-40","orange","302","sampling-task","23","1115798","0.0-5.0-0.15-0.15","67","7cbx93al","low"
"2","12","free","220","11","9","orange-40","orange","382","sampling-task","24","1117102","0.0-5.0-0.16-0.16","67","7cbx93al","low"
"2","13","free","220","11","-21","orange-40","orange","262","sampling-task","25","1118294","0.0-5.0-0.17-0.17","67","7cbx93al","low"
"2","14","free","220","11","-25","orange-40","orange","269","sampling-task","26","1119374","0.0-5.0-0.18-0.18","67","7cbx93al","low"
"2","15","free","220","11","19","orange-40","orange","254","sampling-task","27","1120534","0.0-5.0-0.19-0.19","67","7cbx93al","low"
"2","16","free","220","11","-2","orange-40","orange","270","sampling-task","28","1122077","0.0-5.0-0.20-0.20","67","7cbx93al","low"
"3","1","fixed","10","90","57","green-10","green","3604","sampling-task","31","1159652","0.0-5.0-0.21-0.21","67","7cbx93al","low"
"3","2","fixed","10","90","104","green-10","green","374","sampling-task","32","1161108","0.0-5.0-0.22-0.22","67","7cbx93al","low"
