"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","17","21","blue-110","blue","10332","sampling-task","6","1293209","0.0-5.0-0.0-0.0","68","xdntxzbb","high"
"1","2","fixed","10","17","0","blue-131","blue","2214","sampling-task","7","1297889","0.0-5.0-0.1-0.1","68","xdntxzbb","high"
"1","3","fixed","10","17","-11","blue-162","blue","2550","sampling-task","8","1303536","0.0-5.0-0.2-0.2","68","xdntxzbb","high"
"1","4","fixed","10","17","39","blue-97","blue","911","sampling-task","9","1313504","0.0-5.0-0.3-0.3","68","xdntxzbb","high"
"1","5","fixed","10","17","-25","blue-33","blue","1143","sampling-task","10","1317080","0.0-5.0-0.4-0.4","68","xdntxzbb","high"
"1","6","fixed","10","17","1","blue-162","blue","1223","sampling-task","11","1320016","0.0-5.0-0.5-0.5","68","xdntxzbb","high"
"1","7","fixed","10","17","8","blue-16","blue","1046","sampling-task","12","1325384","0.0-5.0-0.6-0.6","68","xdntxzbb","high"
"1","8","fixed","10","17","28","blue-160","blue","1838","sampling-task","13","1329223","0.0-5.0-0.7-0.7","68","xdntxzbb","high"
"1","9","fixed","10","17","23","blue-100","blue","942","sampling-task","14","1333432","0.0-5.0-0.8-0.8","68","xdntxzbb","high"
"1","10","fixed","10","17","-29","blue-152","blue","870","sampling-task","15","1336344","0.0-5.0-0.9-0.9","68","xdntxzbb","high"
"2","1","free","220","92","66","red-31","red","5003","sampling-task","18","1387151","0.0-5.0-0.10-0.10","68","xdntxzbb","high"
"2","2","free","220","92","116","red-113","red","694","sampling-task","19","1390231","0.0-5.0-0.11-0.11","68","xdntxzbb","high"
"2","3","free","220","92","86","red-182","red","894","sampling-task","20","1392695","0.0-5.0-0.12-0.12","68","xdntxzbb","high"
"2","4","free","220","92","69","red-73","red","806","sampling-task","21","1395047","0.0-5.0-0.13-0.13","68","xdntxzbb","high"
"2","5","free","220","92","87","red-118","red","830","sampling-task","22","1397255","0.0-5.0-0.14-0.14","68","xdntxzbb","high"
"2","6","free","220","92","78","red-154","red","638","sampling-task","23","1399247","0.0-5.0-0.15-0.15","68","xdntxzbb","high"
"2","7","free","220","92","119","red-56","red","527","sampling-task","24","1401031","0.0-5.0-0.16-0.16","68","xdntxzbb","high"
"2","8","free","220","92","77","red-118","red","582","sampling-task","25","1403999","0.0-5.0-0.17-0.17","68","xdntxzbb","high"
"3","1","fixed","20","56","74","orange-169","orange","6164","sampling-task","28","1446006","0.0-5.0-0.18-0.18","68","xdntxzbb","high"
"3","2","fixed","20","56","-4","orange-204","orange","687","sampling-task","29","1448766","0.0-5.0-0.19-0.19","68","xdntxzbb","high"
"3","3","fixed","20","56","77","orange-77","orange","733","sampling-task","30","1450806","0.0-5.0-0.20-0.20","68","xdntxzbb","high"
"3","4","fixed","20","56","48","orange-130","orange","902","sampling-task","31","1454254","0.0-5.0-0.21-0.21","68","xdntxzbb","high"
"3","5","fixed","20","56","68","orange-69","orange","822","sampling-task","32","1457638","0.0-5.0-0.22-0.22","68","xdntxzbb","high"
