"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","90","99","blue-166","blue","5751","sampling-task","6","331286","0.0-5.0-0.0-0.0","69","u1mefgok","low"
"1","2","fixed","20","90","85","blue-166","blue","15813","sampling-task","7","350133","0.0-5.0-0.1-0.1","69","u1mefgok","low"
"1","3","fixed","20","90","83","blue-166","blue","726","sampling-task","8","355781","0.0-5.0-0.2-0.2","69","u1mefgok","low"
"1","4","fixed","20","90","130","blue-166","blue","6430","sampling-task","9","364277","0.0-5.0-0.3-0.3","69","u1mefgok","low"
"1","5","fixed","20","90","111","blue-166","blue","3790","sampling-task","10","369317","0.0-5.0-0.4-0.4","69","u1mefgok","low"
"1","6","fixed","20","90","91","blue-166","blue","998","sampling-task","11","371390","0.0-5.0-0.5-0.5","69","u1mefgok","low"
"1","7","fixed","20","90","90","blue-166","blue","1318","sampling-task","12","373813","0.0-5.0-0.6-0.6","69","u1mefgok","low"
"1","8","fixed","20","90","118","blue-166","blue","974","sampling-task","13","375805","0.0-5.0-0.7-0.7","69","u1mefgok","low"
"1","9","fixed","20","90","116","blue-166","blue","1359","sampling-task","14","378269","0.0-5.0-0.8-0.8","69","u1mefgok","low"
"1","10","fixed","20","90","75","blue-166","blue","1543","sampling-task","15","380853","0.0-5.0-0.9-0.9","69","u1mefgok","low"
"1","11","fixed","20","90","97","blue-166","blue","3846","sampling-task","16","385758","0.0-5.0-0.10-0.10","69","u1mefgok","low"
"1","12","fixed","20","90","79","blue-166","blue","750","sampling-task","17","387597","0.0-5.0-0.11-0.11","69","u1mefgok","low"
"1","13","fixed","20","90","104","blue-166","blue","718","sampling-task","18","389301","0.0-5.0-0.12-0.12","69","u1mefgok","low"
"1","14","fixed","20","90","86","blue-166","blue","998","sampling-task","19","391397","0.0-5.0-0.13-0.13","69","u1mefgok","low"
"1","15","fixed","20","90","82","blue-166","blue","942","sampling-task","20","393189","0.0-5.0-0.14-0.14","69","u1mefgok","low"
"1","16","fixed","20","90","99","blue-166","blue","1110","sampling-task","21","398908","0.0-5.0-0.15-0.15","69","u1mefgok","low"
"1","17","fixed","20","90","67","blue-166","blue","1526","sampling-task","22","401484","0.0-5.0-0.16-0.16","69","u1mefgok","low"
"1","18","fixed","20","90","107","blue-166","blue","886","sampling-task","23","403596","0.0-5.0-0.17-0.17","69","u1mefgok","low"
"1","19","fixed","20","90","102","blue-166","blue","1710","sampling-task","24","406405","0.0-5.0-0.18-0.18","69","u1mefgok","low"
"1","20","fixed","20","90","68","blue-166","blue","2054","sampling-task","25","410573","0.0-5.0-0.19-0.19","69","u1mefgok","low"
"2","1","free","220","10","6","orange-212","orange","2688","sampling-task","28","468276","0.0-5.0-0.20-0.20","69","u1mefgok","low"
"2","2","free","220","10","26","orange-212","orange","486","sampling-task","29","469868","0.0-5.0-0.21-0.21","69","u1mefgok","low"
"2","3","free","220","10","37","orange-212","orange","710","sampling-task","30","471612","0.0-5.0-0.22-0.22","69","u1mefgok","low"
"2","4","free","220","10","52","orange-212","orange","630","sampling-task","31","473500","0.0-5.0-0.23-0.23","69","u1mefgok","low"
"2","5","free","220","10","-18","orange-212","orange","494","sampling-task","32","475148","0.0-5.0-0.24-0.24","69","u1mefgok","low"
"2","6","free","220","10","57","orange-212","orange","478","sampling-task","33","476548","0.0-5.0-0.25-0.25","69","u1mefgok","low"
"2","7","free","220","10","9","orange-212","orange","476","sampling-task","34","478116","0.0-5.0-0.26-0.26","69","u1mefgok","low"
"2","8","free","220","10","8","orange-212","orange","366","sampling-task","35","479364","0.0-5.0-0.27-0.27","69","u1mefgok","low"
"2","9","free","220","10","1","orange-212","orange","462","sampling-task","36","480684","0.0-5.0-0.28-0.28","69","u1mefgok","low"
"2","10","free","220","10","10","orange-212","orange","446","sampling-task","37","482044","0.0-5.0-0.29-0.29","69","u1mefgok","low"
"2","11","free","220","10","-25","orange-212","orange","438","sampling-task","38","483372","0.0-5.0-0.30-0.30","69","u1mefgok","low"
"2","12","free","220","10","4","orange-212","orange","398","sampling-task","39","484652","0.0-5.0-0.31-0.31","69","u1mefgok","low"
"2","13","free","220","10","28","orange-212","orange","438","sampling-task","40","486316","0.0-5.0-0.32-0.32","69","u1mefgok","low"
"2","14","free","220","10","26","orange-212","orange","446","sampling-task","41","488164","0.0-5.0-0.33-0.33","69","u1mefgok","low"
"2","15","free","220","10","-7","orange-212","orange","478","sampling-task","42","489748","0.0-5.0-0.34-0.34","69","u1mefgok","low"
"2","16","free","220","10","-33","orange-212","orange","454","sampling-task","43","491356","0.0-5.0-0.35-0.35","69","u1mefgok","low"
"2","17","free","220","10","51","orange-212","orange","430","sampling-task","44","492724","0.0-5.0-0.36-0.36","69","u1mefgok","low"
"2","18","free","220","10","10","orange-212","orange","423","sampling-task","45","494052","0.0-5.0-0.37-0.37","69","u1mefgok","low"
"2","19","free","220","10","9","orange-212","orange","430","sampling-task","46","495364","0.0-5.0-0.38-0.38","69","u1mefgok","low"
"2","20","free","220","10","-1","orange-212","orange","399","sampling-task","47","496652","0.0-5.0-0.39-0.39","69","u1mefgok","low"
