"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","15","40","green-111","green","13569","sampling-task","6","372606","0.0-5.0-0.0-0.0","7","86he32pd","high"
"1","2","fixed","10","15","-28","green-126","green","1069","sampling-task","7","375469","0.0-5.0-0.1-0.1","7","86he32pd","high"
"1","3","fixed","10","15","-7","green-95","green","2046","sampling-task","8","380168","0.0-5.0-0.2-0.2","7","86he32pd","high"
"1","4","fixed","10","15","-5","green-17","green","1090","sampling-task","9","382629","0.0-5.0-0.3-0.3","7","86he32pd","high"
"1","5","fixed","10","15","18","green-212","green","1110","sampling-task","10","386157","0.0-5.0-0.4-0.4","7","86he32pd","high"
"1","6","fixed","10","15","33","green-61","green","1374","sampling-task","11","389893","0.0-5.0-0.5-0.5","7","86he32pd","high"
"1","7","fixed","10","15","21","green-119","green","1150","sampling-task","12","392349","0.0-5.0-0.6-0.6","7","86he32pd","high"
"1","8","fixed","10","15","-8","green-142","green","910","sampling-task","13","394661","0.0-5.0-0.7-0.7","7","86he32pd","high"
"1","9","fixed","10","15","13","green-121","green","926","sampling-task","14","397381","0.0-5.0-0.8-0.8","7","86he32pd","high"
"1","10","fixed","10","15","15","green-22","green","982","sampling-task","15","400237","0.0-5.0-0.9-0.9","7","86he32pd","high"
"2","1","free","220","118","141","blue-180","blue","3132","sampling-task","18","449156","0.0-5.0-0.10-0.10","7","86he32pd","high"
"2","2","free","220","118","105","blue-178","blue","878","sampling-task","19","451628","0.0-5.0-0.11-0.11","7","86he32pd","high"
"2","3","free","220","118","108","blue-130","blue","750","sampling-task","20","453924","0.0-5.0-0.12-0.12","7","86he32pd","high"
"2","4","free","220","118","142","blue-133","blue","918","sampling-task","21","456156","0.0-5.0-0.13-0.13","7","86he32pd","high"
"2","5","free","220","118","87","blue-177","blue","654","sampling-task","22","457988","0.0-5.0-0.14-0.14","7","86he32pd","high"
"2","6","free","220","118","116","blue-60","blue","750","sampling-task","23","459964","0.0-5.0-0.15-0.15","7","86he32pd","high"
"2","7","free","220","118","119","blue-41","blue","1190","sampling-task","24","462916","0.0-5.0-0.16-0.16","7","86he32pd","high"
"2","8","free","220","118","110","blue-91","blue","630","sampling-task","25","465508","0.0-5.0-0.17-0.17","7","86he32pd","high"
"2","9","free","220","118","123","blue-124","blue","587","sampling-task","26","467316","0.0-5.0-0.18-0.18","7","86he32pd","high"
"2","10","free","220","118","145","blue-9","blue","702","sampling-task","27","471324","0.0-5.0-0.19-0.19","7","86he32pd","high"
"2","11","free","220","118","108","blue-198","blue","550","sampling-task","28","473004","0.0-5.0-0.20-0.20","7","86he32pd","high"
"2","12","free","220","118","125","blue-148","blue","606","sampling-task","29","474549","0.0-5.0-0.21-0.21","7","86he32pd","high"
"2","13","free","220","118","120","blue-89","blue","845","sampling-task","30","476732","0.0-5.0-0.22-0.22","7","86he32pd","high"
"2","14","free","220","118","70","blue-99","blue","750","sampling-task","31","478492","0.0-5.0-0.23-0.23","7","86he32pd","high"
"2","15","free","220","118","104","blue-203","blue","630","sampling-task","32","480564","0.0-5.0-0.24-0.24","7","86he32pd","high"
"2","16","free","220","118","112","blue-113","blue","662","sampling-task","33","482292","0.0-5.0-0.25-0.25","7","86he32pd","high"
"2","17","free","220","118","108","blue-210","blue","670","sampling-task","34","484300","0.0-5.0-0.26-0.26","7","86he32pd","high"
"2","18","free","220","118","107","blue-53","blue","678","sampling-task","35","486044","0.0-5.0-0.27-0.27","7","86he32pd","high"
"2","19","free","220","118","101","blue-47","blue","710","sampling-task","36","487924","0.0-5.0-0.28-0.28","7","86he32pd","high"
"2","20","free","220","118","156","blue-164","blue","966","sampling-task","37","492724","0.0-5.0-0.29-0.29","7","86he32pd","high"
"2","21","free","220","118","134","blue-4","blue","606","sampling-task","38","494572","0.0-5.0-0.30-0.30","7","86he32pd","high"
"2","22","free","220","118","130","blue-192","blue","558","sampling-task","39","496252","0.0-5.0-0.31-0.31","7","86he32pd","high"
"2","23","free","220","118","141","blue-44","blue","582","sampling-task","40","497876","0.0-5.0-0.32-0.32","7","86he32pd","high"
"2","24","free","220","118","120","blue-130","blue","566","sampling-task","41","499340","0.0-5.0-0.33-0.33","7","86he32pd","high"
"2","25","free","220","118","93","blue-206","blue","582","sampling-task","42","500908","0.0-5.0-0.34-0.34","7","86he32pd","high"
"2","26","free","220","118","146","blue-145","blue","494","sampling-task","43","502676","0.0-5.0-0.35-0.35","7","86he32pd","high"
"2","27","free","220","118","121","blue-80","blue","526","sampling-task","44","504524","0.0-5.0-0.36-0.36","7","86he32pd","high"
"2","28","free","220","118","70","blue-44","blue","574","sampling-task","45","506012","0.0-5.0-0.37-0.37","7","86he32pd","high"
"2","29","free","220","118","126","blue-119","blue","748","sampling-task","46","507796","0.0-5.0-0.38-0.38","7","86he32pd","high"
"2","30","free","220","118","123","blue-149","blue","677","sampling-task","47","509491","0.0-5.0-0.39-0.39","7","86he32pd","high"
"2","31","free","220","118","155","blue-219","blue","717","sampling-task","48","511555","0.0-5.0-0.40-0.40","7","86he32pd","high"
"2","32","free","220","118","94","blue-214","blue","598","sampling-task","49","513299","0.0-5.0-0.41-0.41","7","86he32pd","high"
"2","33","free","220","118","97","blue-5","blue","582","sampling-task","50","515011","0.0-5.0-0.42-0.42","7","86he32pd","high"
"2","34","free","220","118","142","blue-158","blue","550","sampling-task","51","517131","0.0-5.0-0.43-0.43","7","86he32pd","high"
"2","35","free","220","118","124","blue-73","blue","518","sampling-task","52","518955","0.0-5.0-0.44-0.44","7","86he32pd","high"
"2","36","free","220","118","111","blue-157","blue","542","sampling-task","53","520451","0.0-5.0-0.45-0.45","7","86he32pd","high"
"2","37","free","220","118","115","blue-135","blue","542","sampling-task","54","522051","0.0-5.0-0.46-0.46","7","86he32pd","high"
