"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","31","58","red-208","red","5621","sampling-task","6","7171149","0.0-5.0-0.0-0.0","70","bymhk8kc","high"
"1","2","fixed","10","31","37","red-4","red","3606","sampling-task","7","7179109","0.0-5.0-0.1-0.1","70","bymhk8kc","high"
"1","3","fixed","10","31","46","red-185","red","1790","sampling-task","8","7183325","0.0-5.0-0.2-0.2","70","bymhk8kc","high"
"1","4","fixed","10","31","-10","red-171","red","1062","sampling-task","9","7185733","0.0-5.0-0.3-0.3","70","bymhk8kc","high"
"1","5","fixed","10","31","64","red-73","red","1030","sampling-task","10","7188213","0.0-5.0-0.4-0.4","70","bymhk8kc","high"
"1","6","fixed","10","31","41","red-216","red","1022","sampling-task","11","7190557","0.0-5.0-0.5-0.5","70","bymhk8kc","high"
"1","7","fixed","10","31","47","red-44","red","1094","sampling-task","12","7192941","0.0-5.0-0.6-0.6","70","bymhk8kc","high"
"1","8","fixed","10","31","6","red-118","red","1302","sampling-task","13","7195245","0.0-5.0-0.7-0.7","70","bymhk8kc","high"
"1","9","fixed","10","31","38","red-209","red","1726","sampling-task","14","7198236","0.0-5.0-0.8-0.8","70","bymhk8kc","high"
"1","10","fixed","10","31","76","red-91","red","927","sampling-task","15","7202061","0.0-5.0-0.9-0.9","70","bymhk8kc","high"
"2","1","free","220","110","121","green-41","green","6925","sampling-task","18","7265504","0.0-5.0-0.10-0.10","70","bymhk8kc","high"
"2","2","free","220","110","91","green-151","green","1766","sampling-task","19","7268912","0.0-5.0-0.11-0.11","70","bymhk8kc","high"
"2","3","free","220","110","109","green-212","green","2839","sampling-task","20","7272800","0.0-5.0-0.12-0.12","70","bymhk8kc","high"
"2","4","free","220","110","133","green-120","green","761","sampling-task","21","7274620","0.0-5.0-0.13-0.13","70","bymhk8kc","high"
"2","5","free","220","110","95","green-94","green","622","sampling-task","22","7276164","0.0-5.0-0.14-0.14","70","bymhk8kc","high"
"2","6","free","220","110","116","green-127","green","710","sampling-task","23","7277796","0.0-5.0-0.15-0.15","70","bymhk8kc","high"
"2","7","free","220","110","80","green-38","green","590","sampling-task","24","7279332","0.0-5.0-0.16-0.16","70","bymhk8kc","high"
"2","8","free","220","110","103","green-205","green","550","sampling-task","25","7281068","0.0-5.0-0.17-0.17","70","bymhk8kc","high"
"2","9","free","220","110","137","green-60","green","621","sampling-task","26","7282588","0.0-5.0-0.18-0.18","70","bymhk8kc","high"
"2","10","free","220","110","97","green-30","green","638","sampling-task","27","7284236","0.0-5.0-0.19-0.19","70","bymhk8kc","high"
