"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","95","136","red-122","red","9981","sampling-task","21","1208637","0.0-5.0-0.0-0.0","71","qnkn7fdg","high"
"1","2","fixed","20","95","112","red-116","red","1894","sampling-task","22","1212085","0.0-5.0-0.1-0.1","71","qnkn7fdg","high"
"1","3","fixed","20","95","105","red-217","red","934","sampling-task","23","1214333","0.0-5.0-0.2-0.2","71","qnkn7fdg","high"
"1","4","fixed","20","95","98","red-171","red","894","sampling-task","24","1216365","0.0-5.0-0.3-0.3","71","qnkn7fdg","high"
"1","5","fixed","20","95","118","red-43","red","798","sampling-task","25","1220589","0.0-5.0-0.4-0.4","71","qnkn7fdg","high"
"1","6","fixed","20","95","108","red-143","red","598","sampling-task","26","1222277","0.0-5.0-0.5-0.5","71","qnkn7fdg","high"
"1","7","fixed","20","95","85","red-153","red","574","sampling-task","27","1223773","0.0-5.0-0.6-0.6","71","qnkn7fdg","high"
"1","8","fixed","20","95","69","red-166","red","574","sampling-task","28","1225365","0.0-5.0-0.7-0.7","71","qnkn7fdg","high"
"1","9","fixed","20","95","75","red-50","red","558","sampling-task","29","1226909","0.0-5.0-0.8-0.8","71","qnkn7fdg","high"
"1","10","fixed","20","95","116","red-63","red","510","sampling-task","30","1239994","0.0-5.0-0.9-0.9","71","qnkn7fdg","high"
"1","11","fixed","20","95","119","red-68","red","3510","sampling-task","31","1244585","0.0-5.0-0.10-0.10","71","qnkn7fdg","high"
"1","12","fixed","20","95","98","red-172","red","4614","sampling-task","32","1251761","0.0-5.0-0.11-0.11","71","qnkn7fdg","high"
"1","13","fixed","20","95","76","red-167","red","598","sampling-task","33","1253225","0.0-5.0-0.12-0.12","71","qnkn7fdg","high"
"1","14","fixed","20","95","124","red-111","red","550","sampling-task","34","1269745","0.0-5.0-0.13-0.13","71","qnkn7fdg","high"
"1","15","fixed","20","95","121","red-140","red","502","sampling-task","35","1271121","0.0-5.0-0.14-0.14","71","qnkn7fdg","high"
"1","16","fixed","20","95","109","red-46","red","518","sampling-task","36","1272690","0.0-5.0-0.15-0.15","71","qnkn7fdg","high"
"1","17","fixed","20","95","73","red-16","red","518","sampling-task","37","1274081","0.0-5.0-0.16-0.16","71","qnkn7fdg","high"
"1","18","fixed","20","95","87","red-136","red","550","sampling-task","38","1275498","0.0-5.0-0.17-0.17","71","qnkn7fdg","high"
"1","19","fixed","20","95","84","red-159","red","542","sampling-task","39","1277122","0.0-5.0-0.18-0.18","71","qnkn7fdg","high"
"1","20","fixed","20","95","81","red-185","red","486","sampling-task","40","1278498","0.0-5.0-0.19-0.19","71","qnkn7fdg","high"
"2","1","free","220","57","44","yellow-39","yellow","1860","sampling-task","43","1312182","0.0-5.0-0.20-0.20","71","qnkn7fdg","high"
"2","2","free","220","57","39","yellow-160","yellow","734","sampling-task","44","1313798","0.0-5.0-0.21-0.21","71","qnkn7fdg","high"
"2","3","free","220","57","56","yellow-104","yellow","550","sampling-task","45","1315246","0.0-5.0-0.22-0.22","71","qnkn7fdg","high"
"2","4","free","220","57","64","yellow-137","yellow","630","sampling-task","46","1316750","0.0-5.0-0.23-0.23","71","qnkn7fdg","high"
"2","5","free","220","57","74","yellow-114","yellow","574","sampling-task","47","1320302","0.0-5.0-0.24-0.24","71","qnkn7fdg","high"
"2","6","free","220","57","32","yellow-157","yellow","734","sampling-task","48","1322238","0.0-5.0-0.25-0.25","71","qnkn7fdg","high"
"2","7","free","220","57","29","yellow-156","yellow","909","sampling-task","49","1324078","0.0-5.0-0.26-0.26","71","qnkn7fdg","high"
"2","8","free","220","57","35","yellow-7","yellow","806","sampling-task","50","1326198","0.0-5.0-0.27-0.27","71","qnkn7fdg","high"
"2","9","free","220","57","42","yellow-32","yellow","733","sampling-task","51","1327990","0.0-5.0-0.28-0.28","71","qnkn7fdg","high"
"2","10","free","220","57","85","yellow-120","yellow","822","sampling-task","52","1329982","0.0-5.0-0.29-0.29","71","qnkn7fdg","high"
"2","11","free","220","57","33","yellow-180","yellow","830","sampling-task","53","1331766","0.0-5.0-0.30-0.30","71","qnkn7fdg","high"
