"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","78","100","blue-134","blue","19840","sampling-task","6","2893697","0.0-5.0-0.0-0.0","72","jqcwmlgv","high"
"1","2","fixed","10","78","89","blue-121","blue","3118","sampling-task","7","2901505","0.0-5.0-0.1-0.1","72","jqcwmlgv","high"
"1","3","fixed","10","78","80","blue-166","blue","2102","sampling-task","8","2906353","0.0-5.0-0.2-0.2","72","jqcwmlgv","high"
"1","4","fixed","10","78","103","blue-212","blue","1958","sampling-task","9","2910017","0.0-5.0-0.3-0.3","72","jqcwmlgv","high"
"1","5","fixed","10","78","77","blue-219","blue","1647","sampling-task","10","2913097","0.0-5.0-0.4-0.4","72","jqcwmlgv","high"
"1","6","fixed","10","78","120","blue-20","blue","1286","sampling-task","11","2917385","0.0-5.0-0.5-0.5","72","jqcwmlgv","high"
"1","7","fixed","10","78","79","blue-41","blue","2806","sampling-task","12","2921641","0.0-5.0-0.6-0.6","72","jqcwmlgv","high"
"1","8","fixed","10","78","64","blue-35","blue","1710","sampling-task","13","2925009","0.0-5.0-0.7-0.7","72","jqcwmlgv","high"
"1","9","fixed","10","78","80","blue-109","blue","918","sampling-task","14","2927441","0.0-5.0-0.8-0.8","72","jqcwmlgv","high"
"1","10","fixed","10","78","60","blue-186","blue","1430","sampling-task","15","2930417","0.0-5.0-0.9-0.9","72","jqcwmlgv","high"
"2","1","free","220","111","100","yellow-152","yellow","12336","sampling-task","18","2999539","0.0-5.0-0.10-0.10","72","jqcwmlgv","high"
"2","2","free","220","111","113","yellow-213","yellow","894","sampling-task","19","3003578","0.0-5.0-0.11-0.11","72","jqcwmlgv","high"
"2","3","free","220","111","117","yellow-196","yellow","1279","sampling-task","20","3008522","0.0-5.0-0.12-0.12","72","jqcwmlgv","high"
"2","4","free","220","111","116","yellow-55","yellow","951","sampling-task","21","3011986","0.0-5.0-0.13-0.13","72","jqcwmlgv","high"
"2","5","free","220","111","109","yellow-27","yellow","1926","sampling-task","22","3015618","0.0-5.0-0.14-0.14","72","jqcwmlgv","high"
"2","6","free","220","111","113","yellow-187","yellow","1142","sampling-task","23","3022146","0.0-5.0-0.15-0.15","72","jqcwmlgv","high"
"2","7","free","220","111","83","yellow-135","yellow","1318","sampling-task","24","3026682","0.0-5.0-0.16-0.16","72","jqcwmlgv","high"
"2","8","free","220","111","116","yellow-126","yellow","1535","sampling-task","25","3030690","0.0-5.0-0.17-0.17","72","jqcwmlgv","high"
"2","9","free","220","111","98","yellow-194","yellow","1918","sampling-task","26","3034330","0.0-5.0-0.18-0.18","72","jqcwmlgv","high"
"2","10","free","220","111","132","yellow-19","yellow","3590","sampling-task","27","3039850","0.0-5.0-0.19-0.19","72","jqcwmlgv","high"
"2","11","free","220","111","139","yellow-124","yellow","2599","sampling-task","28","3043794","0.0-5.0-0.20-0.20","72","jqcwmlgv","high"
"2","12","free","220","111","125","yellow-90","yellow","1206","sampling-task","29","3046458","0.0-5.0-0.21-0.21","72","jqcwmlgv","high"
"2","13","free","220","111","127","yellow-80","yellow","1095","sampling-task","30","3048738","0.0-5.0-0.22-0.22","72","jqcwmlgv","high"
"2","14","free","220","111","82","yellow-8","yellow","1063","sampling-task","31","3050875","0.0-5.0-0.23-0.23","72","jqcwmlgv","high"
"2","15","free","220","111","110","yellow-172","yellow","806","sampling-task","32","3057794","0.0-5.0-0.24-0.24","72","jqcwmlgv","high"
"2","16","free","220","111","105","yellow-177","yellow","1078","sampling-task","33","3060514","0.0-5.0-0.25-0.25","72","jqcwmlgv","high"
"2","17","free","220","111","115","yellow-31","yellow","758","sampling-task","34","3063386","0.0-5.0-0.26-0.26","72","jqcwmlgv","high"
"2","18","free","220","111","103","yellow-169","yellow","822","sampling-task","35","3067777","0.0-5.0-0.27-0.27","72","jqcwmlgv","high"
"2","19","free","220","111","166","yellow-215","yellow","1190","sampling-task","36","3072178","0.0-5.0-0.28-0.28","72","jqcwmlgv","high"
"2","20","free","220","111","111","yellow-123","yellow","910","sampling-task","37","3074433","0.0-5.0-0.29-0.29","72","jqcwmlgv","high"
"2","21","free","220","111","89","yellow-136","yellow","1550","sampling-task","38","3077690","0.0-5.0-0.30-0.30","72","jqcwmlgv","high"
"3","1","fixed","5","96","94","orange-98","orange","6602","sampling-task","41","3123183","0.0-5.0-0.31-0.31","72","jqcwmlgv","high"
"3","2","fixed","5","96","65","orange-30","orange","1502","sampling-task","42","3125911","0.0-5.0-0.32-0.32","72","jqcwmlgv","high"
"3","3","fixed","5","96","84","orange-50","orange","951","sampling-task","43","3128887","0.0-5.0-0.33-0.33","72","jqcwmlgv","high"
"3","4","fixed","5","96","44","orange-87","orange","927","sampling-task","44","3130943","0.0-5.0-0.34-0.34","72","jqcwmlgv","high"
"3","5","fixed","5","96","87","orange-90","orange","829","sampling-task","45","3133543","0.0-5.0-0.35-0.35","72","jqcwmlgv","high"
