"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","38","64","purple-107","purple","4805","sampling-task","6","302392","0.0-5.0-0.0-0.0","73","26kptx8a","high"
"1","2","fixed","10","38","13","purple-82","purple","1885","sampling-task","7","306520","0.0-5.0-0.1-0.1","73","26kptx8a","high"
"1","3","fixed","10","38","19","purple-125","purple","1390","sampling-task","8","309736","0.0-5.0-0.2-0.2","73","26kptx8a","high"
"1","4","fixed","10","38","57","purple-119","purple","2878","sampling-task","9","314920","0.0-5.0-0.3-0.3","73","26kptx8a","high"
"1","5","fixed","10","38","79","purple-87","purple","1501","sampling-task","10","318600","0.0-5.0-0.4-0.4","73","26kptx8a","high"
"1","6","fixed","10","38","17","purple-145","purple","1302","sampling-task","11","321968","0.0-5.0-0.5-0.5","73","26kptx8a","high"
"1","7","fixed","10","38","25","purple-13","purple","1110","sampling-task","12","325384","0.0-5.0-0.6-0.6","73","26kptx8a","high"
"1","8","fixed","10","38","36","purple-70","purple","1038","sampling-task","13","328104","0.0-5.0-0.7-0.7","73","26kptx8a","high"
"1","9","fixed","10","38","39","purple-148","purple","1110","sampling-task","14","331032","0.0-5.0-0.8-0.8","73","26kptx8a","high"
"1","10","fixed","10","38","78","purple-190","purple","1366","sampling-task","15","334624","0.0-5.0-0.9-0.9","73","26kptx8a","high"
"2","1","free","220","76","82","blue-117","blue","4796","sampling-task","18","378367","0.0-5.0-0.10-0.10","73","26kptx8a","high"
"2","2","free","220","76","65","blue-42","blue","934","sampling-task","19","381750","0.0-5.0-0.11-0.11","73","26kptx8a","high"
"2","3","free","220","76","63","blue-69","blue","790","sampling-task","20","383959","0.0-5.0-0.12-0.12","73","26kptx8a","high"
"2","4","free","220","76","117","blue-114","blue","822","sampling-task","21","386351","0.0-5.0-0.13-0.13","73","26kptx8a","high"
"2","5","free","220","76","74","blue-210","blue","854","sampling-task","22","388487","0.0-5.0-0.14-0.14","73","26kptx8a","high"
"2","6","free","220","76","60","blue-29","blue","982","sampling-task","23","390743","0.0-5.0-0.15-0.15","73","26kptx8a","high"
"2","7","free","220","76","86","blue-207","blue","814","sampling-task","24","392694","0.0-5.0-0.16-0.16","73","26kptx8a","high"
