"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","111","110","orange-109","orange","9566","sampling-task","6","1399198","0.0-5.0-0.0-0.0","74","8jbvdvk2","low"
"1","2","fixed","10","111","124","orange-109","orange","7181","sampling-task","7","1413809","0.0-5.0-0.1-0.1","74","8jbvdvk2","low"
"1","3","fixed","10","111","121","orange-109","orange","2806","sampling-task","8","1418568","0.0-5.0-0.2-0.2","74","8jbvdvk2","low"
"1","4","fixed","10","111","121","orange-109","orange","4022","sampling-task","9","1424224","0.0-5.0-0.3-0.3","74","8jbvdvk2","low"
"1","5","fixed","10","111","123","orange-109","orange","1254","sampling-task","10","1428257","0.0-5.0-0.4-0.4","74","8jbvdvk2","low"
"1","6","fixed","10","111","143","orange-109","orange","2158","sampling-task","11","1431849","0.0-5.0-0.5-0.5","74","8jbvdvk2","low"
"1","7","fixed","10","111","132","orange-109","orange","1382","sampling-task","12","1434641","0.0-5.0-0.6-0.6","74","8jbvdvk2","low"
"1","8","fixed","10","111","148","orange-109","orange","2190","sampling-task","13","1438169","0.0-5.0-0.7-0.7","74","8jbvdvk2","low"
"1","9","fixed","10","111","107","orange-109","orange","3742","sampling-task","14","1443289","0.0-5.0-0.8-0.8","74","8jbvdvk2","low"
"1","10","fixed","10","111","121","orange-109","orange","1886","sampling-task","15","1446249","0.0-5.0-0.9-0.9","74","8jbvdvk2","low"
"2","1","free","220","19","15","blue-12","blue","6555","sampling-task","18","1522948","0.0-5.0-0.10-0.10","74","8jbvdvk2","low"
"2","2","free","220","19","40","blue-12","blue","662","sampling-task","19","1525052","0.0-5.0-0.11-0.11","74","8jbvdvk2","low"
"2","3","free","220","19","69","blue-12","blue","1406","sampling-task","20","1527500","0.0-5.0-0.12-0.12","74","8jbvdvk2","low"
"2","4","free","220","19","0","blue-12","blue","1638","sampling-task","21","1530604","0.0-5.0-0.13-0.13","74","8jbvdvk2","low"
"2","5","free","220","19","23","blue-12","blue","1406","sampling-task","22","1533972","0.0-5.0-0.14-0.14","74","8jbvdvk2","low"
"2","6","free","220","19","50","blue-12","blue","1209","sampling-task","23","1536343","0.0-5.0-0.15-0.15","74","8jbvdvk2","low"
"2","7","free","220","19","23","blue-12","blue","917","sampling-task","24","1538343","0.0-5.0-0.16-0.16","74","8jbvdvk2","low"
"2","8","free","220","19","3","blue-12","blue","1349","sampling-task","25","1541047","0.0-5.0-0.17-0.17","74","8jbvdvk2","low"
"2","9","free","220","19","28","blue-12","blue","1189","sampling-task","26","1543567","0.0-5.0-0.18-0.18","74","8jbvdvk2","low"
"2","10","free","220","19","16","blue-12","blue","1158","sampling-task","27","1546335","0.0-5.0-0.19-0.19","74","8jbvdvk2","low"
"2","11","free","220","19","-10","blue-12","blue","1630","sampling-task","28","1550111","0.0-5.0-0.20-0.20","74","8jbvdvk2","low"
"2","12","free","220","19","2","blue-12","blue","1469","sampling-task","29","1552951","0.0-5.0-0.21-0.21","74","8jbvdvk2","low"
"2","13","free","220","19","17","blue-12","blue","1085","sampling-task","30","1555367","0.0-5.0-0.22-0.22","74","8jbvdvk2","low"
"2","14","free","220","19","4","blue-12","blue","894","sampling-task","31","1557815","0.0-5.0-0.23-0.23","74","8jbvdvk2","low"
"2","15","free","220","19","13","blue-12","blue","1094","sampling-task","32","1560007","0.0-5.0-0.24-0.24","74","8jbvdvk2","low"
"2","16","free","220","19","34","blue-12","blue","1030","sampling-task","33","1562335","0.0-5.0-0.25-0.25","74","8jbvdvk2","low"
"2","17","free","220","19","9","blue-12","blue","1061","sampling-task","34","1564471","0.0-5.0-0.26-0.26","74","8jbvdvk2","low"
"2","18","free","220","19","46","blue-12","blue","885","sampling-task","35","1566591","0.0-5.0-0.27-0.27","74","8jbvdvk2","low"
"2","19","free","220","19","20","blue-12","blue","917","sampling-task","36","1568623","0.0-5.0-0.28-0.28","74","8jbvdvk2","low"
"2","20","free","220","19","38","blue-12","blue","2014","sampling-task","37","1572799","0.0-5.0-0.29-0.29","74","8jbvdvk2","low"
"2","21","free","220","19","19","blue-12","blue","894","sampling-task","38","1574871","0.0-5.0-0.30-0.30","74","8jbvdvk2","low"
"2","22","free","220","19","36","blue-12","blue","3125","sampling-task","39","1579231","0.0-5.0-0.31-0.31","74","8jbvdvk2","low"
"2","23","free","220","19","3","blue-12","blue","1053","sampling-task","40","1581247","0.0-5.0-0.32-0.32","74","8jbvdvk2","low"
"2","24","free","220","19","60","blue-12","blue","1174","sampling-task","41","1583688","0.0-5.0-0.33-0.33","74","8jbvdvk2","low"
"2","25","free","220","19","-3","blue-12","blue","845","sampling-task","42","1585519","0.0-5.0-0.34-0.34","74","8jbvdvk2","low"
"2","26","free","220","19","32","blue-12","blue","766","sampling-task","43","1587407","0.0-5.0-0.35-0.35","74","8jbvdvk2","low"
"2","27","free","220","19","0","blue-12","blue","573","sampling-task","44","1589639","0.0-5.0-0.36-0.36","74","8jbvdvk2","low"
"3","1","fixed","5","50","50","green-27","green","7884","sampling-task","47","1640290","0.0-5.0-0.37-0.37","74","8jbvdvk2","low"
"3","2","fixed","5","50","52","green-27","green","2068","sampling-task","48","1643922","0.0-5.0-0.38-0.38","74","8jbvdvk2","low"
"3","3","fixed","5","50","43","green-27","green","925","sampling-task","49","1646002","0.0-5.0-0.39-0.39","74","8jbvdvk2","low"
"3","4","fixed","5","50","65","green-27","green","870","sampling-task","50","1648050","0.0-5.0-0.40-0.40","74","8jbvdvk2","low"
"3","5","fixed","5","50","69","green-27","green","1046","sampling-task","51","1650298","0.0-5.0-0.41-0.41","74","8jbvdvk2","low"
"4","1","free","220","93","103","yellow-115","yellow","4268","sampling-task","54","1678909","0.0-5.0-0.42-0.42","74","8jbvdvk2","low"
"4","2","free","220","93","80","yellow-115","yellow","1149","sampling-task","55","1680989","0.0-5.0-0.43-0.43","74","8jbvdvk2","low"
"4","3","free","220","93","82","yellow-115","yellow","1078","sampling-task","56","1683029","0.0-5.0-0.44-0.44","74","8jbvdvk2","low"
"4","4","free","220","93","101","yellow-115","yellow","1110","sampling-task","57","1685229","0.0-5.0-0.45-0.45","74","8jbvdvk2","low"
"4","5","free","220","93","119","yellow-115","yellow","774","sampling-task","58","1687869","0.0-5.0-0.46-0.46","74","8jbvdvk2","low"
"4","6","free","220","93","89","yellow-115","yellow","677","sampling-task","59","1689709","0.0-5.0-0.47-0.47","74","8jbvdvk2","low"
"4","7","free","220","93","73","yellow-115","yellow","813","sampling-task","60","1691669","0.0-5.0-0.48-0.48","74","8jbvdvk2","low"
"4","8","free","220","93","100","yellow-115","yellow","549","sampling-task","61","1693229","0.0-5.0-0.49-0.49","74","8jbvdvk2","low"
"4","9","free","220","93","101","yellow-115","yellow","589","sampling-task","62","1694741","0.0-5.0-0.50-0.50","74","8jbvdvk2","low"
"4","10","free","220","93","77","yellow-115","yellow","534","sampling-task","63","1696366","0.0-5.0-0.51-0.51","74","8jbvdvk2","low"
"4","11","free","220","93","59","yellow-115","yellow","533","sampling-task","64","1697853","0.0-5.0-0.52-0.52","74","8jbvdvk2","low"
"4","12","free","220","93","65","yellow-115","yellow","701","sampling-task","65","1699645","0.0-5.0-0.53-0.53","74","8jbvdvk2","low"
"4","13","free","220","93","72","yellow-115","yellow","494","sampling-task","66","1701221","0.0-5.0-0.54-0.54","74","8jbvdvk2","low"
"4","14","free","220","93","112","yellow-115","yellow","462","sampling-task","67","1702613","0.0-5.0-0.55-0.55","74","8jbvdvk2","low"
"4","15","free","220","93","81","yellow-115","yellow","526","sampling-task","68","1704205","0.0-5.0-0.56-0.56","74","8jbvdvk2","low"
"4","16","free","220","93","76","yellow-115","yellow","557","sampling-task","69","1705765","0.0-5.0-0.57-0.57","74","8jbvdvk2","low"
"4","17","free","220","93","93","yellow-115","yellow","582","sampling-task","70","1707365","0.0-5.0-0.58-0.58","74","8jbvdvk2","low"
"4","18","free","220","93","54","yellow-115","yellow","557","sampling-task","71","1708997","0.0-5.0-0.59-0.59","74","8jbvdvk2","low"
"4","19","free","220","93","111","yellow-115","yellow","551","sampling-task","72","1710429","0.0-5.0-0.60-0.60","74","8jbvdvk2","low"
"4","20","free","220","93","98","yellow-115","yellow","541","sampling-task","73","1712157","0.0-5.0-0.61-0.61","74","8jbvdvk2","low"
"4","21","free","220","93","83","yellow-115","yellow","565","sampling-task","74","1713789","0.0-5.0-0.62-0.62","74","8jbvdvk2","low"
"4","22","free","220","93","80","yellow-115","yellow","421","sampling-task","75","1715261","0.0-5.0-0.63-0.63","74","8jbvdvk2","low"
"4","23","free","220","93","90","yellow-115","yellow","461","sampling-task","76","1716621","0.0-5.0-0.64-0.64","74","8jbvdvk2","low"
"4","24","free","220","93","86","yellow-115","yellow","492","sampling-task","77","1718356","0.0-5.0-0.65-0.65","74","8jbvdvk2","low"
"5","1","fixed","20","34","49","purple-168","purple","6133","sampling-task","80","1744931","0.0-5.0-0.66-0.66","74","8jbvdvk2","low"
"5","2","fixed","20","34","59","purple-168","purple","894","sampling-task","81","1747588","0.0-5.0-0.67-0.67","74","8jbvdvk2","low"
"5","3","fixed","20","34","-9","purple-168","purple","1110","sampling-task","82","1749908","0.0-5.0-0.68-0.68","74","8jbvdvk2","low"
"5","4","fixed","20","34","37","purple-168","purple","1118","sampling-task","83","1751996","0.0-5.0-0.69-0.69","74","8jbvdvk2","low"
"5","5","fixed","20","34","11","purple-168","purple","926","sampling-task","84","1754035","0.0-5.0-0.70-0.70","74","8jbvdvk2","low"
"5","6","fixed","20","34","61","purple-168","purple","934","sampling-task","85","1756068","0.0-5.0-0.71-0.71","74","8jbvdvk2","low"
"5","7","fixed","20","34","37","purple-168","purple","718","sampling-task","86","1757771","0.0-5.0-0.72-0.72","74","8jbvdvk2","low"
"5","8","fixed","20","34","25","purple-168","purple","942","sampling-task","87","1759620","0.0-5.0-0.73-0.73","74","8jbvdvk2","low"
"5","9","fixed","20","34","70","purple-168","purple","966","sampling-task","88","1761596","0.0-5.0-0.74-0.74","74","8jbvdvk2","low"
"5","10","fixed","20","34","34","purple-168","purple","1013","sampling-task","89","1763804","0.0-5.0-0.75-0.75","74","8jbvdvk2","low"
"5","11","fixed","20","34","38","purple-168","purple","934","sampling-task","90","1766236","0.0-5.0-0.76-0.76","74","8jbvdvk2","low"
"5","12","fixed","20","34","18","purple-168","purple","1101","sampling-task","91","1768707","0.0-5.0-0.77-0.77","74","8jbvdvk2","low"
"5","13","fixed","20","34","17","purple-168","purple","662","sampling-task","92","1770252","0.0-5.0-0.78-0.78","74","8jbvdvk2","low"
