"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","114","117","blue-219","blue","7116","sampling-task","9","677639","0.0-5.0-0.0-0.0","75","uhap5x26","low"
"1","2","fixed","10","114","143","blue-219","blue","5094","sampling-task","10","704862","0.0-5.0-0.1-0.1","75","uhap5x26","low"
"1","3","fixed","10","114","103","blue-219","blue","1390","sampling-task","11","709164","0.0-5.0-0.2-0.2","75","uhap5x26","low"
"1","4","fixed","10","114","119","blue-219","blue","1142","sampling-task","12","713332","0.0-5.0-0.3-0.3","75","uhap5x26","low"
"1","5","fixed","10","114","98","blue-219","blue","878","sampling-task","13","717356","0.0-5.0-0.4-0.4","75","uhap5x26","low"
"1","6","fixed","10","114","124","blue-219","blue","981","sampling-task","14","721220","0.0-5.0-0.5-0.5","75","uhap5x26","low"
"1","7","fixed","10","114","109","blue-219","blue","1214","sampling-task","15","725204","0.0-5.0-0.6-0.6","75","uhap5x26","low"
"1","8","fixed","10","114","130","blue-219","blue","1670","sampling-task","16","729420","0.0-5.0-0.7-0.7","75","uhap5x26","low"
"1","9","fixed","10","114","125","blue-219","blue","1045","sampling-task","17","733300","0.0-5.0-0.8-0.8","75","uhap5x26","low"
"1","10","fixed","10","114","118","blue-219","blue","1590","sampling-task","18","739884","0.0-5.0-0.9-0.9","75","uhap5x26","low"
"2","1","free","220","15","30","yellow-46","yellow","6484","sampling-task","21","817619","0.0-5.0-0.10-0.10","75","uhap5x26","low"
"2","2","free","220","15","36","yellow-46","yellow","918","sampling-task","22","820571","0.0-5.0-0.11-0.11","75","uhap5x26","low"
"2","3","free","220","15","15","yellow-46","yellow","678","sampling-task","23","823131","0.0-5.0-0.12-0.12","75","uhap5x26","low"
"2","4","free","220","15","6","yellow-46","yellow","950","sampling-task","24","826307","0.0-5.0-0.13-0.13","75","uhap5x26","low"
"2","5","free","220","15","6","yellow-46","yellow","1038","sampling-task","25","829328","0.0-5.0-0.14-0.14","75","uhap5x26","low"
"2","6","free","220","15","35","yellow-46","yellow","895","sampling-task","26","832616","0.0-5.0-0.15-0.15","75","uhap5x26","low"
"2","7","free","220","15","36","yellow-46","yellow","814","sampling-task","27","835584","0.0-5.0-0.16-0.16","75","uhap5x26","low"
"2","8","free","220","15","16","yellow-46","yellow","734","sampling-task","28","838144","0.0-5.0-0.17-0.17","75","uhap5x26","low"
"2","9","free","220","15","27","yellow-46","yellow","1062","sampling-task","29","841377","0.0-5.0-0.18-0.18","75","uhap5x26","low"
"2","10","free","220","15","18","yellow-46","yellow","1022","sampling-task","30","844000","0.0-5.0-0.19-0.19","75","uhap5x26","low"
"2","11","free","220","15","36","yellow-46","yellow","1246","sampling-task","31","846928","0.0-5.0-0.20-0.20","75","uhap5x26","low"
"2","12","free","220","15","7","yellow-46","yellow","791","sampling-task","32","849552","0.0-5.0-0.21-0.21","75","uhap5x26","low"
"2","13","free","220","15","15","yellow-46","yellow","863","sampling-task","33","852744","0.0-5.0-0.22-0.22","75","uhap5x26","low"
"2","14","free","220","15","11","yellow-46","yellow","670","sampling-task","34","855080","0.0-5.0-0.23-0.23","75","uhap5x26","low"
"2","15","free","220","15","29","yellow-46","yellow","734","sampling-task","35","858120","0.0-5.0-0.24-0.24","75","uhap5x26","low"
"3","1","fixed","5","71","92","purple-8","purple","5572","sampling-task","38","912670","0.0-5.0-0.25-0.25","75","uhap5x26","low"
"3","2","fixed","5","71","58","purple-8","purple","1678","sampling-task","39","916974","0.0-5.0-0.26-0.26","75","uhap5x26","low"
"3","3","fixed","5","71","37","purple-8","purple","1502","sampling-task","40","921182","0.0-5.0-0.27-0.27","75","uhap5x26","low"
"3","4","fixed","5","71","92","purple-8","purple","1302","sampling-task","41","927118","0.0-5.0-0.28-0.28","75","uhap5x26","low"
