"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","32","29","blue-210","blue","16432","sampling-task","6","-60864","0.0-5.0-0.0-0.0","76","pe9suv47","low"
"1","2","fixed","5","32","-9","blue-210","blue","1420","sampling-task","7","-58088","0.0-5.0-0.1-0.1","76","pe9suv47","low"
"1","3","fixed","5","32","35","blue-210","blue","902","sampling-task","8","-44000","0.0-5.0-0.2-0.2","76","pe9suv47","low"
"1","4","fixed","5","32","11","blue-210","blue","638","sampling-task","9","-41968","0.0-5.0-0.3-0.3","76","pe9suv47","low"
"1","5","fixed","5","32","32","blue-210","blue","678","sampling-task","10","-39504","0.0-5.0-0.4-0.4","76","pe9suv47","low"
"2","1","free","220","12","-5","green-200","green","2514","sampling-task","13","7447","0.0-5.0-0.5-0.5","76","pe9suv47","low"
"2","2","free","220","12","-14","green-200","green","469","sampling-task","14","8799","0.0-5.0-0.6-0.6","76","pe9suv47","low"
"2","3","free","220","12","34","green-200","green","342","sampling-task","15","12704","0.0-5.0-0.7-0.7","76","pe9suv47","low"
"2","4","free","220","12","31","green-200","green","437","sampling-task","16","15175","0.0-5.0-0.8-0.8","76","pe9suv47","low"
"2","5","free","220","12","6","green-200","green","382","sampling-task","17","17031","0.0-5.0-0.9-0.9","76","pe9suv47","low"
"2","6","free","220","12","18","green-200","green","397","sampling-task","18","18856","0.0-5.0-0.10-0.10","76","pe9suv47","low"
"2","7","free","220","12","20","green-200","green","414","sampling-task","19","20175","0.0-5.0-0.11-0.11","76","pe9suv47","low"
"2","8","free","220","12","26","green-200","green","374","sampling-task","20","21535","0.0-5.0-0.12-0.12","76","pe9suv47","low"
"2","9","free","220","12","6","green-200","green","365","sampling-task","21","22743","0.0-5.0-0.13-0.13","76","pe9suv47","low"
"2","10","free","220","12","-7","green-200","green","301","sampling-task","22","23943","0.0-5.0-0.14-0.14","76","pe9suv47","low"
"2","11","free","220","12","-6","green-200","green","334","sampling-task","23","25120","0.0-5.0-0.15-0.15","76","pe9suv47","low"
