"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","13","33","green-149","green","6792","sampling-task","6","-811696","0.0-5.0-0.0-0.0","77","auaqmdfm","low"
"1","2","fixed","5","13","-6","green-149","green","2564","sampling-task","7","-804985","0.0-5.0-0.1-0.1","77","auaqmdfm","low"
"1","3","fixed","5","13","2","green-149","green","870","sampling-task","8","-802073","0.0-5.0-0.2-0.2","77","auaqmdfm","low"
"1","4","fixed","5","13","-13","green-149","green","1470","sampling-task","9","-798099","0.0-5.0-0.3-0.3","77","auaqmdfm","low"
"1","5","fixed","5","13","7","green-149","green","973","sampling-task","10","-791443","0.0-5.0-0.4-0.4","77","auaqmdfm","low"
"2","1","free","220","98","119","yellow-2","yellow","4010","sampling-task","13","-715563","0.0-5.0-0.5-0.5","77","auaqmdfm","low"
"2","2","free","220","98","108","yellow-2","yellow","414","sampling-task","14","-713747","0.0-5.0-0.6-0.6","77","auaqmdfm","low"
"2","3","free","220","98","127","yellow-2","yellow","390","sampling-task","15","-712019","0.0-5.0-0.7-0.7","77","auaqmdfm","low"
"2","4","free","220","98","94","yellow-2","yellow","350","sampling-task","16","-710563","0.0-5.0-0.8-0.8","77","auaqmdfm","low"
"2","5","free","220","98","110","yellow-2","yellow","358","sampling-task","17","-709131","0.0-5.0-0.9-0.9","77","auaqmdfm","low"
"2","6","free","220","98","99","yellow-2","yellow","326","sampling-task","18","-707651","0.0-5.0-0.10-0.10","77","auaqmdfm","low"
"2","7","free","220","98","100","yellow-2","yellow","262","sampling-task","19","-706299","0.0-5.0-0.11-0.11","77","auaqmdfm","low"
"2","8","free","220","98","72","yellow-2","yellow","478","sampling-task","20","-704867","0.0-5.0-0.12-0.12","77","auaqmdfm","low"
"2","9","free","220","98","71","yellow-2","yellow","318","sampling-task","21","-703619","0.0-5.0-0.13-0.13","77","auaqmdfm","low"
"2","10","free","220","98","81","yellow-2","yellow","326","sampling-task","22","-702339","0.0-5.0-0.14-0.14","77","auaqmdfm","low"
"2","11","free","220","98","71","yellow-2","yellow","270","sampling-task","23","-701235","0.0-5.0-0.15-0.15","77","auaqmdfm","low"
"2","12","free","220","98","114","yellow-2","yellow","286","sampling-task","24","-699516","0.0-5.0-0.16-0.16","77","auaqmdfm","low"
"2","13","free","220","98","99","yellow-2","yellow","246","sampling-task","25","-698299","0.0-5.0-0.17-0.17","77","auaqmdfm","low"
"2","14","free","220","98","42","yellow-2","yellow","251","sampling-task","26","-697220","0.0-5.0-0.18-0.18","77","auaqmdfm","low"
"2","15","free","220","98","115","yellow-2","yellow","278","sampling-task","27","-695963","0.0-5.0-0.19-0.19","77","auaqmdfm","low"
"2","16","free","220","98","89","yellow-2","yellow","270","sampling-task","28","-694884","0.0-5.0-0.20-0.20","77","auaqmdfm","low"
"2","17","free","220","98","120","yellow-2","yellow","238","sampling-task","29","-693572","0.0-5.0-0.21-0.21","77","auaqmdfm","low"
"2","18","free","220","98","84","yellow-2","yellow","270","sampling-task","30","-692315","0.0-5.0-0.22-0.22","77","auaqmdfm","low"
"2","19","free","220","98","106","yellow-2","yellow","254","sampling-task","31","-691123","0.0-5.0-0.23-0.23","77","auaqmdfm","low"
"2","20","free","220","98","77","yellow-2","yellow","238","sampling-task","32","-690003","0.0-5.0-0.24-0.24","77","auaqmdfm","low"
"2","21","free","220","98","102","yellow-2","yellow","262","sampling-task","33","-688643","0.0-5.0-0.25-0.25","77","auaqmdfm","low"
"2","22","free","220","98","65","yellow-2","yellow","222","sampling-task","34","-687419","0.0-5.0-0.26-0.26","77","auaqmdfm","low"
"2","23","free","220","98","105","yellow-2","yellow","238","sampling-task","35","-686027","0.0-5.0-0.27-0.27","77","auaqmdfm","low"
"2","24","free","220","98","93","yellow-2","yellow","230","sampling-task","36","-684827","0.0-5.0-0.28-0.28","77","auaqmdfm","low"
"2","25","free","220","98","98","yellow-2","yellow","221","sampling-task","37","-683700","0.0-5.0-0.29-0.29","77","auaqmdfm","low"
"2","26","free","220","98","85","yellow-2","yellow","262","sampling-task","38","-682435","0.0-5.0-0.30-0.30","77","auaqmdfm","low"
"2","27","free","220","98","109","yellow-2","yellow","262","sampling-task","39","-681299","0.0-5.0-0.31-0.31","77","auaqmdfm","low"
"2","28","free","220","98","101","yellow-2","yellow","294","sampling-task","40","-680003","0.0-5.0-0.32-0.32","77","auaqmdfm","low"
"2","29","free","220","98","88","yellow-2","yellow","286","sampling-task","41","-678659","0.0-5.0-0.33-0.33","77","auaqmdfm","low"
"2","30","free","220","98","104","yellow-2","yellow","278","sampling-task","42","-677427","0.0-5.0-0.34-0.34","77","auaqmdfm","low"
"2","31","free","220","98","52","yellow-2","yellow","286","sampling-task","43","-675971","0.0-5.0-0.35-0.35","77","auaqmdfm","low"
"2","32","free","220","98","61","yellow-2","yellow","285","sampling-task","44","-674667","0.0-5.0-0.36-0.36","77","auaqmdfm","low"
"2","33","free","220","98","110","yellow-2","yellow","254","sampling-task","45","-673067","0.0-5.0-0.37-0.37","77","auaqmdfm","low"
"2","34","free","220","98","105","yellow-2","yellow","342","sampling-task","46","-671427","0.0-5.0-0.38-0.38","77","auaqmdfm","low"
"2","35","free","220","98","77","yellow-2","yellow","333","sampling-task","47","-669979","0.0-5.0-0.39-0.39","77","auaqmdfm","low"
"2","36","free","220","98","87","yellow-2","yellow","324","sampling-task","48","-668779","0.0-5.0-0.40-0.40","77","auaqmdfm","low"
"2","37","free","220","98","117","yellow-2","yellow","283","sampling-task","49","-667491","0.0-5.0-0.41-0.41","77","auaqmdfm","low"
"2","38","free","220","98","69","yellow-2","yellow","293","sampling-task","50","-666291","0.0-5.0-0.42-0.42","77","auaqmdfm","low"
"2","39","free","220","98","107","yellow-2","yellow","238","sampling-task","51","-665163","0.0-5.0-0.43-0.43","77","auaqmdfm","low"
"2","40","free","220","98","127","yellow-2","yellow","302","sampling-task","52","-659531","0.0-5.0-0.44-0.44","77","auaqmdfm","low"
"3","1","fixed","10","58","80","blue-87","blue","6205","sampling-task","55","-603115","0.0-5.0-0.45-0.45","77","auaqmdfm","low"
"3","2","fixed","10","58","64","blue-87","blue","461","sampling-task","56","-600659","0.0-5.0-0.46-0.46","77","auaqmdfm","low"
"3","3","fixed","10","58","48","blue-87","blue","518","sampling-task","57","-593579","0.0-5.0-0.47-0.47","77","auaqmdfm","low"
"3","4","fixed","10","58","63","blue-87","blue","678","sampling-task","58","-587723","0.0-5.0-0.48-0.48","77","auaqmdfm","low"
"3","5","fixed","10","58","86","blue-87","blue","558","sampling-task","59","-585139","0.0-5.0-0.49-0.49","77","auaqmdfm","low"
"3","6","fixed","10","58","64","blue-87","blue","678","sampling-task","60","-582931","0.0-5.0-0.50-0.50","77","auaqmdfm","low"
"3","7","fixed","10","58","51","blue-87","blue","654","sampling-task","61","-580915","0.0-5.0-0.51-0.51","77","auaqmdfm","low"
"3","8","fixed","10","58","26","blue-87","blue","646","sampling-task","62","-579051","0.0-5.0-0.52-0.52","77","auaqmdfm","low"
"3","9","fixed","10","58","22","blue-87","blue","742","sampling-task","63","-577347","0.0-5.0-0.53-0.53","77","auaqmdfm","low"
"3","10","fixed","10","58","30","blue-87","blue","597","sampling-task","64","-575523","0.0-5.0-0.54-0.54","77","auaqmdfm","low"
"4","1","free","220","111","123","purple-158","purple","1476","sampling-task","67","-537266","0.0-5.0-0.55-0.55","77","auaqmdfm","low"
"4","2","free","220","111","114","purple-158","purple","350","sampling-task","68","-535914","0.0-5.0-0.56-0.56","77","auaqmdfm","low"
"4","3","free","220","111","159","purple-158","purple","327","sampling-task","69","-534098","0.0-5.0-0.57-0.57","77","auaqmdfm","low"
"4","4","free","220","111","141","purple-158","purple","263","sampling-task","70","-532850","0.0-5.0-0.58-0.58","77","auaqmdfm","low"
"4","5","free","220","111","93","purple-158","purple","286","sampling-task","71","-531578","0.0-5.0-0.59-0.59","77","auaqmdfm","low"
"4","6","free","220","111","108","purple-158","purple","294","sampling-task","72","-530266","0.0-5.0-0.60-0.60","77","auaqmdfm","low"
"4","7","free","220","111","111","purple-158","purple","230","sampling-task","73","-529090","0.0-5.0-0.61-0.61","77","auaqmdfm","low"
"4","8","free","220","111","137","purple-158","purple","247","sampling-task","74","-527866","0.0-5.0-0.62-0.62","77","auaqmdfm","low"
"4","9","free","220","111","86","purple-158","purple","263","sampling-task","75","-526554","0.0-5.0-0.63-0.63","77","auaqmdfm","low"
"4","10","free","220","111","128","purple-158","purple","262","sampling-task","76","-524970","0.0-5.0-0.64-0.64","77","auaqmdfm","low"
"5","1","fixed","20","75","86","orange-58","orange","1244","sampling-task","79","-508273","0.0-5.0-0.65-0.65","77","auaqmdfm","low"
"5","2","fixed","20","75","82","orange-58","orange","461","sampling-task","80","-506362","0.0-5.0-0.66-0.66","77","auaqmdfm","low"
