"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","59","42","yellow-21","yellow","1826","sampling-task","24","903834","0.0-5.0-0.0-0.0","78","t1h1smup","high"
"1","2","fixed","5","59","42","yellow-175","yellow","1766","sampling-task","25","908010","0.0-5.0-0.1-0.1","78","t1h1smup","high"
"1","3","fixed","5","59","24","yellow-89","yellow","2062","sampling-task","26","911330","0.0-5.0-0.2-0.2","78","t1h1smup","high"
"1","4","fixed","5","59","89","yellow-32","yellow","902","sampling-task","27","913873","0.0-5.0-0.3-0.3","78","t1h1smup","high"
"1","5","fixed","5","59","73","yellow-98","yellow","878","sampling-task","28","915802","0.0-5.0-0.4-0.4","78","t1h1smup","high"
"2","1","free","220","76","24","blue-32","blue","940","sampling-task","31","957743","0.0-5.0-0.5-0.5","78","t1h1smup","high"
"2","2","free","220","76","66","blue-91","blue","974","sampling-task","32","960135","0.0-5.0-0.6-0.6","78","t1h1smup","high"
"2","3","free","220","76","61","blue-185","blue","798","sampling-task","33","962175","0.0-5.0-0.7-0.7","78","t1h1smup","high"
"2","4","free","220","76","66","blue-48","blue","774","sampling-task","34","964831","0.0-5.0-0.8-0.8","78","t1h1smup","high"
"3","1","fixed","20","99","100","purple-84","purple","980","sampling-task","37","988077","0.0-5.0-0.9-0.9","78","t1h1smup","high"
"3","2","fixed","20","99","120","purple-90","purple","566","sampling-task","38","989740","0.0-5.0-0.10-0.10","78","t1h1smup","high"
"3","3","fixed","20","99","100","purple-208","purple","654","sampling-task","39","991525","0.0-5.0-0.11-0.11","78","t1h1smup","high"
"3","4","fixed","20","99","99","purple-44","purple","502","sampling-task","40","992940","0.0-5.0-0.12-0.12","78","t1h1smup","high"
"3","5","fixed","20","99","83","purple-101","purple","766","sampling-task","41","994748","0.0-5.0-0.13-0.13","78","t1h1smup","high"
"3","6","fixed","20","99","122","purple-10","purple","566","sampling-task","42","996236","0.0-5.0-0.14-0.14","78","t1h1smup","high"
"3","7","fixed","20","99","75","purple-154","purple","542","sampling-task","43","997909","0.0-5.0-0.15-0.15","78","t1h1smup","high"
