"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","95","146","orange-60","orange","4199","sampling-task","12","1338270","0.0-5.0-0.0-0.0","79","hjg6k80y","high"
"1","2","fixed","20","95","73","orange-89","orange","17429","sampling-task","13","1357606","0.0-5.0-0.1-0.1","79","hjg6k80y","high"
"1","3","fixed","20","95","126","orange-7","orange","1662","sampling-task","14","1361022","0.0-5.0-0.2-0.2","79","hjg6k80y","high"
"1","4","fixed","20","95","116","orange-171","orange","1118","sampling-task","15","1363262","0.0-5.0-0.3-0.3","79","hjg6k80y","high"
"1","5","fixed","20","95","78","orange-51","orange","734","sampling-task","16","1365078","0.0-5.0-0.4-0.4","79","hjg6k80y","high"
"1","6","fixed","20","95","72","orange-187","orange","630","sampling-task","17","1366630","0.0-5.0-0.5-0.5","79","hjg6k80y","high"
"1","7","fixed","20","95","70","orange-160","orange","510","sampling-task","18","1368070","0.0-5.0-0.6-0.6","79","hjg6k80y","high"
"1","8","fixed","20","95","93","orange-129","orange","590","sampling-task","19","1369942","0.0-5.0-0.7-0.7","79","hjg6k80y","high"
"1","9","fixed","20","95","124","orange-201","orange","646","sampling-task","20","1372222","0.0-5.0-0.8-0.8","79","hjg6k80y","high"
"1","10","fixed","20","95","96","orange-171","orange","502","sampling-task","21","1373790","0.0-5.0-0.9-0.9","79","hjg6k80y","high"
"1","11","fixed","20","95","56","orange-152","orange","422","sampling-task","22","1375150","0.0-5.0-0.10-0.10","79","hjg6k80y","high"
"1","12","fixed","20","95","115","orange-24","orange","853","sampling-task","23","1409804","0.0-5.0-0.11-0.11","79","hjg6k80y","high"
"1","13","fixed","20","95","152","orange-104","orange","470","sampling-task","24","1415643","0.0-5.0-0.12-0.12","79","hjg6k80y","high"
"1","14","fixed","20","95","126","orange-79","orange","486","sampling-task","25","1417035","0.0-5.0-0.13-0.13","79","hjg6k80y","high"
"1","15","fixed","20","95","82","orange-38","orange","446","sampling-task","26","1418356","0.0-5.0-0.14-0.14","79","hjg6k80y","high"
"1","16","fixed","20","95","97","orange-187","orange","342","sampling-task","27","1419667","0.0-5.0-0.15-0.15","79","hjg6k80y","high"
"1","17","fixed","20","95","95","orange-9","orange","423","sampling-task","28","1420923","0.0-5.0-0.16-0.16","79","hjg6k80y","high"
"1","18","fixed","20","95","97","orange-82","orange","390","sampling-task","29","1422323","0.0-5.0-0.17-0.17","79","hjg6k80y","high"
"1","19","fixed","20","95","154","orange-51","orange","446","sampling-task","30","1423691","0.0-5.0-0.18-0.18","79","hjg6k80y","high"
"1","20","fixed","20","95","71","orange-194","orange","487","sampling-task","31","1425387","0.0-5.0-0.19-0.19","79","hjg6k80y","high"
"2","1","free","220","110","99","green-167","green","3044","sampling-task","34","1480234","0.0-5.0-0.20-0.20","79","hjg6k80y","high"
"2","2","free","220","110","145","green-44","green","430","sampling-task","35","1481921","0.0-5.0-0.21-0.21","79","hjg6k80y","high"
"2","3","free","220","110","97","green-180","green","519","sampling-task","36","1483426","0.0-5.0-0.22-0.22","79","hjg6k80y","high"
"2","4","free","220","110","110","green-184","green","358","sampling-task","37","1484641","0.0-5.0-0.23-0.23","79","hjg6k80y","high"
"2","5","free","220","110","85","green-197","green","342","sampling-task","38","1485841","0.0-5.0-0.24-0.24","79","hjg6k80y","high"
"2","6","free","220","110","156","green-67","green","358","sampling-task","39","1487057","0.0-5.0-0.25-0.25","79","hjg6k80y","high"
"2","7","free","220","110","113","green-88","green","350","sampling-task","40","1488241","0.0-5.0-0.26-0.26","79","hjg6k80y","high"
"2","8","free","220","110","118","green-25","green","350","sampling-task","41","1489602","0.0-5.0-0.27-0.27","79","hjg6k80y","high"
"2","9","free","220","110","123","green-45","green","326","sampling-task","42","1490921","0.0-5.0-0.28-0.28","79","hjg6k80y","high"
"2","10","free","220","110","116","green-167","green","350","sampling-task","43","1492537","0.0-5.0-0.29-0.29","79","hjg6k80y","high"
"2","11","free","220","110","103","green-150","green","375","sampling-task","44","1493785","0.0-5.0-0.30-0.30","79","hjg6k80y","high"
"2","12","free","220","110","106","green-204","green","302","sampling-task","45","1494962","0.0-5.0-0.31-0.31","79","hjg6k80y","high"
"2","13","free","220","110","110","green-216","green","342","sampling-task","46","1496394","0.0-5.0-0.32-0.32","79","hjg6k80y","high"
"2","14","free","220","110","98","green-74","green","350","sampling-task","47","1499089","0.0-5.0-0.33-0.33","79","hjg6k80y","high"
"2","15","free","220","110","114","green-21","green","487","sampling-task","48","1500721","0.0-5.0-0.34-0.34","79","hjg6k80y","high"
"2","16","free","220","110","106","green-4","green","317","sampling-task","49","1502009","0.0-5.0-0.35-0.35","79","hjg6k80y","high"
"2","17","free","220","110","88","green-67","green","270","sampling-task","50","1503297","0.0-5.0-0.36-0.36","79","hjg6k80y","high"
"2","18","free","220","110","85","green-8","green","303","sampling-task","51","1504593","0.0-5.0-0.37-0.37","79","hjg6k80y","high"
"2","19","free","220","110","105","green-9","green","286","sampling-task","52","1505745","0.0-5.0-0.38-0.38","79","hjg6k80y","high"
"2","20","free","220","110","104","green-53","green","310","sampling-task","53","1507082","0.0-5.0-0.39-0.39","79","hjg6k80y","high"
"2","21","free","220","110","137","green-63","green","294","sampling-task","54","1508722","0.0-5.0-0.40-0.40","79","hjg6k80y","high"
"2","22","free","220","110","121","green-1","green","326","sampling-task","55","1509954","0.0-5.0-0.41-0.41","79","hjg6k80y","high"
"2","23","free","220","110","125","green-99","green","302","sampling-task","56","1511114","0.0-5.0-0.42-0.42","79","hjg6k80y","high"
"2","24","free","220","110","120","green-190","green","278","sampling-task","57","1513537","0.0-5.0-0.43-0.43","79","hjg6k80y","high"
"2","25","free","220","110","75","green-134","green","374","sampling-task","58","1514890","0.0-5.0-0.44-0.44","79","hjg6k80y","high"
"2","26","free","220","110","79","green-61","green","334","sampling-task","59","1516218","0.0-5.0-0.45-0.45","79","hjg6k80y","high"
"2","27","free","220","110","112","green-157","green","358","sampling-task","60","1517433","0.0-5.0-0.46-0.46","79","hjg6k80y","high"
"2","28","free","220","110","99","green-86","green","382","sampling-task","61","1518674","0.0-5.0-0.47-0.47","79","hjg6k80y","high"
"2","29","free","220","110","134","green-95","green","318","sampling-task","62","1520241","0.0-5.0-0.48-0.48","79","hjg6k80y","high"
"2","30","free","220","110","92","green-113","green","350","sampling-task","63","1521514","0.0-5.0-0.49-0.49","79","hjg6k80y","high"
"2","31","free","220","110","79","green-42","green","374","sampling-task","64","1522729","0.0-5.0-0.50-0.50","79","hjg6k80y","high"
"2","32","free","220","110","82","green-140","green","414","sampling-task","65","1524009","0.0-5.0-0.51-0.51","79","hjg6k80y","high"
"2","33","free","220","110","110","green-3","green","367","sampling-task","66","1525209","0.0-5.0-0.52-0.52","79","hjg6k80y","high"
"2","34","free","220","110","132","green-131","green","302","sampling-task","67","1527489","0.0-5.0-0.53-0.53","79","hjg6k80y","high"
"2","35","free","220","110","99","green-82","green","302","sampling-task","68","1528681","0.0-5.0-0.54-0.54","79","hjg6k80y","high"
"2","36","free","220","110","119","green-32","green","334","sampling-task","69","1529975","0.0-5.0-0.55-0.55","79","hjg6k80y","high"
"2","37","free","220","110","108","green-78","green","318","sampling-task","70","1531288","0.0-5.0-0.56-0.56","79","hjg6k80y","high"
"2","38","free","220","110","91","green-175","green","334","sampling-task","71","1532663","0.0-5.0-0.57-0.57","79","hjg6k80y","high"
"2","39","free","220","110","144","green-42","green","350","sampling-task","72","1574031","0.0-5.0-0.58-0.58","79","hjg6k80y","high"
"2","40","free","220","110","119","green-142","green","318","sampling-task","73","1575215","0.0-5.0-0.59-0.59","79","hjg6k80y","high"
"2","41","free","220","110","106","green-72","green","302","sampling-task","74","1576391","0.0-5.0-0.60-0.60","79","hjg6k80y","high"
"2","42","free","220","110","130","green-28","green","294","sampling-task","75","1577615","0.0-5.0-0.61-0.61","79","hjg6k80y","high"
"2","43","free","220","110","105","green-103","green","286","sampling-task","76","1578735","0.0-5.0-0.62-0.62","79","hjg6k80y","high"
"2","44","free","220","110","118","green-81","green","271","sampling-task","77","1579855","0.0-5.0-0.63-0.63","79","hjg6k80y","high"
"2","45","free","220","110","107","green-18","green","302","sampling-task","78","1581087","0.0-5.0-0.64-0.64","79","hjg6k80y","high"
"2","46","free","220","110","87","green-68","green","334","sampling-task","79","1582319","0.0-5.0-0.65-0.65","79","hjg6k80y","high"
"2","47","free","220","110","100","green-137","green","287","sampling-task","80","1583487","0.0-5.0-0.66-0.66","79","hjg6k80y","high"
"2","48","free","220","110","123","green-4","green","310","sampling-task","81","1584760","0.0-5.0-0.67-0.67","79","hjg6k80y","high"
"2","49","free","220","110","76","green-13","green","309","sampling-task","82","1585959","0.0-5.0-0.68-0.68","79","hjg6k80y","high"
"2","50","free","220","110","107","green-50","green","286","sampling-task","83","1587079","0.0-5.0-0.69-0.69","79","hjg6k80y","high"
"2","51","free","220","110","96","green-197","green","302","sampling-task","84","1588231","0.0-5.0-0.70-0.70","79","hjg6k80y","high"
"2","52","free","220","110","121","green-195","green","278","sampling-task","85","1590420","0.0-5.0-0.71-0.71","79","hjg6k80y","high"
"2","53","free","220","110","111","green-15","green","389","sampling-task","86","1591988","0.0-5.0-0.72-0.72","79","hjg6k80y","high"
"2","54","free","220","110","102","green-172","green","1349","sampling-task","87","1594492","0.0-5.0-0.73-0.73","79","hjg6k80y","high"
"2","55","free","220","110","115","green-93","green","285","sampling-task","88","1595620","0.0-5.0-0.74-0.74","79","hjg6k80y","high"
"2","56","free","220","110","93","green-119","green","326","sampling-task","89","1596812","0.0-5.0-0.75-0.75","79","hjg6k80y","high"
"2","57","free","220","110","135","green-169","green","286","sampling-task","90","1598012","0.0-5.0-0.76-0.76","79","hjg6k80y","high"
"2","58","free","220","110","137","green-28","green","302","sampling-task","91","1599196","0.0-5.0-0.77-0.77","79","hjg6k80y","high"
"2","59","free","220","110","88","green-139","green","294","sampling-task","92","1601060","0.0-5.0-0.78-0.78","79","hjg6k80y","high"
"2","60","free","220","110","139","green-16","green","541","sampling-task","93","1602684","0.0-5.0-0.79-0.79","79","hjg6k80y","high"
"2","61","free","220","110","120","green-98","green","358","sampling-task","94","1604076","0.0-5.0-0.80-0.80","79","hjg6k80y","high"
