"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","54","68","yellow-159","yellow","13029","sampling-task","9","565835","0.0-5.0-0.0-0.0","8","1u5e2dga","low"
"1","2","fixed","5","54","82","yellow-159","yellow","2374","sampling-task","10","572730","0.0-5.0-0.1-0.1","8","1u5e2dga","low"
"1","3","fixed","5","54","44","yellow-159","yellow","2894","sampling-task","11","579978","0.0-5.0-0.2-0.2","8","1u5e2dga","low"
"1","4","fixed","5","54","63","yellow-159","yellow","1062","sampling-task","12","584779","0.0-5.0-0.3-0.3","8","1u5e2dga","low"
"1","5","fixed","5","54","11","yellow-159","yellow","3798","sampling-task","13","591219","0.0-5.0-0.4-0.4","8","1u5e2dga","low"
"2","1","free","220","118","157","red-156","red","1948","sampling-task","16","641464","0.0-5.0-0.5-0.5","8","1u5e2dga","low"
"2","2","free","220","118","90","red-156","red","910","sampling-task","17","643824","0.0-5.0-0.6-0.6","8","1u5e2dga","low"
"2","3","free","220","118","137","red-156","red","974","sampling-task","18","646392","0.0-5.0-0.7-0.7","8","1u5e2dga","low"
"2","4","free","220","118","116","red-156","red","926","sampling-task","19","648752","0.0-5.0-0.8-0.8","8","1u5e2dga","low"
"2","5","free","220","118","110","red-156","red","918","sampling-task","20","651016","0.0-5.0-0.9-0.9","8","1u5e2dga","low"
"2","6","free","220","118","75","red-156","red","814","sampling-task","21","653232","0.0-5.0-0.10-0.10","8","1u5e2dga","low"
"2","7","free","220","118","123","red-156","red","790","sampling-task","22","655264","0.0-5.0-0.11-0.11","8","1u5e2dga","low"
"2","8","free","220","118","120","red-156","red","1022","sampling-task","23","657872","0.0-5.0-0.12-0.12","8","1u5e2dga","low"
"2","9","free","220","118","149","red-156","red","622","sampling-task","24","660200","0.0-5.0-0.13-0.13","8","1u5e2dga","low"
"3","1","fixed","10","75","51","green-125","green","1020","sampling-task","27","695573","0.0-5.0-0.14-0.14","8","1u5e2dga","low"
"3","2","fixed","10","75","67","green-125","green","646","sampling-task","28","697653","0.0-5.0-0.15-0.15","8","1u5e2dga","low"
"3","3","fixed","10","75","106","green-125","green","934","sampling-task","29","699821","0.0-5.0-0.16-0.16","8","1u5e2dga","low"
"3","4","fixed","10","75","44","green-125","green","893","sampling-task","30","702045","0.0-5.0-0.17-0.17","8","1u5e2dga","low"
"3","5","fixed","10","75","69","green-125","green","742","sampling-task","31","704045","0.0-5.0-0.18-0.18","8","1u5e2dga","low"
"3","6","fixed","10","75","49","green-125","green","789","sampling-task","32","708589","0.0-5.0-0.19-0.19","8","1u5e2dga","low"
"3","7","fixed","10","75","81","green-125","green","590","sampling-task","33","710421","0.0-5.0-0.20-0.20","8","1u5e2dga","low"
"3","8","fixed","10","75","76","green-125","green","678","sampling-task","34","712301","0.0-5.0-0.21-0.21","8","1u5e2dga","low"
"3","9","fixed","10","75","88","green-125","green","637","sampling-task","35","714165","0.0-5.0-0.22-0.22","8","1u5e2dga","low"
"3","10","fixed","10","75","81","green-125","green","686","sampling-task","36","716013","0.0-5.0-0.23-0.23","8","1u5e2dga","low"
"4","1","free","220","19","33","blue-84","blue","1068","sampling-task","39","744195","0.0-5.0-0.24-0.24","8","1u5e2dga","low"
"4","2","free","220","19","23","blue-84","blue","663","sampling-task","40","746091","0.0-5.0-0.25-0.25","8","1u5e2dga","low"
