"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","110","100","green-184","green","4411","sampling-task","6","348232","0.0-5.0-0.0-0.0","80","2mgpyant","low"
"1","2","fixed","10","110","89","green-184","green","1397","sampling-task","7","351504","0.0-5.0-0.1-0.1","80","2mgpyant","low"
"1","3","fixed","10","110","150","green-184","green","1246","sampling-task","8","354576","0.0-5.0-0.2-0.2","80","2mgpyant","low"
"1","4","fixed","10","110","118","green-184","green","1278","sampling-task","9","357456","0.0-5.0-0.3-0.3","80","2mgpyant","low"
"1","5","fixed","10","110","119","green-184","green","1438","sampling-task","10","360680","0.0-5.0-0.4-0.4","80","2mgpyant","low"
"1","6","fixed","10","110","124","green-184","green","1294","sampling-task","11","363872","0.0-5.0-0.5-0.5","80","2mgpyant","low"
"1","7","fixed","10","110","114","green-184","green","1694","sampling-task","12","367000","0.0-5.0-0.6-0.6","80","2mgpyant","low"
"1","8","fixed","10","110","95","green-184","green","1246","sampling-task","13","369968","0.0-5.0-0.7-0.7","80","2mgpyant","low"
"1","9","fixed","10","110","129","green-184","green","2374","sampling-task","14","374848","0.0-5.0-0.8-0.8","80","2mgpyant","low"
"1","10","fixed","10","110","148","green-184","green","1246","sampling-task","15","378392","0.0-5.0-0.9-0.9","80","2mgpyant","low"
"2","1","free","220","56","78","purple-54","purple","2739","sampling-task","18","435789","0.0-5.0-0.10-0.10","80","2mgpyant","low"
"2","2","free","220","56","81","purple-54","purple","758","sampling-task","19","437781","0.0-5.0-0.11-0.11","80","2mgpyant","low"
"2","3","free","220","56","74","purple-54","purple","1365","sampling-task","20","440741","0.0-5.0-0.12-0.12","80","2mgpyant","low"
"2","4","free","220","56","55","purple-54","purple","790","sampling-task","21","442845","0.0-5.0-0.13-0.13","80","2mgpyant","low"
"2","5","free","220","56","53","purple-54","purple","1125","sampling-task","22","445509","0.0-5.0-0.14-0.14","80","2mgpyant","low"
"2","6","free","220","56","37","purple-54","purple","1374","sampling-task","23","449149","0.0-5.0-0.15-0.15","80","2mgpyant","low"
"2","7","free","220","56","59","purple-54","purple","1014","sampling-task","24","451653","0.0-5.0-0.16-0.16","80","2mgpyant","low"
"2","8","free","220","56","52","purple-54","purple","1342","sampling-task","25","454981","0.0-5.0-0.17-0.17","80","2mgpyant","low"
"2","9","free","220","56","43","purple-54","purple","1053","sampling-task","26","457325","0.0-5.0-0.18-0.18","80","2mgpyant","low"
"2","10","free","220","56","61","purple-54","purple","798","sampling-task","27","459173","0.0-5.0-0.19-0.19","80","2mgpyant","low"
"2","11","free","220","56","36","purple-54","purple","958","sampling-task","28","462466","0.0-5.0-0.20-0.20","80","2mgpyant","low"
"3","1","fixed","20","73","117","blue-63","blue","5268","sampling-task","31","493594","0.0-5.0-0.21-0.21","80","2mgpyant","low"
"3","2","fixed","20","73","110","blue-63","blue","1166","sampling-task","32","496113","0.0-5.0-0.22-0.22","80","2mgpyant","low"
"3","3","fixed","20","73","82","blue-63","blue","1054","sampling-task","33","498857","0.0-5.0-0.23-0.23","80","2mgpyant","low"
"3","4","fixed","20","73","61","blue-63","blue","982","sampling-task","34","501417","0.0-5.0-0.24-0.24","80","2mgpyant","low"
"3","5","fixed","20","73","84","blue-63","blue","1166","sampling-task","35","504489","0.0-5.0-0.25-0.25","80","2mgpyant","low"
"3","6","fixed","20","73","53","blue-63","blue","982","sampling-task","36","507169","0.0-5.0-0.26-0.26","80","2mgpyant","low"
"3","7","fixed","20","73","102","blue-63","blue","1238","sampling-task","37","509738","0.0-5.0-0.27-0.27","80","2mgpyant","low"
"3","8","fixed","20","73","93","blue-63","blue","966","sampling-task","38","511938","0.0-5.0-0.28-0.28","80","2mgpyant","low"
"3","9","fixed","20","73","74","blue-63","blue","1086","sampling-task","39","514225","0.0-5.0-0.29-0.29","80","2mgpyant","low"
"3","10","fixed","20","73","95","blue-63","blue","926","sampling-task","40","516241","0.0-5.0-0.30-0.30","80","2mgpyant","low"
"3","11","fixed","20","73","65","blue-63","blue","798","sampling-task","41","518442","0.0-5.0-0.31-0.31","80","2mgpyant","low"
"3","12","fixed","20","73","47","blue-63","blue","1262","sampling-task","42","527567","0.0-5.0-0.32-0.32","80","2mgpyant","low"
"3","13","fixed","20","73","95","blue-63","blue","847","sampling-task","43","529807","0.0-5.0-0.33-0.33","80","2mgpyant","low"
"3","14","fixed","20","73","68","blue-63","blue","974","sampling-task","44","532135","0.0-5.0-0.34-0.34","80","2mgpyant","low"
"3","15","fixed","20","73","33","blue-63","blue","1125","sampling-task","45","534599","0.0-5.0-0.35-0.35","80","2mgpyant","low"
"3","16","fixed","20","73","79","blue-63","blue","1006","sampling-task","46","536919","0.0-5.0-0.36-0.36","80","2mgpyant","low"
"3","17","fixed","20","73","65","blue-63","blue","894","sampling-task","47","539175","0.0-5.0-0.37-0.37","80","2mgpyant","low"
"3","18","fixed","20","73","46","blue-63","blue","829","sampling-task","48","541207","0.0-5.0-0.38-0.38","80","2mgpyant","low"
"3","19","fixed","20","73","60","blue-63","blue","1070","sampling-task","49","543767","0.0-5.0-0.39-0.39","80","2mgpyant","low"
"3","20","fixed","20","73","53","blue-63","blue","981","sampling-task","50","546103","0.0-5.0-0.40-0.40","80","2mgpyant","low"
"4","1","free","220","12","21","orange-23","orange","1924","sampling-task","53","577607","0.0-5.0-0.41-0.41","80","2mgpyant","low"
"4","2","free","220","12","23","orange-23","orange","670","sampling-task","54","579503","0.0-5.0-0.42-0.42","80","2mgpyant","low"
"4","3","free","220","12","-7","orange-23","orange","990","sampling-task","55","582109","0.0-5.0-0.43-0.43","80","2mgpyant","low"
"4","4","free","220","12","-3","orange-23","orange","693","sampling-task","56","583885","0.0-5.0-0.44-0.44","80","2mgpyant","low"
"4","5","free","220","12","24","orange-23","orange","710","sampling-task","57","585837","0.0-5.0-0.45-0.45","80","2mgpyant","low"
"4","6","free","220","12","49","orange-23","orange","902","sampling-task","58","588157","0.0-5.0-0.46-0.46","80","2mgpyant","low"
"4","7","free","220","12","7","orange-23","orange","1126","sampling-task","59","590613","0.0-5.0-0.47-0.47","80","2mgpyant","low"
"4","8","free","220","12","22","orange-23","orange","1390","sampling-task","60","593405","0.0-5.0-0.48-0.48","80","2mgpyant","low"
"4","9","free","220","12","24","orange-23","orange","974","sampling-task","61","595589","0.0-5.0-0.49-0.49","80","2mgpyant","low"
"4","10","free","220","12","-2","orange-23","orange","981","sampling-task","62","597781","0.0-5.0-0.50-0.50","80","2mgpyant","low"
"4","11","free","220","12","4","orange-23","orange","830","sampling-task","63","599877","0.0-5.0-0.51-0.51","80","2mgpyant","low"
"4","12","free","220","12","16","orange-23","orange","838","sampling-task","64","601965","0.0-5.0-0.52-0.52","80","2mgpyant","low"
"4","13","free","220","12","3","orange-23","orange","2934","sampling-task","65","606525","0.0-5.0-0.53-0.53","80","2mgpyant","low"
"5","1","fixed","5","97","114","red-39","red","2132","sampling-task","68","629421","0.0-5.0-0.54-0.54","80","2mgpyant","low"
"5","2","fixed","5","97","113","red-39","red","733","sampling-task","69","631509","0.0-5.0-0.55-0.55","80","2mgpyant","low"
"5","3","fixed","5","97","102","red-39","red","654","sampling-task","70","633285","0.0-5.0-0.56-0.56","80","2mgpyant","low"
"5","4","fixed","5","97","104","red-39","red","726","sampling-task","71","635189","0.0-5.0-0.57-0.57","80","2mgpyant","low"
"5","5","fixed","5","97","97","red-39","red","1070","sampling-task","72","637589","0.0-5.0-0.58-0.58","80","2mgpyant","low"
"6","1","free","220","39","36","yellow-165","yellow","1676","sampling-task","75","661194","0.0-5.0-0.59-0.59","80","2mgpyant","low"
"6","2","free","220","39","29","yellow-165","yellow","790","sampling-task","76","663098","0.0-5.0-0.60-0.60","80","2mgpyant","low"
"6","3","free","220","39","50","yellow-165","yellow","526","sampling-task","77","664577","0.0-5.0-0.61-0.61","80","2mgpyant","low"
"6","4","free","220","39","22","yellow-165","yellow","910","sampling-task","78","666770","0.0-5.0-0.62-0.62","80","2mgpyant","low"
"6","5","free","220","39","56","yellow-165","yellow","748","sampling-task","79","668650","0.0-5.0-0.63-0.63","80","2mgpyant","low"
"6","6","free","220","39","45","yellow-165","yellow","694","sampling-task","80","670402","0.0-5.0-0.64-0.64","80","2mgpyant","low"
"6","7","free","220","39","14","yellow-165","yellow","1238","sampling-task","81","672778","0.0-5.0-0.65-0.65","80","2mgpyant","low"
"6","8","free","220","39","25","yellow-165","yellow","1262","sampling-task","82","675194","0.0-5.0-0.66-0.66","80","2mgpyant","low"
"6","9","free","220","39","34","yellow-165","yellow","1062","sampling-task","83","677738","0.0-5.0-0.67-0.67","80","2mgpyant","low"
"6","10","free","220","39","26","yellow-165","yellow","558","sampling-task","84","679458","0.0-5.0-0.68-0.68","80","2mgpyant","low"
"6","11","free","220","39","72","yellow-165","yellow","1174","sampling-task","85","681994","0.0-5.0-0.69-0.69","80","2mgpyant","low"
