"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","96","94","green-127","green","7912","sampling-task","6","823777","0.0-5.0-0.0-0.0","81","my5xr63d","low"
"1","2","fixed","20","96","105","green-127","green","1070","sampling-task","7","826401","0.0-5.0-0.1-0.1","81","my5xr63d","low"
"1","3","fixed","20","96","66","green-127","green","838","sampling-task","8","828849","0.0-5.0-0.2-0.2","81","my5xr63d","low"
"1","4","fixed","20","96","103","green-127","green","742","sampling-task","9","835801","0.0-5.0-0.3-0.3","81","my5xr63d","low"
"1","5","fixed","20","96","107","green-127","green","974","sampling-task","10","839681","0.0-5.0-0.4-0.4","81","my5xr63d","low"
"1","6","fixed","20","96","104","green-127","green","12742","sampling-task","11","853521","0.0-5.0-0.5-0.5","81","my5xr63d","low"
"1","7","fixed","20","96","80","green-127","green","614","sampling-task","12","855017","0.0-5.0-0.6-0.6","81","my5xr63d","low"
"1","8","fixed","20","96","117","green-127","green","654","sampling-task","13","856785","0.0-5.0-0.7-0.7","81","my5xr63d","low"
"1","9","fixed","20","96","118","green-127","green","662","sampling-task","14","858441","0.0-5.0-0.8-0.8","81","my5xr63d","low"
"1","10","fixed","20","96","98","green-127","green","886","sampling-task","15","860513","0.0-5.0-0.9-0.9","81","my5xr63d","low"
"1","11","fixed","20","96","114","green-127","green","670","sampling-task","16","862225","0.0-5.0-0.10-0.10","81","my5xr63d","low"
"1","12","fixed","20","96","92","green-127","green","734","sampling-task","17","864312","0.0-5.0-0.11-0.11","81","my5xr63d","low"
"1","13","fixed","20","96","105","green-127","green","590","sampling-task","18","865896","0.0-5.0-0.12-0.12","81","my5xr63d","low"
"1","14","fixed","20","96","144","green-127","green","726","sampling-task","19","868448","0.0-5.0-0.13-0.13","81","my5xr63d","low"
"1","15","fixed","20","96","87","green-127","green","838","sampling-task","20","870368","0.0-5.0-0.14-0.14","81","my5xr63d","low"
"1","16","fixed","20","96","87","green-127","green","822","sampling-task","21","872233","0.0-5.0-0.15-0.15","81","my5xr63d","low"
"1","17","fixed","20","96","90","green-127","green","924","sampling-task","22","874343","0.0-5.0-0.16-0.16","81","my5xr63d","low"
"1","18","fixed","20","96","78","green-127","green","758","sampling-task","23","876087","0.0-5.0-0.17-0.17","81","my5xr63d","low"
"1","19","fixed","20","96","82","green-127","green","781","sampling-task","24","878007","0.0-5.0-0.18-0.18","81","my5xr63d","low"
"1","20","fixed","20","96","119","green-127","green","621","sampling-task","25","879807","0.0-5.0-0.19-0.19","81","my5xr63d","low"
"2","1","free","220","14","-7","red-191","red","4483","sampling-task","28","933389","0.0-5.0-0.20-0.20","81","my5xr63d","low"
"2","2","free","220","14","11","red-191","red","726","sampling-task","29","935549","0.0-5.0-0.21-0.21","81","my5xr63d","low"
"2","3","free","220","14","-10","red-191","red","1326","sampling-task","30","938005","0.0-5.0-0.22-0.22","81","my5xr63d","low"
"2","4","free","220","14","-31","red-191","red","846","sampling-task","31","940172","0.0-5.0-0.23-0.23","81","my5xr63d","low"
"2","5","free","220","14","14","red-191","red","878","sampling-task","32","942868","0.0-5.0-0.24-0.24","81","my5xr63d","low"
"2","6","free","220","14","-7","red-191","red","1318","sampling-task","33","946613","0.0-5.0-0.25-0.25","81","my5xr63d","low"
"2","7","free","220","14","-22","red-191","red","909","sampling-task","34","952244","0.0-5.0-0.26-0.26","81","my5xr63d","low"
"2","8","free","220","14","30","red-191","red","942","sampling-task","35","954876","0.0-5.0-0.27-0.27","81","my5xr63d","low"
"2","9","free","220","14","13","red-191","red","1038","sampling-task","36","957324","0.0-5.0-0.28-0.28","81","my5xr63d","low"
"2","10","free","220","14","-5","red-191","red","1294","sampling-task","37","959693","0.0-5.0-0.29-0.29","81","my5xr63d","low"
"2","11","free","220","14","7","red-191","red","1422","sampling-task","38","965884","0.0-5.0-0.30-0.30","81","my5xr63d","low"
"2","12","free","220","14","-8","red-191","red","1006","sampling-task","39","969940","0.0-5.0-0.31-0.31","81","my5xr63d","low"
"2","13","free","220","14","2","red-191","red","542","sampling-task","40","972340","0.0-5.0-0.32-0.32","81","my5xr63d","low"
"2","14","free","220","14","31","red-191","red","622","sampling-task","41","976540","0.0-5.0-0.33-0.33","81","my5xr63d","low"
"2","15","free","220","14","8","red-191","red","1814","sampling-task","42","979580","0.0-5.0-0.34-0.34","81","my5xr63d","low"
"2","16","free","220","14","8","red-191","red","542","sampling-task","43","981085","0.0-5.0-0.35-0.35","81","my5xr63d","low"
"2","17","free","220","14","48","red-191","red","742","sampling-task","44","982973","0.0-5.0-0.36-0.36","81","my5xr63d","low"
