"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","93","100","yellow-192","yellow","13843","sampling-task","6","732969","0.0-5.0-0.0-0.0","82","40zjl65y","high"
"1","2","fixed","10","93","74","yellow-129","yellow","7670","sampling-task","7","742768","0.0-5.0-0.1-0.1","82","40zjl65y","high"
"1","3","fixed","10","93","96","yellow-123","yellow","3070","sampling-task","8","748032","0.0-5.0-0.2-0.2","82","40zjl65y","high"
"1","4","fixed","10","93","76","yellow-195","yellow","5054","sampling-task","9","754936","0.0-5.0-0.3-0.3","82","40zjl65y","high"
"1","5","fixed","10","93","102","yellow-127","yellow","3926","sampling-task","10","760976","0.0-5.0-0.4-0.4","82","40zjl65y","high"
"1","6","fixed","10","93","109","yellow-35","yellow","6963","sampling-task","11","769374","0.0-5.0-0.5-0.5","82","40zjl65y","high"
"1","7","fixed","10","93","103","yellow-90","yellow","3358","sampling-task","12","774973","0.0-5.0-0.6-0.6","82","40zjl65y","high"
"1","8","fixed","10","93","68","yellow-69","yellow","2629","sampling-task","13","779149","0.0-5.0-0.7-0.7","82","40zjl65y","high"
"1","9","fixed","10","93","72","yellow-53","yellow","2965","sampling-task","14","783429","0.0-5.0-0.8-0.8","82","40zjl65y","high"
"1","10","fixed","10","93","75","yellow-56","yellow","4117","sampling-task","15","789605","0.0-5.0-0.9-0.9","82","40zjl65y","high"
"2","1","free","220","32","35","green-138","green","4628","sampling-task","18","842389","0.0-5.0-0.10-0.10","82","40zjl65y","high"
"2","2","free","220","32","27","green-207","green","1838","sampling-task","19","845884","0.0-5.0-0.11-0.11","82","40zjl65y","high"
"2","3","free","220","32","32","green-43","green","1294","sampling-task","20","848757","0.0-5.0-0.12-0.12","82","40zjl65y","high"
"2","4","free","220","32","12","green-158","green","878","sampling-task","21","851133","0.0-5.0-0.13-0.13","82","40zjl65y","high"
"2","5","free","220","32","44","green-64","green","734","sampling-task","22","853204","0.0-5.0-0.14-0.14","82","40zjl65y","high"
"2","6","free","220","32","24","green-99","green","782","sampling-task","23","855660","0.0-5.0-0.15-0.15","82","40zjl65y","high"
"2","7","free","220","32","29","green-40","green","782","sampling-task","24","857973","0.0-5.0-0.16-0.16","82","40zjl65y","high"
"2","8","free","220","32","23","green-80","green","1926","sampling-task","25","861701","0.0-5.0-0.17-0.17","82","40zjl65y","high"
"2","9","free","220","32","41","green-2","green","749","sampling-task","26","863964","0.0-5.0-0.18-0.18","82","40zjl65y","high"
"2","10","free","220","32","24","green-63","green","646","sampling-task","27","866141","0.0-5.0-0.19-0.19","82","40zjl65y","high"
"2","11","free","220","32","-8","green-69","green","2302","sampling-task","28","870293","0.0-5.0-0.20-0.20","82","40zjl65y","high"
"2","12","free","220","32","20","green-119","green","1142","sampling-task","29","872716","0.0-5.0-0.21-0.21","82","40zjl65y","high"
"2","13","free","220","32","10","green-39","green","1102","sampling-task","30","875076","0.0-5.0-0.22-0.22","82","40zjl65y","high"
"2","14","free","220","32","18","green-168","green","1470","sampling-task","31","877836","0.0-5.0-0.23-0.23","82","40zjl65y","high"
"2","15","free","220","32","45","green-165","green","1310","sampling-task","32","880757","0.0-5.0-0.24-0.24","82","40zjl65y","high"
"2","16","free","220","32","20","green-175","green","630","sampling-task","33","882669","0.0-5.0-0.25-0.25","82","40zjl65y","high"
"2","17","free","220","32","7","green-63","green","662","sampling-task","34","884637","0.0-5.0-0.26-0.26","82","40zjl65y","high"
"2","18","free","220","32","16","green-107","green","614","sampling-task","35","886404","0.0-5.0-0.27-0.27","82","40zjl65y","high"
"2","19","free","220","32","69","green-66","green","718","sampling-task","36","890026","0.0-5.0-0.28-0.28","82","40zjl65y","high"
"2","20","free","220","32","13","green-9","green","702","sampling-task","37","892146","0.0-5.0-0.29-0.29","82","40zjl65y","high"
"2","21","free","220","32","60","green-169","green","702","sampling-task","38","894370","0.0-5.0-0.30-0.30","82","40zjl65y","high"
"2","22","free","220","32","14","green-134","green","693","sampling-task","39","896466","0.0-5.0-0.31-0.31","82","40zjl65y","high"
"2","23","free","220","32","62","green-149","green","662","sampling-task","40","900314","0.0-5.0-0.32-0.32","82","40zjl65y","high"
"2","24","free","220","32","60","green-28","green","766","sampling-task","41","904098","0.0-5.0-0.33-0.33","82","40zjl65y","high"
"2","25","free","220","32","5","green-18","green","1086","sampling-task","42","906722","0.0-5.0-0.34-0.34","82","40zjl65y","high"
