"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","77","69","purple-220","purple","4679","sampling-task","6","356416","0.0-5.0-0.0-0.0","83","n4dp5nty","low"
"1","2","fixed","20","77","79","purple-220","purple","1469","sampling-task","7","359223","0.0-5.0-0.1-0.1","83","n4dp5nty","low"
"1","3","fixed","20","77","75","purple-220","purple","622","sampling-task","8","360823","0.0-5.0-0.2-0.2","83","n4dp5nty","low"
"1","4","fixed","20","77","62","purple-220","purple","1046","sampling-task","9","362847","0.0-5.0-0.3-0.3","83","n4dp5nty","low"
"1","5","fixed","20","77","85","purple-220","purple","566","sampling-task","10","364487","0.0-5.0-0.4-0.4","83","n4dp5nty","low"
"1","6","fixed","20","77","62","purple-220","purple","5942","sampling-task","11","371407","0.0-5.0-0.5-0.5","83","n4dp5nty","low"
"1","7","fixed","20","77","59","purple-220","purple","470","sampling-task","12","373335","0.0-5.0-0.6-0.6","83","n4dp5nty","low"
"1","8","fixed","20","77","70","purple-220","purple","445","sampling-task","13","374631","0.0-5.0-0.7-0.7","83","n4dp5nty","low"
"1","9","fixed","20","77","82","purple-220","purple","485","sampling-task","14","376095","0.0-5.0-0.8-0.8","83","n4dp5nty","low"
"1","10","fixed","20","77","57","purple-220","purple","429","sampling-task","15","377383","0.0-5.0-0.9-0.9","83","n4dp5nty","low"
"1","11","fixed","20","77","81","purple-220","purple","422","sampling-task","16","378727","0.0-5.0-0.10-0.10","83","n4dp5nty","low"
"1","12","fixed","20","77","41","purple-220","purple","493","sampling-task","17","380063","0.0-5.0-0.11-0.11","83","n4dp5nty","low"
"1","13","fixed","20","77","53","purple-220","purple","462","sampling-task","18","381367","0.0-5.0-0.12-0.12","83","n4dp5nty","low"
"1","14","fixed","20","77","88","purple-220","purple","430","sampling-task","19","382615","0.0-5.0-0.13-0.13","83","n4dp5nty","low"
"1","15","fixed","20","77","75","purple-220","purple","398","sampling-task","20","383839","0.0-5.0-0.14-0.14","83","n4dp5nty","low"
"1","16","fixed","20","77","83","purple-220","purple","422","sampling-task","21","385304","0.0-5.0-0.15-0.15","83","n4dp5nty","low"
"1","17","fixed","20","77","79","purple-220","purple","390","sampling-task","22","386543","0.0-5.0-0.16-0.16","83","n4dp5nty","low"
"1","18","fixed","20","77","60","purple-220","purple","446","sampling-task","23","387855","0.0-5.0-0.17-0.17","83","n4dp5nty","low"
"1","19","fixed","20","77","77","purple-220","purple","398","sampling-task","24","389095","0.0-5.0-0.18-0.18","83","n4dp5nty","low"
"1","20","fixed","20","77","67","purple-220","purple","518","sampling-task","25","391543","0.0-5.0-0.19-0.19","83","n4dp5nty","low"
"2","1","free","220","111","104","green-95","green","2252","sampling-task","28","426205","0.0-5.0-0.20-0.20","83","n4dp5nty","low"
"2","2","free","220","111","64","green-95","green","471","sampling-task","29","427565","0.0-5.0-0.21-0.21","83","n4dp5nty","low"
"2","3","free","220","111","104","green-95","green","487","sampling-task","30","428925","0.0-5.0-0.22-0.22","83","n4dp5nty","low"
"2","4","free","220","111","94","green-95","green","430","sampling-task","31","430477","0.0-5.0-0.23-0.23","83","n4dp5nty","low"
"2","5","free","220","111","118","green-95","green","421","sampling-task","32","431925","0.0-5.0-0.24-0.24","83","n4dp5nty","low"
"2","6","free","220","111","107","green-95","green","359","sampling-task","33","433157","0.0-5.0-0.25-0.25","83","n4dp5nty","low"
