"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","72","79","blue-98","blue","20900","sampling-task","6","325095","0.0-5.0-0.0-0.0","84","4y972oem","high"
"1","2","fixed","5","72","68","blue-193","blue","1054","sampling-task","7","329023","0.0-5.0-0.1-0.1","84","4y972oem","high"
"1","3","fixed","5","72","69","blue-182","blue","806","sampling-task","8","332335","0.0-5.0-0.2-0.2","84","4y972oem","high"
"1","4","fixed","5","72","111","blue-48","blue","918","sampling-task","9","339799","0.0-5.0-0.3-0.3","84","4y972oem","high"
"1","5","fixed","5","72","48","blue-148","blue","750","sampling-task","10","346935","0.0-5.0-0.4-0.4","84","4y972oem","high"
"2","1","free","220","96","116","yellow-90","yellow","18668","sampling-task","13","423386","0.0-5.0-0.5-0.5","84","4y972oem","high"
"2","2","free","220","96","109","yellow-196","yellow","742","sampling-task","14","425242","0.0-5.0-0.6-0.6","84","4y972oem","high"
"2","3","free","220","96","122","yellow-146","yellow","798","sampling-task","15","427698","0.0-5.0-0.7-0.7","84","4y972oem","high"
"2","4","free","220","96","99","yellow-177","yellow","558","sampling-task","16","429906","0.0-5.0-0.8-0.8","84","4y972oem","high"
"2","5","free","220","96","114","yellow-40","yellow","814","sampling-task","17","431682","0.0-5.0-0.9-0.9","84","4y972oem","high"
"2","6","free","220","96","141","yellow-167","yellow","454","sampling-task","18","433010","0.0-5.0-0.10-0.10","84","4y972oem","high"
"2","7","free","220","96","87","yellow-185","yellow","486","sampling-task","19","435490","0.0-5.0-0.11-0.11","84","4y972oem","high"
"2","8","free","220","96","91","yellow-53","yellow","878","sampling-task","20","437690","0.0-5.0-0.12-0.12","84","4y972oem","high"
"2","9","free","220","96","116","yellow-38","yellow","990","sampling-task","21","440002","0.0-5.0-0.13-0.13","84","4y972oem","high"
"2","10","free","220","96","138","yellow-204","yellow","1166","sampling-task","22","443438","0.0-5.0-0.14-0.14","84","4y972oem","high"
"2","11","free","220","96","112","yellow-78","yellow","831","sampling-task","23","445566","0.0-5.0-0.15-0.15","84","4y972oem","high"
"3","1","fixed","20","50","47","red-93","red","3989","sampling-task","26","492558","0.0-5.0-0.16-0.16","84","4y972oem","high"
"3","2","fixed","20","50","77","red-160","red","1238","sampling-task","27","495398","0.0-5.0-0.17-0.17","84","4y972oem","high"
"3","3","fixed","20","50","81","red-90","red","2119","sampling-task","28","498974","0.0-5.0-0.18-0.18","84","4y972oem","high"
"3","4","fixed","20","50","36","red-199","red","582","sampling-task","29","501158","0.0-5.0-0.19-0.19","84","4y972oem","high"
"3","5","fixed","20","50","34","red-47","red","903","sampling-task","30","503705","0.0-5.0-0.20-0.20","84","4y972oem","high"
"3","6","fixed","20","50","33","red-89","red","1015","sampling-task","31","506817","0.0-5.0-0.21-0.21","84","4y972oem","high"
"3","7","fixed","20","50","19","red-97","red","1022","sampling-task","32","510841","0.0-5.0-0.22-0.22","84","4y972oem","high"
"3","8","fixed","20","50","70","red-196","red","1118","sampling-task","33","514001","0.0-5.0-0.23-0.23","84","4y972oem","high"
"3","9","fixed","20","50","24","red-189","red","878","sampling-task","34","516513","0.0-5.0-0.24-0.24","84","4y972oem","high"
"3","10","fixed","20","50","48","red-140","red","886","sampling-task","35","519314","0.0-5.0-0.25-0.25","84","4y972oem","high"
"3","11","fixed","20","50","75","red-116","red","1022","sampling-task","36","523369","0.0-5.0-0.26-0.26","84","4y972oem","high"
"3","12","fixed","20","50","32","red-25","red","2454","sampling-task","37","527481","0.0-5.0-0.27-0.27","84","4y972oem","high"
"3","13","fixed","20","50","65","red-31","red","1006","sampling-task","38","530273","0.0-5.0-0.28-0.28","84","4y972oem","high"
"3","14","fixed","20","50","35","red-185","red","878","sampling-task","39","533217","0.0-5.0-0.29-0.29","84","4y972oem","high"
"3","15","fixed","20","50","71","red-122","red","879","sampling-task","40","535529","0.0-5.0-0.30-0.30","84","4y972oem","high"
"3","16","fixed","20","50","12","red-165","red","806","sampling-task","41","538081","0.0-5.0-0.31-0.31","84","4y972oem","high"
"3","17","fixed","20","50","27","red-28","red","1510","sampling-task","42","541033","0.0-5.0-0.32-0.32","84","4y972oem","high"
"3","18","fixed","20","50","83","red-6","red","918","sampling-task","43","544609","0.0-5.0-0.33-0.33","84","4y972oem","high"
"3","19","fixed","20","50","86","red-148","red","2070","sampling-task","44","548617","0.0-5.0-0.34-0.34","84","4y972oem","high"
"3","20","fixed","20","50","75","red-27","red","2182","sampling-task","45","552529","0.0-5.0-0.35-0.35","84","4y972oem","high"
"4","1","free","220","38","23","green-19","green","2683","sampling-task","48","602438","0.0-5.0-0.36-0.36","84","4y972oem","high"
"4","2","free","220","38","68","green-17","green","462","sampling-task","49","604166","0.0-5.0-0.37-0.37","84","4y972oem","high"
"4","3","free","220","38","37","green-145","green","487","sampling-task","50","605662","0.0-5.0-0.38-0.38","84","4y972oem","high"
"4","4","free","220","38","73","green-41","green","478","sampling-task","51","607838","0.0-5.0-0.39-0.39","84","4y972oem","high"
"4","5","free","220","38","51","green-95","green","518","sampling-task","52","609830","0.0-5.0-0.40-0.40","84","4y972oem","high"
"4","6","free","220","38","43","green-57","green","646","sampling-task","53","611702","0.0-5.0-0.41-0.41","84","4y972oem","high"
"4","7","free","220","38","48","green-135","green","469","sampling-task","54","613662","0.0-5.0-0.42-0.42","84","4y972oem","high"
"4","8","free","220","38","54","green-82","green","734","sampling-task","55","616742","0.0-5.0-0.43-0.43","84","4y972oem","high"
"4","9","free","220","38","65","green-181","green","581","sampling-task","56","618630","0.0-5.0-0.44-0.44","84","4y972oem","high"
"4","10","free","220","38","-6","green-168","green","630","sampling-task","57","620806","0.0-5.0-0.45-0.45","84","4y972oem","high"
"4","11","free","220","38","31","green-3","green","614","sampling-task","58","623970","0.0-5.0-0.46-0.46","84","4y972oem","high"
"4","12","free","220","38","16","green-150","green","1030","sampling-task","59","626650","0.0-5.0-0.47-0.47","84","4y972oem","high"
"4","13","free","220","38","52","green-213","green","469","sampling-task","60","628298","0.0-5.0-0.48-0.48","84","4y972oem","high"
"4","14","free","220","38","19","green-99","green","494","sampling-task","61","629986","0.0-5.0-0.49-0.49","84","4y972oem","high"
"4","15","free","220","38","51","green-117","green","462","sampling-task","62","631594","0.0-5.0-0.50-0.50","84","4y972oem","high"
"4","16","free","220","38","33","green-156","green","470","sampling-task","63","633274","0.0-5.0-0.51-0.51","84","4y972oem","high"
"4","17","free","220","38","28","green-138","green","438","sampling-task","64","634690","0.0-5.0-0.52-0.52","84","4y972oem","high"
"4","18","free","220","38","33","green-206","green","638","sampling-task","65","637354","0.0-5.0-0.53-0.53","84","4y972oem","high"
"5","1","fixed","10","111","102","orange-194","orange","4244","sampling-task","68","676386","0.0-5.0-0.54-0.54","84","4y972oem","high"
"5","2","fixed","10","111","113","orange-154","orange","2782","sampling-task","69","681610","0.0-5.0-0.55-0.55","84","4y972oem","high"
"5","3","fixed","10","111","117","orange-156","orange","1386","sampling-task","70","684549","0.0-5.0-0.56-0.56","84","4y972oem","high"
"5","4","fixed","10","111","141","orange-124","orange","918","sampling-task","71","687309","0.0-5.0-0.57-0.57","84","4y972oem","high"
"5","5","fixed","10","111","115","orange-5","orange","918","sampling-task","72","690197","0.0-5.0-0.58-0.58","84","4y972oem","high"
"5","6","fixed","10","111","82","orange-93","orange","1166","sampling-task","73","693293","0.0-5.0-0.59-0.59","84","4y972oem","high"
"5","7","fixed","10","111","123","orange-51","orange","1118","sampling-task","74","696493","0.0-5.0-0.60-0.60","84","4y972oem","high"
"5","8","fixed","10","111","127","orange-140","orange","1350","sampling-task","75","699358","0.0-5.0-0.61-0.61","84","4y972oem","high"
"5","9","fixed","10","111","97","orange-190","orange","1222","sampling-task","76","702429","0.0-5.0-0.62-0.62","84","4y972oem","high"
"5","10","fixed","10","111","135","orange-80","orange","1022","sampling-task","77","705453","0.0-5.0-0.63-0.63","84","4y972oem","high"
"6","1","free","220","18","32","purple-150","purple","2892","sampling-task","80","744129","0.0-5.0-0.64-0.64","84","4y972oem","high"
"6","2","free","220","18","-3","purple-86","purple","470","sampling-task","81","745705","0.0-5.0-0.65-0.65","84","4y972oem","high"
"6","3","free","220","18","11","purple-194","purple","390","sampling-task","82","747745","0.0-5.0-0.66-0.66","84","4y972oem","high"
"6","4","free","220","18","14","purple-46","purple","430","sampling-task","83","749081","0.0-5.0-0.67-0.67","84","4y972oem","high"
"6","5","free","220","18","17","purple-126","purple","358","sampling-task","84","750273","0.0-5.0-0.68-0.68","84","4y972oem","high"
"6","6","free","220","18","-27","purple-186","purple","478","sampling-task","85","751921","0.0-5.0-0.69-0.69","84","4y972oem","high"
"6","7","free","220","18","48","purple-154","purple","631","sampling-task","86","753609","0.0-5.0-0.70-0.70","84","4y972oem","high"
"6","8","free","220","18","15","purple-111","purple","766","sampling-task","87","755313","0.0-5.0-0.71-0.71","84","4y972oem","high"
"6","9","free","220","18","31","purple-88","purple","1022","sampling-task","88","757385","0.0-5.0-0.72-0.72","84","4y972oem","high"
"6","10","free","220","18","-34","purple-85","purple","534","sampling-task","89","759193","0.0-5.0-0.73-0.73","84","4y972oem","high"
"6","11","free","220","18","20","purple-15","purple","766","sampling-task","90","761785","0.0-5.0-0.74-0.74","84","4y972oem","high"
"6","12","free","220","18","28","purple-199","purple","646","sampling-task","91","764065","0.0-5.0-0.75-0.75","84","4y972oem","high"
"6","13","free","220","18","-2","purple-25","purple","414","sampling-task","92","765481","0.0-5.0-0.76-0.76","84","4y972oem","high"
"6","14","free","220","18","36","purple-135","purple","718","sampling-task","93","767073","0.0-5.0-0.77-0.77","84","4y972oem","high"
"6","15","free","220","18","37","purple-126","purple","566","sampling-task","94","768657","0.0-5.0-0.78-0.78","84","4y972oem","high"
"6","16","free","220","18","17","purple-208","purple","710","sampling-task","95","770801","0.0-5.0-0.79-0.79","84","4y972oem","high"
"6","17","free","220","18","30","purple-97","purple","503","sampling-task","96","772313","0.0-5.0-0.80-0.80","84","4y972oem","high"
"6","18","free","220","18","-12","purple-118","purple","814","sampling-task","97","774689","0.0-5.0-0.81-0.81","84","4y972oem","high"
"6","19","free","220","18","25","purple-119","purple","566","sampling-task","98","777289","0.0-5.0-0.82-0.82","84","4y972oem","high"
"6","20","free","220","18","34","purple-12","purple","567","sampling-task","99","778929","0.0-5.0-0.83-0.83","84","4y972oem","high"
"6","21","free","220","18","-18","purple-168","purple","438","sampling-task","100","780545","0.0-5.0-0.84-0.84","84","4y972oem","high"
