"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","30","21","blue-198","blue","5215","sampling-task","12","389630","0.0-5.0-0.0-0.0","85","2gkomg4r","high"
"1","2","fixed","20","30","3","blue-57","blue","1366","sampling-task","13","392782","0.0-5.0-0.1-0.1","85","2gkomg4r","high"
"1","3","fixed","20","30","41","blue-127","blue","1206","sampling-task","14","402309","0.0-5.0-0.2-0.2","85","2gkomg4r","high"
"1","4","fixed","20","30","53","blue-106","blue","750","sampling-task","15","404518","0.0-5.0-0.3-0.3","85","2gkomg4r","high"
"1","5","fixed","20","30","46","blue-100","blue","622","sampling-task","16","406781","0.0-5.0-0.4-0.4","85","2gkomg4r","high"
"1","6","fixed","20","30","3","blue-164","blue","655","sampling-task","17","408805","0.0-5.0-0.5-0.5","85","2gkomg4r","high"
"1","7","fixed","20","30","8","blue-80","blue","758","sampling-task","18","418685","0.0-5.0-0.6-0.6","85","2gkomg4r","high"
"1","8","fixed","20","30","18","blue-106","blue","886","sampling-task","19","421545","0.0-5.0-0.7-0.7","85","2gkomg4r","high"
"1","9","fixed","20","30","37","blue-180","blue","838","sampling-task","20","423937","0.0-5.0-0.8-0.8","85","2gkomg4r","high"
"1","10","fixed","20","30","19","blue-49","blue","599","sampling-task","21","425633","0.0-5.0-0.9-0.9","85","2gkomg4r","high"
"1","11","fixed","20","30","50","blue-159","blue","615","sampling-task","22","427409","0.0-5.0-0.10-0.10","85","2gkomg4r","high"
"1","12","fixed","20","30","42","blue-216","blue","551","sampling-task","23","429145","0.0-5.0-0.11-0.11","85","2gkomg4r","high"
"1","13","fixed","20","30","29","blue-169","blue","615","sampling-task","24","431209","0.0-5.0-0.12-0.12","85","2gkomg4r","high"
"1","14","fixed","20","30","3","blue-83","blue","1134","sampling-task","25","433497","0.0-5.0-0.13-0.13","85","2gkomg4r","high"
"1","15","fixed","20","30","48","blue-25","blue","686","sampling-task","26","435553","0.0-5.0-0.14-0.14","85","2gkomg4r","high"
"1","16","fixed","20","30","62","blue-65","blue","638","sampling-task","27","437393","0.0-5.0-0.15-0.15","85","2gkomg4r","high"
"1","17","fixed","20","30","58","blue-46","blue","614","sampling-task","28","439345","0.0-5.0-0.16-0.16","85","2gkomg4r","high"
"1","18","fixed","20","30","36","blue-75","blue","646","sampling-task","29","441297","0.0-5.0-0.17-0.17","85","2gkomg4r","high"
"1","19","fixed","20","30","7","blue-147","blue","589","sampling-task","30","443201","0.0-5.0-0.18-0.18","85","2gkomg4r","high"
"1","20","fixed","20","30","62","blue-71","blue","622","sampling-task","31","445177","0.0-5.0-0.19-0.19","85","2gkomg4r","high"
"2","1","free","220","51","61","orange-123","orange","2836","sampling-task","34","518614","0.0-5.0-0.20-0.20","85","2gkomg4r","high"
"2","2","free","220","51","25","orange-118","orange","638","sampling-task","35","520669","0.0-5.0-0.21-0.21","85","2gkomg4r","high"
"2","3","free","220","51","42","orange-78","orange","510","sampling-task","36","522813","0.0-5.0-0.22-0.22","85","2gkomg4r","high"
"2","4","free","220","51","74","orange-1","orange","534","sampling-task","37","536029","0.0-5.0-0.23-0.23","85","2gkomg4r","high"
"3","1","fixed","10","71","68","yellow-211","yellow","3085","sampling-task","40","588864","0.0-5.0-0.24-0.24","85","2gkomg4r","high"
"3","2","fixed","10","71","87","yellow-122","yellow","510","sampling-task","41","590664","0.0-5.0-0.25-0.25","85","2gkomg4r","high"
"3","3","fixed","10","71","100","yellow-146","yellow","615","sampling-task","42","593088","0.0-5.0-0.26-0.26","85","2gkomg4r","high"
"3","4","fixed","10","71","60","yellow-79","yellow","623","sampling-task","43","595016","0.0-5.0-0.27-0.27","85","2gkomg4r","high"
"3","5","fixed","10","71","92","yellow-66","yellow","566","sampling-task","44","597952","0.0-5.0-0.28-0.28","85","2gkomg4r","high"
"3","6","fixed","10","71","76","yellow-103","yellow","598","sampling-task","45","599880","0.0-5.0-0.29-0.29","85","2gkomg4r","high"
"3","7","fixed","10","71","70","yellow-108","yellow","830","sampling-task","46","602360","0.0-5.0-0.30-0.30","85","2gkomg4r","high"
"3","8","fixed","10","71","88","yellow-177","yellow","610","sampling-task","47","604757","0.0-5.0-0.31-0.31","85","2gkomg4r","high"
"3","9","fixed","10","71","101","yellow-161","yellow","1358","sampling-task","48","607828","0.0-5.0-0.32-0.32","85","2gkomg4r","high"
"3","10","fixed","10","71","80","yellow-102","yellow","757","sampling-task","49","610045","0.0-5.0-0.33-0.33","85","2gkomg4r","high"
"4","1","free","220","10","10","red-64","red","2924","sampling-task","52","642693","0.0-5.0-0.34-0.34","85","2gkomg4r","high"
"4","2","free","220","10","5","red-64","red","486","sampling-task","53","644421","0.0-5.0-0.35-0.35","85","2gkomg4r","high"
"4","3","free","220","10","20","red-150","red","510","sampling-task","54","646061","0.0-5.0-0.36-0.36","85","2gkomg4r","high"
"4","4","free","220","10","35","red-69","red","470","sampling-task","55","647637","0.0-5.0-0.37-0.37","85","2gkomg4r","high"
"4","5","free","220","10","-1","red-30","red","494","sampling-task","56","649645","0.0-5.0-0.38-0.38","85","2gkomg4r","high"
"4","6","free","220","10","21","red-181","red","806","sampling-task","57","651773","0.0-5.0-0.39-0.39","85","2gkomg4r","high"
"4","7","free","220","10","10","red-156","red","550","sampling-task","58","653565","0.0-5.0-0.40-0.40","85","2gkomg4r","high"
"4","8","free","220","10","45","red-208","red","686","sampling-task","59","655869","0.0-5.0-0.41-0.41","85","2gkomg4r","high"
"4","9","free","220","10","-25","red-102","red","510","sampling-task","60","657941","0.0-5.0-0.42-0.42","85","2gkomg4r","high"
"4","10","free","220","10","-18","red-152","red","558","sampling-task","61","660861","0.0-5.0-0.43-0.43","85","2gkomg4r","high"
"4","11","free","220","10","7","red-4","red","566","sampling-task","62","662709","0.0-5.0-0.44-0.44","85","2gkomg4r","high"
"4","12","free","220","10","6","red-213","red","514","sampling-task","63","664376","0.0-5.0-0.45-0.45","85","2gkomg4r","high"
"4","13","free","220","10","34","red-154","red","542","sampling-task","64","666457","0.0-5.0-0.46-0.46","85","2gkomg4r","high"
"4","14","free","220","10","14","red-136","red","486","sampling-task","65","668329","0.0-5.0-0.47-0.47","85","2gkomg4r","high"
"4","15","free","220","10","-1","red-135","red","526","sampling-task","66","670369","0.0-5.0-0.48-0.48","85","2gkomg4r","high"
"4","16","free","220","10","34","red-162","red","502","sampling-task","67","672833","0.0-5.0-0.49-0.49","85","2gkomg4r","high"
"4","17","free","220","10","31","red-145","red","1118","sampling-task","68","676073","0.0-5.0-0.50-0.50","85","2gkomg4r","high"
"4","18","free","220","10","19","red-205","red","854","sampling-task","69","678096","0.0-5.0-0.51-0.51","85","2gkomg4r","high"
"4","19","free","220","10","20","red-153","red","654","sampling-task","70","679865","0.0-5.0-0.52-0.52","85","2gkomg4r","high"
"4","20","free","220","10","17","red-149","red","1182","sampling-task","71","682633","0.0-5.0-0.53-0.53","85","2gkomg4r","high"
"4","21","free","220","10","41","red-122","red","630","sampling-task","72","686705","0.0-5.0-0.54-0.54","85","2gkomg4r","high"
"5","1","fixed","5","94","132","green-216","green","2613","sampling-task","75","720056","0.0-5.0-0.55-0.55","85","2gkomg4r","high"
"5","2","fixed","5","94","127","green-99","green","630","sampling-task","76","722665","0.0-5.0-0.56-0.56","85","2gkomg4r","high"
"5","3","fixed","5","94","89","green-129","green","529","sampling-task","77","724284","0.0-5.0-0.57-0.57","85","2gkomg4r","high"
"5","4","fixed","5","94","63","green-26","green","582","sampling-task","78","725908","0.0-5.0-0.58-0.58","85","2gkomg4r","high"
"5","5","fixed","5","94","118","green-155","green","494","sampling-task","79","727500","0.0-5.0-0.59-0.59","85","2gkomg4r","high"
"6","1","free","220","116","128","purple-61","purple","2244","sampling-task","82","775292","0.0-5.0-0.60-0.60","85","2gkomg4r","high"
