"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","15","19","orange-173","orange","18252","sampling-task","6","280135","0.0-5.0-0.0-0.0","86","9pn2vmqg","high"
"1","2","fixed","5","15","20","orange-96","orange","1654","sampling-task","7","283271","0.0-5.0-0.1-0.1","86","9pn2vmqg","high"
"1","3","fixed","5","15","42","orange-185","orange","1982","sampling-task","8","286535","0.0-5.0-0.2-0.2","86","9pn2vmqg","high"
"1","4","fixed","5","15","43","orange-134","orange","870","sampling-task","9","289271","0.0-5.0-0.3-0.3","86","9pn2vmqg","high"
"1","5","fixed","5","15","22","orange-203","orange","694","sampling-task","10","291063","0.0-5.0-0.4-0.4","86","9pn2vmqg","high"
"2","1","free","220","113","149","blue-146","blue","2180","sampling-task","13","339397","0.0-5.0-0.5-0.5","86","9pn2vmqg","high"
"2","2","free","220","113","102","blue-52","blue","2782","sampling-task","14","343597","0.0-5.0-0.6-0.6","86","9pn2vmqg","high"
"2","3","free","220","113","105","blue-95","blue","622","sampling-task","15","345085","0.0-5.0-0.7-0.7","86","9pn2vmqg","high"
"2","4","free","220","113","116","blue-39","blue","422","sampling-task","16","346461","0.0-5.0-0.8-0.8","86","9pn2vmqg","high"
"2","5","free","220","113","134","blue-34","blue","398","sampling-task","17","347829","0.0-5.0-0.9-0.9","86","9pn2vmqg","high"
"2","6","free","220","113","117","blue-25","blue","390","sampling-task","18","349221","0.0-5.0-0.10-0.10","86","9pn2vmqg","high"
"2","7","free","220","113","68","blue-46","blue","534","sampling-task","19","350669","0.0-5.0-0.11-0.11","86","9pn2vmqg","high"
"2","8","free","220","113","122","blue-211","blue","510","sampling-task","20","352029","0.0-5.0-0.12-0.12","86","9pn2vmqg","high"
"2","9","free","220","113","91","blue-88","blue","798","sampling-task","21","353653","0.0-5.0-0.13-0.13","86","9pn2vmqg","high"
"2","10","free","220","113","125","blue-40","blue","782","sampling-task","22","355261","0.0-5.0-0.14-0.14","86","9pn2vmqg","high"
"2","11","free","220","113","114","blue-150","blue","606","sampling-task","23","356709","0.0-5.0-0.15-0.15","86","9pn2vmqg","high"
"2","12","free","220","113","127","blue-201","blue","526","sampling-task","24","358061","0.0-5.0-0.16-0.16","86","9pn2vmqg","high"
"2","13","free","220","113","115","blue-133","blue","397","sampling-task","25","359285","0.0-5.0-0.17-0.17","86","9pn2vmqg","high"
"2","14","free","220","113","123","blue-134","blue","405","sampling-task","26","360469","0.0-5.0-0.18-0.18","86","9pn2vmqg","high"
"2","15","free","220","113","98","blue-121","blue","398","sampling-task","27","362013","0.0-5.0-0.19-0.19","86","9pn2vmqg","high"
"2","16","free","220","113","103","blue-144","blue","294","sampling-task","28","363285","0.0-5.0-0.20-0.20","86","9pn2vmqg","high"
"3","1","fixed","20","50","9","yellow-59","yellow","5508","sampling-task","31","398221","0.0-5.0-0.21-0.21","86","9pn2vmqg","high"
"3","2","fixed","20","50","68","yellow-146","yellow","366","sampling-task","32","399436","0.0-5.0-0.22-0.22","86","9pn2vmqg","high"
"3","3","fixed","20","50","73","yellow-178","yellow","334","sampling-task","33","400643","0.0-5.0-0.23-0.23","86","9pn2vmqg","high"
"3","4","fixed","20","50","28","yellow-40","yellow","470","sampling-task","34","401915","0.0-5.0-0.24-0.24","86","9pn2vmqg","high"
"3","5","fixed","20","50","39","yellow-68","yellow","318","sampling-task","35","403028","0.0-5.0-0.25-0.25","86","9pn2vmqg","high"
"3","6","fixed","20","50","50","yellow-141","yellow","405","sampling-task","36","404892","0.0-5.0-0.26-0.26","86","9pn2vmqg","high"
"3","7","fixed","20","50","40","yellow-172","yellow","270","sampling-task","37","406820","0.0-5.0-0.27-0.27","86","9pn2vmqg","high"
"3","8","fixed","20","50","46","yellow-95","yellow","262","sampling-task","38","407844","0.0-5.0-0.28-0.28","86","9pn2vmqg","high"
"3","9","fixed","20","50","32","yellow-136","yellow","270","sampling-task","39","408876","0.0-5.0-0.29-0.29","86","9pn2vmqg","high"
"3","10","fixed","20","50","21","yellow-184","yellow","214","sampling-task","40","409868","0.0-5.0-0.30-0.30","86","9pn2vmqg","high"
"3","11","fixed","20","50","59","yellow-44","yellow","294","sampling-task","41","411020","0.0-5.0-0.31-0.31","86","9pn2vmqg","high"
"3","12","fixed","20","50","62","yellow-193","yellow","294","sampling-task","42","412108","0.0-5.0-0.32-0.32","86","9pn2vmqg","high"
"3","13","fixed","20","50","78","yellow-205","yellow","262","sampling-task","43","413148","0.0-5.0-0.33-0.33","86","9pn2vmqg","high"
"3","14","fixed","20","50","28","yellow-16","yellow","310","sampling-task","44","414236","0.0-5.0-0.34-0.34","86","9pn2vmqg","high"
"3","15","fixed","20","50","53","yellow-114","yellow","262","sampling-task","45","415268","0.0-5.0-0.35-0.35","86","9pn2vmqg","high"
"3","16","fixed","20","50","46","yellow-139","yellow","246","sampling-task","46","416292","0.0-5.0-0.36-0.36","86","9pn2vmqg","high"
"3","17","fixed","20","50","60","yellow-143","yellow","270","sampling-task","47","417340","0.0-5.0-0.37-0.37","86","9pn2vmqg","high"
"3","18","fixed","20","50","42","yellow-107","yellow","221","sampling-task","48","418332","0.0-5.0-0.38-0.38","86","9pn2vmqg","high"
"3","19","fixed","20","50","63","yellow-133","yellow","310","sampling-task","49","419412","0.0-5.0-0.39-0.39","86","9pn2vmqg","high"
"3","20","fixed","20","50","77","yellow-83","yellow","246","sampling-task","50","420652","0.0-5.0-0.40-0.40","86","9pn2vmqg","high"
"4","1","free","220","34","33","green-151","green","1029","sampling-task","53","445867","0.0-5.0-0.41-0.41","86","9pn2vmqg","high"
"4","2","free","220","34","25","green-153","green","430","sampling-task","54","447139","0.0-5.0-0.42-0.42","86","9pn2vmqg","high"
"4","3","free","220","34","43","green-11","green","310","sampling-task","55","448267","0.0-5.0-0.43-0.43","86","9pn2vmqg","high"
"4","4","free","220","34","19","green-197","green","254","sampling-task","56","449587","0.0-5.0-0.44-0.44","86","9pn2vmqg","high"
"4","5","free","220","34","44","green-175","green","302","sampling-task","57","453971","0.0-5.0-0.45-0.45","86","9pn2vmqg","high"
"4","6","free","220","34","61","green-96","green","1166","sampling-task","58","456627","0.0-5.0-0.46-0.46","86","9pn2vmqg","high"
"4","7","free","220","34","26","green-101","green","214","sampling-task","59","457620","0.0-5.0-0.47-0.47","86","9pn2vmqg","high"
"4","8","free","220","34","29","green-47","green","230","sampling-task","60","458627","0.0-5.0-0.48-0.48","86","9pn2vmqg","high"
"4","9","free","220","34","18","green-31","green","214","sampling-task","61","459770","0.0-5.0-0.49-0.49","86","9pn2vmqg","high"
"4","10","free","220","34","44","green-126","green","214","sampling-task","62","461058","0.0-5.0-0.50-0.50","86","9pn2vmqg","high"
"4","11","free","220","34","38","green-75","green","222","sampling-task","63","462114","0.0-5.0-0.51-0.51","86","9pn2vmqg","high"
"4","12","free","220","34","51","green-140","green","270","sampling-task","64","463554","0.0-5.0-0.52-0.52","86","9pn2vmqg","high"
"4","13","free","220","34","22","green-43","green","454","sampling-task","65","464993","0.0-5.0-0.53-0.53","86","9pn2vmqg","high"
"5","1","fixed","10","90","91","purple-33","purple","804","sampling-task","68","487954","0.0-5.0-0.54-0.54","86","9pn2vmqg","high"
"5","2","fixed","10","90","98","purple-103","purple","374","sampling-task","69","489113","0.0-5.0-0.55-0.55","86","9pn2vmqg","high"
"5","3","fixed","10","90","71","purple-17","purple","390","sampling-task","70","490914","0.0-5.0-0.56-0.56","86","9pn2vmqg","high"
"5","4","fixed","10","90","90","purple-112","purple","301","sampling-task","71","491970","0.0-5.0-0.57-0.57","86","9pn2vmqg","high"
"5","5","fixed","10","90","126","purple-206","purple","278","sampling-task","72","493410","0.0-5.0-0.58-0.58","86","9pn2vmqg","high"
"5","6","fixed","10","90","112","purple-219","purple","294","sampling-task","73","494834","0.0-5.0-0.59-0.59","86","9pn2vmqg","high"
"5","7","fixed","10","90","109","purple-149","purple","390","sampling-task","74","496018","0.0-5.0-0.60-0.60","86","9pn2vmqg","high"
"5","8","fixed","10","90","75","purple-180","purple","414","sampling-task","75","497258","0.0-5.0-0.61-0.61","86","9pn2vmqg","high"
"5","9","fixed","10","90","93","purple-183","purple","462","sampling-task","76","498498","0.0-5.0-0.62-0.62","86","9pn2vmqg","high"
"5","10","fixed","10","90","121","purple-144","purple","492","sampling-task","77","499754","0.0-5.0-0.63-0.63","86","9pn2vmqg","high"
"6","1","free","220","72","80","red-9","red","931","sampling-task","80","519394","0.0-5.0-0.64-0.64","86","9pn2vmqg","high"
"6","2","free","220","72","60","red-77","red","732","sampling-task","81","520888","0.0-5.0-0.65-0.65","86","9pn2vmqg","high"
"6","3","free","220","72","45","red-7","red","342","sampling-task","82","522320","0.0-5.0-0.66-0.66","86","9pn2vmqg","high"
"6","4","free","220","72","87","red-93","red","271","sampling-task","83","523416","0.0-5.0-0.67-0.67","86","9pn2vmqg","high"
"6","5","free","220","72","83","red-116","red","238","sampling-task","84","524632","0.0-5.0-0.68-0.68","86","9pn2vmqg","high"
"6","6","free","220","72","76","red-205","red","189","sampling-task","85","525608","0.0-5.0-0.69-0.69","86","9pn2vmqg","high"
"6","7","free","220","72","74","red-69","red","222","sampling-task","86","526608","0.0-5.0-0.70-0.70","86","9pn2vmqg","high"
"6","8","free","220","72","75","red-199","red","213","sampling-task","87","527624","0.0-5.0-0.71-0.71","86","9pn2vmqg","high"
"6","9","free","220","72","80","red-175","red","197","sampling-task","88","528672","0.0-5.0-0.72-0.72","86","9pn2vmqg","high"
"6","10","free","220","72","57","red-29","red","229","sampling-task","89","529744","0.0-5.0-0.73-0.73","86","9pn2vmqg","high"
"6","11","free","220","72","100","red-121","red","229","sampling-task","90","530784","0.0-5.0-0.74-0.74","86","9pn2vmqg","high"
"6","12","free","220","72","18","red-212","red","349","sampling-task","91","531976","0.0-5.0-0.75-0.75","86","9pn2vmqg","high"
"6","13","free","220","72","95","red-38","red","278","sampling-task","92","533048","0.0-5.0-0.76-0.76","86","9pn2vmqg","high"
"6","14","free","220","72","42","red-149","red","253","sampling-task","93","534080","0.0-5.0-0.77-0.77","86","9pn2vmqg","high"
"6","15","free","220","72","70","red-113","red","213","sampling-task","94","535064","0.0-5.0-0.78-0.78","86","9pn2vmqg","high"
"6","16","free","220","72","90","red-67","red","197","sampling-task","95","536680","0.0-5.0-0.79-0.79","86","9pn2vmqg","high"
"6","17","free","220","72","122","red-163","red","253","sampling-task","96","537856","0.0-5.0-0.80-0.80","86","9pn2vmqg","high"
"6","18","free","220","72","59","red-65","red","205","sampling-task","97","538832","0.0-5.0-0.81-0.81","86","9pn2vmqg","high"
"6","19","free","220","72","82","red-218","red","221","sampling-task","98","539816","0.0-5.0-0.82-0.82","86","9pn2vmqg","high"
"6","20","free","220","72","145","red-49","red","213","sampling-task","99","540888","0.0-5.0-0.83-0.83","86","9pn2vmqg","high"
"6","21","free","220","72","102","red-62","red","246","sampling-task","100","542320","0.0-5.0-0.84-0.84","86","9pn2vmqg","high"
