"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","58","39","purple-133","purple","9376","sampling-task","15","555937","0.0-5.0-0.0-0.0","87","rl53u9wr","high"
"1","2","fixed","5","58","34","purple-22","purple","2718","sampling-task","16","564945","0.0-5.0-0.1-0.1","87","rl53u9wr","high"
"1","3","fixed","5","58","53","purple-144","purple","646","sampling-task","17","569385","0.0-5.0-0.2-0.2","87","rl53u9wr","high"
"1","4","fixed","5","58","87","purple-192","purple","606","sampling-task","18","572073","0.0-5.0-0.3-0.3","87","rl53u9wr","high"
"1","5","fixed","5","58","9","purple-214","purple","414","sampling-task","19","590353","0.0-5.0-0.4-0.4","87","rl53u9wr","high"
"2","1","free","220","90","67","orange-157","orange","3836","sampling-task","22","646585","0.0-5.0-0.5-0.5","87","rl53u9wr","high"
"2","2","free","220","90","92","orange-178","orange","558","sampling-task","23","649161","0.0-5.0-0.6-0.6","87","rl53u9wr","high"
"2","3","free","220","90","84","orange-87","orange","391","sampling-task","24","650713","0.0-5.0-0.7-0.7","87","rl53u9wr","high"
"2","4","free","220","90","107","orange-14","orange","342","sampling-task","25","652817","0.0-5.0-0.8-0.8","87","rl53u9wr","high"
"2","5","free","220","90","147","orange-126","orange","294","sampling-task","26","656145","0.0-5.0-0.9-0.9","87","rl53u9wr","high"
"2","6","free","220","90","112","orange-194","orange","295","sampling-task","27","657522","0.0-5.0-0.10-0.10","87","rl53u9wr","high"
"2","7","free","220","90","89","orange-71","orange","326","sampling-task","28","659001","0.0-5.0-0.11-0.11","87","rl53u9wr","high"
"2","8","free","220","90","93","orange-73","orange","367","sampling-task","29","660738","0.0-5.0-0.12-0.12","87","rl53u9wr","high"
"2","9","free","220","90","86","orange-200","orange","415","sampling-task","30","662154","0.0-5.0-0.13-0.13","87","rl53u9wr","high"
"2","10","free","220","90","95","orange-116","orange","367","sampling-task","31","663435","0.0-5.0-0.14-0.14","87","rl53u9wr","high"
"2","11","free","220","90","96","orange-62","orange","334","sampling-task","32","664963","0.0-5.0-0.15-0.15","87","rl53u9wr","high"
"2","12","free","220","90","101","orange-79","orange","310","sampling-task","33","666739","0.0-5.0-0.16-0.16","87","rl53u9wr","high"
"2","13","free","220","90","64","orange-150","orange","342","sampling-task","34","668075","0.0-5.0-0.17-0.17","87","rl53u9wr","high"
"2","14","free","220","90","78","orange-115","orange","293","sampling-task","35","669211","0.0-5.0-0.18-0.18","87","rl53u9wr","high"
"2","15","free","220","90","61","orange-127","orange","294","sampling-task","36","670355","0.0-5.0-0.19-0.19","87","rl53u9wr","high"
"2","16","free","220","90","77","orange-169","orange","318","sampling-task","37","671499","0.0-5.0-0.20-0.20","87","rl53u9wr","high"
"2","17","free","220","90","82","orange-75","orange","374","sampling-task","38","673275","0.0-5.0-0.21-0.21","87","rl53u9wr","high"
"2","18","free","220","90","96","orange-52","orange","350","sampling-task","39","674427","0.0-5.0-0.22-0.22","87","rl53u9wr","high"
"2","19","free","220","90","80","orange-8","orange","318","sampling-task","40","675563","0.0-5.0-0.23-0.23","87","rl53u9wr","high"
"2","20","free","220","90","89","orange-168","orange","310","sampling-task","41","676731","0.0-5.0-0.24-0.24","87","rl53u9wr","high"
"2","21","free","220","90","101","orange-97","orange","494","sampling-task","42","678922","0.0-5.0-0.25-0.25","87","rl53u9wr","high"
"2","22","free","220","90","90","orange-78","orange","327","sampling-task","43","680123","0.0-5.0-0.26-0.26","87","rl53u9wr","high"
"2","23","free","220","90","94","orange-169","orange","350","sampling-task","44","682858","0.0-5.0-0.27-0.27","87","rl53u9wr","high"
"2","24","free","220","90","78","orange-107","orange","295","sampling-task","45","685003","0.0-5.0-0.28-0.28","87","rl53u9wr","high"
"2","25","free","220","90","106","orange-2","orange","270","sampling-task","46","686115","0.0-5.0-0.29-0.29","87","rl53u9wr","high"
"2","26","free","220","90","104","orange-87","orange","278","sampling-task","47","687227","0.0-5.0-0.30-0.30","87","rl53u9wr","high"
"2","27","free","220","90","73","orange-43","orange","278","sampling-task","48","688315","0.0-5.0-0.31-0.31","87","rl53u9wr","high"
"2","28","free","220","90","66","orange-43","orange","278","sampling-task","49","689378","0.0-5.0-0.32-0.32","87","rl53u9wr","high"
"2","29","free","220","90","126","orange-124","orange","277","sampling-task","50","694162","0.0-5.0-0.33-0.33","87","rl53u9wr","high"
"2","30","free","220","90","83","orange-150","orange","238","sampling-task","51","695219","0.0-5.0-0.34-0.34","87","rl53u9wr","high"
"2","31","free","220","90","68","orange-58","orange","302","sampling-task","52","696339","0.0-5.0-0.35-0.35","87","rl53u9wr","high"
"2","32","free","220","90","87","orange-72","orange","310","sampling-task","53","697435","0.0-5.0-0.36-0.36","87","rl53u9wr","high"
"2","33","free","220","90","49","orange-130","orange","254","sampling-task","54","698466","0.0-5.0-0.37-0.37","87","rl53u9wr","high"
"2","34","free","220","90","106","orange-26","orange","286","sampling-task","55","699570","0.0-5.0-0.38-0.38","87","rl53u9wr","high"
"2","35","free","220","90","50","orange-193","orange","334","sampling-task","56","700731","0.0-5.0-0.39-0.39","87","rl53u9wr","high"
"2","36","free","220","90","78","orange-46","orange","334","sampling-task","57","701867","0.0-5.0-0.40-0.40","87","rl53u9wr","high"
"2","37","free","220","90","119","orange-132","orange","334","sampling-task","58","703450","0.0-5.0-0.41-0.41","87","rl53u9wr","high"
"2","38","free","220","90","99","orange-162","orange","390","sampling-task","59","704883","0.0-5.0-0.42-0.42","87","rl53u9wr","high"
"2","39","free","220","90","80","orange-111","orange","326","sampling-task","60","706027","0.0-5.0-0.43-0.43","87","rl53u9wr","high"
"2","40","free","220","90","106","orange-164","orange","318","sampling-task","61","707338","0.0-5.0-0.44-0.44","87","rl53u9wr","high"
"2","41","free","220","90","96","orange-140","orange","390","sampling-task","62","708538","0.0-5.0-0.45-0.45","87","rl53u9wr","high"
"2","42","free","220","90","112","orange-55","orange","286","sampling-task","63","709659","0.0-5.0-0.46-0.46","87","rl53u9wr","high"
"2","43","free","220","90","116","orange-25","orange","262","sampling-task","64","711322","0.0-5.0-0.47-0.47","87","rl53u9wr","high"
"2","44","free","220","90","94","orange-19","orange","295","sampling-task","65","712483","0.0-5.0-0.48-0.48","87","rl53u9wr","high"
"2","45","free","220","90","76","orange-26","orange","310","sampling-task","66","713803","0.0-5.0-0.49-0.49","87","rl53u9wr","high"
"2","46","free","220","90","95","orange-154","orange","294","sampling-task","67","714955","0.0-5.0-0.50-0.50","87","rl53u9wr","high"
"2","47","free","220","90","107","orange-187","orange","286","sampling-task","68","716051","0.0-5.0-0.51-0.51","87","rl53u9wr","high"
"2","48","free","220","90","84","orange-108","orange","270","sampling-task","69","717171","0.0-5.0-0.52-0.52","87","rl53u9wr","high"
"2","49","free","220","90","65","orange-21","orange","302","sampling-task","70","720027","0.0-5.0-0.53-0.53","87","rl53u9wr","high"
"2","50","free","220","90","116","orange-70","orange","389","sampling-task","71","722675","0.0-5.0-0.54-0.54","87","rl53u9wr","high"
"2","51","free","220","90","114","orange-61","orange","254","sampling-task","72","723739","0.0-5.0-0.55-0.55","87","rl53u9wr","high"
"2","52","free","220","90","90","orange-195","orange","262","sampling-task","73","725187","0.0-5.0-0.56-0.56","87","rl53u9wr","high"
"2","53","free","220","90","98","orange-119","orange","286","sampling-task","74","726307","0.0-5.0-0.57-0.57","87","rl53u9wr","high"
"2","54","free","220","90","52","orange-161","orange","326","sampling-task","75","727915","0.0-5.0-0.58-0.58","87","rl53u9wr","high"
"2","55","free","220","90","53","orange-121","orange","366","sampling-task","76","729099","0.0-5.0-0.59-0.59","87","rl53u9wr","high"
"2","56","free","220","90","84","orange-186","orange","318","sampling-task","77","730563","0.0-5.0-0.60-0.60","87","rl53u9wr","high"
"2","57","free","220","90","95","orange-92","orange","342","sampling-task","78","731787","0.0-5.0-0.61-0.61","87","rl53u9wr","high"
