"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","99","117","purple-183","purple","5725","sampling-task","6","306381","0.0-5.0-0.0-0.0","88","pyf4qhcd","low"
"1","2","fixed","5","99","97","purple-183","purple","3286","sampling-task","7","312196","0.0-5.0-0.1-0.1","88","pyf4qhcd","low"
"1","3","fixed","5","99","100","purple-183","purple","2094","sampling-task","8","321060","0.0-5.0-0.2-0.2","88","pyf4qhcd","low"
"1","4","fixed","5","99","134","purple-183","purple","1886","sampling-task","9","324724","0.0-5.0-0.3-0.3","88","pyf4qhcd","low"
"1","5","fixed","5","99","99","purple-183","purple","2566","sampling-task","10","330269","0.0-5.0-0.4-0.4","88","pyf4qhcd","low"
"2","1","free","220","30","20","blue-220","blue","3580","sampling-task","13","399326","0.0-5.0-0.5-0.5","88","pyf4qhcd","low"
"2","2","free","220","30","22","blue-220","blue","910","sampling-task","14","401590","0.0-5.0-0.6-0.6","88","pyf4qhcd","low"
"2","3","free","220","30","6","blue-220","blue","574","sampling-task","15","403390","0.0-5.0-0.7-0.7","88","pyf4qhcd","low"
"2","4","free","220","30","61","blue-220","blue","590","sampling-task","16","408621","0.0-5.0-0.8-0.8","88","pyf4qhcd","low"
"2","5","free","220","30","68","blue-220","blue","782","sampling-task","17","411054","0.0-5.0-0.9-0.9","88","pyf4qhcd","low"
"2","6","free","220","30","6","blue-220","blue","622","sampling-task","18","412885","0.0-5.0-0.10-0.10","88","pyf4qhcd","low"
"2","7","free","220","30","52","blue-220","blue","582","sampling-task","19","414901","0.0-5.0-0.11-0.11","88","pyf4qhcd","low"
"2","8","free","220","30","39","blue-220","blue","942","sampling-task","20","417886","0.0-5.0-0.12-0.12","88","pyf4qhcd","low"
"2","9","free","220","30","30","blue-220","blue","694","sampling-task","21","420517","0.0-5.0-0.13-0.13","88","pyf4qhcd","low"
"2","10","free","220","30","37","blue-220","blue","622","sampling-task","22","423429","0.0-5.0-0.14-0.14","88","pyf4qhcd","low"
"2","11","free","220","30","-41","blue-220","blue","590","sampling-task","23","425942","0.0-5.0-0.15-0.15","88","pyf4qhcd","low"
"2","12","free","220","30","40","blue-220","blue","1053","sampling-task","24","428325","0.0-5.0-0.16-0.16","88","pyf4qhcd","low"
"2","13","free","220","30","17","blue-220","blue","525","sampling-task","25","430109","0.0-5.0-0.17-0.17","88","pyf4qhcd","low"
"2","14","free","220","30","9","blue-220","blue","445","sampling-task","26","431877","0.0-5.0-0.18-0.18","88","pyf4qhcd","low"
"2","15","free","220","30","22","blue-220","blue","526","sampling-task","27","436189","0.0-5.0-0.19-0.19","88","pyf4qhcd","low"
"2","16","free","220","30","33","blue-220","blue","814","sampling-task","28","438205","0.0-5.0-0.20-0.20","88","pyf4qhcd","low"
"2","17","free","220","30","3","blue-220","blue","566","sampling-task","29","439717","0.0-5.0-0.21-0.21","88","pyf4qhcd","low"
"2","18","free","220","30","52","blue-220","blue","519","sampling-task","30","441181","0.0-5.0-0.22-0.22","88","pyf4qhcd","low"
"2","19","free","220","30","18","blue-220","blue","486","sampling-task","31","442853","0.0-5.0-0.23-0.23","88","pyf4qhcd","low"
"2","20","free","220","30","38","blue-220","blue","518","sampling-task","32","444357","0.0-5.0-0.24-0.24","88","pyf4qhcd","low"
"2","21","free","220","30","80","blue-220","blue","454","sampling-task","33","446173","0.0-5.0-0.25-0.25","88","pyf4qhcd","low"
"2","22","free","220","30","20","blue-220","blue","511","sampling-task","34","447725","0.0-5.0-0.26-0.26","88","pyf4qhcd","low"
"2","23","free","220","30","21","blue-220","blue","469","sampling-task","35","449541","0.0-5.0-0.27-0.27","88","pyf4qhcd","low"
