"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","119","93","red-43","red","6258","sampling-task","6","352205","0.0-5.0-0.0-0.0","89","fj1e8o6k","low"
"1","2","fixed","10","119","131","red-43","red","1774","sampling-task","7","358397","0.0-5.0-0.1-0.1","89","fj1e8o6k","low"
"1","3","fixed","10","119","84","red-43","red","838","sampling-task","8","360725","0.0-5.0-0.2-0.2","89","fj1e8o6k","low"
"1","4","fixed","10","119","121","red-43","red","870","sampling-task","9","363037","0.0-5.0-0.3-0.3","89","fj1e8o6k","low"
"1","5","fixed","10","119","109","red-43","red","742","sampling-task","10","365141","0.0-5.0-0.4-0.4","89","fj1e8o6k","low"
"1","6","fixed","10","119","117","red-43","red","750","sampling-task","11","368365","0.0-5.0-0.5-0.5","89","fj1e8o6k","low"
"1","7","fixed","10","119","134","red-43","red","886","sampling-task","12","370485","0.0-5.0-0.6-0.6","89","fj1e8o6k","low"
"1","8","fixed","10","119","115","red-43","red","638","sampling-task","13","372469","0.0-5.0-0.7-0.7","89","fj1e8o6k","low"
"1","9","fixed","10","119","142","red-43","red","662","sampling-task","14","374365","0.0-5.0-0.8-0.8","89","fj1e8o6k","low"
"1","10","fixed","10","119","138","red-43","red","726","sampling-task","15","376157","0.0-5.0-0.9-0.9","89","fj1e8o6k","low"
"2","1","free","220","30","23","orange-76","orange","3076","sampling-task","18","479455","0.0-5.0-0.10-0.10","89","fj1e8o6k","low"
"2","2","free","220","30","-14","orange-76","orange","598","sampling-task","19","481607","0.0-5.0-0.11-0.11","89","fj1e8o6k","low"
"2","3","free","220","30","45","orange-76","orange","534","sampling-task","20","483503","0.0-5.0-0.12-0.12","89","fj1e8o6k","low"
"2","4","free","220","30","55","orange-76","orange","510","sampling-task","21","485207","0.0-5.0-0.13-0.13","89","fj1e8o6k","low"
"2","5","free","220","30","43","orange-76","orange","510","sampling-task","22","487336","0.0-5.0-0.14-0.14","89","fj1e8o6k","low"
"2","6","free","220","30","13","orange-76","orange","542","sampling-task","23","489080","0.0-5.0-0.15-0.15","89","fj1e8o6k","low"
"2","7","free","220","30","49","orange-76","orange","518","sampling-task","24","491120","0.0-5.0-0.16-0.16","89","fj1e8o6k","low"
"2","8","free","220","30","16","orange-76","orange","502","sampling-task","25","492920","0.0-5.0-0.17-0.17","89","fj1e8o6k","low"
"2","9","free","220","30","35","orange-76","orange","534","sampling-task","26","494632","0.0-5.0-0.18-0.18","89","fj1e8o6k","low"
"2","10","free","220","30","55","orange-76","orange","526","sampling-task","27","496232","0.0-5.0-0.19-0.19","89","fj1e8o6k","low"
"2","11","free","220","30","-10","orange-76","orange","542","sampling-task","28","498487","0.0-5.0-0.20-0.20","89","fj1e8o6k","low"
"2","12","free","220","30","91","orange-76","orange","470","sampling-task","29","500399","0.0-5.0-0.21-0.21","89","fj1e8o6k","low"
"2","13","free","220","30","0","orange-76","orange","462","sampling-task","30","502072","0.0-5.0-0.22-0.22","89","fj1e8o6k","low"
"2","14","free","220","30","56","orange-76","orange","526","sampling-task","31","503583","0.0-5.0-0.23-0.23","89","fj1e8o6k","low"
"2","15","free","220","30","64","orange-76","orange","751","sampling-task","32","506320","0.0-5.0-0.24-0.24","89","fj1e8o6k","low"
"3","1","fixed","20","15","-26","purple-138","purple","3092","sampling-task","35","540621","0.0-5.0-0.25-0.25","89","fj1e8o6k","low"
"3","2","fixed","20","15","9","purple-138","purple","485","sampling-task","36","542181","0.0-5.0-0.26-0.26","89","fj1e8o6k","low"
"3","3","fixed","20","15","-3","purple-138","purple","469","sampling-task","37","543565","0.0-5.0-0.27-0.27","89","fj1e8o6k","low"
"3","4","fixed","20","15","32","purple-138","purple","510","sampling-task","38","545013","0.0-5.0-0.28-0.28","89","fj1e8o6k","low"
"3","5","fixed","20","15","0","purple-138","purple","517","sampling-task","39","546589","0.0-5.0-0.29-0.29","89","fj1e8o6k","low"
"3","6","fixed","20","15","15","purple-138","purple","510","sampling-task","40","548061","0.0-5.0-0.30-0.30","89","fj1e8o6k","low"
"3","7","fixed","20","15","47","purple-138","purple","526","sampling-task","41","549525","0.0-5.0-0.31-0.31","89","fj1e8o6k","low"
"3","8","fixed","20","15","-10","purple-138","purple","453","sampling-task","42","551029","0.0-5.0-0.32-0.32","89","fj1e8o6k","low"
"3","9","fixed","20","15","24","purple-138","purple","501","sampling-task","43","552453","0.0-5.0-0.33-0.33","89","fj1e8o6k","low"
"3","10","fixed","20","15","14","purple-138","purple","486","sampling-task","44","553909","0.0-5.0-0.34-0.34","89","fj1e8o6k","low"
"3","11","fixed","20","15","27","purple-138","purple","534","sampling-task","45","556597","0.0-5.0-0.35-0.35","89","fj1e8o6k","low"
"3","12","fixed","20","15","61","purple-138","purple","478","sampling-task","46","558445","0.0-5.0-0.36-0.36","89","fj1e8o6k","low"
"3","13","fixed","20","15","37","purple-138","purple","485","sampling-task","47","560093","0.0-5.0-0.37-0.37","89","fj1e8o6k","low"
"3","14","fixed","20","15","12","purple-138","purple","541","sampling-task","48","561917","0.0-5.0-0.38-0.38","89","fj1e8o6k","low"
"3","15","fixed","20","15","6","purple-138","purple","525","sampling-task","49","564229","0.0-5.0-0.39-0.39","89","fj1e8o6k","low"
"3","16","fixed","20","15","9","purple-138","purple","517","sampling-task","50","565725","0.0-5.0-0.40-0.40","89","fj1e8o6k","low"
"3","17","fixed","20","15","41","purple-138","purple","438","sampling-task","51","567133","0.0-5.0-0.41-0.41","89","fj1e8o6k","low"
"3","18","fixed","20","15","21","purple-138","purple","582","sampling-task","52","568669","0.0-5.0-0.42-0.42","89","fj1e8o6k","low"
"3","19","fixed","20","15","38","purple-138","purple","470","sampling-task","53","570165","0.0-5.0-0.43-0.43","89","fj1e8o6k","low"
"3","20","fixed","20","15","29","purple-138","purple","614","sampling-task","54","572333","0.0-5.0-0.44-0.44","89","fj1e8o6k","low"
"4","1","free","220","74","92","green-177","green","2485","sampling-task","57","608482","0.0-5.0-0.45-0.45","89","fj1e8o6k","low"
"4","2","free","220","74","103","green-177","green","430","sampling-task","58","610018","0.0-5.0-0.46-0.46","89","fj1e8o6k","low"
"4","3","free","220","74","79","green-177","green","398","sampling-task","59","611362","0.0-5.0-0.47-0.47","89","fj1e8o6k","low"
"4","4","free","220","74","92","green-177","green","430","sampling-task","60","612715","0.0-5.0-0.48-0.48","89","fj1e8o6k","low"
"4","5","free","220","74","56","green-177","green","429","sampling-task","61","614050","0.0-5.0-0.49-0.49","89","fj1e8o6k","low"
"4","6","free","220","74","47","green-177","green","470","sampling-task","62","615442","0.0-5.0-0.50-0.50","89","fj1e8o6k","low"
"4","7","free","220","74","74","green-177","green","478","sampling-task","63","617202","0.0-5.0-0.51-0.51","89","fj1e8o6k","low"
"4","8","free","220","74","99","green-177","green","526","sampling-task","64","618883","0.0-5.0-0.52-0.52","89","fj1e8o6k","low"
"4","9","free","220","74","9","green-177","green","446","sampling-task","65","620634","0.0-5.0-0.53-0.53","89","fj1e8o6k","low"
"4","10","free","220","74","90","green-177","green","493","sampling-task","66","622938","0.0-5.0-0.54-0.54","89","fj1e8o6k","low"
"4","11","free","220","74","56","green-177","green","485","sampling-task","67","624498","0.0-5.0-0.55-0.55","89","fj1e8o6k","low"
"4","12","free","220","74","83","green-177","green","446","sampling-task","68","625874","0.0-5.0-0.56-0.56","89","fj1e8o6k","low"
"4","13","free","220","74","110","green-177","green","470","sampling-task","69","627338","0.0-5.0-0.57-0.57","89","fj1e8o6k","low"
"4","14","free","220","74","61","green-177","green","462","sampling-task","70","628994","0.0-5.0-0.58-0.58","89","fj1e8o6k","low"
"4","15","free","220","74","52","green-177","green","510","sampling-task","71","630450","0.0-5.0-0.59-0.59","89","fj1e8o6k","low"
"4","16","free","220","74","72","green-177","green","422","sampling-task","72","631986","0.0-5.0-0.60-0.60","89","fj1e8o6k","low"
"4","17","free","220","74","71","green-177","green","703","sampling-task","73","633850","0.0-5.0-0.61-0.61","89","fj1e8o6k","low"
"5","1","fixed","5","98","96","blue-4","blue","3453","sampling-task","76","659482","0.0-5.0-0.62-0.62","89","fj1e8o6k","low"
"5","2","fixed","5","98","84","blue-4","blue","518","sampling-task","77","661026","0.0-5.0-0.63-0.63","89","fj1e8o6k","low"
"5","3","fixed","5","98","117","blue-4","blue","582","sampling-task","78","662843","0.0-5.0-0.64-0.64","89","fj1e8o6k","low"
"5","4","fixed","5","98","124","blue-4","blue","581","sampling-task","79","664474","0.0-5.0-0.65-0.65","89","fj1e8o6k","low"
"5","5","fixed","5","98","128","blue-4","blue","742","sampling-task","80","666770","0.0-5.0-0.66-0.66","89","fj1e8o6k","low"
"6","1","free","220","54","52","yellow-150","yellow","1556","sampling-task","83","691107","0.0-5.0-0.67-0.67","89","fj1e8o6k","low"
"6","2","free","220","54","50","yellow-150","yellow","414","sampling-task","84","692490","0.0-5.0-0.68-0.68","89","fj1e8o6k","low"
"6","3","free","220","54","44","yellow-150","yellow","390","sampling-task","85","693786","0.0-5.0-0.69-0.69","89","fj1e8o6k","low"
"6","4","free","220","54","53","yellow-150","yellow","382","sampling-task","86","695506","0.0-5.0-0.70-0.70","89","fj1e8o6k","low"
"6","5","free","220","54","34","yellow-150","yellow","6270","sampling-task","87","702826","0.0-5.0-0.71-0.71","89","fj1e8o6k","low"
"6","6","free","220","54","71","yellow-150","yellow","358","sampling-task","88","704227","0.0-5.0-0.72-0.72","89","fj1e8o6k","low"
"6","7","free","220","54","58","yellow-150","yellow","454","sampling-task","89","705570","0.0-5.0-0.73-0.73","89","fj1e8o6k","low"
"6","8","free","220","54","30","yellow-150","yellow","438","sampling-task","90","706898","0.0-5.0-0.74-0.74","89","fj1e8o6k","low"
"6","9","free","220","54","70","yellow-150","yellow","454","sampling-task","91","708275","0.0-5.0-0.75-0.75","89","fj1e8o6k","low"
"6","10","free","220","54","49","yellow-150","yellow","413","sampling-task","92","709595","0.0-5.0-0.76-0.76","89","fj1e8o6k","low"
"6","11","free","220","54","74","yellow-150","yellow","405","sampling-task","93","710923","0.0-5.0-0.77-0.77","89","fj1e8o6k","low"
"6","12","free","220","54","18","yellow-150","yellow","406","sampling-task","94","712299","0.0-5.0-0.78-0.78","89","fj1e8o6k","low"
"6","13","free","220","54","88","yellow-150","yellow","438","sampling-task","95","713612","0.0-5.0-0.79-0.79","89","fj1e8o6k","low"
"6","14","free","220","54","73","yellow-150","yellow","397","sampling-task","96","714932","0.0-5.0-0.80-0.80","89","fj1e8o6k","low"
"6","15","free","220","54","16","yellow-150","yellow","390","sampling-task","97","716315","0.0-5.0-0.81-0.81","89","fj1e8o6k","low"
"6","16","free","220","54","76","yellow-150","yellow","430","sampling-task","98","717939","0.0-5.0-0.82-0.82","89","fj1e8o6k","low"
"6","17","free","220","54","64","yellow-150","yellow","414","sampling-task","99","719291","0.0-5.0-0.83-0.83","89","fj1e8o6k","low"
"6","18","free","220","54","28","yellow-150","yellow","422","sampling-task","100","720627","0.0-5.0-0.84-0.84","89","fj1e8o6k","low"
"6","19","free","220","54","67","yellow-150","yellow","414","sampling-task","101","722019","0.0-5.0-0.85-0.85","89","fj1e8o6k","low"
"6","20","free","220","54","79","yellow-150","yellow","422","sampling-task","102","723787","0.0-5.0-0.86-0.86","89","fj1e8o6k","low"
"6","21","free","220","54","33","yellow-150","yellow","438","sampling-task","103","725244","0.0-5.0-0.87-0.87","89","fj1e8o6k","low"
"6","22","free","220","54","35","yellow-150","yellow","422","sampling-task","104","726587","0.0-5.0-0.88-0.88","89","fj1e8o6k","low"
"6","23","free","220","54","64","yellow-150","yellow","358","sampling-task","105","727995","0.0-5.0-0.89-0.89","89","fj1e8o6k","low"
"6","24","free","220","54","76","yellow-150","yellow","550","sampling-task","106","729699","0.0-5.0-0.90-0.90","89","fj1e8o6k","low"
