"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","51","53","yellow-216","yellow","6104","sampling-task","6","550783","0.0-5.0-0.0-0.0","9","r4ptxw2x","high"
"1","2","fixed","5","51","82","yellow-179","yellow","1458","sampling-task","7","554099","0.0-5.0-0.1-0.1","9","r4ptxw2x","high"
"1","3","fixed","5","51","69","yellow-36","yellow","1366","sampling-task","8","557267","0.0-5.0-0.2-0.2","9","r4ptxw2x","high"
"1","4","fixed","5","51","44","yellow-21","yellow","1103","sampling-task","9","559772","0.0-5.0-0.3-0.3","9","r4ptxw2x","high"
"1","5","fixed","5","51","19","yellow-101","yellow","1054","sampling-task","10","563371","0.0-5.0-0.4-0.4","9","r4ptxw2x","high"
"2","1","free","220","19","37","blue-136","blue","3228","sampling-task","13","604851","0.0-5.0-0.5-0.5","9","r4ptxw2x","high"
"2","2","free","220","19","45","blue-198","blue","4094","sampling-task","14","612386","0.0-5.0-0.6-0.6","9","r4ptxw2x","high"
"2","3","free","220","19","3","blue-60","blue","750","sampling-task","15","614491","0.0-5.0-0.7-0.7","9","r4ptxw2x","high"
"2","4","free","220","19","33","blue-84","blue","886","sampling-task","16","616770","0.0-5.0-0.8-0.8","9","r4ptxw2x","high"
"2","5","free","220","19","37","blue-195","blue","495","sampling-task","17","618370","0.0-5.0-0.9-0.9","9","r4ptxw2x","high"
"2","6","free","220","19","29","blue-102","blue","566","sampling-task","18","620067","0.0-5.0-0.10-0.10","9","r4ptxw2x","high"
"2","7","free","220","19","35","blue-185","blue","542","sampling-task","19","621914","0.0-5.0-0.11-0.11","9","r4ptxw2x","high"
"2","8","free","220","19","50","blue-51","blue","550","sampling-task","20","628834","0.0-5.0-0.12-0.12","9","r4ptxw2x","high"
"2","9","free","220","19","-4","blue-73","blue","590","sampling-task","21","630634","0.0-5.0-0.13-0.13","9","r4ptxw2x","high"
"2","10","free","220","19","40","blue-70","blue","598","sampling-task","22","632458","0.0-5.0-0.14-0.14","9","r4ptxw2x","high"
"2","11","free","220","19","0","blue-29","blue","574","sampling-task","23","634514","0.0-5.0-0.15-0.15","9","r4ptxw2x","high"
"2","12","free","220","19","-3","blue-201","blue","670","sampling-task","24","636314","0.0-5.0-0.16-0.16","9","r4ptxw2x","high"
"2","13","free","220","19","31","blue-93","blue","534","sampling-task","25","638026","0.0-5.0-0.17-0.17","9","r4ptxw2x","high"
"2","14","free","220","19","12","blue-203","blue","534","sampling-task","26","639595","0.0-5.0-0.18-0.18","9","r4ptxw2x","high"
"2","15","free","220","19","13","blue-215","blue","486","sampling-task","27","641211","0.0-5.0-0.19-0.19","9","r4ptxw2x","high"
"2","16","free","220","19","23","blue-117","blue","438","sampling-task","28","642810","0.0-5.0-0.20-0.20","9","r4ptxw2x","high"
"2","17","free","220","19","16","blue-135","blue","406","sampling-task","29","644147","0.0-5.0-0.21-0.21","9","r4ptxw2x","high"
"2","18","free","220","19","25","blue-139","blue","430","sampling-task","30","645707","0.0-5.0-0.22-0.22","9","r4ptxw2x","high"
"2","19","free","220","19","18","blue-4","blue","438","sampling-task","31","647251","0.0-5.0-0.23-0.23","9","r4ptxw2x","high"
"2","20","free","220","19","37","blue-163","blue","422","sampling-task","32","649962","0.0-5.0-0.24-0.24","9","r4ptxw2x","high"
"2","21","free","220","19","23","blue-93","blue","430","sampling-task","33","651867","0.0-5.0-0.25-0.25","9","r4ptxw2x","high"
"2","22","free","220","19","40","blue-94","blue","470","sampling-task","34","655643","0.0-5.0-0.26-0.26","9","r4ptxw2x","high"
"2","23","free","220","19","28","blue-5","blue","638","sampling-task","35","657338","0.0-5.0-0.27-0.27","9","r4ptxw2x","high"
"2","24","free","220","19","-17","blue-189","blue","494","sampling-task","36","658914","0.0-5.0-0.28-0.28","9","r4ptxw2x","high"
"2","25","free","220","19","30","blue-107","blue","502","sampling-task","37","660531","0.0-5.0-0.29-0.29","9","r4ptxw2x","high"
"2","26","free","220","19","5","blue-77","blue","510","sampling-task","38","662115","0.0-5.0-0.30-0.30","9","r4ptxw2x","high"
"2","27","free","220","19","-1","blue-160","blue","478","sampling-task","39","663618","0.0-5.0-0.31-0.31","9","r4ptxw2x","high"
"2","28","free","220","19","8","blue-161","blue","534","sampling-task","40","665083","0.0-5.0-0.32-0.32","9","r4ptxw2x","high"
"2","29","free","220","19","-11","blue-181","blue","478","sampling-task","41","666514","0.0-5.0-0.33-0.33","9","r4ptxw2x","high"
"2","30","free","220","19","-11","blue-194","blue","446","sampling-task","42","668203","0.0-5.0-0.34-0.34","9","r4ptxw2x","high"
"2","31","free","220","19","24","blue-102","blue","390","sampling-task","43","669635","0.0-5.0-0.35-0.35","9","r4ptxw2x","high"
"2","32","free","220","19","37","blue-71","blue","462","sampling-task","44","671274","0.0-5.0-0.36-0.36","9","r4ptxw2x","high"
"2","33","free","220","19","29","blue-177","blue","454","sampling-task","45","672888","0.0-5.0-0.37-0.37","9","r4ptxw2x","high"
"2","34","free","220","19","64","blue-77","blue","422","sampling-task","46","674888","0.0-5.0-0.38-0.38","9","r4ptxw2x","high"
"3","1","fixed","20","111","115","purple-105","purple","2853","sampling-task","49","703544","0.0-5.0-0.39-0.39","9","r4ptxw2x","high"
"3","2","fixed","20","111","158","purple-57","purple","1342","sampling-task","50","708473","0.0-5.0-0.40-0.40","9","r4ptxw2x","high"
"3","3","fixed","20","111","118","purple-146","purple","606","sampling-task","51","711808","0.0-5.0-0.41-0.41","9","r4ptxw2x","high"
"3","4","fixed","20","111","79","purple-188","purple","630","sampling-task","52","715048","0.0-5.0-0.42-0.42","9","r4ptxw2x","high"
"3","5","fixed","20","111","100","purple-158","purple","1015","sampling-task","53","718800","0.0-5.0-0.43-0.43","9","r4ptxw2x","high"
"3","6","fixed","20","111","102","purple-124","purple","598","sampling-task","54","720417","0.0-5.0-0.44-0.44","9","r4ptxw2x","high"
"3","7","fixed","20","111","86","purple-106","purple","590","sampling-task","55","722064","0.0-5.0-0.45-0.45","9","r4ptxw2x","high"
"3","8","fixed","20","111","112","purple-2","purple","742","sampling-task","56","723920","0.0-5.0-0.46-0.46","9","r4ptxw2x","high"
"3","9","fixed","20","111","83","purple-35","purple","518","sampling-task","57","725728","0.0-5.0-0.47-0.47","9","r4ptxw2x","high"
"3","10","fixed","20","111","113","purple-97","purple","574","sampling-task","58","727688","0.0-5.0-0.48-0.48","9","r4ptxw2x","high"
"3","11","fixed","20","111","121","purple-2","purple","566","sampling-task","59","729392","0.0-5.0-0.49-0.49","9","r4ptxw2x","high"
"3","12","fixed","20","111","113","purple-47","purple","590","sampling-task","60","731128","0.0-5.0-0.50-0.50","9","r4ptxw2x","high"
"3","13","fixed","20","111","99","purple-20","purple","607","sampling-task","61","732982","0.0-5.0-0.51-0.51","9","r4ptxw2x","high"
"3","14","fixed","20","111","89","purple-113","purple","526","sampling-task","62","734478","0.0-5.0-0.52-0.52","9","r4ptxw2x","high"
"3","15","fixed","20","111","126","purple-184","purple","494","sampling-task","63","736150","0.0-5.0-0.53-0.53","9","r4ptxw2x","high"
"3","16","fixed","20","111","104","purple-153","purple","478","sampling-task","64","737662","0.0-5.0-0.54-0.54","9","r4ptxw2x","high"
"3","17","fixed","20","111","150","purple-78","purple","486","sampling-task","65","739254","0.0-5.0-0.55-0.55","9","r4ptxw2x","high"
