"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","16","-20","green-122","green","7500","sampling-task","6","348299","0.0-5.0-0.0-0.0","90","b3gp2j05","low"
"1","2","fixed","20","16","7","green-122","green","1037","sampling-task","7","355019","0.0-5.0-0.1-0.1","90","b3gp2j05","low"
"1","3","fixed","20","16","39","green-122","green","5350","sampling-task","8","362371","0.0-5.0-0.2-0.2","90","b3gp2j05","low"
"1","4","fixed","20","16","6","green-122","green","1286","sampling-task","9","365483","0.0-5.0-0.3-0.3","90","b3gp2j05","low"
"1","5","fixed","20","16","-15","green-122","green","1190","sampling-task","10","369099","0.0-5.0-0.4-0.4","90","b3gp2j05","low"
"1","6","fixed","20","16","22","green-122","green","1285","sampling-task","11","371923","0.0-5.0-0.5-0.5","90","b3gp2j05","low"
"1","7","fixed","20","16","17","green-122","green","1278","sampling-task","12","375659","0.0-5.0-0.6-0.6","90","b3gp2j05","low"
"1","8","fixed","20","16","21","green-122","green","1718","sampling-task","13","379155","0.0-5.0-0.7-0.7","90","b3gp2j05","low"
"1","9","fixed","20","16","57","green-122","green","854","sampling-task","14","381795","0.0-5.0-0.8-0.8","90","b3gp2j05","low"
"1","10","fixed","20","16","27","green-122","green","1934","sampling-task","15","386083","0.0-5.0-0.9-0.9","90","b3gp2j05","low"
"1","11","fixed","20","16","-1","green-122","green","1006","sampling-task","16","388491","0.0-5.0-0.10-0.10","90","b3gp2j05","low"
"1","12","fixed","20","16","15","green-122","green","1438","sampling-task","17","391355","0.0-5.0-0.11-0.11","90","b3gp2j05","low"
"1","13","fixed","20","16","40","green-122","green","998","sampling-task","18","394179","0.0-5.0-0.12-0.12","90","b3gp2j05","low"
"1","14","fixed","20","16","50","green-122","green","1014","sampling-task","19","397094","0.0-5.0-0.13-0.13","90","b3gp2j05","low"
"1","15","fixed","20","16","12","green-122","green","1349","sampling-task","20","400126","0.0-5.0-0.14-0.14","90","b3gp2j05","low"
"1","16","fixed","20","16","31","green-122","green","694","sampling-task","21","402014","0.0-5.0-0.15-0.15","90","b3gp2j05","low"
"1","17","fixed","20","16","8","green-122","green","694","sampling-task","22","404006","0.0-5.0-0.16-0.16","90","b3gp2j05","low"
"1","18","fixed","20","16","8","green-122","green","718","sampling-task","23","405990","0.0-5.0-0.17-0.17","90","b3gp2j05","low"
"1","19","fixed","20","16","25","green-122","green","797","sampling-task","24","408086","0.0-5.0-0.18-0.18","90","b3gp2j05","low"
"1","20","fixed","20","16","28","green-122","green","703","sampling-task","25","414830","0.0-5.0-0.19-0.19","90","b3gp2j05","low"
"2","1","free","220","33","66","blue-80","blue","4451","sampling-task","28","456798","0.0-5.0-0.20-0.20","90","b3gp2j05","low"
"2","2","free","220","33","55","blue-80","blue","546","sampling-task","29","458569","0.0-5.0-0.21-0.21","90","b3gp2j05","low"
"2","3","free","220","33","42","blue-80","blue","518","sampling-task","30","460177","0.0-5.0-0.22-0.22","90","b3gp2j05","low"
"2","4","free","220","33","17","blue-80","blue","470","sampling-task","31","461577","0.0-5.0-0.23-0.23","90","b3gp2j05","low"
"2","5","free","220","33","49","blue-80","blue","527","sampling-task","32","463289","0.0-5.0-0.24-0.24","90","b3gp2j05","low"
"2","6","free","220","33","51","blue-80","blue","502","sampling-task","33","464793","0.0-5.0-0.25-0.25","90","b3gp2j05","low"
"2","7","free","220","33","7","blue-80","blue","454","sampling-task","34","466329","0.0-5.0-0.26-0.26","90","b3gp2j05","low"
"2","8","free","220","33","35","blue-80","blue","598","sampling-task","35","467857","0.0-5.0-0.27-0.27","90","b3gp2j05","low"
"2","9","free","220","33","17","blue-80","blue","470","sampling-task","36","469257","0.0-5.0-0.28-0.28","90","b3gp2j05","low"
"2","10","free","220","33","28","blue-80","blue","486","sampling-task","37","470850","0.0-5.0-0.29-0.29","90","b3gp2j05","low"
"2","11","free","220","33","40","blue-80","blue","526","sampling-task","38","472322","0.0-5.0-0.30-0.30","90","b3gp2j05","low"
"2","12","free","220","33","49","blue-80","blue","494","sampling-task","39","473985","0.0-5.0-0.31-0.31","90","b3gp2j05","low"
"2","13","free","220","33","49","blue-80","blue","462","sampling-task","40","475361","0.0-5.0-0.32-0.32","90","b3gp2j05","low"
"2","14","free","220","33","6","blue-80","blue","518","sampling-task","41","476769","0.0-5.0-0.33-0.33","90","b3gp2j05","low"
"2","15","free","220","33","48","blue-80","blue","502","sampling-task","42","478242","0.0-5.0-0.34-0.34","90","b3gp2j05","low"
"2","16","free","220","33","26","blue-80","blue","478","sampling-task","43","479601","0.0-5.0-0.35-0.35","90","b3gp2j05","low"
"2","17","free","220","33","72","blue-80","blue","518","sampling-task","44","481194","0.0-5.0-0.36-0.36","90","b3gp2j05","low"
"2","18","free","220","33","24","blue-80","blue","446","sampling-task","45","482513","0.0-5.0-0.37-0.37","90","b3gp2j05","low"
"2","19","free","220","33","8","blue-80","blue","438","sampling-task","46","483850","0.0-5.0-0.38-0.38","90","b3gp2j05","low"
"2","20","free","220","33","70","blue-80","blue","438","sampling-task","47","485409","0.0-5.0-0.39-0.39","90","b3gp2j05","low"
"2","21","free","220","33","55","blue-80","blue","461","sampling-task","48","486873","0.0-5.0-0.40-0.40","90","b3gp2j05","low"
"2","22","free","220","33","28","blue-80","blue","446","sampling-task","49","488761","0.0-5.0-0.41-0.41","90","b3gp2j05","low"
"2","23","free","220","33","19","blue-80","blue","430","sampling-task","50","490745","0.0-5.0-0.42-0.42","90","b3gp2j05","low"
"3","1","fixed","10","114","132","yellow-128","yellow","3775","sampling-task","53","521197","0.0-5.0-0.43-0.43","90","b3gp2j05","low"
"3","2","fixed","10","114","59","yellow-128","yellow","565","sampling-task","54","522973","0.0-5.0-0.44-0.44","90","b3gp2j05","low"
"3","3","fixed","10","114","90","yellow-128","yellow","638","sampling-task","55","524757","0.0-5.0-0.45-0.45","90","b3gp2j05","low"
"3","4","fixed","10","114","90","yellow-128","yellow","477","sampling-task","56","526429","0.0-5.0-0.46-0.46","90","b3gp2j05","low"
"3","5","fixed","10","114","100","yellow-128","yellow","502","sampling-task","57","527997","0.0-5.0-0.47-0.47","90","b3gp2j05","low"
"3","6","fixed","10","114","133","yellow-128","yellow","478","sampling-task","58","529413","0.0-5.0-0.48-0.48","90","b3gp2j05","low"
