"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","51","45","purple-178","purple","7230","sampling-task","6","318111","0.0-5.0-0.0-0.0","91","y8hbj0c0","low"
"1","2","fixed","10","51","38","purple-178","purple","1870","sampling-task","7","325430","0.0-5.0-0.1-0.1","91","y8hbj0c0","low"
"1","3","fixed","10","51","42","purple-178","purple","870","sampling-task","8","328974","0.0-5.0-0.2-0.2","91","y8hbj0c0","low"
"1","4","fixed","10","51","51","purple-178","purple","1382","sampling-task","9","332286","0.0-5.0-0.3-0.3","91","y8hbj0c0","low"
"1","5","fixed","10","51","63","purple-178","purple","974","sampling-task","10","335078","0.0-5.0-0.4-0.4","91","y8hbj0c0","low"
"1","6","fixed","10","51","72","purple-178","purple","934","sampling-task","11","337678","0.0-5.0-0.5-0.5","91","y8hbj0c0","low"
"1","7","fixed","10","51","63","purple-178","purple","1198","sampling-task","12","340318","0.0-5.0-0.6-0.6","91","y8hbj0c0","low"
"1","8","fixed","10","51","75","purple-178","purple","1134","sampling-task","13","343078","0.0-5.0-0.7-0.7","91","y8hbj0c0","low"
"1","9","fixed","10","51","35","purple-178","purple","1101","sampling-task","14","345902","0.0-5.0-0.8-0.8","91","y8hbj0c0","low"
"1","10","fixed","10","51","53","purple-178","purple","766","sampling-task","15","347822","0.0-5.0-0.9-0.9","91","y8hbj0c0","low"
"2","1","free","220","119","154","red-134","red","4852","sampling-task","18","413387","0.0-5.0-0.10-0.10","91","y8hbj0c0","low"
"2","2","free","220","119","114","red-134","red","830","sampling-task","19","415363","0.0-5.0-0.11-0.11","91","y8hbj0c0","low"
"2","3","free","220","119","112","red-134","red","783","sampling-task","20","417235","0.0-5.0-0.12-0.12","91","y8hbj0c0","low"
"2","4","free","220","119","112","red-134","red","566","sampling-task","21","418883","0.0-5.0-0.13-0.13","91","y8hbj0c0","low"
