"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","92","69","red-81","red","4029","sampling-task","9","514879","0.0-5.0-0.0-0.0","92","e50p126r","low"
"1","2","fixed","5","92","90","red-81","red","2333","sampling-task","10","520431","0.0-5.0-0.1-0.1","92","e50p126r","low"
"1","3","fixed","5","92","64","red-81","red","9134","sampling-task","11","531295","0.0-5.0-0.2-0.2","92","e50p126r","low"
"1","4","fixed","5","92","73","red-81","red","1463","sampling-task","12","534535","0.0-5.0-0.3-0.3","92","e50p126r","low"
"1","5","fixed","5","92","121","red-81","red","1350","sampling-task","13","537655","0.0-5.0-0.4-0.4","92","e50p126r","low"
"2","1","free","220","35","38","blue-41","blue","5108","sampling-task","16","604641","0.0-5.0-0.5-0.5","92","e50p126r","low"
"2","2","free","220","35","37","blue-41","blue","718","sampling-task","17","606497","0.0-5.0-0.6-0.6","92","e50p126r","low"
"2","3","free","220","35","10","blue-41","blue","455","sampling-task","18","608009","0.0-5.0-0.7-0.7","92","e50p126r","low"
"2","4","free","220","35","53","blue-41","blue","310","sampling-task","19","609465","0.0-5.0-0.8-0.8","92","e50p126r","low"
"2","5","free","220","35","0","blue-41","blue","254","sampling-task","20","610737","0.0-5.0-0.9-0.9","92","e50p126r","low"
"2","6","free","220","35","48","blue-41","blue","278","sampling-task","21","611905","0.0-5.0-0.10-0.10","92","e50p126r","low"
"2","7","free","220","35","53","blue-41","blue","287","sampling-task","22","613401","0.0-5.0-0.11-0.11","92","e50p126r","low"
"3","1","fixed","20","14","14","green-61","green","2269","sampling-task","25","644889","0.0-5.0-0.12-0.12","92","e50p126r","low"
"3","2","fixed","20","14","40","green-61","green","326","sampling-task","26","646081","0.0-5.0-0.13-0.13","92","e50p126r","low"
"3","3","fixed","20","14","-18","green-61","green","327","sampling-task","27","647361","0.0-5.0-0.14-0.14","92","e50p126r","low"
"3","4","fixed","20","14","-6","green-61","green","278","sampling-task","28","648481","0.0-5.0-0.15-0.15","92","e50p126r","low"
"3","5","fixed","20","14","15","green-61","green","263","sampling-task","29","649609","0.0-5.0-0.16-0.16","92","e50p126r","low"
"3","6","fixed","20","14","25","green-61","green","254","sampling-task","30","651457","0.0-5.0-0.17-0.17","92","e50p126r","low"
"3","7","fixed","20","14","21","green-61","green","271","sampling-task","31","652625","0.0-5.0-0.18-0.18","92","e50p126r","low"
"3","8","fixed","20","14","23","green-61","green","334","sampling-task","32","653817","0.0-5.0-0.19-0.19","92","e50p126r","low"
"3","9","fixed","20","14","24","green-61","green","303","sampling-task","33","655369","0.0-5.0-0.20-0.20","92","e50p126r","low"
"3","10","fixed","20","14","8","green-61","green","263","sampling-task","34","656753","0.0-5.0-0.21-0.21","92","e50p126r","low"
"3","11","fixed","20","14","5","green-61","green","278","sampling-task","35","657921","0.0-5.0-0.22-0.22","92","e50p126r","low"
"3","12","fixed","20","14","44","green-61","green","287","sampling-task","36","659081","0.0-5.0-0.23-0.23","92","e50p126r","low"
"3","13","fixed","20","14","42","green-61","green","286","sampling-task","37","660201","0.0-5.0-0.24-0.24","92","e50p126r","low"
"3","14","fixed","20","14","37","green-61","green","286","sampling-task","38","661305","0.0-5.0-0.25-0.25","92","e50p126r","low"
"3","15","fixed","20","14","-30","green-61","green","238","sampling-task","39","662362","0.0-5.0-0.26-0.26","92","e50p126r","low"
"3","16","fixed","20","14","12","green-61","green","238","sampling-task","40","663666","0.0-5.0-0.27-0.27","92","e50p126r","low"
"3","17","fixed","20","14","5","green-61","green","270","sampling-task","41","664737","0.0-5.0-0.28-0.28","92","e50p126r","low"
"3","18","fixed","20","14","24","green-61","green","310","sampling-task","42","665857","0.0-5.0-0.29-0.29","92","e50p126r","low"
"3","19","fixed","20","14","0","green-61","green","310","sampling-task","43","666962","0.0-5.0-0.30-0.30","92","e50p126r","low"
"3","20","fixed","20","14","16","green-61","green","278","sampling-task","44","668585","0.0-5.0-0.31-0.31","92","e50p126r","low"
"4","1","free","220","113","88","yellow-187","yellow","2868","sampling-task","47","704425","0.0-5.0-0.32-0.32","92","e50p126r","low"
"4","2","free","220","113","115","yellow-187","yellow","286","sampling-task","48","705554","0.0-5.0-0.33-0.33","92","e50p126r","low"
"4","3","free","220","113","122","yellow-187","yellow","269","sampling-task","49","706682","0.0-5.0-0.34-0.34","92","e50p126r","low"
"4","4","free","220","113","120","yellow-187","yellow","278","sampling-task","50","707786","0.0-5.0-0.35-0.35","92","e50p126r","low"
"4","5","free","220","113","101","yellow-187","yellow","246","sampling-task","51","708857","0.0-5.0-0.36-0.36","92","e50p126r","low"
"4","6","free","220","113","116","yellow-187","yellow","246","sampling-task","52","709930","0.0-5.0-0.37-0.37","92","e50p126r","low"
"4","7","free","220","113","95","yellow-187","yellow","230","sampling-task","53","710993","0.0-5.0-0.38-0.38","92","e50p126r","low"
"4","8","free","220","113","135","yellow-187","yellow","278","sampling-task","54","712218","0.0-5.0-0.39-0.39","92","e50p126r","low"
"4","9","free","220","113","118","yellow-187","yellow","222","sampling-task","55","713258","0.0-5.0-0.40-0.40","92","e50p126r","low"
"4","10","free","220","113","99","yellow-187","yellow","270","sampling-task","56","714346","0.0-5.0-0.41-0.41","92","e50p126r","low"
"4","11","free","220","113","120","yellow-187","yellow","261","sampling-task","57","715410","0.0-5.0-0.42-0.42","92","e50p126r","low"
"4","12","free","220","113","83","yellow-187","yellow","590","sampling-task","58","716810","0.0-5.0-0.43-0.43","92","e50p126r","low"
"4","13","free","220","113","100","yellow-187","yellow","254","sampling-task","59","717890","0.0-5.0-0.44-0.44","92","e50p126r","low"
"4","14","free","220","113","102","yellow-187","yellow","254","sampling-task","60","719025","0.0-5.0-0.45-0.45","92","e50p126r","low"
"4","15","free","220","113","141","yellow-187","yellow","302","sampling-task","61","720785","0.0-5.0-0.46-0.46","92","e50p126r","low"
"5","1","fixed","10","52","66","purple-216","purple","1804","sampling-task","64","757121","0.0-5.0-0.47-0.47","92","e50p126r","low"
"5","2","fixed","10","52","48","purple-216","purple","286","sampling-task","65","758241","0.0-5.0-0.48-0.48","92","e50p126r","low"
"5","3","fixed","10","52","63","purple-216","purple","278","sampling-task","66","759353","0.0-5.0-0.49-0.49","92","e50p126r","low"
"5","4","fixed","10","52","75","purple-216","purple","286","sampling-task","67","760425","0.0-5.0-0.50-0.50","92","e50p126r","low"
"5","5","fixed","10","52","50","purple-216","purple","262","sampling-task","68","761529","0.0-5.0-0.51-0.51","92","e50p126r","low"
"5","6","fixed","10","52","85","purple-216","purple","262","sampling-task","69","762625","0.0-5.0-0.52-0.52","92","e50p126r","low"
"5","7","fixed","10","52","30","purple-216","purple","270","sampling-task","70","763737","0.0-5.0-0.53-0.53","92","e50p126r","low"
"5","8","fixed","10","52","70","purple-216","purple","237","sampling-task","71","764793","0.0-5.0-0.54-0.54","92","e50p126r","low"
"5","9","fixed","10","52","23","purple-216","purple","270","sampling-task","72","765865","0.0-5.0-0.55-0.55","92","e50p126r","low"
"5","10","fixed","10","52","45","purple-216","purple","294","sampling-task","73","766961","0.0-5.0-0.56-0.56","92","e50p126r","low"
"6","1","free","220","76","95","orange-123","orange","1396","sampling-task","76","786695","0.0-5.0-0.57-0.57","92","e50p126r","low"
"6","2","free","220","76","52","orange-123","orange","262","sampling-task","77","787783","0.0-5.0-0.58-0.58","92","e50p126r","low"
"6","3","free","220","76","82","orange-123","orange","238","sampling-task","78","789695","0.0-5.0-0.59-0.59","92","e50p126r","low"
"6","4","free","220","76","98","orange-123","orange","246","sampling-task","79","790784","0.0-5.0-0.60-0.60","92","e50p126r","low"
"6","5","free","220","76","67","orange-123","orange","238","sampling-task","80","791840","0.0-5.0-0.61-0.61","92","e50p126r","low"
"6","6","free","220","76","63","orange-123","orange","246","sampling-task","81","792864","0.0-5.0-0.62-0.62","92","e50p126r","low"
"6","7","free","220","76","84","orange-123","orange","590","sampling-task","82","794463","0.0-5.0-0.63-0.63","92","e50p126r","low"
