"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","5","118","92","red-38","red","5051","sampling-task","9","620949","0.0-5.0-0.0-0.0","93","cpdo7syn","high"
"1","2","fixed","5","118","102","red-110","red","4158","sampling-task","10","628445","0.0-5.0-0.1-0.1","93","cpdo7syn","high"
"1","3","fixed","5","118","157","red-59","red","1102","sampling-task","11","634237","0.0-5.0-0.2-0.2","93","cpdo7syn","high"
"1","4","fixed","5","118","90","red-63","red","1390","sampling-task","12","636853","0.0-5.0-0.3-0.3","93","cpdo7syn","high"
"1","5","fixed","5","118","103","red-89","red","1590","sampling-task","13","640541","0.0-5.0-0.4-0.4","93","cpdo7syn","high"
"2","1","free","220","34","33","yellow-112","yellow","6517","sampling-task","16","708979","0.0-5.0-0.5-0.5","93","cpdo7syn","high"
"2","2","free","220","34","20","yellow-60","yellow","1038","sampling-task","17","711610","0.0-5.0-0.6-0.6","93","cpdo7syn","high"
"2","3","free","220","34","62","yellow-145","yellow","911","sampling-task","18","716643","0.0-5.0-0.7-0.7","93","cpdo7syn","high"
"2","4","free","220","34","8","yellow-105","yellow","1294","sampling-task","19","719283","0.0-5.0-0.8-0.8","93","cpdo7syn","high"
"2","5","free","220","34","30","yellow-185","yellow","854","sampling-task","20","721298","0.0-5.0-0.9-0.9","93","cpdo7syn","high"
"2","6","free","220","34","34","yellow-21","yellow","623","sampling-task","21","723202","0.0-5.0-0.10-0.10","93","cpdo7syn","high"
"2","7","free","220","34","22","yellow-35","yellow","886","sampling-task","22","725291","0.0-5.0-0.11-0.11","93","cpdo7syn","high"
"2","8","free","220","34","47","yellow-146","yellow","718","sampling-task","23","727075","0.0-5.0-0.12-0.12","93","cpdo7syn","high"
"2","9","free","220","34","52","yellow-207","yellow","534","sampling-task","24","728971","0.0-5.0-0.13-0.13","93","cpdo7syn","high"
"2","10","free","220","34","25","yellow-130","yellow","430","sampling-task","25","730576","0.0-5.0-0.14-0.14","93","cpdo7syn","high"
"2","11","free","220","34","9","yellow-154","yellow","358","sampling-task","26","732136","0.0-5.0-0.15-0.15","93","cpdo7syn","high"
"2","12","free","220","34","4","yellow-172","yellow","366","sampling-task","27","733392","0.0-5.0-0.16-0.16","93","cpdo7syn","high"
"2","13","free","220","34","32","yellow-175","yellow","406","sampling-task","28","734800","0.0-5.0-0.17-0.17","93","cpdo7syn","high"
"2","14","free","220","34","27","yellow-101","yellow","1429","sampling-task","29","737608","0.0-5.0-0.18-0.18","93","cpdo7syn","high"
"3","1","fixed","10","79","41","green-68","green","4429","sampling-task","32","770768","0.0-5.0-0.19-0.19","93","cpdo7syn","high"
"3","2","fixed","10","79","87","green-218","green","1054","sampling-task","33","774432","0.0-5.0-0.20-0.20","93","cpdo7syn","high"
"3","3","fixed","10","79","-6","green-119","green","2070","sampling-task","34","778232","0.0-5.0-0.21-0.21","93","cpdo7syn","high"
"3","4","fixed","10","79","80","green-31","green","1878","sampling-task","35","782680","0.0-5.0-0.22-0.22","93","cpdo7syn","high"
"3","5","fixed","10","79","102","green-197","green","2213","sampling-task","36","790049","0.0-5.0-0.23-0.23","93","cpdo7syn","high"
"3","6","fixed","10","79","94","green-3","green","1211","sampling-task","37","793526","0.0-5.0-0.24-0.24","93","cpdo7syn","high"
"3","7","fixed","10","79","84","green-212","green","1622","sampling-task","38","799502","0.0-5.0-0.25-0.25","93","cpdo7syn","high"
"3","8","fixed","10","79","75","green-168","green","1422","sampling-task","39","802502","0.0-5.0-0.26-0.26","93","cpdo7syn","high"
"3","9","fixed","10","79","73","green-15","green","630","sampling-task","40","804990","0.0-5.0-0.27-0.27","93","cpdo7syn","high"
"3","10","fixed","10","79","73","green-83","green","966","sampling-task","41","807078","0.0-5.0-0.28-0.28","93","cpdo7syn","high"
"4","1","free","220","56","78","orange-187","orange","3588","sampling-task","44","833318","0.0-5.0-0.29-0.29","93","cpdo7syn","high"
"4","2","free","220","56","47","orange-126","orange","950","sampling-task","45","835510","0.0-5.0-0.30-0.30","93","cpdo7syn","high"
"4","3","free","220","56","82","orange-157","orange","670","sampling-task","46","837734","0.0-5.0-0.31-0.31","93","cpdo7syn","high"
"4","4","free","220","56","54","orange-176","orange","734","sampling-task","47","839582","0.0-5.0-0.32-0.32","93","cpdo7syn","high"
"4","5","free","220","56","67","orange-201","orange","718","sampling-task","48","842966","0.0-5.0-0.33-0.33","93","cpdo7syn","high"
"4","6","free","220","56","60","orange-79","orange","612","sampling-task","49","844494","0.0-5.0-0.34-0.34","93","cpdo7syn","high"
"4","7","free","220","56","90","orange-58","orange","446","sampling-task","50","846134","0.0-5.0-0.35-0.35","93","cpdo7syn","high"
"4","8","free","220","56","70","orange-184","orange","574","sampling-task","51","847894","0.0-5.0-0.36-0.36","93","cpdo7syn","high"
"4","9","free","220","56","80","orange-47","orange","774","sampling-task","52","849670","0.0-5.0-0.37-0.37","93","cpdo7syn","high"
"4","10","free","220","56","52","orange-115","orange","430","sampling-task","53","851052","0.0-5.0-0.38-0.38","93","cpdo7syn","high"
"4","11","free","220","56","50","orange-63","orange","374","sampling-task","54","852292","0.0-5.0-0.39-0.39","93","cpdo7syn","high"
"4","12","free","220","56","65","orange-117","orange","358","sampling-task","55","853564","0.0-5.0-0.40-0.40","93","cpdo7syn","high"
"4","13","free","220","56","91","orange-216","orange","350","sampling-task","56","854996","0.0-5.0-0.41-0.41","93","cpdo7syn","high"
"4","14","free","220","56","87","orange-206","orange","1006","sampling-task","57","857836","0.0-5.0-0.42-0.42","93","cpdo7syn","high"
"5","1","fixed","20","91","86","blue-169","blue","3725","sampling-task","60","886724","0.0-5.0-0.43-0.43","93","cpdo7syn","high"
"5","2","fixed","20","91","91","blue-83","blue","614","sampling-task","61","888956","0.0-5.0-0.44-0.44","93","cpdo7syn","high"
"5","3","fixed","20","91","88","blue-161","blue","1254","sampling-task","62","891308","0.0-5.0-0.45-0.45","93","cpdo7syn","high"
"5","4","fixed","20","91","67","blue-53","blue","662","sampling-task","63","892980","0.0-5.0-0.46-0.46","93","cpdo7syn","high"
"5","5","fixed","20","91","100","blue-75","blue","534","sampling-task","64","895156","0.0-5.0-0.47-0.47","93","cpdo7syn","high"
