"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","111","117","green-45","green","8711","sampling-task","6","536433","0.0-5.0-0.0-0.0","94","5q73zodr","high"
"1","2","fixed","20","111","87","green-215","green","2219","sampling-task","7","540942","0.0-5.0-0.1-0.1","94","5q73zodr","high"
"1","3","fixed","20","111","125","green-94","green","2198","sampling-task","8","545902","0.0-5.0-0.2-0.2","94","5q73zodr","high"
"1","4","fixed","20","111","97","green-195","green","1318","sampling-task","9","549166","0.0-5.0-0.3-0.3","94","5q73zodr","high"
"1","5","fixed","20","111","111","green-200","green","1270","sampling-task","10","552310","0.0-5.0-0.4-0.4","94","5q73zodr","high"
"1","6","fixed","20","111","105","green-76","green","942","sampling-task","11","554983","0.0-5.0-0.5-0.5","94","5q73zodr","high"
"1","7","fixed","20","111","127","green-44","green","1013","sampling-task","12","560574","0.0-5.0-0.6-0.6","94","5q73zodr","high"
"1","8","fixed","20","111","75","green-10","green","814","sampling-task","13","563086","0.0-5.0-0.7-0.7","94","5q73zodr","high"
"1","9","fixed","20","111","99","green-63","green","1006","sampling-task","14","565982","0.0-5.0-0.8-0.8","94","5q73zodr","high"
"1","10","fixed","20","111","100","green-41","green","902","sampling-task","15","569198","0.0-5.0-0.9-0.9","94","5q73zodr","high"
"1","11","fixed","20","111","111","green-216","green","958","sampling-task","16","572110","0.0-5.0-0.10-0.10","94","5q73zodr","high"
"1","12","fixed","20","111","133","green-208","green","1718","sampling-task","17","576598","0.0-5.0-0.11-0.11","94","5q73zodr","high"
"1","13","fixed","20","111","132","green-57","green","982","sampling-task","18","579710","0.0-5.0-0.12-0.12","94","5q73zodr","high"
"1","14","fixed","20","111","126","green-142","green","942","sampling-task","19","582782","0.0-5.0-0.13-0.13","94","5q73zodr","high"
"1","15","fixed","20","111","129","green-25","green","886","sampling-task","20","587030","0.0-5.0-0.14-0.14","94","5q73zodr","high"
"1","16","fixed","20","111","78","green-170","green","1838","sampling-task","21","590278","0.0-5.0-0.15-0.15","94","5q73zodr","high"
"1","17","fixed","20","111","99","green-12","green","1077","sampling-task","22","593054","0.0-5.0-0.16-0.16","94","5q73zodr","high"
"1","18","fixed","20","111","77","green-140","green","1526","sampling-task","23","596654","0.0-5.0-0.17-0.17","94","5q73zodr","high"
"1","19","fixed","20","111","119","green-8","green","12474","sampling-task","24","610923","0.0-5.0-0.18-0.18","94","5q73zodr","high"
"1","20","fixed","20","111","141","green-6","green","1214","sampling-task","25","616419","0.0-5.0-0.19-0.19","94","5q73zodr","high"
"2","1","free","220","71","103","purple-85","purple","16717","sampling-task","28","712144","0.0-5.0-0.20-0.20","94","5q73zodr","high"
"2","2","free","220","71","72","purple-5","purple","862","sampling-task","29","715744","0.0-5.0-0.21-0.21","94","5q73zodr","high"
"2","3","free","220","71","100","purple-171","purple","1263","sampling-task","30","719056","0.0-5.0-0.22-0.22","94","5q73zodr","high"
"2","4","free","220","71","92","purple-207","purple","1278","sampling-task","31","721926","0.0-5.0-0.23-0.23","94","5q73zodr","high"
"2","5","free","220","71","47","purple-178","purple","990","sampling-task","32","724222","0.0-5.0-0.24-0.24","94","5q73zodr","high"
"2","6","free","220","71","44","purple-137","purple","654","sampling-task","33","726054","0.0-5.0-0.25-0.25","94","5q73zodr","high"
"2","7","free","220","71","64","purple-219","purple","830","sampling-task","34","728222","0.0-5.0-0.26-0.26","94","5q73zodr","high"
"2","8","free","220","71","90","purple-114","purple","1078","sampling-task","35","730974","0.0-5.0-0.27-0.27","94","5q73zodr","high"
"2","9","free","220","71","67","purple-144","purple","1022","sampling-task","36","733686","0.0-5.0-0.28-0.28","94","5q73zodr","high"
"2","10","free","220","71","35","purple-80","purple","822","sampling-task","37","736222","0.0-5.0-0.29-0.29","94","5q73zodr","high"
"2","11","free","220","71","63","purple-87","purple","702","sampling-task","38","738606","0.0-5.0-0.30-0.30","94","5q73zodr","high"
"2","12","free","220","71","58","purple-164","purple","758","sampling-task","39","741422","0.0-5.0-0.31-0.31","94","5q73zodr","high"
"2","13","free","220","71","92","purple-95","purple","710","sampling-task","40","745142","0.0-5.0-0.32-0.32","94","5q73zodr","high"
"2","14","free","220","71","108","purple-174","purple","1622","sampling-task","41","748790","0.0-5.0-0.33-0.33","94","5q73zodr","high"
"2","15","free","220","71","107","purple-70","purple","958","sampling-task","42","751406","0.0-5.0-0.34-0.34","94","5q73zodr","high"
"2","16","free","220","71","76","purple-148","purple","910","sampling-task","43","753678","0.0-5.0-0.35-0.35","94","5q73zodr","high"
"2","17","free","220","71","65","purple-61","purple","798","sampling-task","44","755806","0.0-5.0-0.36-0.36","94","5q73zodr","high"
"2","18","free","220","71","86","purple-121","purple","774","sampling-task","45","758070","0.0-5.0-0.37-0.37","94","5q73zodr","high"
"2","19","free","220","71","63","purple-104","purple","766","sampling-task","46","760270","0.0-5.0-0.38-0.38","94","5q73zodr","high"
"2","20","free","220","71","64","purple-170","purple","686","sampling-task","47","762366","0.0-5.0-0.39-0.39","94","5q73zodr","high"
"2","21","free","220","71","64","purple-126","purple","613","sampling-task","48","764334","0.0-5.0-0.40-0.40","94","5q73zodr","high"
"2","22","free","220","71","75","purple-113","purple","734","sampling-task","49","766318","0.0-5.0-0.41-0.41","94","5q73zodr","high"
"2","23","free","220","71","102","purple-115","purple","646","sampling-task","50","768782","0.0-5.0-0.42-0.42","94","5q73zodr","high"
"2","24","free","220","71","70","purple-91","purple","822","sampling-task","51","771006","0.0-5.0-0.43-0.43","94","5q73zodr","high"
"2","25","free","220","71","44","purple-164","purple","670","sampling-task","52","772942","0.0-5.0-0.44-0.44","94","5q73zodr","high"
"2","26","free","220","71","79","purple-180","purple","638","sampling-task","53","774846","0.0-5.0-0.45-0.45","94","5q73zodr","high"
