"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","71","39","purple-76","purple","6645","sampling-task","6","296795","0.0-5.0-0.0-0.0","95","hpvdrocz","high"
"1","2","fixed","10","71","81","purple-24","purple","6109","sampling-task","7","304763","0.0-5.0-0.1-0.1","95","hpvdrocz","high"
"1","3","fixed","10","71","64","purple-183","purple","1478","sampling-task","8","308035","0.0-5.0-0.2-0.2","95","hpvdrocz","high"
"1","4","fixed","10","71","56","purple-159","purple","942","sampling-task","9","311299","0.0-5.0-0.3-0.3","95","hpvdrocz","high"
"1","5","fixed","10","71","70","purple-83","purple","1278","sampling-task","10","314011","0.0-5.0-0.4-0.4","95","hpvdrocz","high"
"1","6","fixed","10","71","65","purple-50","purple","1630","sampling-task","11","317067","0.0-5.0-0.5-0.5","95","hpvdrocz","high"
"1","7","fixed","10","71","31","purple-184","purple","1046","sampling-task","12","319387","0.0-5.0-0.6-0.6","95","hpvdrocz","high"
"1","8","fixed","10","71","89","purple-67","purple","1046","sampling-task","13","321779","0.0-5.0-0.7-0.7","95","hpvdrocz","high"
"1","9","fixed","10","71","88","purple-49","purple","1157","sampling-task","14","324946","0.0-5.0-0.8-0.8","95","hpvdrocz","high"
"1","10","fixed","10","71","70","purple-62","purple","719","sampling-task","15","326962","0.0-5.0-0.9-0.9","95","hpvdrocz","high"
"2","1","free","220","55","63","green-105","green","6164","sampling-task","18","395585","0.0-5.0-0.10-0.10","95","hpvdrocz","high"
"2","2","free","220","55","69","green-128","green","1206","sampling-task","19","398729","0.0-5.0-0.11-0.11","95","hpvdrocz","high"
"2","3","free","220","55","61","green-11","green","1102","sampling-task","20","401337","0.0-5.0-0.12-0.12","95","hpvdrocz","high"
"2","4","free","220","55","41","green-6","green","934","sampling-task","21","403513","0.0-5.0-0.13-0.13","95","hpvdrocz","high"
"2","5","free","220","55","55","green-212","green","926","sampling-task","22","405713","0.0-5.0-0.14-0.14","95","hpvdrocz","high"
"2","6","free","220","55","42","green-35","green","958","sampling-task","23","407929","0.0-5.0-0.15-0.15","95","hpvdrocz","high"
"2","7","free","220","55","60","green-5","green","2286","sampling-task","24","412649","0.0-5.0-0.16-0.16","95","hpvdrocz","high"
"2","8","free","220","55","32","green-110","green","869","sampling-task","25","414665","0.0-5.0-0.17-0.17","95","hpvdrocz","high"
"2","9","free","220","55","43","green-219","green","925","sampling-task","26","416585","0.0-5.0-0.18-0.18","95","hpvdrocz","high"
"2","10","free","220","55","74","green-48","green","798","sampling-task","27","418913","0.0-5.0-0.19-0.19","95","hpvdrocz","high"
"2","11","free","220","55","35","green-25","green","702","sampling-task","28","420641","0.0-5.0-0.20-0.20","95","hpvdrocz","high"
"2","12","free","220","55","78","green-66","green","814","sampling-task","29","422417","0.0-5.0-0.21-0.21","95","hpvdrocz","high"
"2","13","free","220","55","42","green-131","green","886","sampling-task","30","424265","0.0-5.0-0.22-0.22","95","hpvdrocz","high"
"2","14","free","220","55","67","green-157","green","702","sampling-task","31","426025","0.0-5.0-0.23-0.23","95","hpvdrocz","high"
"3","1","fixed","20","113","116","red-111","red","2525","sampling-task","34","465032","0.0-5.0-0.24-0.24","95","hpvdrocz","high"
"3","2","fixed","20","113","106","red-170","red","718","sampling-task","35","466967","0.0-5.0-0.25-0.25","95","hpvdrocz","high"
"3","3","fixed","20","113","129","red-87","red","791","sampling-task","36","469288","0.0-5.0-0.26-0.26","95","hpvdrocz","high"
"3","4","fixed","20","113","131","red-70","red","702","sampling-task","37","472648","0.0-5.0-0.27-0.27","95","hpvdrocz","high"
"3","5","fixed","20","113","114","red-149","red","750","sampling-task","38","474504","0.0-5.0-0.28-0.28","95","hpvdrocz","high"
"3","6","fixed","20","113","122","red-157","red","662","sampling-task","39","476600","0.0-5.0-0.29-0.29","95","hpvdrocz","high"
"3","7","fixed","20","113","114","red-41","red","766","sampling-task","40","478592","0.0-5.0-0.30-0.30","95","hpvdrocz","high"
"3","8","fixed","20","113","137","red-106","red","870","sampling-task","41","480784","0.0-5.0-0.31-0.31","95","hpvdrocz","high"
"3","9","fixed","20","113","115","red-216","red","1166","sampling-task","42","483280","0.0-5.0-0.32-0.32","95","hpvdrocz","high"
"3","10","fixed","20","113","119","red-123","red","678","sampling-task","43","485056","0.0-5.0-0.33-0.33","95","hpvdrocz","high"
"3","11","fixed","20","113","153","red-161","red","806","sampling-task","44","487704","0.0-5.0-0.34-0.34","95","hpvdrocz","high"
"3","12","fixed","20","113","78","red-117","red","766","sampling-task","45","489832","0.0-5.0-0.35-0.35","95","hpvdrocz","high"
"3","13","fixed","20","113","128","red-9","red","582","sampling-task","46","491864","0.0-5.0-0.36-0.36","95","hpvdrocz","high"
"3","14","fixed","20","113","97","red-170","red","750","sampling-task","47","493632","0.0-5.0-0.37-0.37","95","hpvdrocz","high"
"3","15","fixed","20","113","105","red-181","red","757","sampling-task","48","495648","0.0-5.0-0.38-0.38","95","hpvdrocz","high"
"3","16","fixed","20","113","118","red-110","red","766","sampling-task","49","497616","0.0-5.0-0.39-0.39","95","hpvdrocz","high"
"3","17","fixed","20","113","102","red-162","red","814","sampling-task","50","499376","0.0-5.0-0.40-0.40","95","hpvdrocz","high"
"3","18","fixed","20","113","105","red-50","red","686","sampling-task","51","501576","0.0-5.0-0.41-0.41","95","hpvdrocz","high"
"3","19","fixed","20","113","112","red-130","red","574","sampling-task","52","503238","0.0-5.0-0.42-0.42","95","hpvdrocz","high"
"3","20","fixed","20","113","135","red-48","red","814","sampling-task","53","505510","0.0-5.0-0.43-0.43","95","hpvdrocz","high"
"4","1","free","220","95","88","orange-171","orange","2693","sampling-task","56","534751","0.0-5.0-0.44-0.44","95","hpvdrocz","high"
"4","2","free","220","95","87","orange-179","orange","886","sampling-task","57","536631","0.0-5.0-0.45-0.45","95","hpvdrocz","high"
"4","3","free","220","95","103","orange-109","orange","838","sampling-task","58","538951","0.0-5.0-0.46-0.46","95","hpvdrocz","high"
"4","4","free","220","95","104","orange-31","orange","750","sampling-task","59","540878","0.0-5.0-0.47-0.47","95","hpvdrocz","high"
"4","5","free","220","95","86","orange-18","orange","718","sampling-task","60","543118","0.0-5.0-0.48-0.48","95","hpvdrocz","high"
"4","6","free","220","95","84","orange-163","orange","718","sampling-task","61","544870","0.0-5.0-0.49-0.49","95","hpvdrocz","high"
"4","7","free","220","95","119","orange-52","orange","694","sampling-task","62","546831","0.0-5.0-0.50-0.50","95","hpvdrocz","high"
"4","8","free","220","95","82","orange-132","orange","726","sampling-task","63","548638","0.0-5.0-0.51-0.51","95","hpvdrocz","high"
"4","9","free","220","95","72","orange-79","orange","854","sampling-task","64","550407","0.0-5.0-0.52-0.52","95","hpvdrocz","high"
"4","10","free","220","95","101","orange-68","orange","686","sampling-task","65","552391","0.0-5.0-0.53-0.53","95","hpvdrocz","high"
"4","11","free","220","95","83","orange-19","orange","798","sampling-task","66","554383","0.0-5.0-0.54-0.54","95","hpvdrocz","high"
"4","12","free","220","95","64","orange-159","orange","614","sampling-task","67","556071","0.0-5.0-0.55-0.55","95","hpvdrocz","high"
"4","13","free","220","95","71","orange-179","orange","662","sampling-task","68","558199","0.0-5.0-0.56-0.56","95","hpvdrocz","high"
"4","14","free","220","95","118","orange-60","orange","774","sampling-task","69","560846","0.0-5.0-0.57-0.57","95","hpvdrocz","high"
"4","15","free","220","95","99","orange-35","orange","790","sampling-task","70","563053","0.0-5.0-0.58-0.58","95","hpvdrocz","high"
"4","16","free","220","95","100","orange-166","orange","1030","sampling-task","71","565501","0.0-5.0-0.59-0.59","95","hpvdrocz","high"
"4","17","free","220","95","84","orange-217","orange","854","sampling-task","72","567533","0.0-5.0-0.60-0.60","95","hpvdrocz","high"
"5","1","fixed","5","18","33","yellow-172","yellow","3525","sampling-task","75","599117","0.0-5.0-0.61-0.61","95","hpvdrocz","high"
"5","2","fixed","5","18","-8","yellow-79","yellow","846","sampling-task","76","601277","0.0-5.0-0.62-0.62","95","hpvdrocz","high"
