"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","20","94","73","red-70","red","4126","sampling-task","6","211602","0.0-5.0-0.0-0.0","96","7o2xfdkn","low"
"1","2","fixed","20","94","131","red-70","red","3318","sampling-task","7","218177","0.0-5.0-0.1-0.1","96","7o2xfdkn","low"
"1","3","fixed","20","94","110","red-70","red","1910","sampling-task","8","221553","0.0-5.0-0.2-0.2","96","7o2xfdkn","low"
"1","4","fixed","20","94","88","red-70","red","718","sampling-task","9","223513","0.0-5.0-0.3-0.3","96","7o2xfdkn","low"
"1","5","fixed","20","94","96","red-70","red","687","sampling-task","10","225353","0.0-5.0-0.4-0.4","96","7o2xfdkn","low"
"1","6","fixed","20","94","87","red-70","red","663","sampling-task","11","226929","0.0-5.0-0.5-0.5","96","7o2xfdkn","low"
"1","7","fixed","20","94","87","red-70","red","975","sampling-task","12","228817","0.0-5.0-0.6-0.6","96","7o2xfdkn","low"
"1","8","fixed","20","94","80","red-70","red","607","sampling-task","13","230514","0.0-5.0-0.7-0.7","96","7o2xfdkn","low"
"1","9","fixed","20","94","56","red-70","red","518","sampling-task","14","232441","0.0-5.0-0.8-0.8","96","7o2xfdkn","low"
"1","10","fixed","20","94","117","red-70","red","743","sampling-task","15","234633","0.0-5.0-0.9-0.9","96","7o2xfdkn","low"
"1","11","fixed","20","94","87","red-70","red","493","sampling-task","16","236161","0.0-5.0-0.10-0.10","96","7o2xfdkn","low"
"1","12","fixed","20","94","66","red-70","red","478","sampling-task","17","238161","0.0-5.0-0.11-0.11","96","7o2xfdkn","low"
"1","13","fixed","20","94","91","red-70","red","566","sampling-task","18","240057","0.0-5.0-0.12-0.12","96","7o2xfdkn","low"
"1","14","fixed","20","94","126","red-70","red","662","sampling-task","19","241873","0.0-5.0-0.13-0.13","96","7o2xfdkn","low"
"1","15","fixed","20","94","92","red-70","red","494","sampling-task","20","243513","0.0-5.0-0.14-0.14","96","7o2xfdkn","low"
"1","16","fixed","20","94","134","red-70","red","494","sampling-task","21","245241","0.0-5.0-0.15-0.15","96","7o2xfdkn","low"
"1","17","fixed","20","94","111","red-70","red","462","sampling-task","22","246609","0.0-5.0-0.16-0.16","96","7o2xfdkn","low"
