"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","10","26","yellow-125","yellow","4494","sampling-task","6","709015","0.0-5.0-0.0-0.0","97","dt3pcbn8","low"
"1","2","fixed","10","10","38","yellow-125","yellow","1045","sampling-task","7","712302","0.0-5.0-0.1-0.1","97","dt3pcbn8","low"
"1","3","fixed","10","10","4","yellow-125","yellow","902","sampling-task","8","714390","0.0-5.0-0.2-0.2","97","dt3pcbn8","low"
"1","4","fixed","10","10","-13","yellow-125","yellow","734","sampling-task","9","716694","0.0-5.0-0.3-0.3","97","dt3pcbn8","low"
"1","5","fixed","10","10","29","yellow-125","yellow","1430","sampling-task","10","720094","0.0-5.0-0.4-0.4","97","dt3pcbn8","low"
"1","6","fixed","10","10","21","yellow-125","yellow","694","sampling-task","11","721910","0.0-5.0-0.5-0.5","97","dt3pcbn8","low"
"1","7","fixed","10","10","3","yellow-125","yellow","742","sampling-task","12","723574","0.0-5.0-0.6-0.6","97","dt3pcbn8","low"
"1","8","fixed","10","10","3","yellow-125","yellow","566","sampling-task","13","725094","0.0-5.0-0.7-0.7","97","dt3pcbn8","low"
"1","9","fixed","10","10","-16","yellow-125","yellow","550","sampling-task","14","726838","0.0-5.0-0.8-0.8","97","dt3pcbn8","low"
"1","10","fixed","10","10","-10","yellow-125","yellow","654","sampling-task","15","728486","0.0-5.0-0.9-0.9","97","dt3pcbn8","low"
"2","1","free","220","73","105","blue-74","blue","4732","sampling-task","18","780981","0.0-5.0-0.10-0.10","97","dt3pcbn8","low"
"3","1","fixed","5","119","130","orange-163","orange","916","sampling-task","21","806717","0.0-5.0-0.11-0.11","97","dt3pcbn8","low"
"3","2","fixed","5","119","118","orange-163","orange","1301","sampling-task","22","812420","0.0-5.0-0.12-0.12","97","dt3pcbn8","low"
"3","3","fixed","5","119","115","orange-163","orange","1038","sampling-task","23","814892","0.0-5.0-0.13-0.13","97","dt3pcbn8","low"
"3","4","fixed","5","119","98","orange-163","orange","887","sampling-task","24","817436","0.0-5.0-0.14-0.14","97","dt3pcbn8","low"
"3","5","fixed","5","119","114","orange-163","orange","918","sampling-task","25","822868","0.0-5.0-0.15-0.15","97","dt3pcbn8","low"
"4","1","free","220","58","34","red-80","red","10909","sampling-task","28","852556","0.0-5.0-0.16-0.16","97","dt3pcbn8","low"
"4","2","free","220","58","41","red-80","red","702","sampling-task","29","855964","0.0-5.0-0.17-0.17","97","dt3pcbn8","low"
"4","3","free","220","58","84","red-80","red","694","sampling-task","30","858292","0.0-5.0-0.18-0.18","97","dt3pcbn8","low"
"4","4","free","220","58","89","red-80","red","1030","sampling-task","31","862020","0.0-5.0-0.19-0.19","97","dt3pcbn8","low"
"4","5","free","220","58","62","red-80","red","854","sampling-task","32","865316","0.0-5.0-0.20-0.20","97","dt3pcbn8","low"
"4","6","free","220","58","67","red-80","red","815","sampling-task","33","867939","0.0-5.0-0.21-0.21","97","dt3pcbn8","low"
"5","1","fixed","20","93","100","green-22","green","5125","sampling-task","36","897203","0.0-5.0-0.22-0.22","97","dt3pcbn8","low"
"5","2","fixed","20","93","105","green-22","green","590","sampling-task","37","898691","0.0-5.0-0.23-0.23","97","dt3pcbn8","low"
"5","3","fixed","20","93","90","green-22","green","511","sampling-task","38","900019","0.0-5.0-0.24-0.24","97","dt3pcbn8","low"
"5","4","fixed","20","93","54","green-22","green","470","sampling-task","39","901371","0.0-5.0-0.25-0.25","97","dt3pcbn8","low"
