"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","96","94","purple-219","purple","5910","sampling-task","6","918853","0.0-5.0-0.0-0.0","98","wsryghhm","high"
"1","2","fixed","10","96","113","purple-51","purple","2998","sampling-task","7","925741","0.0-5.0-0.1-0.1","98","wsryghhm","high"
"1","3","fixed","10","96","86","purple-116","purple","1838","sampling-task","8","928893","0.0-5.0-0.2-0.2","98","wsryghhm","high"
"1","4","fixed","10","96","36","purple-152","purple","1230","sampling-task","9","931933","0.0-5.0-0.3-0.3","98","wsryghhm","high"
"1","5","fixed","10","96","99","purple-191","purple","886","sampling-task","10","938805","0.0-5.0-0.4-0.4","98","wsryghhm","high"
"1","6","fixed","10","96","54","purple-199","purple","1862","sampling-task","11","942213","0.0-5.0-0.5-0.5","98","wsryghhm","high"
"1","7","fixed","10","96","96","purple-203","purple","839","sampling-task","12","944805","0.0-5.0-0.6-0.6","98","wsryghhm","high"
"1","8","fixed","10","96","100","purple-82","purple","847","sampling-task","13","946869","0.0-5.0-0.7-0.7","98","wsryghhm","high"
"1","9","fixed","10","96","84","purple-132","purple","887","sampling-task","14","949181","0.0-5.0-0.8-0.8","98","wsryghhm","high"
"1","10","fixed","10","96","60","purple-183","purple","750","sampling-task","15","951365","0.0-5.0-0.9-0.9","98","wsryghhm","high"
"2","1","free","220","11","16","orange-174","orange","2965","sampling-task","18","1013771","0.0-5.0-0.10-0.10","98","wsryghhm","high"
"2","2","free","220","11","32","orange-202","orange","758","sampling-task","19","1017060","0.0-5.0-0.11-0.11","98","wsryghhm","high"
"2","3","free","220","11","28","orange-67","orange","654","sampling-task","20","1018860","0.0-5.0-0.12-0.12","98","wsryghhm","high"
"2","4","free","220","11","1","orange-102","orange","502","sampling-task","21","1020340","0.0-5.0-0.13-0.13","98","wsryghhm","high"
"2","5","free","220","11","-43","orange-121","orange","438","sampling-task","22","1021956","0.0-5.0-0.14-0.14","98","wsryghhm","high"
"2","6","free","220","11","-32","orange-15","orange","438","sampling-task","23","1023740","0.0-5.0-0.15-0.15","98","wsryghhm","high"
"2","7","free","220","11","-1","orange-170","orange","462","sampling-task","24","1025252","0.0-5.0-0.16-0.16","98","wsryghhm","high"
"2","8","free","220","11","35","orange-46","orange","430","sampling-task","25","1026948","0.0-5.0-0.17-0.17","98","wsryghhm","high"
"2","9","free","220","11","34","orange-109","orange","462","sampling-task","26","1028476","0.0-5.0-0.18-0.18","98","wsryghhm","high"
"2","10","free","220","11","47","orange-39","orange","606","sampling-task","27","1033235","0.0-5.0-0.19-0.19","98","wsryghhm","high"
"2","11","free","220","11","6","orange-11","orange","484","sampling-task","28","1035138","0.0-5.0-0.20-0.20","98","wsryghhm","high"
"2","12","free","220","11","12","orange-162","orange","430","sampling-task","29","1036530","0.0-5.0-0.21-0.21","98","wsryghhm","high"
"2","13","free","220","11","-5","orange-108","orange","518","sampling-task","30","1037930","0.0-5.0-0.22-0.22","98","wsryghhm","high"
"2","14","free","220","11","-12","orange-101","orange","502","sampling-task","31","1039266","0.0-5.0-0.23-0.23","98","wsryghhm","high"
"2","15","free","220","11","3","orange-93","orange","406","sampling-task","32","1041138","0.0-5.0-0.24-0.24","98","wsryghhm","high"
"2","16","free","220","11","12","orange-1","orange","278","sampling-task","33","1042722","0.0-5.0-0.25-0.25","98","wsryghhm","high"
"3","1","fixed","5","73","69","red-215","red","5045","sampling-task","36","1083785","0.0-5.0-0.26-0.26","98","wsryghhm","high"
"3","2","fixed","5","73","74","red-130","red","982","sampling-task","37","1085938","0.0-5.0-0.27-0.27","98","wsryghhm","high"
"3","3","fixed","5","73","44","red-146","red","774","sampling-task","38","1088665","0.0-5.0-0.28-0.28","98","wsryghhm","high"
"3","4","fixed","5","73","87","red-125","red","647","sampling-task","39","1093328","0.0-5.0-0.29-0.29","98","wsryghhm","high"
"3","5","fixed","5","73","29","red-217","red","478","sampling-task","40","1094848","0.0-5.0-0.30-0.30","98","wsryghhm","high"
"4","1","free","220","38","19","yellow-28","yellow","4701","sampling-task","43","1126400","0.0-5.0-0.31-0.31","98","wsryghhm","high"
"4","2","free","220","38","63","yellow-213","yellow","551","sampling-task","44","1128017","0.0-5.0-0.32-0.32","98","wsryghhm","high"
"4","3","free","220","38","47","yellow-12","yellow","454","sampling-task","45","1129536","0.0-5.0-0.33-0.33","98","wsryghhm","high"
"4","4","free","220","38","23","yellow-98","yellow","438","sampling-task","46","1131456","0.0-5.0-0.34-0.34","98","wsryghhm","high"
"4","5","free","220","38","13","yellow-30","yellow","414","sampling-task","47","1132769","0.0-5.0-0.35-0.35","98","wsryghhm","high"
"4","6","free","220","38","43","yellow-73","yellow","325","sampling-task","48","1134104","0.0-5.0-0.36-0.36","98","wsryghhm","high"
"4","7","free","220","38","33","yellow-47","yellow","359","sampling-task","49","1135696","0.0-5.0-0.37-0.37","98","wsryghhm","high"
"4","8","free","220","38","16","yellow-8","yellow","598","sampling-task","50","1137168","0.0-5.0-0.38-0.38","98","wsryghhm","high"
"4","9","free","220","38","30","yellow-8","yellow","374","sampling-task","51","1138424","0.0-5.0-0.39-0.39","98","wsryghhm","high"
"4","10","free","220","38","33","yellow-9","yellow","319","sampling-task","52","1140393","0.0-5.0-0.40-0.40","98","wsryghhm","high"
"4","11","free","220","38","46","yellow-215","yellow","446","sampling-task","53","1141800","0.0-5.0-0.41-0.41","98","wsryghhm","high"
"4","12","free","220","38","43","yellow-44","yellow","303","sampling-task","54","1143000","0.0-5.0-0.42-0.42","98","wsryghhm","high"
"4","13","free","220","38","66","yellow-220","yellow","350","sampling-task","55","1144946","0.0-5.0-0.43-0.43","98","wsryghhm","high"
"4","14","free","220","38","61","yellow-2","yellow","245","sampling-task","56","1147928","0.0-5.0-0.44-0.44","98","wsryghhm","high"
"4","15","free","220","38","53","yellow-187","yellow","310","sampling-task","57","1149200","0.0-5.0-0.45-0.45","98","wsryghhm","high"
"4","16","free","220","38","43","yellow-182","yellow","358","sampling-task","58","1150448","0.0-5.0-0.46-0.46","98","wsryghhm","high"
"4","17","free","220","38","56","yellow-171","yellow","294","sampling-task","59","1151608","0.0-5.0-0.47-0.47","98","wsryghhm","high"
"4","18","free","220","38","58","yellow-61","yellow","311","sampling-task","60","1153343","0.0-5.0-0.48-0.48","98","wsryghhm","high"
"4","19","free","220","38","-3","yellow-25","yellow","191","sampling-task","61","1154455","0.0-5.0-0.49-0.49","98","wsryghhm","high"
"4","20","free","220","38","16","yellow-179","yellow","551","sampling-task","62","1156679","0.0-5.0-0.50-0.50","98","wsryghhm","high"
"4","21","free","220","38","27","yellow-161","yellow","198","sampling-task","63","1157823","0.0-5.0-0.51-0.51","98","wsryghhm","high"
"4","22","free","220","38","72","yellow-114","yellow","263","sampling-task","64","1160575","0.0-5.0-0.52-0.52","98","wsryghhm","high"
"5","1","fixed","20","117","98","green-55","green","3085","sampling-task","67","1183591","0.0-5.0-0.53-0.53","98","wsryghhm","high"
"5","2","fixed","20","117","90","green-2","green","1071","sampling-task","68","1185623","0.0-5.0-0.54-0.54","98","wsryghhm","high"
"5","3","fixed","20","117","116","green-31","green","447","sampling-task","69","1188519","0.0-5.0-0.55-0.55","98","wsryghhm","high"
"5","4","fixed","20","117","64","green-73","green","399","sampling-task","70","1189815","0.0-5.0-0.56-0.56","98","wsryghhm","high"
"5","5","fixed","20","117","111","green-21","green","295","sampling-task","71","1191503","0.0-5.0-0.57-0.57","98","wsryghhm","high"
"5","6","fixed","20","117","112","green-175","green","238","sampling-task","72","1193583","0.0-5.0-0.58-0.58","98","wsryghhm","high"
"5","7","fixed","20","117","119","green-96","green","255","sampling-task","73","1195879","0.0-5.0-0.59-0.59","98","wsryghhm","high"
"5","8","fixed","20","117","85","green-3","green","223","sampling-task","74","1196951","0.0-5.0-0.60-0.60","98","wsryghhm","high"
"5","9","fixed","20","117","130","green-108","green","239","sampling-task","75","1200535","0.0-5.0-0.61-0.61","98","wsryghhm","high"
"5","10","fixed","20","117","126","green-134","green","239","sampling-task","76","1201943","0.0-5.0-0.62-0.62","98","wsryghhm","high"
"5","11","fixed","20","117","96","green-155","green","239","sampling-task","77","1203015","0.0-5.0-0.63-0.63","98","wsryghhm","high"
"5","12","fixed","20","117","160","green-127","green","215","sampling-task","78","1207743","0.0-5.0-0.64-0.64","98","wsryghhm","high"
"5","13","fixed","20","117","118","green-115","green","263","sampling-task","79","1208815","0.0-5.0-0.65-0.65","98","wsryghhm","high"
"5","14","fixed","20","117","77","green-220","green","295","sampling-task","80","1210895","0.0-5.0-0.66-0.66","98","wsryghhm","high"
"5","15","fixed","20","117","121","green-129","green","239","sampling-task","81","1212040","0.0-5.0-0.67-0.67","98","wsryghhm","high"
"5","16","fixed","20","117","138","green-41","green","206","sampling-task","82","1213638","0.0-5.0-0.68-0.68","98","wsryghhm","high"
"5","17","fixed","20","117","110","green-137","green","846","sampling-task","83","1215390","0.0-5.0-0.69-0.69","98","wsryghhm","high"
"5","18","fixed","20","117","93","green-104","green","462","sampling-task","84","1216718","0.0-5.0-0.70-0.70","98","wsryghhm","high"
"5","19","fixed","20","117","124","green-146","green","286","sampling-task","85","1217886","0.0-5.0-0.71-0.71","98","wsryghhm","high"
"5","20","fixed","20","117","132","green-220","green","253","sampling-task","86","1218982","0.0-5.0-0.72-0.72","98","wsryghhm","high"
"6","1","free","220","57","53","blue-70","blue","1564","sampling-task","89","1259550","0.0-5.0-0.73-0.73","98","wsryghhm","high"
"6","2","free","220","57","33","blue-110","blue","917","sampling-task","90","1261694","0.0-5.0-0.74-0.74","98","wsryghhm","high"
"6","3","free","220","57","54","blue-115","blue","750","sampling-task","91","1263406","0.0-5.0-0.75-0.75","98","wsryghhm","high"
"6","4","free","220","57","65","blue-137","blue","414","sampling-task","92","1264686","0.0-5.0-0.76-0.76","98","wsryghhm","high"
"6","5","free","220","57","84","blue-134","blue","342","sampling-task","93","1266902","0.0-5.0-0.77-0.77","98","wsryghhm","high"
"6","6","free","220","57","59","blue-12","blue","246","sampling-task","94","1267990","0.0-5.0-0.78-0.78","98","wsryghhm","high"
"6","7","free","220","57","84","blue-124","blue","230","sampling-task","95","1269366","0.0-5.0-0.79-0.79","98","wsryghhm","high"
"6","8","free","220","57","67","blue-208","blue","206","sampling-task","96","1270814","0.0-5.0-0.80-0.80","98","wsryghhm","high"
"6","9","free","220","57","101","blue-55","blue","382","sampling-task","97","1272446","0.0-5.0-0.81-0.81","98","wsryghhm","high"
"6","10","free","220","57","70","blue-193","blue","285","sampling-task","98","1273885","0.0-5.0-0.82-0.82","98","wsryghhm","high"
"6","11","free","220","57","42","blue-181","blue","454","sampling-task","99","1275245","0.0-5.0-0.83-0.83","98","wsryghhm","high"
"6","12","free","220","57","68","blue-35","blue","398","sampling-task","100","1276853","0.0-5.0-0.84-0.84","98","wsryghhm","high"
"6","13","free","220","57","44","blue-121","blue","286","sampling-task","101","1278357","0.0-5.0-0.85-0.85","98","wsryghhm","high"
"6","14","free","220","57","88","blue-36","blue","229","sampling-task","102","1279861","0.0-5.0-0.86-0.86","98","wsryghhm","high"
"6","15","free","220","57","41","blue-59","blue","230","sampling-task","103","1281005","0.0-5.0-0.87-0.87","98","wsryghhm","high"
"6","16","free","220","57","59","blue-212","blue","334","sampling-task","104","1282213","0.0-5.0-0.88-0.88","98","wsryghhm","high"
"6","17","free","220","57","46","blue-196","blue","230","sampling-task","105","1283325","0.0-5.0-0.89-0.89","98","wsryghhm","high"
"6","18","free","220","57","48","blue-18","blue","262","sampling-task","106","1284525","0.0-5.0-0.90-0.90","98","wsryghhm","high"
"6","19","free","220","57","69","blue-159","blue","269","sampling-task","107","1285765","0.0-5.0-0.91-0.91","98","wsryghhm","high"
"6","20","free","220","57","24","blue-19","blue","237","sampling-task","108","1286877","0.0-5.0-0.92-0.92","98","wsryghhm","high"
"6","21","free","220","57","68","blue-156","blue","223","sampling-task","109","1288549","0.0-5.0-0.93-0.93","98","wsryghhm","high"
"6","22","free","220","57","35","blue-140","blue","189","sampling-task","110","1289621","0.0-5.0-0.94-0.94","98","wsryghhm","high"
"6","23","free","220","57","74","blue-22","blue","230","sampling-task","111","1290701","0.0-5.0-0.95-0.95","98","wsryghhm","high"
"6","24","free","220","57","48","blue-121","blue","310","sampling-task","112","1291821","0.0-5.0-0.96-0.96","98","wsryghhm","high"
"6","25","free","220","57","68","blue-197","blue","366","sampling-task","113","1293301","0.0-5.0-0.97-0.97","98","wsryghhm","high"
"6","26","free","220","57","38","blue-125","blue","237","sampling-task","114","1294869","0.0-5.0-0.98-0.98","98","wsryghhm","high"
"6","27","free","220","57","96","blue-210","blue","302","sampling-task","115","1296389","0.0-5.0-0.99-0.99","98","wsryghhm","high"
"6","28","free","220","57","71","blue-10","blue","222","sampling-task","116","1297605","0.0-5.0-0.100-0.100","98","wsryghhm","high"
"6","29","free","220","57","73","blue-125","blue","350","sampling-task","117","1300077","0.0-5.0-0.101-0.101","98","wsryghhm","high"
"6","30","free","220","57","66","blue-57","blue","279","sampling-task","118","1301413","0.0-5.0-0.102-0.102","98","wsryghhm","high"
"6","31","free","220","57","57","blue-50","blue","278","sampling-task","119","1302645","0.0-5.0-0.103-0.103","98","wsryghhm","high"
"6","32","free","220","57","67","blue-218","blue","366","sampling-task","120","1303829","0.0-5.0-0.104-0.104","98","wsryghhm","high"
"6","33","free","220","57","56","blue-191","blue","430","sampling-task","121","1305085","0.0-5.0-0.105-0.105","98","wsryghhm","high"
"6","34","free","220","57","39","blue-97","blue","422","sampling-task","122","1306373","0.0-5.0-0.106-0.106","98","wsryghhm","high"
"6","35","free","220","57","34","blue-143","blue","350","sampling-task","123","1307597","0.0-5.0-0.107-0.107","98","wsryghhm","high"
"6","36","free","220","57","68","blue-88","blue","358","sampling-task","124","1309333","0.0-5.0-0.108-0.108","98","wsryghhm","high"
"6","37","free","220","57","60","blue-211","blue","261","sampling-task","125","1310565","0.0-5.0-0.109-0.109","98","wsryghhm","high"
"6","38","free","220","57","70","blue-58","blue","293","sampling-task","126","1311717","0.0-5.0-0.110-0.110","98","wsryghhm","high"
"6","39","free","220","57","69","blue-131","blue","309","sampling-task","127","1312861","0.0-5.0-0.111-0.111","98","wsryghhm","high"
"6","40","free","220","57","85","blue-196","blue","277","sampling-task","128","1314573","0.0-5.0-0.112-0.112","98","wsryghhm","high"
"6","41","free","220","57","75","blue-131","blue","222","sampling-task","129","1315693","0.0-5.0-0.113-0.113","98","wsryghhm","high"
"6","42","free","220","57","72","blue-208","blue","286","sampling-task","130","1316805","0.0-5.0-0.114-0.114","98","wsryghhm","high"
"6","43","free","220","57","57","blue-56","blue","269","sampling-task","131","1317885","0.0-5.0-0.115-0.115","98","wsryghhm","high"
"6","44","free","220","57","79","blue-52","blue","222","sampling-task","132","1319629","0.0-5.0-0.116-0.116","98","wsryghhm","high"
"6","45","free","220","57","40","blue-14","blue","182","sampling-task","133","1320637","0.0-5.0-0.117-0.117","98","wsryghhm","high"
