"round_number","sample_number","sampling_type","nSamples","mean","feedback","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","1","fixed","10","73","84","blue-108","blue","4670","sampling-task","6","3138237","0.0-5.0-0.0-0.0","99","v0ly3yvb","low"
"1","2","fixed","10","73","73","blue-108","blue","3406","sampling-task","7","3144589","0.0-5.0-0.1-0.1","99","v0ly3yvb","low"
"1","3","fixed","10","73","57","blue-108","blue","1774","sampling-task","8","3148613","0.0-5.0-0.2-0.2","99","v0ly3yvb","low"
"1","4","fixed","10","73","89","blue-108","blue","822","sampling-task","9","3151045","0.0-5.0-0.3-0.3","99","v0ly3yvb","low"
"1","5","fixed","10","73","94","blue-108","blue","1478","sampling-task","10","3154285","0.0-5.0-0.4-0.4","99","v0ly3yvb","low"
"1","6","fixed","10","73","93","blue-108","blue","2166","sampling-task","11","3157949","0.0-5.0-0.5-0.5","99","v0ly3yvb","low"
"1","7","fixed","10","73","46","blue-108","blue","1102","sampling-task","12","3160877","0.0-5.0-0.6-0.6","99","v0ly3yvb","low"
"1","8","fixed","10","73","55","blue-108","blue","918","sampling-task","13","3163141","0.0-5.0-0.7-0.7","99","v0ly3yvb","low"
"1","9","fixed","10","73","86","blue-108","blue","1462","sampling-task","14","3167844","0.0-5.0-0.8-0.8","99","v0ly3yvb","low"
"1","10","fixed","10","73","103","blue-108","blue","1134","sampling-task","15","3170549","0.0-5.0-0.9-0.9","99","v0ly3yvb","low"
"2","1","free","220","30","21","purple-6","purple","3373","sampling-task","18","3259955","0.0-5.0-0.10-0.10","99","v0ly3yvb","low"
"2","2","free","220","30","59","purple-6","purple","582","sampling-task","19","3261667","0.0-5.0-0.11-0.11","99","v0ly3yvb","low"
"2","3","free","220","30","59","purple-6","purple","543","sampling-task","20","3263195","0.0-5.0-0.12-0.12","99","v0ly3yvb","low"
"2","4","free","220","30","42","purple-6","purple","567","sampling-task","21","3264835","0.0-5.0-0.13-0.13","99","v0ly3yvb","low"
"2","5","free","220","30","-3","purple-6","purple","511","sampling-task","22","3266611","0.0-5.0-0.14-0.14","99","v0ly3yvb","low"
"2","6","free","220","30","19","purple-6","purple","583","sampling-task","23","3268131","0.0-5.0-0.15-0.15","99","v0ly3yvb","low"
"2","7","free","220","30","25","purple-6","purple","590","sampling-task","24","3269675","0.0-5.0-0.16-0.16","99","v0ly3yvb","low"
"2","8","free","220","30","46","purple-6","purple","542","sampling-task","25","3271116","0.0-5.0-0.17-0.17","99","v0ly3yvb","low"
"2","9","free","220","30","34","purple-6","purple","580","sampling-task","26","3272675","0.0-5.0-0.18-0.18","99","v0ly3yvb","low"
"2","10","free","220","30","63","purple-6","purple","631","sampling-task","27","3274259","0.0-5.0-0.19-0.19","99","v0ly3yvb","low"
"2","11","free","220","30","19","purple-6","purple","606","sampling-task","28","3275819","0.0-5.0-0.20-0.20","99","v0ly3yvb","low"
"2","12","free","220","30","14","purple-6","purple","607","sampling-task","29","3277355","0.0-5.0-0.21-0.21","99","v0ly3yvb","low"
"2","13","free","220","30","14","purple-6","purple","631","sampling-task","30","3278955","0.0-5.0-0.22-0.22","99","v0ly3yvb","low"
"2","14","free","220","30","0","purple-6","purple","503","sampling-task","31","3280331","0.0-5.0-0.23-0.23","99","v0ly3yvb","low"
"2","15","free","220","30","21","purple-6","purple","494","sampling-task","32","3281755","0.0-5.0-0.24-0.24","99","v0ly3yvb","low"
"2","16","free","220","30","1","purple-6","purple","519","sampling-task","33","3283268","0.0-5.0-0.25-0.25","99","v0ly3yvb","low"
"2","17","free","220","30","34","purple-6","purple","406","sampling-task","34","3284643","0.0-5.0-0.26-0.26","99","v0ly3yvb","low"
"2","18","free","220","30","13","purple-6","purple","495","sampling-task","35","3286052","0.0-5.0-0.27-0.27","99","v0ly3yvb","low"
"2","19","free","220","30","31","purple-6","purple","454","sampling-task","36","3287531","0.0-5.0-0.28-0.28","99","v0ly3yvb","low"
"2","20","free","220","30","56","purple-6","purple","910","sampling-task","37","3289971","0.0-5.0-0.29-0.29","99","v0ly3yvb","low"
"2","21","free","220","30","60","purple-6","purple","406","sampling-task","38","3291283","0.0-5.0-0.30-0.30","99","v0ly3yvb","low"
"2","22","free","220","30","16","purple-6","purple","422","sampling-task","39","3292595","0.0-5.0-0.31-0.31","99","v0ly3yvb","low"
"2","23","free","220","30","-12","purple-6","purple","407","sampling-task","40","3293956","0.0-5.0-0.32-0.32","99","v0ly3yvb","low"
"2","24","free","220","30","44","purple-6","purple","342","sampling-task","41","3295203","0.0-5.0-0.33-0.33","99","v0ly3yvb","low"
"2","25","free","220","30","8","purple-6","purple","438","sampling-task","42","3296540","0.0-5.0-0.34-0.34","99","v0ly3yvb","low"
"2","26","free","220","30","-5","purple-6","purple","406","sampling-task","43","3298939","0.0-5.0-0.35-0.35","99","v0ly3yvb","low"
"2","27","free","220","30","55","purple-6","purple","742","sampling-task","44","3300571","0.0-5.0-0.36-0.36","99","v0ly3yvb","low"
"2","28","free","220","30","65","purple-6","purple","479","sampling-task","45","3301947","0.0-5.0-0.37-0.37","99","v0ly3yvb","low"
"2","29","free","220","30","18","purple-6","purple","414","sampling-task","46","3303235","0.0-5.0-0.38-0.38","99","v0ly3yvb","low"
"2","30","free","220","30","47","purple-6","purple","2861","sampling-task","47","3307683","0.0-5.0-0.39-0.39","99","v0ly3yvb","low"
"3","1","fixed","20","114","107","yellow-132","yellow","1965","sampling-task","50","3334227","0.0-5.0-0.40-0.40","99","v0ly3yvb","low"
"3","2","fixed","20","114","117","yellow-132","yellow","510","sampling-task","51","3335827","0.0-5.0-0.41-0.41","99","v0ly3yvb","low"
"3","3","fixed","20","114","100","yellow-132","yellow","590","sampling-task","52","3337411","0.0-5.0-0.42-0.42","99","v0ly3yvb","low"
"3","4","fixed","20","114","76","yellow-132","yellow","558","sampling-task","53","3338883","0.0-5.0-0.43-0.43","99","v0ly3yvb","low"
"3","5","fixed","20","114","113","yellow-132","yellow","638","sampling-task","54","3342691","0.0-5.0-0.44-0.44","99","v0ly3yvb","low"
"3","6","fixed","20","114","120","yellow-132","yellow","558","sampling-task","55","3344227","0.0-5.0-0.45-0.45","99","v0ly3yvb","low"
"3","7","fixed","20","114","120","yellow-132","yellow","502","sampling-task","56","3345587","0.0-5.0-0.46-0.46","99","v0ly3yvb","low"
"3","8","fixed","20","114","79","yellow-132","yellow","598","sampling-task","57","3347107","0.0-5.0-0.47-0.47","99","v0ly3yvb","low"
"3","9","fixed","20","114","118","yellow-132","yellow","558","sampling-task","58","3348579","0.0-5.0-0.48-0.48","99","v0ly3yvb","low"
"3","10","fixed","20","114","94","yellow-132","yellow","494","sampling-task","59","3349955","0.0-5.0-0.49-0.49","99","v0ly3yvb","low"
"3","11","fixed","20","114","125","yellow-132","yellow","470","sampling-task","60","3351307","0.0-5.0-0.50-0.50","99","v0ly3yvb","low"
"3","12","fixed","20","114","122","yellow-132","yellow","477","sampling-task","61","3352731","0.0-5.0-0.51-0.51","99","v0ly3yvb","low"
"3","13","fixed","20","114","87","yellow-132","yellow","470","sampling-task","62","3354411","0.0-5.0-0.52-0.52","99","v0ly3yvb","low"
"3","14","fixed","20","114","120","yellow-132","yellow","494","sampling-task","63","3355915","0.0-5.0-0.53-0.53","99","v0ly3yvb","low"
"3","15","fixed","20","114","88","yellow-132","yellow","862","sampling-task","64","3357939","0.0-5.0-0.54-0.54","99","v0ly3yvb","low"
"3","16","fixed","20","114","95","yellow-132","yellow","470","sampling-task","65","3359307","0.0-5.0-0.55-0.55","99","v0ly3yvb","low"
"3","17","fixed","20","114","125","yellow-132","yellow","526","sampling-task","66","3360971","0.0-5.0-0.56-0.56","99","v0ly3yvb","low"
"3","18","fixed","20","114","119","yellow-132","yellow","510","sampling-task","67","3362995","0.0-5.0-0.57-0.57","99","v0ly3yvb","low"
"3","19","fixed","20","114","105","yellow-132","yellow","558","sampling-task","68","3364523","0.0-5.0-0.58-0.58","99","v0ly3yvb","low"
"3","20","fixed","20","114","101","yellow-132","yellow","550","sampling-task","69","3365986","0.0-5.0-0.59-0.59","99","v0ly3yvb","low"
"4","1","free","220","19","-5","orange-85","orange","2884","sampling-task","72","3395066","0.0-5.0-0.60-0.60","99","v0ly3yvb","low"
"4","2","free","220","19","2","orange-85","orange","766","sampling-task","73","3396714","0.0-5.0-0.61-0.61","99","v0ly3yvb","low"
"4","3","free","220","19","16","orange-85","orange","445","sampling-task","74","3398042","0.0-5.0-0.62-0.62","99","v0ly3yvb","low"
"4","4","free","220","19","-4","orange-85","orange","479","sampling-task","75","3399418","0.0-5.0-0.63-0.63","99","v0ly3yvb","low"
"4","5","free","220","19","29","orange-85","orange","477","sampling-task","76","3400794","0.0-5.0-0.64-0.64","99","v0ly3yvb","low"
"4","6","free","220","19","14","orange-85","orange","405","sampling-task","77","3402098","0.0-5.0-0.65-0.65","99","v0ly3yvb","low"
"4","7","free","220","19","39","orange-85","orange","335","sampling-task","78","3403298","0.0-5.0-0.66-0.66","99","v0ly3yvb","low"
"4","8","free","220","19","13","orange-85","orange","421","sampling-task","79","3404642","0.0-5.0-0.67-0.67","99","v0ly3yvb","low"
"4","9","free","220","19","29","orange-85","orange","319","sampling-task","80","3405898","0.0-5.0-0.68-0.68","99","v0ly3yvb","low"
"4","10","free","220","19","19","orange-85","orange","382","sampling-task","81","3407226","0.0-5.0-0.69-0.69","99","v0ly3yvb","low"
"4","11","free","220","19","-4","orange-85","orange","414","sampling-task","82","3408578","0.0-5.0-0.70-0.70","99","v0ly3yvb","low"
"4","12","free","220","19","58","orange-85","orange","422","sampling-task","83","3409922","0.0-5.0-0.71-0.71","99","v0ly3yvb","low"
"4","13","free","220","19","14","orange-85","orange","367","sampling-task","84","3412770","0.0-5.0-0.72-0.72","99","v0ly3yvb","low"
"4","14","free","220","19","10","orange-85","orange","390","sampling-task","85","3414066","0.0-5.0-0.73-0.73","99","v0ly3yvb","low"
"4","15","free","220","19","22","orange-85","orange","501","sampling-task","86","3415490","0.0-5.0-0.74-0.74","99","v0ly3yvb","low"
"4","16","free","220","19","21","orange-85","orange","421","sampling-task","87","3416810","0.0-5.0-0.75-0.75","99","v0ly3yvb","low"
"4","17","free","220","19","18","orange-85","orange","407","sampling-task","88","3418138","0.0-5.0-0.76-0.76","99","v0ly3yvb","low"
"4","18","free","220","19","-10","orange-85","orange","454","sampling-task","89","3421042","0.0-5.0-0.77-0.77","99","v0ly3yvb","low"
"4","19","free","220","19","-3","orange-85","orange","502","sampling-task","90","3422858","0.0-5.0-0.78-0.78","99","v0ly3yvb","low"
"4","20","free","220","19","35","orange-85","orange","518","sampling-task","91","3424386","0.0-5.0-0.79-0.79","99","v0ly3yvb","low"
"4","21","free","220","19","-2","orange-85","orange","414","sampling-task","92","3425729","0.0-5.0-0.80-0.80","99","v0ly3yvb","low"
"4","22","free","220","19","28","orange-85","orange","438","sampling-task","93","3427057","0.0-5.0-0.81-0.81","99","v0ly3yvb","low"
"4","23","free","220","19","51","orange-85","orange","382","sampling-task","94","3428352","0.0-5.0-0.82-0.82","99","v0ly3yvb","low"
"4","24","free","220","19","7","orange-85","orange","430","sampling-task","95","3429729","0.0-5.0-0.83-0.83","99","v0ly3yvb","low"
"4","25","free","220","19","24","orange-85","orange","422","sampling-task","96","3431689","0.0-5.0-0.84-0.84","99","v0ly3yvb","low"
"4","26","free","220","19","30","orange-85","orange","405","sampling-task","97","3433345","0.0-5.0-0.85-0.85","99","v0ly3yvb","low"
"4","27","free","220","19","-3","orange-85","orange","382","sampling-task","98","3434601","0.0-5.0-0.86-0.86","99","v0ly3yvb","low"
"4","28","free","220","19","-15","orange-85","orange","438","sampling-task","99","3435937","0.0-5.0-0.87-0.87","99","v0ly3yvb","low"
"4","29","free","220","19","28","orange-85","orange","390","sampling-task","100","3437521","0.0-5.0-0.88-0.88","99","v0ly3yvb","low"
"4","30","free","220","19","11","orange-85","orange","390","sampling-task","101","3438953","0.0-5.0-0.89-0.89","99","v0ly3yvb","low"
"4","31","free","220","19","49","orange-85","orange","446","sampling-task","102","3440337","0.0-5.0-0.90-0.90","99","v0ly3yvb","low"
"4","32","free","220","19","21","orange-85","orange","430","sampling-task","103","3441777","0.0-5.0-0.91-0.91","99","v0ly3yvb","low"
"4","33","free","220","19","22","orange-85","orange","406","sampling-task","104","3443084","0.0-5.0-0.92-0.92","99","v0ly3yvb","low"
"4","34","free","220","19","14","orange-85","orange","385","sampling-task","105","3444433","0.0-5.0-0.93-0.93","99","v0ly3yvb","low"
"4","35","free","220","19","-3","orange-85","orange","478","sampling-task","106","3445857","0.0-5.0-0.94-0.94","99","v0ly3yvb","low"
"4","36","free","220","19","48","orange-85","orange","1462","sampling-task","107","3448841","0.0-5.0-0.95-0.95","99","v0ly3yvb","low"
"5","1","fixed","5","50","9","green-54","green","2268","sampling-task","110","3470449","0.0-5.0-0.96-0.96","99","v0ly3yvb","low"
"5","2","fixed","5","50","48","green-54","green","518","sampling-task","111","3472009","0.0-5.0-0.97-0.97","99","v0ly3yvb","low"
"5","3","fixed","5","50","45","green-54","green","694","sampling-task","112","3473649","0.0-5.0-0.98-0.98","99","v0ly3yvb","low"
"5","4","fixed","5","50","53","green-54","green","502","sampling-task","113","3475049","0.0-5.0-0.99-0.99","99","v0ly3yvb","low"
"5","5","fixed","5","50","22","green-54","green","558","sampling-task","114","3476601","0.0-5.0-0.100-0.100","99","v0ly3yvb","low"
"6","1","free","220","98","73","red-153","red","1773","sampling-task","117","3504089","0.0-5.0-0.101-0.101","99","v0ly3yvb","low"
"6","2","free","220","98","42","red-153","red","502","sampling-task","118","3505465","0.0-5.0-0.102-0.102","99","v0ly3yvb","low"
"6","3","free","220","98","126","red-153","red","422","sampling-task","119","3506769","0.0-5.0-0.103-0.103","99","v0ly3yvb","low"
"6","4","free","220","98","97","red-153","red","397","sampling-task","120","3508033","0.0-5.0-0.104-0.104","99","v0ly3yvb","low"
"6","5","free","220","98","126","red-153","red","366","sampling-task","121","3509265","0.0-5.0-0.105-0.105","99","v0ly3yvb","low"
"6","6","free","220","98","105","red-153","red","342","sampling-task","122","3510473","0.0-5.0-0.106-0.106","99","v0ly3yvb","low"
"6","7","free","220","98","71","red-153","red","341","sampling-task","123","3511705","0.0-5.0-0.107-0.107","99","v0ly3yvb","low"
"6","8","free","220","98","85","red-153","red","422","sampling-task","124","3512985","0.0-5.0-0.108-0.108","99","v0ly3yvb","low"
"6","9","free","220","98","101","red-153","red","406","sampling-task","125","3514281","0.0-5.0-0.109-0.109","99","v0ly3yvb","low"
"6","10","free","220","98","136","red-153","red","469","sampling-task","126","3515633","0.0-5.0-0.110-0.110","99","v0ly3yvb","low"
"6","11","free","220","98","99","red-153","red","454","sampling-task","127","3517025","0.0-5.0-0.111-0.111","99","v0ly3yvb","low"
"6","12","free","220","98","108","red-153","red","454","sampling-task","128","3518345","0.0-5.0-0.112-0.112","99","v0ly3yvb","low"
"6","13","free","220","98","140","red-153","red","373","sampling-task","129","3519617","0.0-5.0-0.113-0.113","99","v0ly3yvb","low"
"6","14","free","220","98","108","red-153","red","357","sampling-task","130","3520841","0.0-5.0-0.114-0.114","99","v0ly3yvb","low"
"6","15","free","220","98","95","red-153","red","430","sampling-task","131","3522193","0.0-5.0-0.115-0.115","99","v0ly3yvb","low"
"6","16","free","220","98","132","red-153","red","365","sampling-task","132","3523561","0.0-5.0-0.116-0.116","99","v0ly3yvb","low"
"6","17","free","220","98","103","red-153","red","374","sampling-task","133","3524889","0.0-5.0-0.117-0.117","99","v0ly3yvb","low"
"6","18","free","220","98","103","red-153","red","389","sampling-task","134","3526281","0.0-5.0-0.118-0.118","99","v0ly3yvb","low"
"6","19","free","220","98","82","red-153","red","406","sampling-task","135","3527577","0.0-5.0-0.119-0.119","99","v0ly3yvb","low"
"6","20","free","220","98","114","red-153","red","422","sampling-task","136","3528937","0.0-5.0-0.120-0.120","99","v0ly3yvb","low"
"6","21","free","220","98","78","red-153","red","485","sampling-task","137","3530353","0.0-5.0-0.121-0.121","99","v0ly3yvb","low"
"6","22","free","220","98","110","red-153","red","390","sampling-task","138","3531680","0.0-5.0-0.122-0.122","99","v0ly3yvb","low"
"6","23","free","220","98","76","red-153","red","446","sampling-task","139","3533489","0.0-5.0-0.123-0.123","99","v0ly3yvb","low"
"6","24","free","220","98","99","red-153","red","398","sampling-task","140","3535601","0.0-5.0-0.124-0.124","99","v0ly3yvb","low"
