"trial","choice","action","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"0","safe","observe","49","red-98","blue-133","risky","safe","6803","bandit-task","7","221332","0.0-6.0","20781","high"
"1","safe","claim","51","red-54","blue-111","risky","safe","5560","bandit-task","8","231438","0.0-7.0","20781","high"
"2","risky","observe","19","red-184","blue-21","risky","safe","846","bandit-task","9","236979","0.0-8.0","20781","high"
"3","risky","observe","32","red-36","blue-43","risky","safe","1498","bandit-task","10","243120","0.0-9.0","20781","high"
"4","safe","claim","50","red-9","blue-164","risky","safe","1223","bandit-task","11","248786","0.0-10.0","20781","high"
"5","risky","claim","18","red-6","blue-121","risky","safe","1801","bandit-task","12","254852","0.0-11.0","20781","high"
"6","risky","claim","73","red-127","blue-62","risky","safe","745","bandit-task","13","259767","0.0-12.0","20781","high"
"7","safe","claim","50","red-167","blue-161","risky","safe","700","bandit-task","14","264651","0.0-13.0","20781","high"
"8","safe","claim","52","red-99","blue-155","risky","safe","2760","bandit-task","15","271603","0.0-14.0","20781","high"
"9","safe","claim","50","red-163","blue-50","risky","safe","1069","bandit-task","16","276930","0.0-15.0","20781","high"
"10","risky","claim","28","red-136","blue-42","risky","safe","565","bandit-task","17","282479","0.0-16.0","20781","high"
"11","safe","claim","51","red-90","blue-198","risky","safe","1054","bandit-task","18","287576","0.0-17.0","20781","high"
"12","risky","claim","27","red-170","blue-29","risky","safe","596","bandit-task","19","292712","0.0-18.0","20781","high"
"13","safe","claim","50","red-165","blue-94","risky","safe","2791","bandit-task","20","299153","0.0-19.0","20781","high"
"14","safe","claim","49","red-187","blue-69","risky","safe","553","bandit-task","21","303972","0.0-20.0","20781","high"
"15","safe","claim","50","red-103","blue-73","risky","safe","1046","bandit-task","22","308205","0.0-21.0","20781","high"
"16","safe","claim","49","red-46","blue-28","risky","safe","987","bandit-task","23","312576","0.0-22.0","20781","high"
"17","safe","claim","50","red-174","blue-125","risky","safe","670","bandit-task","24","316553","0.0-23.0","20781","high"
"18","risky","claim","55","red-157","blue-152","risky","safe","491","bandit-task","25","320396","0.0-24.0","20781","high"
"19","safe","claim","51","red-66","blue-7","risky","safe","433","bandit-task","26","323923","0.0-25.0","20781","high"
"20","risky","claim","23","red-172","blue-14","risky","safe","1754","bandit-task","27","329224","0.0-26.0","20781","high"
"21","safe","claim","52","red-193","blue-24","risky","safe","611","bandit-task","28","332842","0.0-27.0","20781","high"
"22","safe","claim","49","red-108","blue-137","risky","safe","418","bandit-task","29","336430","0.0-28.0","20781","high"
"23","safe","claim","51","red-153","blue-145","risky","safe","793","bandit-task","30","340363","0.0-29.0","20781","high"
"24","risky","claim","77","red-162","blue-53","risky","safe","477","bandit-task","31","344206","0.0-30.0","20781","high"
"25","safe","claim","50","red-45","blue-194","risky","safe","823","bandit-task","32","348215","0.0-31.0","20781","high"
"26","risky","claim","55","red-169","blue-27","risky","safe","597","bandit-task","33","351907","0.0-32.0","20781","high"
"27","safe","claim","50","red-72","blue-147","risky","safe","478","bandit-task","34","355840","0.0-33.0","20781","high"
"28","safe","claim","50","red-55","blue-129","risky","safe","583","bandit-task","35","359685","0.0-34.0","20781","high"
"29","risky","claim","68","red-85","blue-86","risky","safe","687","bandit-task","36","363797","0.0-35.0","20781","high"
"30","safe","claim","48","red-16","blue-93","risky","safe","658","bandit-task","37","367746","0.0-36.0","20781","high"
"31","risky","claim","72","red-173","blue-139","risky","safe","447","bandit-task","38","371290","0.0-37.0","20781","high"
"32","risky","claim","34","red-203","blue-71","risky","safe","432","bandit-task","39","375027","0.0-38.0","20781","high"
"33","risky","claim","36","red-23","blue-204","risky","safe","479","bandit-task","40","378615","0.0-39.0","20781","high"
"34","safe","claim","47","red-79","blue-15","risky","safe","1182","bandit-task","41","382833","0.0-40.0","20781","high"
"35","risky","claim","53","red-171","blue-52","risky","safe","599","bandit-task","42","386421","0.0-41.0","20781","high"
"36","safe","claim","52","red-82","blue-110","risky","safe","569","bandit-task","43","389875","0.0-42.0","20781","high"
"37","risky","claim","17","red-106","blue-60","risky","safe","507","bandit-task","44","393418","0.0-43.0","20781","high"
"38","safe","claim","50","red-160","blue-17","risky","safe","448","bandit-task","45","397171","0.0-44.0","20781","high"
"39","safe","claim","49","red-1","blue-123","risky","safe","358","bandit-task","46","400459","0.0-45.0","20781","high"
"40","safe","claim","50","red-25","blue-77","risky","safe","403","bandit-task","47","403747","0.0-46.0","20781","high"
"41","risky","claim","69","red-134","blue-195","risky","safe","488","bandit-task","48","406854","0.0-47.0","20781","high"
"42","safe","claim","49","red-3","blue-151","risky","safe","703","bandit-task","49","410487","0.0-48.0","20781","high"
"43","safe","claim","51","red-131","blue-88","risky","safe","597","bandit-task","50","413956","0.0-49.0","20781","high"
"44","safe","claim","49","red-57","blue-200","risky","safe","718","bandit-task","51","417693","0.0-50.0","20781","high"
"45","safe","claim","50","red-47","blue-4","risky","safe","659","bandit-task","52","421477","0.0-51.0","20781","high"
"46","safe","claim","51","red-35","blue-188","risky","safe","673","bandit-task","53","425020","0.0-52.0","20781","high"
"47","safe","claim","49","red-176","blue-96","risky","safe","808","bandit-task","54","428848","0.0-53.0","20781","high"
"48","safe","claim","50","red-180","blue-112","risky","safe","417","bandit-task","55","432376","0.0-54.0","20781","high"
"49","risky","claim","36","red-37","blue-114","risky","safe","2338","bandit-task","56","437976","0.0-55.0","20781","high"
"50","risky","claim","47","red-58","blue-122","risky","safe","687","bandit-task","57","441805","0.0-56.0","20781","high"
"51","safe","claim","50","red-178","blue-186","risky","safe","535","bandit-task","58","445257","0.0-57.0","20781","high"
"52","risky","claim","67","red-113","blue-177","risky","safe","461","bandit-task","59","448876","0.0-58.0","20781","high"
"53","safe","claim","49","red-10","blue-91","risky","safe","566","bandit-task","60","452478","0.0-59.0","20781","high"
"54","risky","claim","30","red-120","blue-49","risky","safe","582","bandit-task","61","456156","0.0-60.0","20781","high"
"55","safe","claim","50","red-156","blue-185","risky","safe","462","bandit-task","62","459684","0.0-61.0","20781","high"
"56","safe","claim","50","red-92","blue-197","risky","safe","718","bandit-task","63","463663","0.0-62.0","20781","high"
"57","safe","claim","51","red-78","blue-56","risky","safe","672","bandit-task","64","467161","0.0-63.0","20781","high"
"58","risky","claim","36","red-95","blue-118","risky","safe","808","bandit-task","65","471124","0.0-64.0","20781","high"
"59","safe","claim","50","red-199","blue-126","risky","safe","492","bandit-task","66","474667","0.0-65.0","20781","high"
"60","safe","claim","48","red-196","blue-149","risky","safe","506","bandit-task","67","478195","0.0-66.0","20781","high"
"61","safe","claim","51","red-67","blue-63","risky","safe","476","bandit-task","68","481529","0.0-67.0","20781","high"
"62","risky","claim","38","red-80","blue-116","risky","safe","582","bandit-task","69","485507","0.0-68.0","20781","high"
"63","safe","claim","51","red-102","blue-87","risky","safe","431","bandit-task","70","488689","0.0-69.0","20781","high"
"64","risky","claim","36","red-89","blue-154","risky","safe","688","bandit-task","71","492592","0.0-70.0","20781","high"
"65","risky","claim","69","red-12","blue-107","risky","safe","795","bandit-task","72","495791","0.0-71.0","20781","high"
"66","safe","claim","49","red-44","blue-148","risky","safe","57","bandit-task","73","498373","0.0-72.0","20781","high"
"67","risky","claim","29","red-2","blue-13","risky","safe","42","bandit-task","74","501360","0.0-73.0","20781","high"
"68","safe","claim","50","red-130","blue-117","risky","safe","658","bandit-task","75","504197","0.0-74.0","20781","high"
"69","safe","claim","48","red-101","blue-59","risky","safe","1095","bandit-task","76","507353","0.0-75.0","20781","high"
"70","safe","claim","49","red-100","blue-20","risky","safe","55","bandit-task","77","509693","0.0-76.0","20781","high"
"71","safe","claim","48","red-189","blue-183","risky","safe","146","bandit-task","78","511960","0.0-77.0","20781","high"
"72","risky","claim","42","red-142","blue-26","risky","safe","1273","bandit-task","79","516478","0.0-78.0","20781","high"
"73","safe","claim","51","red-159","blue-84","risky","safe","118","bandit-task","80","518850","0.0-79.0","20781","high"
"74","risky","claim","62","red-201","blue-105","risky","safe","1078","bandit-task","81","522335","0.0-80.0","20781","high"
"75","risky","claim","43","red-179","blue-143","risky","safe","730","bandit-task","82","525636","0.0-81.0","20781","high"
"76","risky","claim","33","red-115","blue-81","risky","safe","59","bandit-task","83","527813","0.0-82.0","20781","high"
"77","risky","claim","70","red-76","blue-191","risky","safe","87","bandit-task","84","530125","0.0-83.0","20781","high"
"78","risky","claim","23","red-141","blue-18","risky","safe","1857","bandit-task","85","534659","0.0-84.0","20781","high"
"79","safe","claim","50","red-146","blue-31","risky","safe","506","bandit-task","86","538563","0.0-85.0","20781","high"
"80","safe","claim","52","red-166","blue-5","risky","safe","117","bandit-task","87","541325","0.0-86.0","20781","high"
"81","safe","claim","50","red-150","blue-182","risky","safe","44","bandit-task","88","544072","0.0-87.0","20781","high"
"82","safe","claim","48","red-39","blue-138","risky","safe","46","bandit-task","89","546624","0.0-88.0","20781","high"
"83","safe","claim","49","red-119","blue-11","risky","safe","59","bandit-task","90","548862","0.0-89.0","20781","high"
"84","safe","claim","50","red-68","blue-190","risky","safe","42","bandit-task","91","551293","0.0-90.0","20781","high"
"85","risky","claim","38","red-33","blue-30","risky","safe","57","bandit-task","92","553606","0.0-91.0","20781","high"
"86","risky","claim","24","red-144","blue-74","risky","safe","102","bandit-task","93","555813","0.0-92.0","20781","high"
"87","risky","claim","39","red-51","blue-175","risky","safe","147","bandit-task","94","558215","0.0-93.0","20781","high"
"88","risky","claim","72","red-38","blue-202","risky","safe","72","bandit-task","95","560916","0.0-94.0","20781","high"
"89","risky","claim","48","red-70","blue-61","risky","safe","57","bandit-task","96","563799","0.0-95.0","20781","high"
"90","safe","claim","51","red-19","blue-140","risky","safe","58","bandit-task","97","566937","0.0-96.0","20781","high"
"91","risky","claim","69","red-22","blue-34","risky","safe","41","bandit-task","98","569519","0.0-97.0","20781","high"
"92","safe","claim","49","red-41","blue-32","risky","safe","73","bandit-task","99","572611","0.0-98.0","20781","high"
"93","safe","claim","49","red-104","blue-132","risky","safe","44","bandit-task","100","574939","0.0-99.0","20781","high"
"94","safe","claim","51","red-128","blue-181","risky","safe","432","bandit-task","101","577657","0.0-100.0","20781","high"
"95","safe","claim","49","red-83","blue-65","risky","safe","86","bandit-task","102","579953","0.0-101.0","20781","high"
"96","risky","claim","27","red-64","blue-109","risky","safe","134","bandit-task","103","582265","0.0-102.0","20781","high"
"97","risky","claim","63","red-124","blue-97","risky","safe","313","bandit-task","104","585673","0.0-103.0","20781","high"
"98","safe","claim","51","red-192","blue-8","risky","safe","41","bandit-task","105","588285","0.0-104.0","20781","high"
"99","risky","claim","18","red-168","blue-135","risky","safe","59","bandit-task","106","590838","0.0-105.0","20781","high"
