trial,choice,feedback,left_stimulus,right_stimulus,left_option,right_option,rt,trial_type,trial_index,time_elapsed,internal_node_id,participant,condition
1,risky,42,red-50,blue-174,safe,risky,1744,bandit-task,13,567692,0.0-3.0-0.0,119,low
2,safe,52,red-50,blue-174,safe,risky,742,bandit-task,14,570923,0.0-3.0-0.1,119,low
3,safe,49,red-50,blue-174,safe,risky,1015,bandit-task,15,574467,0.0-3.0-0.2,119,low
4,risky,76,red-50,blue-174,safe,risky,567,bandit-task,16,577419,0.0-3.0-0.3,119,low
5,risky,76,red-50,blue-174,safe,risky,575,bandit-task,17,580315,0.0-3.0-0.4,119,low
6,risky,31,red-50,blue-174,safe,risky,527,bandit-task,18,583163,0.0-3.0-0.5,119,low
7,risky,23,red-50,blue-174,safe,risky,975,bandit-task,19,587084,0.0-3.0-0.6,119,low
8,safe,50,red-50,blue-174,safe,risky,750,bandit-task,20,591059,0.0-3.0-0.7,119,low
9,safe,50,red-50,blue-174,safe,risky,462,bandit-task,21,593843,0.0-3.0-0.8,119,low
10,risky,68,red-50,blue-174,safe,risky,502,bandit-task,22,596675,0.0-3.0-0.9,119,low
11,risky,12,red-50,blue-174,safe,risky,351,bandit-task,23,599355,0.0-3.0-0.10,119,low
12,safe,49,red-50,blue-174,safe,risky,438,bandit-task,24,602155,0.0-3.0-0.11,119,low
13,risky,66,red-50,blue-174,safe,risky,478,bandit-task,25,604979,0.0-3.0-0.12,119,low
14,safe,49,red-50,blue-174,safe,risky,374,bandit-task,26,607531,0.0-3.0-0.13,119,low
15,risky,85,red-50,blue-174,safe,risky,814,bandit-task,27,612883,0.0-3.0-0.14,119,low
16,safe,50,red-50,blue-174,safe,risky,822,bandit-task,28,616019,0.0-3.0-0.15,119,low
17,risky,17,red-50,blue-174,safe,risky,366,bandit-task,29,618699,0.0-3.0-0.16,119,low
18,safe,50,red-50,blue-174,safe,risky,558,bandit-task,30,621587,0.0-3.0-0.17,119,low
19,risky,70,red-50,blue-174,safe,risky,357,bandit-task,31,625395,0.0-3.0-0.18,119,low
20,safe,50,red-50,blue-174,safe,risky,629,bandit-task,32,629517,0.0-3.0-0.19,119,low
21,risky,74,red-50,blue-174,safe,risky,718,bandit-task,33,633029,0.0-3.0-0.20,119,low
22,risky,62,red-50,blue-174,safe,risky,415,bandit-task,34,635765,0.0-3.0-0.21,119,low
23,risky,75,red-50,blue-174,safe,risky,350,bandit-task,35,638444,0.0-3.0-0.22,119,low
24,safe,50,red-50,blue-174,safe,risky,343,bandit-task,36,641108,0.0-3.0-0.23,119,low
25,risky,84,red-50,blue-174,safe,risky,327,bandit-task,37,643596,0.0-3.0-0.24,119,low
26,risky,74,red-50,blue-174,safe,risky,751,bandit-task,38,646893,0.0-3.0-0.25,119,low
27,risky,22,red-50,blue-174,safe,risky,318,bandit-task,39,650581,0.0-3.0-0.26,119,low
28,safe,51,red-50,blue-174,safe,risky,342,bandit-task,40,653236,0.0-3.0-0.27,119,low
29,risky,70,red-50,blue-174,safe,risky,390,bandit-task,41,656324,0.0-3.0-0.28,119,low
30,risky,19,red-50,blue-174,safe,risky,783,bandit-task,42,659500,0.0-3.0-0.29,119,low
31,risky,39,red-50,blue-174,safe,risky,431,bandit-task,43,662276,0.0-3.0-0.30,119,low
32,safe,48,red-50,blue-174,safe,risky,359,bandit-task,44,665085,0.0-3.0-0.31,119,low
33,risky,75,red-50,blue-174,safe,risky,526,bandit-task,45,668260,0.0-3.0-0.32,119,low
34,safe,50,red-50,blue-174,safe,risky,327,bandit-task,46,671181,0.0-3.0-0.33,119,low
35,risky,15,red-50,blue-174,safe,risky,374,bandit-task,47,673925,0.0-3.0-0.34,119,low
