"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","safe","50","red-47","blue-176","risky","safe","2724","bandit-task","10","294975","0.0-3.0-0.0","40","high"
"2","safe","51","red-156","blue-66","risky","safe","1558","bandit-task","11","299231","0.0-3.0-0.1","40","high"
"3","risky","68","red-128","blue-204","risky","safe","1662","bandit-task","12","303935","0.0-3.0-0.2","40","high"
"4","risky","23","red-201","blue-73","risky","safe","1894","bandit-task","13","308247","0.0-3.0-0.3","40","high"
"5","safe","50","red-69","blue-110","risky","safe","1414","bandit-task","14","312015","0.0-3.0-0.4","40","high"
"6","safe","50","red-115","blue-76","risky","safe","1934","bandit-task","15","316463","0.0-3.0-0.5","40","high"
"7","safe","50","red-143","blue-126","risky","safe","1271","bandit-task","16","320064","0.0-3.0-0.6","40","high"
"8","safe","48","red-179","blue-84","risky","safe","1342","bandit-task","17","323880","0.0-3.0-0.7","40","high"
"9","risky","48","red-18","blue-8","risky","safe","1238","bandit-task","18","327648","0.0-3.0-0.8","40","high"
"10","risky","62","red-216","blue-75","risky","safe","1790","bandit-task","19","332400","0.0-3.0-0.9","40","high"
"11","risky","72","red-174","blue-12","risky","safe","2118","bandit-task","20","337120","0.0-3.0-0.10","40","high"
"12","safe","50","red-170","blue-4","risky","safe","1622","bandit-task","21","341104","0.0-3.0-0.11","40","high"
"13","safe","50","red-187","blue-107","risky","safe","2231","bandit-task","22","345704","0.0-3.0-0.12","40","high"
"14","safe","51","red-133","blue-53","risky","safe","2014","bandit-task","23","350944","0.0-3.0-0.13","40","high"
"15","risky","18","red-68","blue-48","risky","safe","1654","bandit-task","24","355312","0.0-3.0-0.14","40","high"
"16","safe","50","red-79","blue-127","risky","safe","1102","bandit-task","25","358800","0.0-3.0-0.15","40","high"
"17","safe","50","red-146","blue-41","risky","safe","958","bandit-task","26","362096","0.0-3.0-0.16","40","high"
"18","risky","64","red-2","blue-219","risky","safe","750","bandit-task","27","365472","0.0-3.0-0.17","40","high"
"19","safe","49","red-218","blue-167","risky","safe","1446","bandit-task","28","369856","0.0-3.0-0.18","40","high"
"20","safe","49","red-42","blue-63","risky","safe","1853","bandit-task","29","374240","0.0-3.0-0.19","40","high"
"21","risky","64","red-215","blue-180","risky","safe","1574","bandit-task","30","378275","0.0-3.0-0.20","40","high"
"22","safe","51","red-72","blue-35","risky","safe","1246","bandit-task","31","382411","0.0-3.0-0.21","40","high"
"23","risky","67","red-181","blue-96","risky","safe","1454","bandit-task","32","386347","0.0-3.0-0.22","40","high"
"24","risky","73","red-172","blue-158","risky","safe","999","bandit-task","33","389715","0.0-3.0-0.23","40","high"
"25","safe","49","red-122","blue-177","risky","safe","831","bandit-task","34","395259","0.0-3.0-0.24","40","high"
"26","risky","47","red-203","blue-36","risky","safe","1478","bandit-task","35","399283","0.0-3.0-0.25","40","high"
"27","safe","50","red-189","blue-7","risky","safe","1213","bandit-task","36","402947","0.0-3.0-0.26","40","high"
"28","risky","79","red-147","blue-93","risky","safe","742","bandit-task","37","406115","0.0-3.0-0.27","40","high"
"29","safe","49","red-212","blue-71","risky","safe","1230","bandit-task","38","409700","0.0-3.0-0.28","40","high"
"30","risky","56","red-44","blue-91","risky","safe","710","bandit-task","39","413003","0.0-3.0-0.29","40","high"
"31","risky","90","red-20","blue-100","risky","safe","870","bandit-task","40","416339","0.0-3.0-0.30","40","high"
