"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","distribution","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","risky","40","blue-70","red-133","risky","safe","2783","2","bandit-task","3","65669","0.0-3.0-0.0","56","high"
"2","safe","49","blue-40","red-18","risky","safe","1318","2","bandit-task","4","69925","0.0-3.0-0.1","56","high"
"3","risky","55","blue-220","red-82","risky","safe","2422","2","bandit-task","5","74885","0.0-3.0-0.2","56","high"
"4","safe","50","blue-124","red-55","risky","safe","999","2","bandit-task","6","78317","0.0-3.0-0.3","56","high"
"5","risky","43","blue-41","red-80","risky","safe","1159","2","bandit-task","7","82092","0.0-3.0-0.4","56","high"
"6","safe","49","blue-26","red-57","risky","safe","831","2","bandit-task","8","85348","0.0-3.0-0.5","56","high"
"7","risky","48","blue-132","red-68","risky","safe","1174","2","bandit-task","9","88996","0.0-3.0-0.6","56","high"
"8","safe","50","blue-98","red-167","risky","safe","773","2","bandit-task","10","92236","0.0-3.0-0.7","56","high"
"9","safe","50","blue-106","red-217","risky","safe","1966","2","bandit-task","11","96868","0.0-3.0-0.8","56","high"
"10","risky","56","blue-75","red-183","risky","safe","846","2","bandit-task","12","100299","0.0-3.0-0.9","56","high"
"11","risky","23","blue-8","red-135","risky","safe","695","2","bandit-task","13","103619","0.0-3.0-0.10","56","high"
"12","safe","50","blue-27","red-102","risky","safe","631","2","bandit-task","14","106675","0.0-3.0-0.11","56","high"
"13","risky","57","blue-179","red-152","risky","safe","766","2","bandit-task","15","110563","0.0-3.0-0.12","56","high"
"14","safe","50","blue-147","red-77","risky","safe","678","2","bandit-task","16","113419","0.0-3.0-0.13","56","high"
"15","risky","44","blue-172","red-195","risky","safe","694","2","bandit-task","17","116621","0.0-3.0-0.14","56","high"
"16","safe","50","blue-78","red-103","risky","safe","550","2","bandit-task","18","119677","0.0-3.0-0.15","56","high"
"17","risky","51","blue-69","red-52","risky","safe","566","2","bandit-task","19","123301","0.0-3.0-0.16","56","high"
"18","safe","52","blue-174","red-65","risky","safe","542","2","bandit-task","20","126581","0.0-3.0-0.17","56","high"
"19","risky","41","blue-184","red-72","risky","safe","646","2","bandit-task","21","129557","0.0-3.0-0.18","56","high"
"20","safe","50","blue-49","red-16","risky","safe","550","2","bandit-task","22","132493","0.0-3.0-0.19","56","high"
"21","risky","85","blue-46","red-31","risky","safe","558","2","bandit-task","23","135500","0.0-3.0-0.20","56","high"
"22","safe","51","blue-45","red-178","risky","safe","487","2","bandit-task","24","139804","0.0-3.0-0.21","56","high"
"23","risky","27","blue-20","red-198","risky","safe","942","2","bandit-task","25","143412","0.0-3.0-0.22","56","high"
"24","safe","50","blue-218","red-9","risky","safe","598","2","bandit-task","26","146324","0.0-3.0-0.23","56","high"
"25","risky","46","blue-126","red-120","risky","safe","462","2","bandit-task","27","149163","0.0-3.0-0.24","56","high"
"26","safe","49","blue-140","red-14","risky","safe","679","2","bandit-task","28","152299","0.0-3.0-0.25","56","high"
"27","risky","33","blue-216","red-125","risky","safe","591","2","bandit-task","29","155467","0.0-3.0-0.26","56","high"
"28","safe","51","blue-142","red-28","risky","safe","479","2","bandit-task","30","158467","0.0-3.0-0.27","56","high"
"29","risky","59","blue-141","red-61","risky","safe","479","2","bandit-task","31","161404","0.0-3.0-0.28","56","high"
"30","safe","49","blue-97","red-185","risky","safe","615","2","bandit-task","32","164459","0.0-3.0-0.29","56","high"
"31","risky","58","blue-30","red-79","risky","safe","446","2","bandit-task","33","167443","0.0-3.0-0.30","56","high"
"32","safe","51","blue-122","red-186","risky","safe","567","2","bandit-task","34","171019","0.0-3.0-0.31","56","high"
"33","risky","62","blue-117","red-171","risky","safe","543","2","bandit-task","35","173979","0.0-3.0-0.32","56","high"
"34","safe","49","blue-93","red-176","risky","safe","487","2","bandit-task","36","176877","0.0-3.0-0.33","56","high"
"35","risky","18","blue-200","red-134","risky","safe","486","2","bandit-task","37","179805","0.0-3.0-0.34","56","high"
"36","safe","49","blue-63","red-66","risky","safe","598","2","bandit-task","38","182804","0.0-3.0-0.35","56","high"
"37","risky","63","blue-34","red-203","risky","safe","567","2","bandit-task","39","185901","0.0-3.0-0.36","56","high"
"38","safe","51","blue-131","red-191","risky","safe","463","2","bandit-task","40","188940","0.0-3.0-0.37","56","high"
"39","risky","57","blue-21","red-111","risky","safe","615","2","bandit-task","41","192428","0.0-3.0-0.38","56","high"
"40","safe","49","blue-199","red-138","risky","safe","614","2","bandit-task","42","195508","0.0-3.0-0.39","56","high"
"41","risky","27","blue-15","red-105","risky","safe","646","2","bandit-task","43","198580","0.0-3.0-0.40","56","high"
"42","safe","50","blue-128","red-181","risky","safe","558","2","bandit-task","44","201731","0.0-3.0-0.41","56","high"
"43","risky","59","blue-205","red-37","risky","safe","447","2","bandit-task","45","204939","0.0-3.0-0.42","56","high"
"44","safe","51","blue-44","red-109","risky","safe","471","2","bandit-task","46","207915","0.0-3.0-0.43","56","high"
"45","risky","83","blue-92","red-88","risky","safe","471","2","bandit-task","47","210835","0.0-3.0-0.44","56","high"
